avg_score,avg_winning,step_idx,avg_diff,loss_train
0.20672,0.186,1000,0.024,0.0
0.241,0.22,2000,0.026,0.0
0.22825,0.209,3000,0.018,0.0
0.24976,0.231,4000,0.021,0.0
0.25378,0.233,5000,0.023,0.0
0.23211,0.212,6000,0.018,0.0
0.24133,0.22,7000,0.02,0.0
0.21664,0.196,8000,0.035,0.0
0.25876,0.237,9000,0.023,0.0
0.26903,0.247,10000,0.016,0.0
0.26421,0.241,11000,0.021,0.0
0.28008,0.258,12000,0.02,0.0
0.28585,0.263,13000,0.012,0.0
0.29516,0.272,14000,0.024,0.0
0.31503,0.291,15000,0.019,0.0
0.31383,0.29,16000,0.022,0.0
0.34342,0.32,17000,0.01,0.0
0.3568,0.333,18000,0.021,0.0
0.36564,0.344,19000,0.015,0.0
0.37475,0.352,20000,0.015,0.0
0.3996,0.376,21000,0.02,0.0
0.42577,0.402,22000,0.031,0.0
0.39962,0.376,23000,0.018,0.0
0.4206,0.398,24000,0.01,0.0
0.41713,0.394,25000,0.024,0.0
0.41437,0.391,26000,0.015,0.0
0.43225,0.41,27000,0.018,0.0
0.40912,0.389,28000,0.027,0.0
0.4341,0.412,29000,0.012,0.0
0.45304,0.431,30000,0.007,0.0
0.44706,0.425,31000,0.013,0.0
0.45788,0.433,32000,0.01,0.0
0.47163,0.447,33000,0.015,0.0
0.46617,0.442,34000,0.016,0.0
0.44702,0.425,35000,0.013,0.0
0.46359,0.443,36000,0.019,0.0
0.46777,0.446,37000,0.016,0.0
0.45732,0.435,38000,0.016,0.0
0.46954,0.447,39000,0.018,0.0
0.47246,0.453,40000,0.016,0.0
0.47708,0.455,41000,0.026,0.0
0.49744,0.476,42000,0.008,0.0
0.46115,0.438,43000,0.016,0.0
0.48476,0.46,44000,0.016,0.0
0.47396,0.449,45000,0.007,0.0
0.45752,0.433,46000,0.016,0.0
0.47482,0.451,47000,0.016,0.0
0.50438,0.481,48000,0.015,0.0
0.49149,0.47,49000,0.009,0.0
0.50708,0.485,50000,0.017,0.0
0.50607,0.486,51000,0.026,0.0
0.47551,0.454,52000,0.021,0.0
0.48089,0.46,53000,0.01,0.0
0.49317,0.471,54000,0.012,0.0
0.49879,0.478,55000,0.01,0.0
0.50719,0.486,56000,0.007,0.0
0.50534,0.485,57000,0.008,0.0
0.49023,0.47,58000,0.02,0.0
0.48619,0.466,59000,0.009,0.0
0.48331,0.462,60000,0.013,0.0
0.50458,0.483,61000,0.01,0.0
0.50112,0.479,62000,0.025,0.0
0.50847,0.487,63000,0.006,0.0
0.5051,0.484,64000,0.014,0.0
0.49293,0.472,65000,0.015,0.0
0.5208,0.499,66000,0.013,0.0
0.49844,0.476,67000,0.014,0.0
0.52063,0.499,68000,0.017,0.0
0.51308,0.491,69000,0.016,0.0
0.50248,0.481,70000,0.009,0.0
0.49216,0.471,71000,0.018,0.0
0.48152,0.46,72000,0.016,0.0
0.49481,0.473,73000,0.006,0.0
0.4935,0.47,74000,0.013,0.0
0.50725,0.485,75000,0.012,0.0
0.49758,0.475,76000,0.009,0.0
0.51587,0.493,77000,0.014,0.0
0.512,0.488,78000,0.014,0.0
0.50483,0.482,79000,0.017,0.0
0.49812,0.476,80000,0.016,0.0
0.51113,0.489,81000,0.01,0.0
0.48019,0.46,82000,0.014,0.0
0.47982,0.459,83000,0.013,0.0
0.4888,0.466,84000,0.017,0.0
0.49756,0.474,85000,0.018,0.0
0.48992,0.467,86000,0.016,0.0
