step_idx,avg_diff,avg_winning,loss_train,avg_score
1000,0.017,0.268,0.0,0.29489
2000,0.018,0.255,0.0,0.28032
3000,0.02,0.252,0.0,0.27529
4000,0.02,0.258,0.0,0.28052
5000,0.018,0.239,0.0,0.26093
6000,0.026,0.254,0.0,0.27694
7000,0.022,0.249,0.0,0.27067
8000,0.023,0.247,0.0,0.26885
9000,0.025,0.236,0.0,0.25735
10000,0.022,0.247,0.0,0.26786
11000,0.02,0.255,0.0,0.27621
12000,0.025,0.245,0.0,0.26741
13000,0.022,0.246,0.0,0.26945
14000,0.02,0.255,0.0,0.2784
15000,0.021,0.24,0.0,0.26324
16000,0.022,0.227,0.0,0.25202
17000,0.02,0.234,0.0,0.25835
18000,0.028,0.239,0.0,0.26412
19000,0.022,0.243,0.0,0.26759
20000,0.019,0.25,0.0,0.27414
21000,0.027,0.236,0.0,0.26004
22000,0.029,0.248,0.0,0.27258
23000,0.026,0.253,0.0,0.27608
24000,0.027,0.239,0.0,0.26186
25000,0.023,0.246,0.0,0.26839
26000,0.02,0.25,0.0,0.27184
27000,0.022,0.232,0.0,0.25316
28000,0.022,0.245,0.0,0.26715
29000,0.021,0.246,0.0,0.26846
30000,0.019,0.244,0.0,0.26684
31000,0.015,0.24,0.0,0.26381
32000,0.022,0.24,0.0,0.26498
33000,0.023,0.242,0.0,0.26611
34000,0.017,0.236,0.0,0.25894
35000,0.018,0.249,0.0,0.27254
36000,0.024,0.241,0.0,0.26615
37000,0.022,0.238,0.0,0.26231
38000,0.017,0.241,0.0,0.266
39000,0.025,0.246,0.0,0.27184
40000,0.022,0.242,0.0,0.26744
41000,0.022,0.262,0.0,0.28764
42000,0.021,0.242,0.0,0.26792
43000,0.021,0.249,0.0,0.27344
44000,0.024,0.274,0.0,0.29878
45000,0.016,0.333,0.0,0.3569
46000,0.021,0.371,0.0,0.39409
47000,0.013,0.38,0.0,0.40315
48000,0.016,0.41,0.0,0.43216
49000,0.018,0.386,0.0,0.40952
50000,0.018,0.374,0.0,0.3973
51000,0.021,0.374,0.0,0.39772
52000,0.019,0.382,0.0,0.40469
53000,0.015,0.368,0.0,0.38925
54000,0.021,0.379,0.0,0.40092
55000,0.018,0.375,0.0,0.39544
56000,0.016,0.381,0.0,0.40114
57000,0.017,0.382,0.0,0.40278
58000,0.015,0.379,0.0,0.40015
59000,0.012,0.374,0.0,0.39553
60000,0.016,0.367,0.0,0.38575
61000,0.017,0.38,0.0,0.39836
62000,0.025,0.37,0.0,0.38939
63000,0.021,0.371,0.0,0.39066
64000,0.021,0.385,0.0,0.40603
65000,0.02,0.395,0.0,0.41616
66000,0.018,0.377,0.0,0.39598
67000,0.022,0.356,0.0,0.37599
68000,0.015,0.384,0.0,0.40426
69000,0.02,0.384,0.0,0.40418
70000,0.029,0.376,0.0,0.39663
71000,0.024,0.364,0.0,0.38413
72000,0.024,0.397,0.0,0.41641
73000,0.023,0.387,0.0,0.40673
74000,0.015,0.39,0.0,0.40978
75000,0.017,0.389,0.0,0.40946
76000,0.027,0.364,0.0,0.38451
77000,0.018,0.376,0.0,0.39569
78000,0.016,0.39,0.0,0.40985
79000,0.019,0.371,0.0,0.38966
80000,0.016,0.387,0.0,0.40584
81000,0.009,0.376,0.0,0.39413
82000,0.021,0.384,0.0,0.40285
83000,0.013,0.381,0.0,0.39906
84000,0.015,0.381,0.0,0.3997
85000,0.011,0.373,0.0,0.39131
86000,0.014,0.381,0.0,0.39991
87000,0.018,0.389,0.0,0.4074
88000,0.019,0.387,0.0,0.40698
89000,0.023,0.387,0.0,0.40751
90000,0.017,0.381,0.0,0.40271
91000,0.021,0.381,0.0,0.40307
92000,0.017,0.384,0.0,0.40528
93000,0.019,0.386,0.0,0.40582
94000,0.012,0.391,0.0,0.41263
95000,0.02,0.389,0.0,0.40871
96000,0.013,0.382,0.0,0.4013
97000,0.021,0.39,0.0,0.40881
98000,0.015,0.388,0.0,0.40689
99000,0.019,0.379,0.0,0.39795
100000,0.015,0.405,0.0,0.42286
101000,0.015,0.39,0.0,0.40736
102000,0.02,0.394,0.0,0.41027
103000,0.02,0.39,0.0,0.40593
104000,0.019,0.388,0.0,0.4045
105000,0.022,0.394,0.0,0.41055
106000,0.017,0.386,0.0,0.40239
107000,0.015,0.383,0.0,0.40009
108000,0.02,0.397,0.0,0.41419
109000,0.013,0.381,0.0,0.3993
110000,0.022,0.388,0.0,0.40665
111000,0.019,0.381,0.0,0.39964
112000,0.019,0.377,0.0,0.39551
113000,0.015,0.401,0.0,0.41928
114000,0.015,0.404,0.0,0.42088
115000,0.01,0.403,0.0,0.41928
116000,0.018,0.411,0.0,0.42766
117000,0.014,0.429,0.0,0.44536
118000,0.017,0.439,0.0,0.45624
119000,0.01,0.425,0.0,0.44151
120000,0.02,0.433,0.0,0.45156
121000,0.01,0.403,0.0,0.42096
122000,0.014,0.434,0.0,0.45222
123000,0.015,0.451,0.0,0.4701
124000,0.018,0.441,0.0,0.45899
125000,0.012,0.441,0.0,0.45831
126000,0.013,0.426,0.0,0.44087
