avg_winning,step_idx,avg_score,avg_diff,loss_train
0.231,1000,0.25339,0.018,0.0
0.24,2000,0.26297,0.02,0.0
0.241,3000,0.26358,0.013,0.0
0.242,4000,0.26571,0.02,0.0
0.255,5000,0.27918,0.024,0.0
0.25,6000,0.27341,0.023,0.0
0.252,7000,0.27514,0.023,0.0
0.242,8000,0.26371,0.018,0.0
0.252,9000,0.27441,0.029,0.0
0.265,10000,0.28759,0.023,0.0
0.248,11000,0.27004,0.024,0.0
0.247,12000,0.27037,0.019,0.0
0.245,13000,0.26792,0.02,0.0
0.25,14000,0.27292,0.025,0.0
0.239,15000,0.26297,0.025,0.0
0.251,16000,0.27563,0.016,0.0
0.226,17000,0.2505,0.028,0.0
0.255,18000,0.2801,0.025,0.0
0.268,19000,0.29342,0.02,0.0
0.253,20000,0.27764,0.021,0.0
0.249,21000,0.27383,0.023,0.0
0.248,22000,0.27397,0.023,0.0
0.238,23000,0.26468,0.025,0.0
0.224,24000,0.25126,0.02,0.0
0.243,25000,0.27056,0.025,0.0
0.251,26000,0.27694,0.021,0.0
0.232,27000,0.25793,0.017,0.0
0.243,28000,0.26848,0.022,0.0
0.231,29000,0.25751,0.019,0.0
0.244,30000,0.27137,0.016,0.0
0.268,31000,0.29538,0.022,0.0
0.294,32000,0.32146,0.019,0.0
0.264,33000,0.29097,0.021,0.0
0.261,34000,0.28769,0.022,0.0
0.28,35000,0.30753,0.02,0.0
0.289,36000,0.31719,0.025,0.0
0.292,37000,0.32051,0.015,0.0
0.264,38000,0.29168,0.013,0.0
0.264,39000,0.29061,0.023,0.0
0.252,40000,0.27958,0.021,0.0
0.24,41000,0.26607,0.023,0.0
0.257,42000,0.28352,0.024,0.0
0.252,43000,0.27659,0.02,0.0
0.253,44000,0.27773,0.028,0.0
0.272,45000,0.29691,0.025,0.0
0.285,46000,0.31082,0.021,0.0
0.305,47000,0.33107,0.015,0.0
0.305,48000,0.33256,0.024,0.0
0.354,49000,0.38186,0.015,0.0
0.309,50000,0.33553,0.022,0.0
0.308,51000,0.33357,0.021,0.0
0.319,52000,0.34433,0.018,0.0
0.297,53000,0.31964,0.021,0.0
0.299,54000,0.32522,0.019,0.0
0.298,55000,0.32106,0.025,0.0
0.294,56000,0.31621,0.015,0.0
0.3,57000,0.32295,0.014,0.0
0.284,58000,0.30791,0.021,0.0
0.285,59000,0.30913,0.019,0.0
0.279,60000,0.30277,0.024,0.0
0.314,61000,0.33768,0.027,0.0
0.309,62000,0.33201,0.021,0.0
0.315,63000,0.33838,0.017,0.0
0.328,64000,0.35155,0.019,0.0
0.328,65000,0.35156,0.026,0.0
0.327,66000,0.34958,0.021,0.0
0.306,67000,0.32885,0.018,0.0
0.305,68000,0.32755,0.028,0.0
0.272,69000,0.29398,0.028,0.0
0.315,70000,0.33736,0.021,0.0
0.307,71000,0.33018,0.022,0.0
0.317,72000,0.33923,0.024,0.0
0.304,73000,0.32574,0.024,0.0
0.28,74000,0.30051,0.017,0.0
0.285,75000,0.30681,0.018,0.0
0.28,76000,0.30184,0.021,0.0
0.287,77000,0.30829,0.023,0.0
0.313,78000,0.3336,0.019,0.0
0.318,79000,0.33972,0.02,0.0
0.301,80000,0.32233,0.023,0.0
0.306,81000,0.32617,0.025,0.0
0.343,82000,0.3641,0.025,0.0
0.335,83000,0.35589,0.021,0.0
0.324,84000,0.34621,0.024,0.0
0.37,85000,0.39321,0.006,0.0
0.341,86000,0.36304,0.023,0.0
0.345,87000,0.36819,0.019,0.0
0.348,88000,0.37015,0.022,0.0
0.353,89000,0.37602,0.018,0.0
0.335,90000,0.35792,0.022,0.0
0.361,91000,0.38318,0.02,0.0
0.366,92000,0.38824,0.022,0.0
0.351,93000,0.37313,0.022,0.0
0.35,94000,0.37356,0.017,0.0
0.339,95000,0.36409,0.024,0.0
0.341,96000,0.36571,0.014,0.0
0.344,97000,0.36834,0.021,0.0
0.337,98000,0.36086,0.022,0.0
0.347,99000,0.37095,0.021,0.0
0.351,100000,0.37454,0.013,0.0
0.338,101000,0.36249,0.013,0.0
