avg_winning,avg_diff,avg_score,step_idx,loss_train
0.269,0.022,0.2971,1000,0.0
0.265,0.021,0.29166,2000,0.0
0.246,0.02,0.27207,3000,0.0
0.235,0.017,0.25879,4000,0.0
0.255,0.02,0.27964,5000,0.0
0.242,0.025,0.2659,6000,0.0
0.26,0.015,0.28597,7000,0.0
0.245,0.019,0.26879,8000,0.0
0.244,0.027,0.26766,9000,0.0
0.24,0.03,0.264,10000,0.0
0.228,0.019,0.25073,11000,0.0
0.242,0.014,0.26635,12000,0.0
0.24,0.017,0.2636,13000,0.0
0.25,0.021,0.27467,14000,0.0
0.245,0.016,0.27062,15000,0.0
0.235,0.022,0.2615,16000,0.0
0.233,0.022,0.25929,17000,0.0
0.233,0.024,0.25843,18000,0.0
0.226,0.026,0.25135,19000,0.0
0.237,0.023,0.26343,20000,0.0
0.233,0.022,0.25854,21000,0.0
0.215,0.02,0.24005,22000,0.0
0.23,0.02,0.25403,23000,0.0
0.234,0.022,0.25587,24000,0.0
0.231,0.024,0.25249,25000,0.0
0.243,0.022,0.26414,26000,0.0
0.231,0.022,0.25343,27000,0.0
0.239,0.018,0.26084,28000,0.0
0.234,0.022,0.25531,29000,0.0
0.227,0.026,0.24886,30000,0.0
0.232,0.021,0.25456,31000,0.0
0.237,0.029,0.25977,32000,0.0
0.243,0.022,0.26592,33000,0.0
0.234,0.027,0.25625,34000,0.0
0.224,0.011,0.24605,35000,0.0
0.229,0.017,0.24991,36000,0.0
0.233,0.017,0.2542,37000,0.0
0.232,0.018,0.25345,38000,0.0
0.235,0.021,0.25715,39000,0.0
0.24,0.025,0.26196,40000,0.0
0.228,0.022,0.2493,41000,0.0
0.235,0.02,0.25656,42000,0.0
0.241,0.018,0.26245,43000,0.0
0.23,0.02,0.25319,44000,0.0
0.238,0.022,0.26145,45000,0.0
0.221,0.024,0.24458,46000,0.0
0.228,0.021,0.25164,47000,0.0
0.232,0.017,0.25447,48000,0.0
0.232,0.018,0.25521,49000,0.0
0.232,0.024,0.25563,50000,0.0
0.241,0.023,0.26379,51000,0.0
0.222,0.025,0.24472,52000,0.0
0.228,0.021,0.25006,53000,0.0
0.23,0.026,0.25298,54000,0.0
0.233,0.024,0.2574,55000,0.0
0.22,0.023,0.24335,56000,0.0
0.215,0.017,0.23893,57000,0.0
0.221,0.017,0.24473,58000,0.0
0.237,0.018,0.26026,59000,0.0
0.202,0.024,0.22604,60000,0.0
0.222,0.018,0.24507,61000,0.0
0.216,0.023,0.23895,62000,0.0
0.226,0.027,0.25045,63000,0.0
0.219,0.025,0.24289,64000,0.0
0.223,0.028,0.24782,65000,0.0
0.22,0.02,0.24542,66000,0.0
0.201,0.026,0.22669,67000,0.0
0.221,0.017,0.24663,68000,0.0
0.207,0.025,0.23227,69000,0.0
0.21,0.014,0.23527,70000,0.0
0.203,0.019,0.22755,71000,0.0
0.202,0.021,0.22752,72000,0.0
0.199,0.016,0.22468,73000,0.0
0.209,0.025,0.2348,74000,0.0
0.206,0.017,0.23048,75000,0.0
0.208,0.027,0.23299,76000,0.0
0.22,0.021,0.24635,77000,0.0
0.211,0.027,0.23671,78000,0.0
0.209,0.021,0.23447,79000,0.0
0.208,0.019,0.23295,80000,0.0
0.206,0.021,0.23081,81000,0.0
0.205,0.023,0.2293,82000,0.0
0.203,0.018,0.22711,83000,0.0
0.213,0.022,0.23792,84000,0.0
0.203,0.018,0.22793,85000,0.0
0.198,0.019,0.22172,86000,0.0
0.201,0.026,0.22534,87000,0.0
0.208,0.029,0.23154,88000,0.0
0.194,0.021,0.21828,89000,0.0
0.194,0.021,0.21799,90000,0.0
0.213,0.03,0.23778,91000,0.0
0.214,0.017,0.2397,92000,0.0
0.198,0.021,0.223,93000,0.0
0.203,0.023,0.22906,94000,0.0
0.207,0.022,0.23311,95000,0.0
0.205,0.026,0.23125,96000,0.0
0.208,0.024,0.23447,97000,0.0
0.209,0.032,0.23585,98000,0.0
0.226,0.022,0.25215,99000,0.0
0.196,0.031,0.22156,100000,0.0
0.211,0.027,0.23655,101000,0.0
0.214,0.017,0.23907,102000,0.0
0.218,0.024,0.24429,103000,0.0
0.216,0.032,0.2432,104000,0.0
0.211,0.023,0.23642,105000,0.0
0.205,0.024,0.23012,106000,0.0
0.22,0.024,0.2456,107000,0.0
0.21,0.026,0.23511,108000,0.0
0.23,0.024,0.25472,109000,0.0
0.226,0.03,0.25006,110000,0.0
0.227,0.027,0.25235,111000,0.0
0.251,0.029,0.27499,112000,0.0
0.255,0.022,0.27973,113000,0.0
0.255,0.021,0.28134,114000,0.0
0.261,0.023,0.28711,115000,0.0
0.254,0.025,0.2788,116000,0.0
0.272,0.031,0.29629,117000,0.0
0.261,0.026,0.28555,118000,0.0
0.268,0.032,0.29211,119000,0.0
0.265,0.025,0.28851,120000,0.0
0.276,0.018,0.29962,121000,0.0
0.272,0.025,0.29603,122000,0.0
0.269,0.025,0.29311,123000,0.0
0.295,0.023,0.31846,124000,0.0
0.279,0.018,0.30185,125000,0.0
0.299,0.017,0.32271,126000,0.0
0.272,0.023,0.29661,127000,0.0
0.304,0.018,0.32778,128000,0.0
0.293,0.023,0.3161,129000,0.0
0.298,0.019,0.32117,130000,0.0
0.303,0.018,0.32618,131000,0.0
0.324,0.017,0.34668,132000,0.0
0.297,0.018,0.31961,133000,0.0
0.298,0.022,0.31971,134000,0.0
0.307,0.014,0.33041,135000,0.0
0.305,0.017,0.32825,136000,0.0
0.285,0.026,0.30828,137000,0.0
0.31,0.017,0.33325,138000,0.0
0.294,0.018,0.31673,139000,0.0
0.298,0.022,0.3216,140000,0.0
0.29,0.018,0.31395,141000,0.0
0.298,0.018,0.32131,142000,0.0
0.289,0.008,0.31189,143000,0.0
0.286,0.017,0.30883,144000,0.0
0.297,0.012,0.31882,145000,0.0
0.302,0.017,0.32427,146000,0.0
0.3,0.017,0.32221,147000,0.0
0.301,0.014,0.32316,148000,0.0
0.292,0.02,0.31333,149000,0.0
0.297,0.02,0.31898,150000,0.0
0.299,0.021,0.3216,151000,0.0
0.309,0.019,0.33235,152000,0.0
0.308,0.012,0.33193,153000,0.0
0.312,0.019,0.33537,154000,0.0
0.283,0.018,0.30642,155000,0.0
0.308,0.017,0.33003,156000,0.0
0.309,0.02,0.33177,157000,0.0
0.308,0.018,0.33087,158000,0.0
0.291,0.013,0.31382,159000,0.0
0.306,0.016,0.32868,160000,0.0
0.297,0.012,0.31974,161000,0.0
0.288,0.013,0.31072,162000,0.0
0.293,0.013,0.31542,163000,0.0
0.298,0.015,0.32038,164000,0.0
0.301,0.017,0.32392,165000,0.0
0.319,0.011,0.34215,166000,0.0
0.302,0.013,0.32511,167000,0.0
0.328,0.019,0.35128,168000,0.0
0.323,0.012,0.34684,169000,0.0
0.308,0.019,0.33214,170000,0.0
0.318,0.023,0.34202,171000,0.0
0.329,0.019,0.35265,172000,0.0
0.321,0.019,0.34398,173000,0.0
0.332,0.016,0.35599,174000,0.0
0.335,0.013,0.35887,175000,0.0
0.333,0.016,0.35627,176000,0.0
0.322,0.011,0.34461,177000,0.0
0.345,0.021,0.36931,178000,0.0
0.321,0.019,0.34504,179000,0.0
0.337,0.02,0.35994,180000,0.0
0.33,0.018,0.35411,181000,0.0
0.331,0.01,0.35381,182000,0.0
0.339,0.012,0.36248,183000,0.0
0.35,0.012,0.37366,184000,0.0
0.349,0.018,0.37411,185000,0.0
0.333,0.016,0.35898,186000,0.0
0.348,0.018,0.37219,187000,0.0
0.343,0.017,0.36642,188000,0.0
0.352,0.023,0.37683,189000,0.0
0.336,0.017,0.36081,190000,0.0
0.359,0.01,0.38366,191000,0.0
0.347,0.018,0.37073,192000,0.0
0.358,0.015,0.38153,193000,0.0
0.349,0.014,0.37196,194000,0.0
0.35,0.015,0.37334,195000,0.0
0.345,0.011,0.36739,196000,0.0
0.349,0.013,0.3706,197000,0.0
0.345,0.013,0.36641,198000,0.0
0.34,0.015,0.36116,199000,0.0
0.356,0.01,0.37773,200000,0.0
0.347,0.014,0.36812,201000,0.0
0.36,0.014,0.38241,202000,0.0
0.338,0.013,0.36001,203000,0.0
0.332,0.01,0.35382,204000,0.0
0.367,0.011,0.38953,205000,0.0
0.359,0.02,0.38246,206000,0.0
0.336,0.013,0.3579,207000,0.0
0.343,0.011,0.36524,208000,0.0
0.341,0.015,0.36262,209000,0.0
0.341,0.012,0.36279,210000,0.0
0.339,0.013,0.36111,211000,0.0
0.342,0.018,0.36539,212000,0.0
0.328,0.02,0.352,213000,0.0
0.324,0.013,0.34808,214000,0.0
0.338,0.011,0.36062,215000,0.0
0.346,0.014,0.36851,216000,0.0
0.329,0.009,0.35132,217000,0.0
0.328,0.019,0.3499,218000,0.0
0.335,0.015,0.35727,219000,0.0
0.335,0.011,0.35863,220000,0.0
0.34,0.017,0.36298,221000,0.0
0.339,0.016,0.36098,222000,0.0
0.343,0.021,0.36574,223000,0.0
0.334,0.024,0.35514,224000,0.0
0.332,0.018,0.35361,225000,0.0
0.335,0.02,0.35682,226000,0.0
0.353,0.019,0.37465,227000,0.0
0.341,0.019,0.36367,228000,0.0
0.346,0.02,0.36992,229000,0.0
0.352,0.019,0.37576,230000,0.0
0.337,0.026,0.36164,231000,0.0
0.329,0.018,0.35342,232000,0.0
0.346,0.012,0.36894,233000,0.0
0.339,0.013,0.36214,234000,0.0
0.35,0.02,0.37404,235000,0.0
0.341,0.016,0.36607,236000,0.0
0.346,0.016,0.36896,237000,0.0
0.352,0.008,0.37371,238000,0.0
0.339,0.014,0.36034,239000,0.0
0.345,0.008,0.36704,240000,0.0
0.342,0.01,0.36384,241000,0.0
0.326,0.011,0.34713,242000,0.0
0.335,0.014,0.35529,243000,0.0
0.337,0.01,0.3576,244000,0.0
