avg_winning,avg_diff,avg_score,step_idx,loss_train
0.246,0.018,0.27091,1000,0.0
0.241,0.024,0.26407,2000,0.0
0.25,0.02,0.27315,3000,0.0
0.242,0.022,0.2638,4000,0.0
0.227,0.026,0.24726,5000,0.0
0.229,0.015,0.2493,6000,0.0
0.258,0.023,0.27774,7000,0.0
0.239,0.019,0.2592,8000,0.0
0.227,0.025,0.24677,9000,0.0
0.243,0.015,0.26446,10000,0.0
0.25,0.016,0.27187,11000,0.0
0.249,0.021,0.27043,12000,0.0
0.255,0.024,0.27583,13000,0.0
0.233,0.021,0.25387,14000,0.0
0.254,0.022,0.27628,15000,0.0
0.252,0.024,0.27487,16000,0.0
0.246,0.017,0.27138,17000,0.0
0.259,0.023,0.28353,18000,0.0
0.256,0.021,0.28159,19000,0.0
0.257,0.022,0.28411,20000,0.0
0.249,0.023,0.27622,21000,0.0
0.26,0.016,0.28557,22000,0.0
0.248,0.014,0.27372,23000,0.0
0.248,0.022,0.27355,24000,0.0
0.255,0.022,0.28057,25000,0.0
0.246,0.019,0.27037,26000,0.0
0.246,0.023,0.27258,27000,0.0
0.246,0.023,0.27296,28000,0.0
0.247,0.024,0.27253,29000,0.0
0.247,0.023,0.27349,30000,0.0
0.239,0.016,0.26569,31000,0.0
0.243,0.024,0.27055,32000,0.0
0.248,0.017,0.27554,33000,0.0
0.242,0.019,0.27062,34000,0.0
0.238,0.027,0.26479,35000,0.0
0.242,0.031,0.26773,36000,0.0
0.237,0.025,0.26431,37000,0.0
0.241,0.022,0.26878,38000,0.0
0.242,0.026,0.27032,39000,0.0
0.248,0.03,0.27568,40000,0.0
0.241,0.021,0.26733,41000,0.0
0.245,0.026,0.27239,42000,0.0
0.247,0.021,0.27435,43000,0.0
0.23,0.019,0.25658,44000,0.0
0.243,0.028,0.27198,45000,0.0
0.251,0.022,0.27914,46000,0.0
0.258,0.022,0.28403,47000,0.0
0.24,0.022,0.26668,48000,0.0
0.232,0.032,0.25702,49000,0.0
0.229,0.028,0.254,50000,0.0
0.245,0.022,0.27195,51000,0.0
0.246,0.023,0.27255,52000,0.0
0.241,0.02,0.26709,53000,0.0
0.237,0.026,0.26377,54000,0.0
0.239,0.02,0.26575,55000,0.0
0.244,0.022,0.27118,56000,0.0
0.228,0.025,0.25467,57000,0.0
0.245,0.022,0.27202,58000,0.0
0.247,0.022,0.27385,59000,0.0
0.239,0.025,0.26677,60000,0.0
0.231,0.023,0.25828,61000,0.0
0.228,0.023,0.25533,62000,0.0
0.232,0.025,0.25834,63000,0.0
0.231,0.023,0.25742,64000,0.0
0.231,0.027,0.2577,65000,0.0
0.233,0.023,0.25989,66000,0.0
0.246,0.017,0.27376,67000,0.0
0.262,0.023,0.28993,68000,0.0
0.315,0.02,0.34287,69000,0.0
0.309,0.016,0.33609,70000,0.0
0.338,0.015,0.36489,71000,0.0
0.35,0.02,0.37603,72000,0.0
0.343,0.015,0.36927,73000,0.0
0.354,0.019,0.38092,74000,0.0
0.351,0.014,0.3759,75000,0.0
0.356,0.012,0.38056,76000,0.0
0.362,0.011,0.38734,77000,0.0
0.352,0.016,0.37647,78000,0.0
0.36,0.015,0.38497,79000,0.0
0.362,0.023,0.38609,80000,0.0
0.344,0.019,0.36817,81000,0.0
