loss_train,avg_winning,avg_score,step_idx,avg_diff
0.0,0.19,0.21094,1000,0.032
0.0,0.206,0.22523,2000,0.018
0.0,0.215,0.23396,3000,0.025
0.0,0.215,0.23293,4000,0.022
0.0,0.209,0.22729,5000,0.021
0.0,0.21,0.22931,6000,0.022
0.0,0.212,0.23261,7000,0.03
0.0,0.224,0.24733,8000,0.016
0.0,0.253,0.27701,9000,0.027
0.0,0.212,0.23434,10000,0.022
0.0,0.239,0.2608,11000,0.022
0.0,0.258,0.28099,12000,0.017
0.0,0.272,0.29585,13000,0.021
0.0,0.28,0.3049,14000,0.017
0.0,0.281,0.30532,15000,0.023
0.0,0.303,0.3267,16000,0.024
0.0,0.301,0.32582,17000,0.019
0.0,0.32,0.34351,18000,0.014
0.0,0.297,0.3201,19000,0.023
0.0,0.312,0.33431,20000,0.019
0.0,0.327,0.34793,21000,0.021
0.0,0.357,0.37925,22000,0.012
0.0,0.374,0.39622,23000,0.011
0.0,0.362,0.38383,24000,0.013
0.0,0.407,0.42932,25000,0.018
0.0,0.419,0.44193,26000,0.017
0.0,0.425,0.44697,27000,0.018
0.0,0.424,0.44555,28000,0.01
0.0,0.443,0.46412,29000,0.011
0.0,0.44,0.46083,30000,0.016
0.0,0.426,0.44768,31000,0.008
0.0,0.444,0.46502,32000,0.017
0.0,0.443,0.46533,33000,0.011
0.0,0.448,0.4701,34000,0.009
0.0,0.463,0.48527,35000,0.013
0.0,0.456,0.47894,36000,0.015
0.0,0.444,0.4666,37000,0.011
0.0,0.433,0.45488,38000,0.022
0.0,0.457,0.4798,39000,0.012
0.0,0.438,0.46123,40000,0.016
0.0,0.435,0.45714,41000,0.015
0.0,0.467,0.48932,42000,0.0
0.0,0.464,0.48492,43000,0.012
0.0,0.453,0.47544,44000,0.007
0.0,0.481,0.5031,45000,0.014
0.0,0.451,0.47431,46000,0.018
0.0,0.444,0.46715,47000,0.021
0.0,0.453,0.47521,48000,0.017
0.0,0.454,0.47508,49000,0.018
0.0,0.45,0.47194,50000,0.019
0.0,0.452,0.47549,51000,0.016
0.0,0.463,0.48681,52000,0.015
0.0,0.475,0.49819,53000,0.005
0.0,0.448,0.47197,54000,0.01
0.0,0.45,0.47362,55000,0.019
0.0,0.461,0.48346,56000,0.007
0.0,0.46,0.48252,57000,0.016
0.0,0.447,0.47076,58000,0.02
0.0,0.459,0.48275,59000,0.018
0.0,0.445,0.46832,60000,0.013
0.0,0.463,0.48548,61000,0.015
0.0,0.46,0.48331,62000,0.02
0.0,0.443,0.46531,63000,0.014
0.0,0.454,0.47516,64000,0.013
0.0,0.46,0.48218,65000,0.015
0.0,0.457,0.47829,66000,0.017
0.0,0.466,0.48639,67000,0.019
0.0,0.47,0.49184,68000,0.012
0.0,0.45,0.47169,69000,0.013
0.0,0.442,0.46326,70000,0.019
0.0,0.474,0.49508,71000,0.021
0.0,0.463,0.48458,72000,0.018
0.0,0.46,0.48326,73000,0.011
0.0,0.484,0.50607,74000,0.014
0.0,0.454,0.47432,75000,0.013
0.0,0.476,0.49744,76000,0.014
0.0,0.46,0.48157,77000,0.017
0.0,0.476,0.49905,78000,0.012
0.0,0.488,0.51145,79000,0.013
0.0,0.46,0.48225,80000,0.014
0.0,0.469,0.491,81000,0.012
0.0,0.491,0.51466,82000,0.015
0.0,0.483,0.50568,83000,0.014
0.0,0.47,0.49245,84000,0.019
0.0,0.462,0.4843,85000,0.014
0.0,0.462,0.48548,86000,0.011
0.0,0.474,0.49923,87000,0.021
0.0,0.464,0.48994,88000,0.012
0.0,0.461,0.48725,89000,0.016
0.0,0.463,0.48752,90000,0.018
0.0,0.459,0.4843,91000,0.018
0.0,0.458,0.4827,92000,0.017
0.0,0.464,0.48884,93000,0.015
0.0,0.48,0.50554,94000,0.017
0.0,0.46,0.48577,95000,0.019
0.0,0.45,0.47473,96000,0.012
0.0,0.478,0.50394,97000,0.024
0.0,0.478,0.50369,98000,0.011
0.0,0.46,0.48442,99000,0.023
0.0,0.467,0.49107,100000,0.019
0.0,0.466,0.49124,101000,0.012
0.0,0.453,0.47776,102000,0.017
0.0,0.453,0.47592,103000,0.016
0.0,0.449,0.47248,104000,0.015
0.0,0.456,0.47979,105000,0.018
0.0,0.457,0.48117,106000,0.017
0.0,0.461,0.48331,107000,0.015
0.0,0.448,0.47135,108000,0.02
0.0,0.455,0.47801,109000,0.014
0.0,0.44,0.46227,110000,0.022
0.0,0.46,0.48309,111000,0.018
0.0,0.461,0.48209,112000,0.019
0.0,0.463,0.48578,113000,0.021
0.0,0.473,0.49661,114000,0.018
0.0,0.464,0.48823,115000,0.012
0.0,0.484,0.50677,116000,0.02
0.0,0.481,0.50311,117000,0.014
0.0,0.464,0.48677,118000,0.021
0.0,0.487,0.51289,119000,0.018
0.0,0.455,0.4806,120000,0.014
0.0,0.462,0.48762,121000,0.01
0.0,0.471,0.49681,122000,0.017
0.0,0.449,0.47437,123000,0.014
0.0,0.458,0.48456,124000,0.017
0.0,0.453,0.47772,125000,0.018
0.0,0.465,0.49059,126000,0.014
0.0,0.462,0.48662,127000,0.016
0.0,0.443,0.46734,128000,0.009
0.0,0.454,0.48061,129000,0.016
0.0,0.463,0.48999,130000,0.018
0.0,0.449,0.47692,131000,0.022
0.0,0.45,0.47669,132000,0.023
0.0,0.462,0.48971,133000,0.013
0.0,0.452,0.47706,134000,0.013
0.0,0.42,0.44219,135000,0.014
0.0,0.432,0.45306,136000,0.02
0.0,0.457,0.47866,137000,0.02
0.0,0.462,0.48411,138000,0.017
0.0,0.467,0.48907,139000,0.011
0.0,0.464,0.4857,140000,0.014
0.0,0.464,0.48551,141000,0.014
0.0,0.46,0.48174,142000,0.014
0.0,0.468,0.49,143000,0.016
0.0,0.45,0.47273,144000,0.019
0.0,0.468,0.49082,145000,0.015
0.0,0.458,0.47955,146000,0.02
0.0,0.458,0.47851,147000,0.018
0.0,0.479,0.49974,148000,0.017
0.0,0.481,0.50207,149000,0.014
0.0,0.459,0.48042,150000,0.019
0.0,0.474,0.49709,151000,0.017
0.0,0.507,0.5282,152000,0.016
0.0,0.468,0.48967,153000,0.018
0.0,0.49,0.51363,154000,0.015
0.0,0.476,0.49875,155000,0.012
0.0,0.467,0.49027,156000,0.013
0.0,0.484,0.51063,157000,0.012
0.0,0.479,0.50752,158000,0.005
0.0,0.471,0.49933,159000,0.015
0.0,0.466,0.49407,160000,0.013
0.0,0.452,0.48045,161000,0.015
0.0,0.48,0.50931,162000,0.015
0.0,0.476,0.5033,163000,0.017
0.0,0.46,0.48682,164000,0.011
0.0,0.467,0.49183,165000,0.013
0.0,0.467,0.49111,166000,0.017
0.0,0.461,0.48379,167000,0.023
0.0,0.47,0.49165,168000,0.016
0.0,0.466,0.48706,169000,0.016
0.0,0.472,0.49261,170000,0.013
0.0,0.463,0.48395,171000,0.017
0.0,0.491,0.51211,172000,0.015
0.0,0.472,0.49501,173000,0.018
0.0,0.462,0.48543,174000,0.013
0.0,0.473,0.49515,175000,0.018
0.0,0.473,0.49504,176000,0.012
0.0,0.466,0.4892,177000,0.012
0.0,0.478,0.50191,178000,0.018
0.0,0.49,0.51503,179000,0.014
0.0,0.473,0.49591,180000,0.008
0.0,0.478,0.50092,181000,0.015
0.0,0.491,0.51443,182000,0.016
0.0,0.477,0.4997,183000,0.014
0.0,0.471,0.4939,184000,0.016
0.0,0.464,0.48701,185000,0.012
0.0,0.469,0.49196,186000,0.01
0.0,0.46,0.4822,187000,0.015
0.0,0.454,0.47743,188000,0.011
0.0,0.467,0.48967,189000,0.004
0.0,0.467,0.48789,190000,0.012
0.0,0.472,0.49355,191000,0.019
0.0,0.452,0.47263,192000,0.009
0.0,0.466,0.48585,193000,0.012
0.0,0.457,0.47825,194000,0.007
0.0,0.477,0.498,195000,0.009
0.0,0.479,0.49961,196000,0.011
0.0,0.482,0.50233,197000,0.013
0.0,0.468,0.48956,198000,0.015
0.0,0.463,0.48332,199000,0.011
0.0,0.464,0.48486,200000,0.011
0.0,0.466,0.48611,201000,0.016
0.0,0.462,0.48079,202000,0.014
0.0,0.449,0.4685,203000,0.015
0.0,0.472,0.49123,204000,0.017
