avg_winning,step_idx,avg_diff,avg_score,loss_train
0.227,1000,0.025,0.24798,0.0
0.237,2000,0.022,0.2575,0.0
0.235,3000,0.022,0.25471,0.0
0.228,4000,0.016,0.24829,0.0
0.229,5000,0.019,0.24844,0.0
0.234,6000,0.018,0.25433,0.0
0.237,7000,0.029,0.25699,0.0
0.23,8000,0.019,0.24915,0.0
0.239,9000,0.024,0.25849,0.0
0.234,10000,0.021,0.25396,0.0
0.243,11000,0.021,0.26472,0.0
0.238,12000,0.014,0.26037,0.0
0.258,13000,0.025,0.28068,0.0
0.235,14000,0.023,0.25799,0.0
0.25,15000,0.023,0.27348,0.0
0.242,16000,0.021,0.26512,0.0
0.24,17000,0.018,0.26373,0.0
0.241,18000,0.027,0.26527,0.0
0.244,19000,0.021,0.26747,0.0
0.242,20000,0.016,0.26536,0.0
0.239,21000,0.018,0.26294,0.0
0.24,22000,0.026,0.26348,0.0
0.247,23000,0.024,0.27226,0.0
0.253,24000,0.024,0.27767,0.0
0.249,25000,0.024,0.27191,0.0
0.251,26000,0.017,0.27461,0.0
0.271,27000,0.031,0.29551,0.0
0.282,28000,0.021,0.30645,0.0
0.265,29000,0.017,0.2889,0.0
0.307,30000,0.021,0.33027,0.0
0.367,31000,0.02,0.39043,0.0
0.362,32000,0.018,0.38488,0.0
0.369,33000,0.023,0.39153,0.0
0.361,34000,0.021,0.38212,0.0
0.375,35000,0.018,0.3958,0.0
0.386,36000,0.013,0.40701,0.0
0.385,37000,0.014,0.40628,0.0
0.374,38000,0.016,0.39397,0.0
0.387,39000,0.013,0.40745,0.0
0.379,40000,0.007,0.39976,0.0
0.389,41000,0.02,0.41065,0.0
0.383,42000,0.018,0.40496,0.0
0.386,43000,0.011,0.40702,0.0
0.379,44000,0.015,0.39993,0.0
0.399,45000,0.014,0.42137,0.0
0.367,46000,0.012,0.38983,0.0
0.386,47000,0.018,0.40784,0.0
0.365,48000,0.016,0.38687,0.0
0.389,49000,0.012,0.41,0.0
0.371,50000,0.015,0.39239,0.0
0.366,51000,0.016,0.38641,0.0
0.384,52000,0.015,0.40338,0.0
0.379,53000,0.016,0.39916,0.0
0.381,54000,0.019,0.4017,0.0
0.383,55000,0.015,0.40319,0.0
0.384,56000,0.012,0.4048,0.0
0.379,57000,0.011,0.3992,0.0
0.365,58000,0.024,0.3865,0.0
0.381,59000,0.026,0.40204,0.0
0.387,60000,0.017,0.40844,0.0
0.376,61000,0.016,0.39901,0.0
0.37,62000,0.016,0.39264,0.0
0.389,63000,0.017,0.4123,0.0
0.374,64000,0.022,0.39617,0.0
0.373,65000,0.017,0.39437,0.0
0.382,66000,0.013,0.40311,0.0
0.387,67000,0.02,0.40743,0.0
0.354,68000,0.028,0.37336,0.0
0.366,69000,0.019,0.38629,0.0
0.383,70000,0.013,0.40425,0.0
0.382,71000,0.017,0.40129,0.0
0.37,72000,0.013,0.38995,0.0
0.36,73000,0.023,0.38037,0.0
0.315,74000,0.016,0.33608,0.0
0.35,75000,0.016,0.3698,0.0
0.361,76000,0.013,0.38195,0.0
0.358,77000,0.011,0.37907,0.0
0.361,78000,0.019,0.38294,0.0
0.38,79000,0.019,0.40184,0.0
0.383,80000,0.018,0.40426,0.0
0.374,81000,0.016,0.39658,0.0
0.382,82000,0.015,0.40299,0.0
0.382,83000,0.01,0.40116,0.0
0.374,84000,0.018,0.39231,0.0
0.389,85000,0.013,0.40694,0.0
0.372,86000,0.016,0.39086,0.0
0.386,87000,0.011,0.40572,0.0
0.376,88000,0.014,0.39684,0.0
0.366,89000,0.015,0.38777,0.0
0.363,90000,0.015,0.38503,0.0
0.363,91000,0.02,0.38502,0.0
0.37,92000,0.013,0.39165,0.0
0.362,93000,0.025,0.38278,0.0
0.39,94000,0.016,0.41171,0.0
0.389,95000,0.022,0.40979,0.0
0.399,96000,0.017,0.41977,0.0
0.378,97000,0.022,0.39767,0.0
0.38,98000,0.023,0.40095,0.0
0.392,99000,0.022,0.41215,0.0
0.382,100000,0.022,0.40143,0.0
0.387,101000,0.014,0.4065,0.0
0.381,102000,0.018,0.40059,0.0
0.383,103000,0.018,0.40295,0.0
0.374,104000,0.021,0.3939,0.0
0.378,105000,0.013,0.39718,0.0
0.391,106000,0.02,0.41149,0.0
0.39,107000,0.023,0.41026,0.0
0.396,108000,0.019,0.41568,0.0
0.4,109000,0.017,0.41992,0.0
0.384,110000,0.018,0.40291,0.0
0.411,111000,0.016,0.4307,0.0
0.376,112000,0.022,0.39532,0.0
0.399,113000,0.017,0.41909,0.0
0.404,114000,0.017,0.42408,0.0
0.415,115000,0.009,0.43564,0.0
0.401,116000,0.024,0.42219,0.0
0.402,117000,0.015,0.42196,0.0
0.411,118000,0.017,0.43154,0.0
0.397,119000,0.022,0.41663,0.0
0.399,120000,0.023,0.4183,0.0
0.396,121000,0.023,0.41525,0.0
0.381,122000,0.015,0.39953,0.0
0.401,123000,0.014,0.42118,0.0
0.398,124000,0.018,0.41634,0.0
0.403,125000,0.021,0.42149,0.0
0.409,126000,0.02,0.4278,0.0
0.407,127000,0.012,0.42545,0.0
0.416,128000,0.017,0.43449,0.0
0.403,129000,0.016,0.42134,0.0
0.393,130000,0.014,0.41165,0.0
0.403,131000,0.013,0.42166,0.0
0.387,132000,0.014,0.40585,0.0
0.401,133000,0.015,0.41945,0.0
0.407,134000,0.013,0.42633,0.0
0.4,135000,0.015,0.41995,0.0
0.407,136000,0.014,0.42724,0.0
0.405,137000,0.02,0.42617,0.0
0.404,138000,0.015,0.42432,0.0
0.402,139000,0.014,0.42229,0.0
0.396,140000,0.02,0.41582,0.0
0.405,141000,0.012,0.42381,0.0
0.404,142000,0.014,0.42353,0.0
0.399,143000,0.011,0.41874,0.0
0.405,144000,0.015,0.42546,0.0
0.397,145000,0.021,0.41784,0.0
0.392,146000,0.016,0.41314,0.0
0.386,147000,0.011,0.40711,0.0
0.392,148000,0.017,0.41372,0.0
0.379,149000,0.016,0.39988,0.0
0.395,150000,0.014,0.41549,0.0
0.39,151000,0.023,0.40865,0.0
0.427,152000,0.016,0.4475,0.0
0.408,153000,0.012,0.42844,0.0
0.397,154000,0.017,0.41632,0.0
0.393,155000,0.014,0.4126,0.0
0.385,156000,0.013,0.40472,0.0
0.395,157000,0.016,0.41454,0.0
0.401,158000,0.018,0.42161,0.0
0.395,159000,0.025,0.41518,0.0
0.397,160000,0.017,0.41749,0.0
0.391,161000,0.011,0.41079,0.0
0.405,162000,0.018,0.4256,0.0
0.4,163000,0.026,0.42077,0.0
