avg_diff,avg_score,loss_train,step_idx,avg_winning
0.016,0.29373,0.0,1000,0.269
0.019,0.27394,0.0,2000,0.251
0.026,0.26135,0.0,3000,0.241
0.018,0.26921,0.0,4000,0.249
0.02,0.25527,0.0,5000,0.236
0.026,0.26898,0.0,6000,0.249
0.017,0.26461,0.0,7000,0.245
0.022,0.26487,0.0,8000,0.245
0.025,0.27305,0.0,9000,0.253
0.026,0.27564,0.0,10000,0.255
0.02,0.26353,0.0,11000,0.243
0.018,0.26474,0.0,12000,0.244
0.024,0.27515,0.0,13000,0.254
0.025,0.26829,0.0,14000,0.246
0.028,0.27384,0.0,15000,0.252
0.026,0.27895,0.0,16000,0.256
0.026,0.27116,0.0,17000,0.25
0.033,0.2663,0.0,18000,0.245
0.022,0.26264,0.0,19000,0.242
0.024,0.27056,0.0,20000,0.249
0.027,0.26197,0.0,21000,0.24
0.022,0.27999,0.0,22000,0.258
0.024,0.27417,0.0,23000,0.252
0.034,0.27546,0.0,24000,0.252
0.023,0.26869,0.0,25000,0.245
0.033,0.27095,0.0,26000,0.248
0.026,0.26779,0.0,27000,0.244
0.026,0.26688,0.0,28000,0.243
0.026,0.26351,0.0,29000,0.239
0.027,0.26021,0.0,30000,0.237
0.031,0.27131,0.0,31000,0.247
0.023,0.27159,0.0,32000,0.249
0.026,0.2631,0.0,33000,0.24
0.03,0.26094,0.0,34000,0.238
0.028,0.2669,0.0,35000,0.243
0.028,0.26717,0.0,36000,0.243
0.023,0.26704,0.0,37000,0.243
0.022,0.2637,0.0,38000,0.241
0.027,0.2561,0.0,39000,0.232
0.026,0.26823,0.0,40000,0.243
0.022,0.26327,0.0,41000,0.239
0.025,0.24084,0.0,42000,0.216
0.023,0.25923,0.0,43000,0.233
0.031,0.25097,0.0,44000,0.226
0.025,0.25948,0.0,45000,0.233
0.028,0.27015,0.0,46000,0.242
0.027,0.26905,0.0,47000,0.241
0.022,0.27504,0.0,48000,0.247
0.018,0.27808,0.0,49000,0.251
0.017,0.31164,0.0,50000,0.285
0.018,0.32503,0.0,51000,0.3
0.017,0.30591,0.0,52000,0.283
0.017,0.32414,0.0,53000,0.302
0.017,0.38121,0.0,54000,0.359
0.02,0.39379,0.0,55000,0.372
0.025,0.40243,0.0,56000,0.381
0.02,0.3964,0.0,57000,0.376
0.019,0.41357,0.0,58000,0.392
0.021,0.40392,0.0,59000,0.383
0.018,0.41121,0.0,60000,0.39
0.021,0.40633,0.0,61000,0.386
0.016,0.40801,0.0,62000,0.388
0.014,0.40228,0.0,63000,0.383
0.016,0.39862,0.0,64000,0.378
0.025,0.40694,0.0,65000,0.387
0.019,0.41546,0.0,66000,0.397
0.016,0.40278,0.0,67000,0.384
0.022,0.39706,0.0,68000,0.378
0.023,0.38747,0.0,69000,0.369
0.016,0.40103,0.0,70000,0.383
0.02,0.41121,0.0,71000,0.393
0.018,0.39664,0.0,72000,0.379
0.017,0.38823,0.0,73000,0.37
0.018,0.40264,0.0,74000,0.384
0.018,0.3886,0.0,75000,0.37
0.015,0.40109,0.0,76000,0.382
0.023,0.39245,0.0,77000,0.373
0.019,0.39931,0.0,78000,0.379
0.015,0.41688,0.0,79000,0.396
0.016,0.41,0.0,80000,0.391
0.016,0.42026,0.0,81000,0.401
0.022,0.41026,0.0,82000,0.392
0.02,0.42185,0.0,83000,0.403
0.016,0.42458,0.0,84000,0.406
0.022,0.41145,0.0,85000,0.394
0.018,0.42859,0.0,86000,0.41
0.02,0.41386,0.0,87000,0.394
0.023,0.42306,0.0,88000,0.404
0.014,0.40932,0.0,89000,0.391
0.017,0.42646,0.0,90000,0.407
0.017,0.42673,0.0,91000,0.408
0.018,0.4395,0.0,92000,0.42
0.02,0.41325,0.0,93000,0.394
0.016,0.42049,0.0,94000,0.403
0.015,0.4377,0.0,95000,0.42
0.016,0.4096,0.0,96000,0.392
0.012,0.42171,0.0,97000,0.404
0.017,0.41693,0.0,98000,0.4
0.022,0.41662,0.0,99000,0.398
0.016,0.4176,0.0,100000,0.399
0.018,0.40981,0.0,101000,0.392
0.015,0.4364,0.0,102000,0.418
0.009,0.43601,0.0,103000,0.418
0.013,0.4443,0.0,104000,0.427
0.012,0.43764,0.0,105000,0.42
0.017,0.4368,0.0,106000,0.418
0.011,0.44196,0.0,107000,0.423
0.02,0.44239,0.0,108000,0.424
0.013,0.42674,0.0,109000,0.409
0.017,0.44648,0.0,110000,0.429
0.008,0.45034,0.0,111000,0.432
0.013,0.44788,0.0,112000,0.43
0.012,0.44245,0.0,113000,0.424
0.016,0.43423,0.0,114000,0.416
0.014,0.44182,0.0,115000,0.424
0.018,0.44018,0.0,116000,0.422
0.012,0.4487,0.0,117000,0.431
0.02,0.4353,0.0,118000,0.418
0.014,0.44418,0.0,119000,0.426
0.013,0.45074,0.0,120000,0.433
0.021,0.44843,0.0,121000,0.431
0.022,0.44638,0.0,122000,0.428
0.022,0.4462,0.0,123000,0.428
0.019,0.43923,0.0,124000,0.421
0.015,0.46244,0.0,125000,0.444
0.019,0.45503,0.0,126000,0.436
0.019,0.45608,0.0,127000,0.436
0.022,0.45415,0.0,128000,0.435
