avg_diff,avg_score,avg_winning,loss_train,step_idx
0.015,0.25123,0.23,0.0,1000
0.023,0.23985,0.22,0.0,2000
0.024,0.24205,0.222,0.0,3000
0.021,0.24385,0.224,0.0,4000
0.022,0.24477,0.226,0.0,5000
0.024,0.27102,0.251,0.0,6000
0.023,0.26441,0.244,0.0,7000
0.023,0.25389,0.234,0.0,8000
0.024,0.26172,0.241,0.0,9000
0.018,0.27108,0.25,0.0,10000
0.019,0.2737,0.252,0.0,11000
0.024,0.27105,0.249,0.0,12000
0.02,0.26868,0.247,0.0,13000
0.021,0.26886,0.246,0.0,14000
0.019,0.27807,0.255,0.0,15000
0.021,0.29842,0.275,0.0,16000
0.025,0.27841,0.255,0.0,17000
0.023,0.2662,0.243,0.0,18000
0.025,0.2588,0.235,0.0,19000
0.021,0.26353,0.239,0.0,20000
0.026,0.27754,0.252,0.0,21000
0.027,0.29622,0.271,0.0,22000
0.021,0.27046,0.245,0.0,23000
0.024,0.27893,0.253,0.0,24000
0.022,0.29673,0.271,0.0,25000
0.018,0.30491,0.279,0.0,26000
0.011,0.32956,0.302,0.0,27000
0.02,0.34152,0.315,0.0,28000
0.016,0.33266,0.306,0.0,29000
0.017,0.34677,0.322,0.0,30000
0.018,0.36032,0.335,0.0,31000
0.016,0.34892,0.324,0.0,32000
0.025,0.35769,0.333,0.0,33000
0.016,0.36874,0.344,0.0,34000
0.018,0.37428,0.35,0.0,35000
0.017,0.35748,0.335,0.0,36000
0.014,0.37218,0.35,0.0,37000
0.021,0.3678,0.345,0.0,38000
0.014,0.39038,0.367,0.0,39000
0.018,0.38738,0.364,0.0,40000
0.023,0.38839,0.366,0.0,41000
0.022,0.38746,0.365,0.0,42000
0.015,0.39342,0.37,0.0,43000
0.015,0.38105,0.359,0.0,44000
0.019,0.38703,0.365,0.0,45000
0.022,0.38685,0.365,0.0,46000
0.02,0.38772,0.367,0.0,47000
0.016,0.38212,0.361,0.0,48000
0.013,0.38161,0.361,0.0,49000
0.015,0.38739,0.367,0.0,50000
0.01,0.38377,0.363,0.0,51000
0.016,0.39579,0.375,0.0,52000
0.018,0.39669,0.377,0.0,53000
0.018,0.38665,0.367,0.0,54000
0.015,0.40952,0.39,0.0,55000
0.012,0.38429,0.365,0.0,56000
0.018,0.40184,0.382,0.0,57000
0.011,0.39586,0.376,0.0,58000
0.017,0.3955,0.375,0.0,59000
0.015,0.41242,0.391,0.0,60000
0.014,0.39419,0.373,0.0,61000
0.009,0.40885,0.388,0.0,62000
0.013,0.4009,0.379,0.0,63000
0.02,0.39834,0.376,0.0,64000
0.018,0.41319,0.392,0.0,65000
0.01,0.40485,0.384,0.0,66000
0.015,0.39648,0.376,0.0,67000
0.019,0.39754,0.377,0.0,68000
0.015,0.41091,0.39,0.0,69000
0.015,0.39842,0.377,0.0,70000
0.013,0.39092,0.37,0.0,71000
0.017,0.37718,0.358,0.0,72000
0.019,0.39003,0.37,0.0,73000
0.02,0.39445,0.373,0.0,74000
0.016,0.39052,0.37,0.0,75000
0.01,0.40491,0.383,0.0,76000
0.017,0.40605,0.384,0.0,77000
0.016,0.37716,0.356,0.0,78000
0.018,0.39182,0.371,0.0,79000
0.017,0.39049,0.371,0.0,80000
0.018,0.37454,0.356,0.0,81000
0.014,0.38275,0.364,0.0,82000
0.021,0.38943,0.371,0.0,83000
0.022,0.37637,0.357,0.0,84000
0.021,0.38845,0.368,0.0,85000
0.017,0.39109,0.371,0.0,86000
0.015,0.39145,0.371,0.0,87000
0.015,0.39531,0.375,0.0,88000
0.016,0.39006,0.37,0.0,89000
0.019,0.38681,0.367,0.0,90000
0.022,0.3866,0.366,0.0,91000
0.021,0.3769,0.358,0.0,92000
0.02,0.39077,0.371,0.0,93000
0.013,0.39735,0.38,0.0,94000
0.017,0.39263,0.376,0.0,95000
0.011,0.38655,0.371,0.0,96000
0.021,0.38833,0.372,0.0,97000
0.013,0.37999,0.364,0.0,98000
0.021,0.38073,0.364,0.0,99000
0.017,0.37789,0.36,0.0,100000
0.017,0.38493,0.368,0.0,101000
0.021,0.38696,0.368,0.0,102000
0.014,0.40131,0.383,0.0,103000
0.008,0.39482,0.376,0.0,104000
0.015,0.39487,0.377,0.0,105000
0.02,0.41156,0.392,0.0,106000
0.018,0.39991,0.381,0.0,107000
0.018,0.39385,0.376,0.0,108000
0.012,0.40713,0.39,0.0,109000
0.02,0.40805,0.39,0.0,110000
0.014,0.4071,0.389,0.0,111000
0.012,0.41635,0.398,0.0,112000
0.014,0.42252,0.403,0.0,113000
0.013,0.41868,0.399,0.0,114000
0.013,0.4242,0.404,0.0,115000
0.014,0.42168,0.401,0.0,116000
0.018,0.42577,0.405,0.0,117000
0.014,0.42577,0.406,0.0,118000
0.016,0.41595,0.396,0.0,119000
0.018,0.41361,0.395,0.0,120000
0.018,0.41494,0.397,0.0,121000
0.015,0.41125,0.393,0.0,122000
0.022,0.41371,0.397,0.0,123000
0.019,0.41689,0.399,0.0,124000
0.019,0.41711,0.399,0.0,125000
0.013,0.42219,0.404,0.0,126000
0.017,0.4301,0.412,0.0,127000
0.009,0.42368,0.407,0.0,128000
0.02,0.4162,0.399,0.0,129000
0.015,0.41889,0.401,0.0,130000
0.014,0.43188,0.415,0.0,131000
0.02,0.42072,0.404,0.0,132000
0.018,0.43229,0.415,0.0,133000
0.014,0.42075,0.404,0.0,134000
0.016,0.42079,0.405,0.0,135000
0.021,0.42465,0.407,0.0,136000
0.017,0.42811,0.41,0.0,137000
0.019,0.43704,0.418,0.0,138000
0.014,0.43904,0.42,0.0,139000
0.022,0.43944,0.419,0.0,140000
0.01,0.43223,0.412,0.0,141000
0.022,0.43997,0.421,0.0,142000
0.018,0.43722,0.418,0.0,143000
0.017,0.45237,0.432,0.0,144000
0.013,0.42786,0.408,0.0,145000
0.021,0.42859,0.408,0.0,146000
0.021,0.43569,0.416,0.0,147000
0.015,0.43269,0.413,0.0,148000
0.015,0.44341,0.423,0.0,149000
0.009,0.44011,0.419,0.0,150000
0.015,0.4484,0.428,0.0,151000
0.021,0.42567,0.407,0.0,152000
0.018,0.41658,0.397,0.0,153000
