avg_score,loss_train,avg_winning,step_idx,avg_diff
0.28504,0.0,0.257,1000,0.013
0.27495,0.0,0.249,2000,0.009
0.27782,0.0,0.253,3000,0.022
0.28801,0.0,0.263,4000,0.02
0.2739,0.0,0.249,5000,0.01
0.27084,0.0,0.249,6000,0.025
0.27983,0.0,0.256,7000,0.02
0.28852,0.0,0.265,8000,0.022
0.28608,0.0,0.261,9000,0.023
0.28861,0.0,0.263,10000,0.023
0.28929,0.0,0.265,11000,0.024
0.27018,0.0,0.247,12000,0.02
0.27995,0.0,0.257,13000,0.02
0.27986,0.0,0.255,14000,0.026
0.29099,0.0,0.266,15000,0.016
0.27913,0.0,0.256,16000,0.021
0.27513,0.0,0.252,17000,0.021
0.27218,0.0,0.248,18000,0.022
0.26522,0.0,0.241,19000,0.019
0.26085,0.0,0.238,20000,0.019
0.27134,0.0,0.249,21000,0.027
0.25938,0.0,0.238,22000,0.016
0.27396,0.0,0.252,23000,0.012
0.24897,0.0,0.228,24000,0.021
0.26144,0.0,0.24,25000,0.014
0.25442,0.0,0.233,26000,0.021
0.25745,0.0,0.236,27000,0.015
0.27741,0.0,0.255,28000,0.018
0.25885,0.0,0.236,29000,0.019
0.25931,0.0,0.237,30000,0.016
0.26436,0.0,0.241,31000,0.027
0.27481,0.0,0.251,32000,0.019
0.26945,0.0,0.246,33000,0.022
0.25369,0.0,0.23,34000,0.026
0.28985,0.0,0.264,35000,0.016
0.26731,0.0,0.242,36000,0.013
0.25147,0.0,0.226,37000,0.02
0.27982,0.0,0.251,38000,0.027
0.25974,0.0,0.232,39000,0.018
0.26613,0.0,0.238,40000,0.016
0.2613,0.0,0.235,41000,0.018
0.27496,0.0,0.25,42000,0.026
0.26705,0.0,0.242,43000,0.023
0.27006,0.0,0.246,44000,0.023
0.26267,0.0,0.239,45000,0.022
0.27012,0.0,0.246,46000,0.021
0.26378,0.0,0.238,47000,0.017
0.27881,0.0,0.253,48000,0.019
0.26183,0.0,0.237,49000,0.014
0.26527,0.0,0.241,50000,0.015
0.25473,0.0,0.231,51000,0.016
0.26228,0.0,0.237,52000,0.019
0.26735,0.0,0.243,53000,0.017
0.26234,0.0,0.236,54000,0.011
0.27163,0.0,0.246,55000,0.015
0.2565,0.0,0.23,56000,0.019
0.25522,0.0,0.229,57000,0.024
0.27836,0.0,0.252,58000,0.017
0.28015,0.0,0.255,59000,0.02
0.31678,0.0,0.29,60000,0.015
0.32212,0.0,0.297,61000,0.015
0.35977,0.0,0.334,62000,0.017
0.36566,0.0,0.339,63000,0.018
0.38663,0.0,0.361,64000,0.026
0.39819,0.0,0.372,65000,0.018
0.39672,0.0,0.372,66000,0.016
0.39459,0.0,0.37,67000,0.017
0.40161,0.0,0.377,68000,0.016
0.38779,0.0,0.364,69000,0.02
0.40081,0.0,0.377,70000,0.019
0.39395,0.0,0.37,71000,0.021
0.38244,0.0,0.361,72000,0.019
0.37331,0.0,0.353,73000,0.014
0.39265,0.0,0.371,74000,0.019
0.38748,0.0,0.366,75000,0.016
0.38506,0.0,0.365,76000,0.018
0.38409,0.0,0.363,77000,0.014
0.40892,0.0,0.385,78000,0.016
0.39439,0.0,0.373,79000,0.019
0.40345,0.0,0.381,80000,0.017
0.41497,0.0,0.393,81000,0.02
0.41346,0.0,0.391,82000,0.017
0.3993,0.0,0.378,83000,0.011
0.40621,0.0,0.384,84000,0.012
0.40426,0.0,0.382,85000,0.016
0.40097,0.0,0.379,86000,0.014
0.40938,0.0,0.388,87000,0.017
0.41385,0.0,0.393,88000,0.016
0.39091,0.0,0.373,89000,0.022
0.39674,0.0,0.378,90000,0.021
0.40729,0.0,0.387,91000,0.018
0.40795,0.0,0.388,92000,0.016
0.39862,0.0,0.379,93000,0.024
0.38444,0.0,0.365,94000,0.02
0.4213,0.0,0.4,95000,0.022
0.39607,0.0,0.377,96000,0.015
0.40957,0.0,0.389,97000,0.02
0.39902,0.0,0.378,98000,0.015
0.38949,0.0,0.368,99000,0.014
0.40963,0.0,0.388,100000,0.012
0.40697,0.0,0.386,101000,0.019
0.39867,0.0,0.378,102000,0.019
0.40726,0.0,0.386,103000,0.017
0.40964,0.0,0.388,104000,0.02
0.40844,0.0,0.387,105000,0.019
0.40135,0.0,0.38,106000,0.014
0.38435,0.0,0.363,107000,0.016
0.40593,0.0,0.385,108000,0.015
0.41035,0.0,0.388,109000,0.018
0.40239,0.0,0.38,110000,0.016
0.41692,0.0,0.394,111000,0.011
0.41232,0.0,0.388,112000,0.01
0.39953,0.0,0.377,113000,0.012
0.40179,0.0,0.379,114000,0.019
0.38884,0.0,0.366,115000,0.017
0.40338,0.0,0.38,116000,0.015
0.41044,0.0,0.388,117000,0.022
0.39511,0.0,0.373,118000,0.021
0.40457,0.0,0.383,119000,0.019
0.40906,0.0,0.388,120000,0.016
0.41618,0.0,0.394,121000,0.014
0.40536,0.0,0.384,122000,0.014
0.41014,0.0,0.386,123000,0.019
0.42392,0.0,0.398,124000,0.02
0.40693,0.0,0.383,125000,0.013
0.40162,0.0,0.378,126000,0.015
0.39753,0.0,0.374,127000,0.016
0.39828,0.0,0.375,128000,0.017
0.39071,0.0,0.368,129000,0.016
0.39698,0.0,0.374,130000,0.019
0.38112,0.0,0.36,131000,0.012
0.39855,0.0,0.376,132000,0.019
0.40233,0.0,0.381,133000,0.015
0.39219,0.0,0.369,134000,0.017
0.38597,0.0,0.365,135000,0.02
0.38936,0.0,0.369,136000,0.016
0.38438,0.0,0.366,137000,0.02
0.39425,0.0,0.376,138000,0.022
0.38416,0.0,0.365,139000,0.018
0.39589,0.0,0.376,140000,0.019
0.37804,0.0,0.358,141000,0.023
0.40312,0.0,0.381,142000,0.017
0.41406,0.0,0.392,143000,0.012
0.41525,0.0,0.393,144000,0.018
0.40367,0.0,0.382,145000,0.019
0.40363,0.0,0.381,146000,0.02
0.40722,0.0,0.385,147000,0.011
0.39261,0.0,0.37,148000,0.018
0.4239,0.0,0.401,149000,0.011
0.41938,0.0,0.397,150000,0.012
0.4036,0.0,0.38,151000,0.015
0.3984,0.0,0.376,152000,0.021
0.40143,0.0,0.379,153000,0.014
0.40254,0.0,0.381,154000,0.012
0.39758,0.0,0.376,155000,0.015
0.39441,0.0,0.372,156000,0.016
0.41002,0.0,0.387,157000,0.016
0.40138,0.0,0.379,158000,0.016
0.40672,0.0,0.384,159000,0.019
0.39506,0.0,0.373,160000,0.018
0.39731,0.0,0.375,161000,0.017
0.38389,0.0,0.363,162000,0.021
0.37422,0.0,0.354,163000,0.021
0.40868,0.0,0.386,164000,0.019
0.40265,0.0,0.379,165000,0.017
0.40716,0.0,0.384,166000,0.018
0.39171,0.0,0.369,167000,0.021
0.40213,0.0,0.38,168000,0.018
0.3748,0.0,0.353,169000,0.018
0.39548,0.0,0.373,170000,0.015
0.38204,0.0,0.36,171000,0.016
0.398,0.0,0.374,172000,0.019
0.38675,0.0,0.364,173000,0.016
0.39544,0.0,0.372,174000,0.01
0.37471,0.0,0.353,175000,0.018
0.379,0.0,0.357,176000,0.016
0.3738,0.0,0.352,177000,0.019
0.39818,0.0,0.377,178000,0.02
0.38202,0.0,0.361,179000,0.013
0.38402,0.0,0.364,180000,0.02
0.39015,0.0,0.37,181000,0.02
0.38474,0.0,0.365,182000,0.018
0.39519,0.0,0.374,183000,0.017
0.38872,0.0,0.368,184000,0.016
0.38926,0.0,0.369,185000,0.012
0.37671,0.0,0.355,186000,0.014
0.36182,0.0,0.34,187000,0.015
0.37935,0.0,0.358,188000,0.015
0.38908,0.0,0.367,189000,0.014
0.383,0.0,0.361,190000,0.015
0.40202,0.0,0.381,191000,0.014
0.38126,0.0,0.361,192000,0.015
0.38977,0.0,0.369,193000,0.011
0.41409,0.0,0.394,194000,0.022
0.4002,0.0,0.381,195000,0.014
0.38741,0.0,0.368,196000,0.015
0.40937,0.0,0.391,197000,0.011
0.4118,0.0,0.393,198000,0.015
0.42664,0.0,0.407,199000,0.014
0.41686,0.0,0.398,200000,0.021
0.41616,0.0,0.397,201000,0.015
0.41052,0.0,0.391,202000,0.016
0.39073,0.0,0.372,203000,0.013
0.40579,0.0,0.385,204000,0.018
0.42975,0.0,0.409,205000,0.018
0.41776,0.0,0.398,206000,0.015
0.40785,0.0,0.387,207000,0.018
0.44326,0.0,0.421,208000,0.013
0.44233,0.0,0.419,209000,0.011
0.41902,0.0,0.396,210000,0.017
0.42573,0.0,0.404,211000,0.014
0.43025,0.0,0.408,212000,0.014
0.42524,0.0,0.403,213000,0.012
0.42795,0.0,0.404,214000,0.012
0.41526,0.0,0.393,215000,0.02
0.42251,0.0,0.4,216000,0.018
0.42226,0.0,0.401,217000,0.017
0.43851,0.0,0.416,218000,0.017
0.41517,0.0,0.391,219000,0.009
0.42829,0.0,0.404,220000,0.02
0.42191,0.0,0.399,221000,0.022
0.40963,0.0,0.387,222000,0.017
0.41451,0.0,0.391,223000,0.012
0.40867,0.0,0.385,224000,0.017
0.43116,0.0,0.409,225000,0.02
0.43105,0.0,0.409,226000,0.013
0.42931,0.0,0.408,227000,0.014
0.41556,0.0,0.396,228000,0.014
0.4214,0.0,0.401,229000,0.018
0.4129,0.0,0.391,230000,0.014
0.42186,0.0,0.399,231000,0.017
0.41929,0.0,0.396,232000,0.015
0.42028,0.0,0.398,233000,0.022
0.41197,0.0,0.39,234000,0.023
0.41747,0.0,0.397,235000,0.018
0.41285,0.0,0.392,236000,0.018
0.41927,0.0,0.398,237000,0.023
0.43187,0.0,0.41,238000,0.01
0.39376,0.0,0.372,239000,0.023
0.42801,0.0,0.405,240000,0.026
0.41087,0.0,0.388,241000,0.023
0.42099,0.0,0.399,242000,0.015
0.41634,0.0,0.392,243000,0.02
0.40987,0.0,0.387,244000,0.016
0.42936,0.0,0.407,245000,0.023
0.39659,0.0,0.374,246000,0.023
0.41041,0.0,0.388,247000,0.02
0.42055,0.0,0.397,248000,0.013
0.4107,0.0,0.388,249000,0.022
0.42069,0.0,0.398,250000,0.017
0.41155,0.0,0.389,251000,0.014
0.41745,0.0,0.397,252000,0.015
0.41257,0.0,0.391,253000,0.02
0.40157,0.0,0.379,254000,0.015
0.41458,0.0,0.392,255000,0.019
0.41493,0.0,0.392,256000,0.02
0.40477,0.0,0.382,257000,0.021
0.42064,0.0,0.397,258000,0.017
0.41669,0.0,0.393,259000,0.026
0.4471,0.0,0.424,260000,0.015
0.41185,0.0,0.39,261000,0.017
0.40561,0.0,0.385,262000,0.018
0.42232,0.0,0.402,263000,0.014
0.43018,0.0,0.408,264000,0.02
0.41943,0.0,0.398,265000,0.014
0.42784,0.0,0.405,266000,0.016
0.42966,0.0,0.407,267000,0.018
0.4246,0.0,0.404,268000,0.014
0.40973,0.0,0.388,269000,0.018
0.43134,0.0,0.409,270000,0.018
0.45676,0.0,0.433,271000,0.02
0.42019,0.0,0.398,272000,0.023
0.44142,0.0,0.417,273000,0.021
0.44002,0.0,0.417,274000,0.017
0.41781,0.0,0.396,275000,0.017
0.41166,0.0,0.39,276000,0.018
0.43485,0.0,0.412,277000,0.02
0.44182,0.0,0.419,278000,0.018
0.43321,0.0,0.411,279000,0.018
0.42982,0.0,0.407,280000,0.019
0.43688,0.0,0.413,281000,0.022
0.43668,0.0,0.412,282000,0.023
0.43429,0.0,0.411,283000,0.016
0.43131,0.0,0.406,284000,0.023
0.43482,0.0,0.41,285000,0.016
0.437,0.0,0.414,286000,0.013
0.44048,0.0,0.418,287000,0.021
0.42995,0.0,0.409,288000,0.018
0.44041,0.0,0.419,289000,0.01
0.4306,0.0,0.41,290000,0.017
0.45325,0.0,0.431,291000,0.02
