avg_score,avg_diff,step_idx,loss_train,avg_winning
0.22382,0.027,1000,0.0,0.203
0.21594,0.02,2000,0.0,0.197
0.23225,0.031,3000,0.0,0.214
0.23028,0.028,4000,0.0,0.212
0.24507,0.032,5000,0.0,0.225
0.22653,0.021,6000,0.0,0.206
0.22408,0.023,7000,0.0,0.204
0.23159,0.025,8000,0.0,0.208
0.24851,0.011,9000,0.0,0.226
0.232,0.016,10000,0.0,0.209
0.24702,0.025,11000,0.0,0.225
0.24181,0.018,12000,0.0,0.221
0.28282,0.011,13000,0.0,0.259
0.28625,0.018,14000,0.0,0.264
0.28375,0.021,15000,0.0,0.26
0.3084,0.019,16000,0.0,0.284
0.30067,0.016,17000,0.0,0.276
0.29313,0.019,18000,0.0,0.271
0.34649,0.019,19000,0.0,0.323
0.35856,0.017,20000,0.0,0.335
0.36441,0.012,21000,0.0,0.341
0.40112,0.018,22000,0.0,0.377
0.39788,0.019,23000,0.0,0.375
0.3964,0.016,24000,0.0,0.374
0.38988,0.018,25000,0.0,0.368
0.4014,0.019,26000,0.0,0.377
0.40672,0.017,27000,0.0,0.383
0.40748,0.008,28000,0.0,0.387
0.4296,0.022,29000,0.0,0.405
0.43751,0.021,30000,0.0,0.415
0.43089,0.015,31000,0.0,0.407
0.45574,0.017,32000,0.0,0.432
0.44763,0.018,33000,0.0,0.424
0.45497,0.018,34000,0.0,0.431
0.46914,0.006,35000,0.0,0.446
0.45183,0.01,36000,0.0,0.429
0.46448,0.02,37000,0.0,0.441
0.47914,0.018,38000,0.0,0.455
0.46277,0.016,39000,0.0,0.439
0.43535,0.019,40000,0.0,0.414
0.44696,0.019,41000,0.0,0.424
0.46276,0.013,42000,0.0,0.44
0.46749,0.015,43000,0.0,0.443
0.46591,0.02,44000,0.0,0.443
0.47983,0.016,45000,0.0,0.457
0.47538,0.02,46000,0.0,0.454
0.45714,0.014,47000,0.0,0.435
0.49461,0.018,48000,0.0,0.473
0.47553,0.008,49000,0.0,0.455
0.46256,0.015,50000,0.0,0.444
0.48451,0.011,51000,0.0,0.465
0.49335,0.021,52000,0.0,0.474
0.50114,0.016,53000,0.0,0.481
0.49243,0.012,54000,0.0,0.471
0.48143,0.011,55000,0.0,0.461
0.48612,0.014,56000,0.0,0.465
0.4742,0.016,57000,0.0,0.453
0.46758,0.017,58000,0.0,0.446
0.47755,0.014,59000,0.0,0.454
0.4871,0.007,60000,0.0,0.464
0.45499,0.015,61000,0.0,0.432
0.46945,0.009,62000,0.0,0.445
0.46583,0.017,63000,0.0,0.443
0.46131,0.019,64000,0.0,0.439
0.47067,0.021,65000,0.0,0.448
0.46525,0.02,66000,0.0,0.443
0.4605,0.017,67000,0.0,0.44
0.47239,0.016,68000,0.0,0.451
0.46728,0.012,69000,0.0,0.446
0.4661,0.015,70000,0.0,0.446
0.46433,0.015,71000,0.0,0.444
0.47483,0.014,72000,0.0,0.455
0.4705,0.01,73000,0.0,0.45
0.48442,0.017,74000,0.0,0.463
0.47483,0.017,75000,0.0,0.455
0.46638,0.026,76000,0.0,0.448
0.49251,0.022,77000,0.0,0.473
0.46819,0.017,78000,0.0,0.448
0.47076,0.02,79000,0.0,0.449
0.46358,0.016,80000,0.0,0.441
0.47302,0.013,81000,0.0,0.451
0.4956,0.018,82000,0.0,0.471
0.48081,0.01,83000,0.0,0.456
0.5005,0.011,84000,0.0,0.475
0.47594,0.015,85000,0.0,0.452
0.48161,0.008,86000,0.0,0.458
0.49206,0.011,87000,0.0,0.468
0.46864,0.006,88000,0.0,0.446
0.50026,0.023,89000,0.0,0.476
0.46649,0.015,90000,0.0,0.444
0.47781,0.014,91000,0.0,0.455
0.49062,0.01,92000,0.0,0.468
0.48984,0.019,93000,0.0,0.468
0.49772,0.017,94000,0.0,0.475
0.48351,0.015,95000,0.0,0.461
0.46868,0.017,96000,0.0,0.448
0.4805,0.013,97000,0.0,0.46
0.49523,0.013,98000,0.0,0.474
0.48631,0.018,99000,0.0,0.465
0.49156,0.014,100000,0.0,0.47
0.48499,0.019,101000,0.0,0.463
0.48142,0.017,102000,0.0,0.458
0.50558,0.016,103000,0.0,0.482
0.48754,0.016,104000,0.0,0.465
0.4966,0.011,105000,0.0,0.472
0.48581,0.015,106000,0.0,0.462
0.4646,0.012,107000,0.0,0.441
0.47832,0.021,108000,0.0,0.454
0.48007,0.017,109000,0.0,0.455
0.49269,0.018,110000,0.0,0.466
0.49314,0.018,111000,0.0,0.467
0.48924,0.013,112000,0.0,0.465
0.50382,0.009,113000,0.0,0.479
0.48413,0.013,114000,0.0,0.459
0.49026,0.015,115000,0.0,0.464
0.48625,0.013,116000,0.0,0.462
0.49099,0.015,117000,0.0,0.466
0.47881,0.014,118000,0.0,0.457
0.49764,0.016,119000,0.0,0.475
0.50047,0.012,120000,0.0,0.477
0.49681,0.01,121000,0.0,0.475
0.49121,0.016,122000,0.0,0.467
0.50111,0.013,123000,0.0,0.477
0.49913,0.018,124000,0.0,0.473
0.48844,0.012,125000,0.0,0.462
0.51228,0.016,126000,0.0,0.485
0.50102,0.011,127000,0.0,0.474
0.49479,0.015,128000,0.0,0.468
0.51871,0.015,129000,0.0,0.49
0.49518,0.013,130000,0.0,0.469
0.50509,0.015,131000,0.0,0.478
0.51197,0.017,132000,0.0,0.486
0.50014,0.02,133000,0.0,0.474
0.50969,0.017,134000,0.0,0.483
0.51337,0.023,135000,0.0,0.486
0.50134,0.015,136000,0.0,0.473
0.48679,0.015,137000,0.0,0.459
0.49894,0.016,138000,0.0,0.473
0.50107,0.014,139000,0.0,0.475
0.50373,0.018,140000,0.0,0.477
0.48878,0.012,141000,0.0,0.463
0.48406,0.015,142000,0.0,0.458
0.50359,0.018,143000,0.0,0.479
0.49122,0.018,144000,0.0,0.466
0.49637,0.018,145000,0.0,0.47
0.49763,0.01,146000,0.0,0.472
0.52623,0.011,147000,0.0,0.5
0.49252,0.015,148000,0.0,0.468
0.49824,0.017,149000,0.0,0.473
0.49725,0.011,150000,0.0,0.471
0.49809,0.019,151000,0.0,0.474
0.49847,0.013,152000,0.0,0.475
0.51596,0.014,153000,0.0,0.492
0.49735,0.016,154000,0.0,0.473
0.51596,0.013,155000,0.0,0.49
0.52534,0.016,156000,0.0,0.501
0.49925,0.019,157000,0.0,0.474
0.50514,0.013,158000,0.0,0.48
0.52705,0.02,159000,0.0,0.502
0.51595,0.015,160000,0.0,0.491
0.4981,0.009,161000,0.0,0.474
0.52227,0.016,162000,0.0,0.498
0.51262,0.015,163000,0.0,0.489
0.50708,0.011,164000,0.0,0.482
0.51257,0.014,165000,0.0,0.488
