loss_train,avg_diff,avg_score,step_idx,avg_winning
0.0,0.025,0.25883,1000,0.239
0.0,0.017,0.23794,2000,0.22
0.0,0.027,0.23306,3000,0.215
0.0,0.02,0.23793,4000,0.22
0.0,0.02,0.26015,5000,0.241
0.0,0.016,0.25837,6000,0.238
0.0,0.023,0.26533,7000,0.244
0.0,0.024,0.26701,8000,0.245
0.0,0.02,0.25838,9000,0.238
0.0,0.023,0.25779,10000,0.237
0.0,0.024,0.26965,11000,0.248
0.0,0.022,0.2777,12000,0.255
0.0,0.019,0.27064,13000,0.248
0.0,0.024,0.2692,14000,0.246
0.0,0.023,0.27554,15000,0.252
0.0,0.022,0.2731,16000,0.249
0.0,0.023,0.26555,17000,0.243
0.0,0.023,0.27845,18000,0.255
0.0,0.017,0.27635,19000,0.253
0.0,0.019,0.28394,20000,0.259
0.0,0.031,0.28213,21000,0.257
0.0,0.02,0.27643,22000,0.252
0.0,0.028,0.27065,23000,0.245
0.0,0.027,0.28524,24000,0.259
0.0,0.027,0.27281,25000,0.247
0.0,0.017,0.27969,26000,0.253
0.0,0.019,nan,27000,0.252
0.0,0.025,0.26631,28000,0.242
0.0,0.018,0.25998,29000,0.237
0.0,0.018,0.24939,30000,0.227
0.0,0.018,0.26434,31000,0.24
0.0,0.015,0.27549,32000,0.251
0.0,0.02,0.26688,33000,0.241
0.0,0.01,0.26963,34000,0.244
0.0,0.015,0.26659,35000,0.24
0.0,0.014,0.27543,36000,0.249
0.0,0.015,0.26624,37000,0.24
0.0,0.023,0.24647,38000,0.22
0.0,0.02,0.2459,39000,0.219
0.0,0.021,0.23996,40000,0.214
0.0,0.021,0.24832,41000,0.222
0.0,0.024,0.25813,42000,0.232
0.0,0.018,0.26646,43000,0.241
0.0,0.017,0.26163,44000,0.236
0.0,0.019,0.25884,45000,0.232
0.0,0.017,0.25083,46000,0.224
0.0,0.024,0.24321,47000,0.217
0.0,0.013,0.25016,48000,0.224
0.0,0.017,0.25732,49000,0.232
0.0,0.021,0.2392,50000,0.214
0.0,0.032,0.24548,51000,0.22
0.0,0.022,0.23976,52000,0.214
0.0,0.019,0.24953,53000,0.224
0.0,0.025,0.25165,54000,0.226
0.0,0.012,0.24381,55000,0.219
0.0,0.017,0.23396,56000,0.21
0.0,0.028,0.24351,57000,0.219
0.0,0.025,0.24581,58000,0.22
0.0,0.023,0.2392,59000,0.214
0.0,0.029,0.24815,60000,0.223
0.0,0.017,0.23041,61000,0.205
0.0,0.03,0.23844,62000,0.213
0.0,0.027,0.24737,63000,0.222
0.0,0.024,0.24063,64000,0.215
0.0,0.02,0.24612,65000,0.221
0.0,0.021,0.25254,66000,0.227
0.0,0.018,0.25132,67000,0.227
0.0,0.03,0.25685,68000,0.232
0.0,0.022,0.2451,69000,0.221
0.0,0.027,0.24845,70000,0.224
0.0,0.013,0.26779,71000,0.243
0.0,0.02,0.2676,72000,0.243
0.0,0.026,0.25235,73000,0.227
0.0,0.027,0.25858,74000,0.233
0.0,0.024,0.25829,75000,0.232
0.0,0.024,0.26315,76000,0.238
0.0,0.021,0.25188,77000,0.226
0.0,0.027,0.28067,78000,0.254
0.0,0.024,0.30066,79000,0.275
0.0,0.025,0.3097,80000,0.285
0.0,0.026,0.33667,81000,0.312
0.0,0.029,0.3298,82000,0.306
0.0,0.023,0.32191,83000,0.299
0.0,0.026,0.32159,84000,0.299
0.0,0.017,0.34892,85000,0.326
0.0,0.022,0.34571,86000,0.323
0.0,0.025,0.33803,87000,0.315
0.0,0.022,0.36234,88000,0.34
