step_idx,avg_winning,loss_train,avg_diff,avg_score
1000,0.222,0.0,0.02,0.24239
2000,0.225,0.0,0.017,0.24427
3000,0.223,0.0,0.03,0.2415
4000,0.231,0.0,0.019,0.25014
5000,0.239,0.0,0.016,0.25875
6000,0.237,0.0,0.021,0.25679
7000,0.231,0.0,0.023,0.25102
8000,0.244,0.0,0.022,0.26458
9000,0.245,0.0,0.017,0.26612
10000,0.252,0.0,0.015,0.27397
11000,0.247,0.0,0.02,0.26816
12000,0.246,0.0,0.021,0.26711
13000,0.254,0.0,0.013,0.27608
14000,0.243,0.0,0.023,0.266
15000,0.24,0.0,0.017,0.26378
16000,0.246,0.0,0.026,0.26975
17000,0.24,0.0,0.016,0.26396
18000,0.254,0.0,0.022,0.27913
19000,0.235,0.0,0.022,0.26066
20000,0.236,0.0,0.021,0.26359
21000,0.244,0.0,0.025,0.27141
22000,0.236,0.0,0.021,0.26205
23000,0.24,0.0,0.023,0.26593
24000,0.242,0.0,0.02,0.26726
25000,0.25,0.0,0.018,0.27442
26000,0.232,0.0,0.026,0.258
27000,0.225,0.0,0.019,0.24983
28000,0.242,0.0,0.024,0.26631
29000,0.24,0.0,0.022,0.26371
30000,0.251,0.0,0.023,0.27486
31000,0.235,0.0,0.022,0.25967
32000,0.25,0.0,0.024,0.27452
33000,0.244,0.0,0.023,0.26938
34000,0.238,0.0,0.022,0.26311
35000,0.25,0.0,0.023,0.27614
36000,0.249,0.0,0.021,0.27496
37000,0.239,0.0,0.019,0.26472
38000,0.23,0.0,0.024,0.25565
39000,0.248,0.0,0.016,0.27346
40000,0.228,0.0,0.025,0.25333
41000,0.237,0.0,0.024,0.26191
42000,0.23,0.0,0.022,0.25329
43000,0.232,0.0,0.017,0.25459
44000,0.243,0.0,0.023,0.26629
45000,0.241,0.0,0.021,0.26416
46000,0.233,0.0,0.026,0.25597
47000,0.23,0.0,0.019,0.25413
48000,0.232,0.0,0.019,0.25734
49000,0.242,0.0,0.026,0.26609
50000,0.224,0.0,0.019,0.24803
51000,0.228,0.0,0.023,0.25239
52000,0.256,0.0,0.017,0.28044
53000,0.246,0.0,0.013,0.26995
54000,0.233,0.0,0.022,0.25648
55000,0.245,0.0,0.019,0.26946
56000,0.247,0.0,0.023,0.27203
57000,0.236,0.0,0.019,0.26213
58000,0.248,0.0,0.029,0.27344
59000,0.264,0.0,0.027,0.29062
60000,0.256,0.0,0.022,0.28125
61000,0.247,0.0,0.019,0.27222
62000,0.245,0.0,0.019,0.26891
63000,0.266,0.0,0.026,0.28939
64000,0.269,0.0,0.025,0.29401
65000,0.284,0.0,0.017,0.30954
66000,0.304,0.0,0.022,0.32954
67000,0.324,0.0,0.021,0.34843
68000,0.296,0.0,0.02,0.3201
69000,0.332,0.0,0.016,0.35559
70000,0.311,0.0,0.013,0.33426
71000,0.371,0.0,0.013,0.39648
72000,0.343,0.0,0.02,0.36727
73000,0.34,0.0,0.019,0.36369
74000,0.37,0.0,0.017,0.39472
75000,0.35,0.0,0.01,0.37334
76000,0.363,0.0,0.019,0.38681
77000,0.36,0.0,0.012,0.38244
78000,0.366,0.0,0.019,0.38949
79000,0.345,0.0,0.022,0.3685
80000,0.355,0.0,0.015,0.37704
81000,0.353,0.0,0.015,0.37428
82000,0.36,0.0,0.017,0.38217
83000,0.367,0.0,0.018,0.38998
84000,0.355,0.0,0.024,0.37784
85000,0.368,0.0,0.01,0.39075
86000,0.361,0.0,0.012,0.38369
87000,0.357,0.0,0.015,0.37979
88000,0.359,0.0,0.011,0.38114
89000,0.361,0.0,0.014,0.38298
90000,0.347,0.0,0.018,0.37034
91000,0.346,0.0,0.018,0.36987
92000,0.337,0.0,0.017,0.36015
93000,0.348,0.0,0.017,0.37203
94000,0.349,0.0,0.014,0.37105
95000,0.352,0.0,0.017,0.37342
96000,0.35,0.0,0.022,0.37175
97000,0.353,0.0,0.012,0.37543
98000,0.35,0.0,0.013,0.37187
99000,0.347,0.0,0.016,0.36996
100000,0.344,0.0,0.02,0.36701
101000,0.341,0.0,0.014,0.36312
102000,0.329,0.0,0.015,0.3512
103000,0.337,0.0,0.016,0.35826
104000,0.327,0.0,0.02,0.34981
105000,0.352,0.0,0.023,0.37524
106000,0.34,0.0,0.02,0.36259
107000,0.324,0.0,0.02,0.34731
108000,0.342,0.0,0.022,0.36472
109000,0.345,0.0,0.015,0.36821
110000,0.338,0.0,0.016,0.3609
111000,0.331,0.0,0.017,0.35248
112000,0.329,0.0,0.014,0.35093
113000,0.338,0.0,0.02,0.35944
114000,0.325,0.0,0.018,0.34553
115000,0.329,0.0,0.016,0.34828
116000,0.343,0.0,0.013,0.36178
117000,0.356,0.0,0.025,0.374
118000,0.34,0.0,0.02,0.35896
119000,0.348,0.0,0.013,0.36755
120000,0.355,0.0,0.015,0.37403
121000,0.346,0.0,0.016,0.36643
122000,0.325,0.0,0.015,0.34617
123000,0.363,0.0,0.023,0.38333
124000,0.342,0.0,0.01,0.36179
125000,0.345,0.0,0.012,0.365
126000,0.318,0.0,0.017,0.33861
127000,0.339,0.0,0.018,0.35892
128000,0.35,0.0,0.019,0.3697
129000,0.33,0.0,0.017,0.3494
130000,0.347,0.0,0.019,0.36674
131000,0.342,0.0,0.019,0.36187
132000,0.353,0.0,0.018,0.37356
133000,0.352,0.0,0.021,0.37406
134000,0.367,0.0,0.017,0.38892
135000,0.337,0.0,0.012,0.35679
136000,0.351,0.0,0.019,0.371
137000,0.365,0.0,0.018,0.38446
138000,0.354,0.0,0.025,0.37327
139000,0.357,0.0,0.016,0.37909
140000,0.373,0.0,0.019,0.39335
141000,0.333,0.0,0.013,0.35263
142000,0.348,0.0,0.019,0.36772
143000,0.374,0.0,0.013,0.39452
144000,0.353,0.0,0.019,0.37441
145000,0.371,0.0,0.021,0.39086
146000,0.374,0.0,0.019,0.39494
147000,0.353,0.0,0.017,0.37334
148000,0.378,0.0,0.021,0.39777
149000,0.364,0.0,0.026,0.38343
150000,0.363,0.0,0.022,0.38186
151000,0.373,0.0,0.025,0.39154
152000,0.368,0.0,0.017,0.38593
153000,0.377,0.0,0.016,0.39391
154000,0.376,0.0,0.019,0.39362
155000,0.382,0.0,0.016,0.39917
156000,0.393,0.0,0.012,0.41113
157000,0.369,0.0,0.019,0.38658
158000,0.373,0.0,0.021,0.39015
159000,0.375,0.0,0.016,0.39244
160000,0.376,0.0,0.018,0.39454
161000,0.373,0.0,0.016,0.3936
162000,0.385,0.0,0.017,0.40506
163000,0.368,0.0,0.023,0.38836
164000,0.372,0.0,0.012,0.3932
165000,0.381,0.0,0.017,0.40269
166000,0.353,0.0,0.018,0.37363
167000,0.369,0.0,0.013,0.38985
168000,0.366,0.0,0.014,0.38676
169000,0.372,0.0,0.017,0.39514
170000,0.369,0.0,0.016,0.39272
171000,0.364,0.0,0.011,0.38641
172000,0.364,0.0,0.015,0.38729
173000,0.38,0.0,0.016,0.4025
174000,0.382,0.0,0.021,0.40484
175000,0.385,0.0,0.019,0.40702
176000,0.39,0.0,0.022,0.41139
177000,0.364,0.0,0.016,0.38652
178000,0.39,0.0,0.022,0.41157
179000,0.382,0.0,0.021,0.40362
180000,0.398,0.0,0.014,0.41904
181000,0.379,0.0,0.024,0.39932
182000,0.392,0.0,0.015,0.41159
183000,0.403,0.0,0.018,0.42274
184000,0.395,0.0,0.017,0.41614
185000,0.379,0.0,0.023,0.39917
186000,0.378,0.0,0.023,0.39835
187000,0.385,0.0,0.018,0.4048
188000,0.401,0.0,0.017,0.42198
189000,0.389,0.0,0.02,0.40951
190000,0.371,0.0,0.02,0.3924
191000,0.399,0.0,0.02,0.42009
192000,0.379,0.0,0.018,0.399
193000,0.377,0.0,0.009,0.39876
194000,0.39,0.0,0.019,0.41396
195000,0.382,0.0,0.022,0.40654
196000,0.4,0.0,0.021,0.42349
197000,0.388,0.0,0.014,0.41053
198000,0.39,0.0,0.013,0.41095
199000,0.398,0.0,0.018,0.42032
200000,0.399,0.0,0.018,0.42087
201000,0.411,0.0,0.023,0.43323
202000,0.389,0.0,0.012,0.41026
203000,0.404,0.0,0.018,0.42581
204000,0.406,0.0,0.014,0.42713
205000,0.393,0.0,0.015,0.41248
206000,0.413,0.0,0.013,0.43402
207000,0.416,0.0,0.014,0.43673
208000,0.398,0.0,0.024,0.41951
209000,0.417,0.0,0.013,0.43766
210000,0.404,0.0,0.017,0.42588
211000,0.409,0.0,0.014,0.43072
212000,0.393,0.0,0.019,0.41346
213000,0.401,0.0,0.021,0.42146
214000,0.401,0.0,0.013,0.42093
215000,0.41,0.0,0.014,0.42858
216000,0.414,0.0,0.009,0.4333
217000,0.422,0.0,0.016,0.44015
218000,0.405,0.0,0.018,0.42426
219000,0.407,0.0,0.019,0.42399
220000,0.407,0.0,0.008,0.42339
221000,0.418,0.0,0.014,0.43742
222000,0.396,0.0,0.01,0.41634
223000,0.403,0.0,0.012,0.42335
224000,0.404,0.0,0.013,0.42486
225000,0.417,0.0,0.011,0.43784
226000,0.419,0.0,0.016,0.44013
227000,0.411,0.0,0.015,0.43124
228000,0.426,0.0,0.017,0.44845
229000,0.416,0.0,0.018,0.43748
230000,0.426,0.0,0.011,0.44783
231000,0.391,0.0,0.013,0.41391
232000,0.405,0.0,0.015,0.42817
233000,0.4,0.0,0.011,0.42279
234000,0.393,0.0,0.012,0.41521
235000,0.397,0.0,0.015,0.41851
236000,0.405,0.0,0.024,0.42565
237000,0.413,0.0,0.011,0.43233
238000,0.422,0.0,0.025,0.44145
239000,0.429,0.0,0.019,0.44979
240000,0.399,0.0,0.008,0.41801
241000,0.421,0.0,0.018,0.44131
242000,0.423,0.0,0.014,0.44207
243000,0.443,0.0,0.014,0.46149
244000,0.426,0.0,0.022,0.4453
245000,0.416,0.0,0.019,0.43257
246000,0.421,0.0,0.013,0.44001
247000,0.412,0.0,0.016,0.43123
248000,0.409,0.0,0.015,0.42826
249000,0.413,0.0,0.024,0.43102
250000,0.42,0.0,0.017,0.43774
251000,0.412,0.0,0.015,0.43109
252000,0.429,0.0,0.017,0.44776
253000,0.409,0.0,0.019,0.42899
254000,0.414,0.0,0.021,0.43386
255000,0.427,0.0,0.011,0.44614
256000,0.435,0.0,0.017,0.4546
257000,0.42,0.0,0.018,0.43921
258000,0.432,0.0,0.015,0.45198
259000,0.425,0.0,0.015,0.44474
260000,0.42,0.0,0.012,0.44049
261000,0.403,0.0,0.017,0.42233
262000,0.418,0.0,0.023,0.43724
263000,0.429,0.0,0.017,0.44964
264000,0.419,0.0,0.017,0.43939
265000,0.41,0.0,0.014,0.42939
266000,0.419,0.0,0.016,0.43959
267000,0.402,0.0,0.011,0.42284
