loss_train,avg_diff,step_idx,avg_winning,avg_score
0.0,0.025,1000,0.265,0.29286
0.0,0.02,2000,0.253,0.27965
0.0,0.015,3000,0.251,0.27583
0.0,0.018,4000,0.246,0.27123
0.0,0.021,5000,0.249,0.27391
0.0,0.018,6000,0.264,0.29051
0.0,0.025,7000,0.254,0.28092
0.0,0.028,8000,0.269,0.2966
0.0,0.022,9000,0.248,0.27447
0.0,0.015,10000,0.27,0.29484
0.0,0.02,11000,0.255,0.27857
0.0,0.021,12000,0.247,0.27066
0.0,0.025,13000,0.251,0.27433
0.0,0.028,14000,0.233,0.25787
0.0,0.017,15000,0.245,0.26884
0.0,0.027,16000,0.255,0.27924
0.0,0.025,17000,0.249,0.27439
0.0,0.036,18000,0.251,0.27534
0.0,0.019,19000,0.248,0.27376
0.0,0.025,20000,0.233,0.25934
0.0,0.019,21000,0.239,0.26309
0.0,0.016,22000,0.24,0.26303
0.0,0.025,23000,0.244,0.26659
0.0,0.02,24000,0.232,0.25354
0.0,0.023,25000,0.244,0.26578
0.0,0.024,26000,0.24,0.26177
0.0,0.025,27000,0.232,0.25352
0.0,0.02,28000,0.251,0.27205
0.0,0.015,29000,0.246,0.26806
0.0,0.017,30000,0.249,0.27067
0.0,0.025,31000,0.25,0.27206
0.0,0.022,32000,0.248,0.26978
0.0,0.027,33000,0.228,0.24974
0.0,0.021,34000,0.237,0.25811
0.0,0.022,35000,0.237,0.25787
0.0,0.029,36000,0.232,0.25396
0.0,0.024,37000,0.226,0.24893
0.0,0.018,38000,0.225,0.2489
0.0,0.021,39000,0.241,0.26441
0.0,0.022,40000,0.241,0.26545
0.0,0.02,41000,0.241,0.2654
0.0,0.019,42000,0.247,0.27081
0.0,0.02,43000,0.221,0.24451
0.0,0.022,44000,0.23,0.25301
0.0,0.021,45000,0.229,0.25296
0.0,0.023,46000,0.225,0.2495
0.0,0.023,47000,0.223,0.24759
0.0,0.02,48000,0.232,0.25671
0.0,0.023,49000,0.24,0.26571
0.0,0.023,50000,0.232,0.25843
0.0,0.021,51000,0.217,0.24358
0.0,0.024,52000,0.244,0.26979
0.0,0.018,53000,0.223,0.2473
0.0,0.023,54000,0.22,0.24332
0.0,0.021,55000,0.232,0.25829
0.0,0.019,56000,0.219,0.2443
0.0,0.028,57000,0.24,0.26493
0.0,0.023,58000,0.216,0.24173
0.0,0.026,59000,0.229,0.25337
0.0,0.02,60000,0.233,0.25717
0.0,0.021,61000,0.227,0.25082
0.0,0.013,62000,0.24,0.26296
0.0,0.016,63000,0.235,0.25776
0.0,0.023,64000,0.233,0.25679
0.0,0.021,65000,0.227,0.25287
0.0,0.018,66000,0.228,0.25341
0.0,0.021,67000,0.235,0.2611
0.0,0.022,68000,0.234,0.26087
0.0,0.029,69000,0.223,0.25166
0.0,0.029,70000,0.226,0.2541
0.0,0.019,71000,0.226,0.25449
0.0,0.024,72000,0.219,0.24755
0.0,0.022,73000,0.224,0.2509
0.0,0.024,74000,0.225,0.25051
0.0,0.019,75000,0.228,0.25519
0.0,0.019,76000,0.222,0.24905
0.0,0.018,77000,0.222,0.24924
0.0,0.017,78000,0.236,0.26313
0.0,0.017,79000,0.228,0.25428
0.0,0.014,80000,0.222,0.24846
0.0,0.021,81000,0.224,0.25093
0.0,0.024,82000,0.222,0.24908
0.0,0.029,83000,0.211,0.24045
0.0,0.025,84000,0.228,0.25689
0.0,0.023,85000,0.22,0.24916
0.0,0.015,86000,0.233,0.26004
0.0,0.02,87000,0.226,0.25434
0.0,0.023,88000,0.233,0.26135
0.0,0.021,89000,0.225,0.25324
0.0,0.023,90000,0.214,0.24256
0.0,0.02,91000,0.227,0.25516
0.0,0.022,92000,0.237,0.26547
0.0,0.019,93000,0.216,0.2437
0.0,0.023,94000,0.222,0.24924
0.0,0.018,95000,0.231,0.25789
0.0,0.025,96000,0.233,0.25948
0.0,0.023,97000,0.243,0.27033
0.0,0.018,98000,0.23,0.25647
0.0,0.02,99000,0.225,0.25096
