avg_diff,step_idx,avg_winning,avg_score,loss_train
0.019,1000,0.259,0.28269,0.0
0.022,2000,0.24,0.25959,0.0
0.022,3000,0.216,0.23461,0.0
0.019,4000,0.218,0.23601,0.0
0.022,5000,0.199,0.21547,0.0
0.024,6000,0.21,0.22683,0.0
0.017,7000,0.219,0.23588,0.0
0.021,8000,0.201,0.2177,0.0
0.025,9000,0.201,0.2173,0.0
0.027,10000,0.202,0.21837,0.0
0.02,11000,0.197,0.21353,0.0
0.025,12000,0.197,0.21325,0.0
0.018,13000,0.21,0.22666,0.0
0.018,14000,0.206,0.22238,0.0
0.028,15000,0.203,0.21983,0.0
0.026,16000,0.204,0.22142,0.0
0.023,17000,0.201,0.21909,0.0
0.019,18000,0.21,0.22864,0.0
0.013,19000,0.216,0.23547,0.0
0.021,20000,0.216,0.23551,0.0
0.02,21000,0.21,0.22926,0.0
0.017,22000,0.225,0.24595,0.0
0.02,23000,0.23,0.25201,0.0
0.025,24000,0.233,0.25558,0.0
0.02,25000,0.241,0.26426,0.0
0.022,26000,0.237,0.26058,0.0
0.022,27000,0.244,0.26684,0.0
0.017,28000,0.231,0.25444,0.0
0.023,29000,0.243,0.26637,0.0
0.023,30000,0.243,0.26757,0.0
0.021,31000,0.247,0.2729,0.0
0.021,32000,0.253,0.27913,0.0
0.024,33000,0.232,0.25748,0.0
0.024,34000,0.249,0.27462,0.0
0.019,35000,0.235,0.25925,0.0
0.02,36000,0.249,0.27229,0.0
0.023,37000,0.238,0.26218,0.0
0.019,38000,0.245,0.27014,0.0
0.021,39000,0.232,0.25804,0.0
0.018,40000,0.249,0.27449,0.0
0.016,41000,0.246,0.27275,0.0
0.015,42000,0.244,0.27021,0.0
0.02,43000,0.224,0.25002,0.0
0.02,44000,0.246,0.27119,0.0
0.021,45000,0.229,0.25309,0.0
0.021,46000,0.245,0.27037,0.0
0.017,47000,0.232,0.25627,0.0
0.023,48000,0.237,0.26214,0.0
0.015,49000,0.254,0.27917,0.0
0.021,50000,0.231,0.25591,0.0
0.026,51000,0.244,0.26992,0.0
0.021,52000,0.236,0.26066,0.0
0.019,53000,0.227,0.25123,0.0
0.021,54000,0.232,0.25667,0.0
0.019,55000,0.24,0.26582,0.0
0.024,56000,0.214,0.23994,0.0
0.022,57000,0.22,0.24493,0.0
0.024,58000,0.248,0.27429,0.0
0.024,59000,0.235,0.25999,0.0
0.019,60000,0.243,0.26884,0.0
0.017,61000,0.231,0.25595,0.0
0.021,62000,0.242,0.26721,0.0
0.024,63000,0.23,0.25401,0.0
0.019,64000,0.228,0.25226,0.0
0.018,65000,0.229,0.25377,0.0
0.018,66000,0.238,0.26419,0.0
0.021,67000,0.234,0.25871,0.0
0.023,68000,0.228,0.25206,0.0
0.02,69000,0.223,0.24796,0.0
0.014,70000,0.242,0.26735,0.0
0.029,71000,0.235,0.26048,0.0
0.021,72000,0.238,0.26292,0.0
0.023,73000,0.242,0.26647,0.0
0.023,74000,0.236,0.26023,0.0
0.022,75000,0.236,0.26129,0.0
