loss_train,avg_score,avg_diff,step_idx,avg_winning
0.0,0.23987,0.021,1000,0.218
0.0,0.24975,0.028,2000,0.23
0.0,0.23024,0.03,3000,0.212
0.0,0.22504,0.023,4000,0.205
0.0,0.25464,0.029,5000,0.234
0.0,0.24742,0.027,6000,0.226
0.0,0.23555,0.016,7000,0.213
0.0,0.23808,0.024,8000,0.217
0.0,0.25114,0.024,9000,0.229
0.0,0.25363,0.021,10000,0.23
0.0,0.24496,0.013,11000,0.222
0.0,0.25998,0.019,12000,0.236
0.0,0.27322,0.021,13000,0.249
0.0,0.274,0.024,14000,0.25
0.0,0.29449,0.009,15000,0.27
0.0,0.26082,0.026,16000,0.239
0.0,0.29907,0.023,17000,0.275
0.0,0.32584,0.023,18000,0.301
0.0,0.3002,0.022,19000,0.275
0.0,0.30417,0.027,20000,0.281
0.0,0.31961,0.02,21000,0.298
0.0,0.32187,0.024,22000,0.296
0.0,0.34808,0.014,23000,0.324
0.0,0.34966,0.023,24000,0.324
0.0,0.38066,0.018,25000,0.356
0.0,0.38135,0.018,26000,0.357
0.0,0.39637,0.02,27000,0.373
0.0,0.40663,0.015,28000,0.387
0.0,0.42954,0.017,29000,0.407
0.0,0.43936,0.012,30000,0.418
0.0,0.44946,0.011,31000,0.427
0.0,0.45161,0.014,32000,0.43
0.0,0.45979,0.01,33000,0.438
0.0,0.47546,0.023,34000,0.453
0.0,0.4544,0.016,35000,0.432
0.0,0.45603,0.022,36000,0.433
0.0,0.46994,0.021,37000,0.449
0.0,0.48569,0.017,38000,0.464
0.0,0.4771,0.005,39000,0.456
0.0,0.47941,0.013,40000,0.457
0.0,0.47853,0.027,41000,0.457
0.0,0.46728,0.018,42000,0.446
0.0,0.47826,0.013,43000,0.457
0.0,0.4789,0.013,44000,0.458
0.0,0.48369,0.015,45000,0.463
0.0,0.49384,0.013,46000,0.473
0.0,0.46473,0.022,47000,0.444
0.0,0.46371,0.019,48000,0.444
0.0,0.46697,0.014,49000,0.447
0.0,0.48936,0.014,50000,0.47
0.0,0.48021,0.02,51000,0.46
0.0,0.48493,0.016,52000,0.465
0.0,0.48271,0.014,53000,0.464
0.0,0.46947,0.015,54000,0.45
0.0,0.49065,0.015,55000,0.47
0.0,0.4832,0.017,56000,0.462
0.0,0.50403,0.017,57000,0.483
0.0,0.47184,0.013,58000,0.45
0.0,0.48487,0.01,59000,0.463
0.0,0.48851,0.014,60000,0.466
0.0,0.49139,0.019,61000,0.468
0.0,0.47814,0.013,62000,0.456
0.0,0.46889,0.013,63000,0.446
0.0,0.48451,0.016,64000,0.462
0.0,0.49243,0.02,65000,0.471
0.0,0.48943,0.019,66000,0.469
0.0,0.46839,0.011,67000,0.447
0.0,0.47484,0.013,68000,0.454
0.0,0.48303,0.011,69000,0.461
0.0,0.4709,0.017,70000,0.449
0.0,0.46284,0.019,71000,0.44
0.0,0.47845,0.013,72000,0.455
0.0,0.46211,0.015,73000,0.438
0.0,0.48056,0.014,74000,0.457
0.0,0.49232,0.009,75000,0.469
0.0,0.47804,0.013,76000,0.455
0.0,0.49198,0.02,77000,0.469
0.0,0.47096,0.018,78000,0.449
0.0,0.47078,0.015,79000,0.448
0.0,0.47069,0.022,80000,0.447
0.0,0.48406,0.021,81000,0.46
0.0,0.4824,0.016,82000,0.46
0.0,0.4668,0.021,83000,0.445
0.0,0.46846,0.02,84000,0.447
0.0,0.4759,0.015,85000,0.454
0.0,0.45674,0.01,86000,0.436
0.0,0.47726,0.019,87000,0.456
0.0,0.47643,0.019,88000,0.454
0.0,0.47815,0.011,89000,0.453
0.0,0.48285,0.018,90000,0.459
0.0,0.45341,0.011,91000,0.43
0.0,0.4787,0.018,92000,0.454
0.0,0.47538,0.022,93000,0.453
0.0,0.4735,0.014,94000,0.452
0.0,0.46992,0.02,95000,0.449
0.0,0.47925,0.006,96000,0.457
0.0,0.48172,0.012,97000,0.461
0.0,0.46907,0.023,98000,0.447
0.0,0.4568,0.015,99000,0.436
0.0,0.46622,0.013,100000,0.446
0.0,0.47503,0.018,101000,0.453
0.0,0.47223,0.017,102000,0.452
0.0,0.46982,0.015,103000,0.449
0.0,0.48601,0.016,104000,0.464
0.0,0.47397,0.021,105000,0.452
0.0,0.47428,0.016,106000,0.453
0.0,0.46124,0.018,107000,0.44
0.0,0.4854,0.016,108000,0.463
0.0,0.47466,0.013,109000,0.452
0.0,0.46323,0.014,110000,0.441
0.0,0.47283,0.011,111000,0.451
0.0,0.45942,0.018,112000,0.439
0.0,0.45732,0.017,113000,0.437
0.0,0.4488,0.02,114000,0.428
0.0,0.47733,0.019,115000,0.457
0.0,0.46588,0.014,116000,0.446
0.0,0.49087,0.014,117000,0.467
0.0,0.47151,0.024,118000,0.45
0.0,0.47374,0.018,119000,0.451
0.0,0.48354,0.013,120000,0.461
0.0,0.48486,0.017,121000,0.46
0.0,0.48337,0.004,122000,0.458
0.0,0.51532,0.011,123000,0.489
0.0,0.47534,0.016,124000,0.449
0.0,0.49639,0.017,125000,0.471
0.0,0.49961,0.012,126000,0.475
0.0,0.47229,0.018,127000,0.45
0.0,0.46826,0.012,128000,0.447
0.0,0.48337,0.008,129000,0.46
0.0,0.46847,0.015,130000,0.446
0.0,0.47259,0.017,131000,0.452
0.0,0.48191,0.013,132000,0.461
0.0,0.47296,0.005,133000,0.451
0.0,0.44585,0.014,134000,0.425
0.0,0.47503,0.015,135000,0.453
0.0,0.47977,0.01,136000,0.456
0.0,0.48965,0.016,137000,0.466
0.0,0.48034,0.012,138000,0.457
0.0,0.48196,0.013,139000,0.458
0.0,0.48906,0.02,140000,0.464
0.0,0.47994,0.013,141000,0.456
0.0,0.4828,0.018,142000,0.459
0.0,0.479,0.011,143000,0.457
0.0,0.46451,0.013,144000,0.442
0.0,0.48305,0.007,145000,0.459
0.0,0.49289,0.01,146000,0.47
0.0,0.48335,0.012,147000,0.459
0.0,0.49813,0.015,148000,0.473
0.0,0.48046,0.023,149000,0.456
0.0,0.48538,0.014,150000,0.461
0.0,0.49075,0.013,151000,0.467
0.0,0.49019,0.015,152000,0.467
0.0,0.4795,0.018,153000,0.457
0.0,0.48193,0.019,154000,0.461
0.0,0.47879,0.017,155000,0.456
0.0,0.49327,0.026,156000,0.469
0.0,0.4834,0.013,157000,0.458
0.0,0.49341,0.013,158000,0.468
0.0,0.48153,0.021,159000,0.457
0.0,0.47682,0.012,160000,0.453
0.0,0.48753,0.014,161000,0.464
0.0,0.4791,0.024,162000,0.456
0.0,0.45126,0.021,163000,0.429
0.0,0.48614,0.02,164000,0.463
0.0,0.48264,0.017,165000,0.459
0.0,0.48539,0.014,166000,0.462
0.0,0.48387,0.016,167000,0.461
0.0,0.50099,0.024,168000,0.476
0.0,0.47779,0.013,169000,0.453
0.0,0.48227,0.012,170000,0.457
0.0,0.4819,0.016,171000,0.457
0.0,0.48231,0.017,172000,0.457
0.0,0.46722,0.016,173000,0.444
0.0,0.47885,0.019,174000,0.455
0.0,0.49469,0.019,175000,0.47
0.0,0.48594,0.025,176000,0.461
0.0,0.48368,0.02,177000,0.46
0.0,0.48409,0.02,178000,0.461
0.0,0.48437,0.022,179000,0.461
0.0,0.471,0.017,180000,0.448
0.0,0.47421,0.018,181000,0.45
0.0,0.48277,0.021,182000,0.46
0.0,0.48928,0.019,183000,0.465
0.0,0.48817,0.025,184000,0.463
0.0,0.47804,0.016,185000,0.453
0.0,0.4913,0.015,186000,0.466
0.0,0.49388,0.025,187000,0.468
0.0,0.48862,0.022,188000,0.464
0.0,0.48683,0.017,189000,0.462
0.0,0.48799,0.023,190000,0.465
0.0,0.48169,0.025,191000,0.46
0.0,0.49452,0.019,192000,0.473
0.0,0.49644,0.019,193000,0.475
0.0,0.48097,0.021,194000,0.459
0.0,0.49175,0.021,195000,0.468
0.0,0.47515,0.02,196000,0.452
0.0,0.48632,0.017,197000,0.463
0.0,0.48962,0.017,198000,0.466
0.0,0.50342,0.015,199000,0.479
0.0,0.49349,0.015,200000,0.469
0.0,0.51311,0.015,201000,0.488
0.0,0.49247,0.012,202000,0.469
0.0,0.48504,0.016,203000,0.461
0.0,0.4941,0.017,204000,0.472
0.0,0.49648,0.014,205000,0.474
0.0,0.47624,0.017,206000,0.455
0.0,0.49492,0.015,207000,0.473
0.0,0.48769,0.016,208000,0.465
0.0,0.48819,0.015,209000,0.464
0.0,0.49702,0.015,210000,0.472
0.0,0.49059,0.02,211000,0.465
0.0,0.49572,0.021,212000,0.47
0.0,0.50213,0.013,213000,0.476
0.0,0.49587,0.013,214000,0.47
0.0,0.50287,0.018,215000,0.477
0.0,0.4884,0.017,216000,0.463
0.0,0.49327,0.021,217000,0.469
0.0,0.48985,0.02,218000,0.467
0.0,0.49474,0.011,219000,0.471
0.0,0.51727,0.016,220000,0.493
0.0,0.51553,0.016,221000,0.49
0.0,0.50759,0.013,222000,0.483
0.0,0.47667,0.017,223000,0.453
0.0,0.50001,0.016,224000,0.476
0.0,0.49581,0.014,225000,0.472
0.0,0.4947,0.013,226000,0.47
0.0,0.50382,0.014,227000,0.479
0.0,0.5188,0.014,228000,0.491
0.0,0.50127,0.019,229000,0.475
0.0,0.49335,0.018,230000,0.466
0.0,0.50763,0.015,231000,0.48
0.0,0.50614,0.012,232000,0.479
0.0,0.49262,0.013,233000,0.467
0.0,0.50266,0.013,234000,0.476
0.0,0.50748,0.015,235000,0.481
0.0,0.49827,0.022,236000,0.473
0.0,0.50405,0.018,237000,0.479
0.0,0.4996,0.016,238000,0.475
0.0,0.50647,0.015,239000,0.481
0.0,0.49718,0.018,240000,0.471
0.0,0.51515,0.019,241000,0.488
0.0,0.49169,0.016,242000,0.466
0.0,0.49471,0.014,243000,0.469
0.0,0.48462,0.012,244000,0.458
0.0,0.49133,0.018,245000,0.465
0.0,0.49775,0.017,246000,0.47
0.0,0.50501,0.015,247000,0.477
0.0,0.50301,0.015,248000,0.474
0.0,0.48067,0.016,249000,0.452
0.0,0.50471,0.012,250000,0.475
0.0,0.50504,0.017,251000,0.476
0.0,0.50444,0.005,252000,0.478
0.0,0.4982,0.013,253000,0.473
0.0,0.48736,0.018,254000,0.464
0.0,0.49011,0.019,255000,0.466
0.0,0.49508,0.015,256000,0.47
0.0,0.50227,0.012,257000,0.476
0.0,0.49545,0.014,258000,0.47
0.0,0.49917,0.016,259000,0.473
0.0,0.50068,0.015,260000,0.474
0.0,0.49644,0.012,261000,0.47
0.0,0.4998,0.015,262000,0.474
0.0,0.50781,0.017,263000,0.481
0.0,0.50552,0.01,264000,0.478
0.0,0.51253,0.017,265000,0.485
0.0,0.50691,0.015,266000,0.479
0.0,0.51246,0.011,267000,0.484
0.0,0.49398,0.021,268000,0.467
0.0,0.49541,0.012,269000,0.469
0.0,0.51198,0.016,270000,0.485
0.0,0.50353,0.012,271000,0.477
0.0,0.50138,0.009,272000,0.475
0.0,0.49182,0.016,273000,0.466
0.0,0.48872,0.015,274000,0.463
0.0,0.5157,0.013,275000,0.49
0.0,0.50969,0.014,276000,0.484
