avg_winning,avg_diff,step_idx,avg_score,loss_train
0.223,0.02,1000,0.24385,0.0
0.224,0.022,2000,0.24435,0.0
0.236,0.018,3000,0.25791,0.0
0.248,0.024,4000,0.27068,0.0
0.256,0.019,5000,0.27879,0.0
0.235,0.016,6000,0.25662,0.0
0.247,0.022,7000,0.27001,0.0
0.237,0.021,8000,0.2594,0.0
0.238,0.026,9000,0.26045,0.0
0.234,0.025,10000,0.25617,0.0
0.248,0.014,11000,0.27271,0.0
0.251,0.015,12000,0.27633,0.0
0.25,0.019,13000,0.27381,0.0
0.253,0.017,14000,0.27757,0.0
0.249,0.026,15000,0.27244,0.0
0.26,0.021,16000,0.2849,0.0
0.25,0.027,17000,0.27293,0.0
0.251,0.025,18000,0.27555,0.0
0.241,0.03,19000,0.26481,0.0
0.251,0.02,20000,0.27464,0.0
0.248,0.027,21000,0.27157,0.0
0.257,0.021,22000,0.27946,0.0
0.267,0.026,23000,0.28978,0.0
0.269,0.029,24000,0.29083,0.0
0.26,0.022,25000,0.28283,0.0
0.282,0.021,26000,0.30507,0.0
0.251,0.022,27000,0.27264,0.0
0.267,0.021,28000,0.28872,0.0
0.278,0.014,29000,0.29959,0.0
0.293,0.02,30000,0.31408,0.0
0.284,0.023,31000,0.30441,0.0
0.284,0.018,32000,0.30582,0.0
0.315,0.019,33000,0.33723,0.0
0.299,0.017,34000,0.32072,0.0
0.333,0.013,35000,0.35464,0.0
0.348,0.014,36000,0.36854,0.0
0.369,0.006,37000,0.39175,0.0
0.362,0.016,38000,nan,0.0
0.379,0.019,39000,0.40388,0.0
0.37,0.017,40000,0.39397,0.0
0.375,0.014,41000,0.39921,0.0
0.368,0.018,42000,0.39164,0.0
0.356,0.014,43000,nan,0.0
0.373,0.01,44000,0.39534,0.0
0.375,0.013,45000,0.39764,0.0
0.367,0.01,46000,0.3891,0.0
0.367,0.014,47000,0.38845,0.0
0.351,0.009,48000,0.37257,0.0
0.375,0.01,49000,0.39779,0.0
0.393,0.011,50000,0.41478,0.0
0.377,0.017,51000,0.39905,0.0
0.385,0.013,52000,0.40679,0.0
0.382,0.012,53000,0.4043,0.0
0.365,0.015,54000,0.38769,0.0
0.365,0.014,55000,0.38678,0.0
0.382,0.011,56000,0.40422,0.0
0.35,0.01,57000,0.37161,0.0
0.361,0.015,58000,0.38247,0.0
0.359,0.012,59000,0.38006,0.0
0.374,0.009,60000,0.39641,0.0
0.377,0.011,61000,0.39859,0.0
0.367,0.013,62000,0.3884,0.0
0.37,0.008,63000,0.39153,0.0
0.371,0.015,64000,0.39117,0.0
