avg_diff,loss_train,avg_score,step_idx,avg_winning
0.02,0.0,0.24185,1000,0.221
0.016,0.0,0.25006,2000,0.23
0.023,0.0,0.25705,3000,0.237
0.02,0.0,0.26023,4000,0.239
0.018,0.0,0.24695,5000,0.227
0.02,0.0,0.26986,6000,0.248
0.02,0.0,0.27095,7000,0.249
0.02,0.0,0.27826,8000,0.255
0.019,0.0,0.28143,9000,0.258
0.017,0.0,0.27715,10000,0.253
0.018,0.0,0.29363,11000,0.268
0.016,0.0,0.26182,12000,0.238
0.011,0.0,0.27998,13000,0.255
0.017,0.0,0.28387,14000,0.26
0.012,0.0,0.28598,15000,0.262
0.014,0.0,0.2877,16000,0.262
0.017,0.0,0.28801,17000,0.263
0.013,0.0,0.28828,18000,0.263
0.014,0.0,0.29259,19000,0.268
0.014,0.0,nan,20000,0.292
0.016,0.0,0.31859,21000,0.294
0.023,0.0,0.34655,22000,0.322
0.012,0.0,0.37303,23000,0.348
0.011,0.0,0.3892,24000,0.364
0.019,0.0,0.38687,25000,0.363
0.018,0.0,0.37718,26000,0.354
0.015,0.0,0.3686,27000,0.346
0.02,0.0,0.3762,28000,0.355
0.009,0.0,0.38617,29000,0.364
0.014,0.0,0.38888,30000,0.368
0.018,0.0,0.38696,31000,0.365
0.018,0.0,0.39535,32000,0.373
0.014,0.0,0.39443,33000,0.373
0.016,0.0,0.37704,34000,0.355
0.025,0.0,0.37405,35000,0.353
0.015,0.0,0.3428,36000,0.322
0.015,0.0,0.3213,37000,0.301
0.017,0.0,0.33491,38000,0.315
0.019,0.0,0.35246,39000,0.333
0.012,0.0,0.38084,40000,0.361
0.018,0.0,0.34383,41000,0.324
0.021,0.0,0.34896,42000,0.331
0.016,0.0,0.3774,43000,0.358
0.012,0.0,0.40029,44000,0.382
0.012,0.0,0.39154,45000,0.372
0.014,0.0,0.39167,46000,0.373
0.012,0.0,0.39882,47000,0.38
0.013,0.0,0.39698,48000,0.377
0.015,0.0,0.42381,49000,0.403
0.015,0.0,0.40292,50000,0.383
0.012,0.0,0.3923,51000,0.372
0.012,0.0,0.4088,52000,0.388
0.022,0.0,0.40886,53000,0.388
0.021,0.0,0.3918,54000,0.371
0.029,0.0,0.39006,55000,0.37
0.026,0.0,0.38426,56000,0.363
0.015,0.0,0.39491,57000,0.375
0.013,0.0,0.38731,58000,0.367
0.016,0.0,0.3882,59000,0.367
0.018,0.0,0.39805,60000,0.377
0.018,0.0,0.40159,61000,0.381
0.014,0.0,0.40352,62000,0.383
0.02,0.0,0.39396,63000,0.373
0.027,0.0,0.39459,64000,0.373
0.032,0.0,0.39967,65000,0.378
0.022,0.0,0.38754,66000,0.366
0.018,0.0,0.39884,67000,0.376
0.018,0.0,0.38809,68000,0.365
0.02,0.0,0.40075,69000,0.377
0.015,0.0,0.40642,70000,0.383
0.025,0.0,0.40312,71000,0.38
0.021,0.0,0.40765,72000,0.385
0.021,0.0,0.40961,73000,0.388
0.022,0.0,0.4,74000,0.378
0.023,0.0,0.42075,75000,0.399
0.017,0.0,0.41305,76000,0.391
0.012,0.0,0.42634,77000,0.404
0.022,0.0,0.41838,78000,0.396
0.024,0.0,0.4251,79000,0.402
0.023,0.0,0.417,80000,0.396
0.018,0.0,0.4187,81000,0.398
0.022,0.0,0.42625,82000,0.406
0.021,0.0,0.42588,83000,0.407
0.018,0.0,0.42768,84000,0.408
0.025,0.0,0.4254,85000,0.405
0.023,0.0,0.43695,86000,0.416
0.022,0.0,0.42642,87000,0.405
0.026,0.0,0.4198,88000,0.399
0.023,0.0,0.45545,89000,0.434
0.022,0.0,0.43632,90000,0.415
0.026,0.0,0.44647,91000,0.424
0.023,0.0,0.42946,92000,0.409
0.016,0.0,0.4341,93000,0.413
0.028,0.0,0.45714,94000,0.435
0.022,0.0,0.42033,95000,0.399
0.018,0.0,0.4425,96000,0.421
0.016,0.0,0.46442,97000,0.441
0.022,0.0,0.4561,98000,0.433
0.025,0.0,0.46294,99000,0.438
0.023,0.0,0.46669,100000,0.442
0.021,0.0,0.47027,101000,0.446
0.021,0.0,0.47449,102000,0.45
0.024,0.0,0.4668,103000,0.443
0.017,0.0,0.46841,104000,0.444
0.021,0.0,0.46704,105000,0.444
0.022,0.0,0.4686,106000,0.446
0.023,0.0,0.4603,107000,0.437
0.016,0.0,0.4723,108000,0.449
0.027,0.0,0.4546,109000,0.43
0.024,0.0,0.4747,110000,0.449
0.027,0.0,0.46235,111000,0.438
0.031,0.0,0.47903,112000,0.455
0.019,0.0,0.4569,113000,0.433
0.02,0.0,0.44643,114000,0.423
0.021,0.0,0.4767,115000,0.453
0.017,0.0,0.46702,116000,0.442
0.016,0.0,0.46249,117000,0.438
0.029,0.0,0.4528,118000,0.43
0.018,0.0,0.46592,119000,0.443
0.019,0.0,0.44756,120000,0.426
0.02,0.0,0.45481,121000,0.433
0.012,0.0,0.46976,122000,0.448
0.02,0.0,0.45993,123000,0.439
0.014,0.0,0.47075,124000,0.451
0.019,0.0,0.45942,125000,0.438
0.018,0.0,0.45371,126000,0.433
0.018,0.0,0.46297,127000,0.443
0.015,0.0,0.45577,128000,0.434
0.021,0.0,0.47906,129000,0.457
0.015,0.0,0.47922,130000,0.456
0.018,0.0,0.47862,131000,0.457
0.018,0.0,0.47651,132000,0.455
0.012,0.0,0.472,133000,0.451
0.018,0.0,0.46717,134000,0.446
0.014,0.0,0.47267,135000,0.451
0.015,0.0,0.47308,136000,0.45
0.022,0.0,0.47499,137000,0.453
0.017,0.0,0.46255,138000,0.441
0.015,0.0,0.47071,139000,0.45
0.011,0.0,0.48341,140000,0.462
0.024,0.0,0.47704,141000,0.456
0.021,0.0,0.4796,142000,0.458
0.018,0.0,0.47979,143000,0.459
0.021,0.0,0.47042,144000,0.45
0.02,0.0,0.47855,145000,0.458
0.021,0.0,0.46984,146000,0.45
0.019,0.0,0.47766,147000,0.457
0.015,0.0,0.50295,148000,0.481
0.013,0.0,0.46399,149000,0.442
0.016,0.0,0.48364,150000,0.46
0.008,0.0,0.47467,151000,0.451
0.015,0.0,0.47289,152000,0.45
