avg_winning,avg_score,avg_diff,loss_train,step_idx
0.26,0.28836,0.025,0.0,1000
0.252,0.27867,0.021,0.0,2000
0.255,0.27962,0.019,0.0,3000
0.253,0.27769,0.025,0.0,4000
0.252,0.27582,0.023,0.0,5000
0.234,0.25445,0.018,0.0,6000
0.265,0.28871,0.015,0.0,7000
0.263,0.28478,0.024,0.0,8000
0.239,0.26265,0.013,0.0,9000
0.254,0.27704,0.024,0.0,10000
0.253,0.27587,0.022,0.0,11000
0.254,0.27583,0.014,0.0,12000
0.235,0.2567,0.018,0.0,13000
0.268,0.28999,0.017,0.0,14000
0.248,0.26997,0.017,0.0,15000
0.252,0.27374,0.025,0.0,16000
0.248,0.26937,0.019,0.0,17000
0.256,0.27841,0.021,0.0,18000
0.234,0.25759,0.032,0.0,19000
0.25,0.27367,0.026,0.0,20000
0.244,0.26664,0.015,0.0,21000
0.268,0.29126,0.024,0.0,22000
0.252,0.2732,0.025,0.0,23000
0.245,0.26665,0.023,0.0,24000
0.241,0.26224,0.023,0.0,25000
0.247,0.26659,0.028,0.0,26000
0.236,0.25663,0.019,0.0,27000
0.253,0.27307,0.023,0.0,28000
0.235,0.25533,0.023,0.0,29000
0.238,0.25882,0.022,0.0,30000
0.247,0.26789,0.02,0.0,31000
0.24,0.26109,0.025,0.0,32000
0.244,0.26634,0.02,0.0,33000
0.25,0.27369,0.027,0.0,34000
0.237,0.26022,0.023,0.0,35000
0.252,0.27637,0.019,0.0,36000
0.255,0.2792,0.019,0.0,37000
0.249,0.27328,0.023,0.0,38000
0.257,0.28041,0.019,0.0,39000
0.263,0.28718,0.016,0.0,40000
0.303,0.32855,0.019,0.0,41000
0.348,0.37261,0.017,0.0,42000
0.363,0.38747,0.016,0.0,43000
0.362,0.38544,0.013,0.0,44000
0.351,0.3735,0.017,0.0,45000
0.348,0.3706,0.022,0.0,46000
0.371,0.39275,0.025,0.0,47000
0.359,0.38005,0.015,0.0,48000
0.38,0.40203,0.016,0.0,49000
0.365,0.3876,0.017,0.0,50000
0.376,0.39783,0.017,0.0,51000
0.363,0.38591,0.018,0.0,52000
0.364,0.38784,0.021,0.0,53000
0.36,0.3839,0.026,0.0,54000
0.378,0.40039,0.017,0.0,55000
0.357,0.3793,0.018,0.0,56000
0.368,0.39087,0.015,0.0,57000
0.367,0.38974,0.021,0.0,58000
0.381,0.40228,0.015,0.0,59000
0.389,0.41074,0.017,0.0,60000
0.376,0.39664,0.016,0.0,61000
0.373,0.39318,0.021,0.0,62000
0.393,0.41314,0.02,0.0,63000
0.384,0.40312,0.023,0.0,64000
0.379,0.3973,0.014,0.0,65000
0.365,0.38317,0.017,0.0,66000
0.367,0.38537,0.02,0.0,67000
0.359,0.37734,0.017,0.0,68000
0.359,0.37735,0.02,0.0,69000
0.369,0.38633,0.021,0.0,70000
0.367,0.38553,0.017,0.0,71000
0.368,0.38598,0.015,0.0,72000
0.373,0.39172,0.019,0.0,73000
0.39,0.40874,0.015,0.0,74000
0.377,0.39547,0.02,0.0,75000
0.375,0.39535,0.017,0.0,76000
0.373,0.3929,0.017,0.0,77000
0.383,0.4035,0.014,0.0,78000
0.375,0.3941,0.021,0.0,79000
0.394,0.41382,0.024,0.0,80000
0.372,0.39011,0.017,0.0,81000
0.392,0.41116,0.02,0.0,82000
0.392,0.41227,0.014,0.0,83000
0.38,0.40015,0.022,0.0,84000
0.382,0.40352,0.023,0.0,85000
0.366,0.38709,0.016,0.0,86000
0.372,0.39279,0.014,0.0,87000
0.362,0.38238,0.018,0.0,88000
0.372,0.39083,0.021,0.0,89000
0.385,0.40389,0.013,0.0,90000
0.372,0.39092,0.015,0.0,91000
0.387,0.40584,0.019,0.0,92000
0.366,0.38486,0.019,0.0,93000
0.381,0.39933,0.018,0.0,94000
0.373,0.39198,0.018,0.0,95000
0.381,0.40151,0.022,0.0,96000
0.378,0.39907,0.021,0.0,97000
0.378,0.39968,0.019,0.0,98000
0.372,0.39419,0.015,0.0,99000
0.384,0.40585,0.016,0.0,100000
