avg_winning,loss_train,avg_diff,avg_score,step_idx
0.254,0.0,0.02,0.27898,1000
0.229,0.0,0.022,0.24961,2000
0.236,0.0,0.025,0.25719,3000
0.226,0.0,0.021,0.24601,4000
0.217,0.0,0.019,0.23604,5000
0.219,0.0,0.021,0.23688,6000
0.191,0.0,0.023,0.20774,7000
0.19,0.0,0.021,0.20742,8000
0.215,0.0,0.02,0.23114,9000
0.21,0.0,0.021,0.22593,10000
0.196,0.0,0.024,0.2114,11000
0.202,0.0,0.026,0.21735,12000
0.2,0.0,0.022,0.216,13000
0.201,0.0,0.024,0.21698,14000
0.196,0.0,0.028,0.21132,15000
0.197,0.0,0.023,0.21255,16000
0.194,0.0,0.024,0.21017,17000
0.205,0.0,0.023,0.22138,18000
0.199,0.0,0.024,0.21545,19000
0.201,0.0,0.021,0.21866,20000
0.197,0.0,0.024,0.21505,21000
0.199,0.0,0.022,0.21683,22000
0.224,0.0,0.023,0.24479,23000
0.229,0.0,0.023,0.25058,24000
0.238,0.0,0.021,0.26078,25000
0.249,0.0,0.024,0.2714,26000
0.239,0.0,0.02,0.26146,27000
0.235,0.0,0.019,0.25816,28000
0.241,0.0,0.02,0.26501,29000
0.246,0.0,0.023,0.27214,30000
0.261,0.0,0.023,0.28711,31000
0.26,0.0,0.016,0.28819,32000
0.254,0.0,0.026,0.28198,33000
0.259,0.0,0.018,0.2865,34000
0.264,0.0,0.023,0.29025,35000
0.253,0.0,0.02,0.27884,36000
0.25,0.0,0.018,0.27627,37000
0.249,0.0,0.023,0.2746,38000
0.247,0.0,0.022,0.27398,39000
0.241,0.0,0.026,0.26785,40000
0.268,0.0,0.016,0.29554,41000
0.264,0.0,0.018,0.29108,42000
0.253,0.0,0.018,0.28001,43000
0.246,0.0,0.023,0.27271,44000
0.245,0.0,0.025,0.27088,45000
0.245,0.0,0.02,0.26996,46000
0.256,0.0,0.018,0.28063,47000
0.249,0.0,0.023,0.27535,48000
0.265,0.0,0.025,0.29129,49000
0.275,0.0,0.023,0.30066,50000
0.289,0.0,0.016,0.31611,51000
0.31,0.0,0.024,0.33711,52000
0.303,0.0,0.006,0.32991,53000
0.335,0.0,0.012,0.36148,54000
0.357,0.0,0.012,0.38259,55000
0.369,0.0,0.01,0.39478,56000
0.367,0.0,0.01,0.39194,57000
0.38,0.0,0.011,0.40516,58000
0.39,0.0,0.022,0.41454,59000
0.389,0.0,0.014,0.41337,60000
0.383,0.0,0.015,0.40785,61000
0.39,0.0,0.017,0.41459,62000
0.376,0.0,0.021,0.39859,63000
0.38,0.0,0.017,0.40381,64000
0.378,0.0,0.016,0.40158,65000
0.376,0.0,0.01,0.39942,66000
0.39,0.0,0.011,0.41314,67000
0.387,0.0,0.017,0.41058,68000
0.381,0.0,0.014,0.4039,69000
0.389,0.0,0.023,0.41053,70000
0.384,0.0,0.017,0.40616,71000
0.375,0.0,0.015,0.39921,72000
0.378,0.0,0.015,0.40002,73000
0.367,0.0,0.014,0.38855,74000
0.371,0.0,0.022,0.39281,75000
0.379,0.0,0.011,0.40007,76000
0.392,0.0,0.015,0.41384,77000
0.398,0.0,0.016,0.42003,78000
0.382,0.0,0.016,0.40165,79000
0.386,0.0,0.017,0.40698,80000
0.388,0.0,0.016,0.40855,81000
0.383,0.0,0.014,0.40288,82000
0.381,0.0,0.012,0.40318,83000
0.395,0.0,0.017,0.41596,84000
0.397,0.0,0.016,0.41923,85000
0.391,0.0,0.019,0.41309,86000
0.379,0.0,0.018,0.40053,87000
0.384,0.0,0.017,0.40692,88000
0.372,0.0,0.014,0.39404,89000
0.371,0.0,0.015,0.39203,90000
0.377,0.0,0.015,0.3986,91000
0.382,0.0,0.02,0.40369,92000
0.369,0.0,0.016,0.38899,93000
0.384,0.0,0.008,0.40483,94000
0.398,0.0,0.017,0.41903,95000
0.373,0.0,0.02,0.3959,96000
0.376,0.0,0.011,0.39803,97000
0.385,0.0,0.014,0.40698,98000
0.361,0.0,0.014,0.38298,99000
0.392,0.0,0.012,0.41278,100000
