step_idx,avg_score,loss_train,avg_winning,avg_diff
0.196,0.031,0.21652,1000,0.0,0.195,0.025,0.21515,2000,0.0
0.214,0.024,0.23408,3000,0.0
0.204,0.015,0.2233,4000,0.0
0.209,0.032,0.22973,5000,0.0
0.21,0.03,0.23222,6000,0.0
0.198,0.031,0.21974,7000,0.0
0.209,0.018,0.23202,8000,0.0
0.22,0.03,0.24459,9000,0.0
0.24,0.024,0.26332,10000,0.0
0.233,0.025,0.25707,11000,0.0
0.237,0.017,0.25869,12000,0.0
0.275,0.017,0.29832,13000,0.0
0.262,0.025,0.28613,14000,0.0
0.303,0.017,0.32679,15000,0.0
0.304,0.022,0.3283,16000,0.0
0.298,0.017,0.32373,17000,0.0
0.326,0.012,0.35084,18000,0.0
0.345,0.018,0.3691,19000,0.0
0.353,0.018,0.37478,20000,0.0
0.358,0.02,0.37984,21000,0.0
0.395,0.01,0.41667,22000,0.0
0.383,0.015,0.40545,23000,0.0
0.415,0.021,0.43811,24000,0.0
0.415,0.016,0.43587,25000,0.0
0.403,0.023,0.42457,26000,0.0
0.427,0.016,0.44918,27000,0.0
0.436,0.018,0.45809,28000,0.0
0.447,0.012,0.46799,29000,0.0
0.417,0.003,0.43632,30000,0.0
0.431,0.008,0.45146,31000,0.0
0.436,0.009,0.45803,32000,0.0
0.465,0.01,0.48724,33000,0.0
0.428,0.009,0.44976,34000,0.0
0.46,0.011,0.48325,35000,0.0
0.462,0.006,0.48372,36000,0.0
0.45,0.016,0.47045,37000,0.0
0.432,0.007,0.45506,38000,0.0
0.46,0.007,0.48345,39000,0.0
0.437,0.011,0.46058,40000,0.0
0.482,0.018,0.50563,41000,0.0
0.451,0.017,0.47722,42000,0.0
0.449,0.009,0.47255,43000,0.0
0.458,0.013,0.47942,44000,0.0
0.455,0.018,0.47386,45000,0.0
0.464,0.014,0.48532,46000,0.0
0.455,0.008,0.47678,47000,0.0
0.451,0.017,0.4734,48000,0.0
0.464,0.017,0.48797,49000,0.0
0.453,0.015,0.47591,50000,0.0
0.452,0.008,0.47428,51000,0.0
0.47,0.016,0.49287,52000,0.0
0.462,0.01,0.48432,53000,0.0
0.466,0.01,0.48858,54000,0.0
0.467,0.02,0.49,55000,0.0
0.464,0.008,0.48636,56000,0.0
0.467,0.008,0.48802,57000,0.0
0.466,0.01,0.48574,58000,0.0
0.459,0.016,0.48011,59000,0.0
0.47,0.012,0.49044,60000,0.0
0.481,0.014,0.50092,61000,0.0
0.469,0.01,0.48902,62000,0.0
0.477,0.011,0.49611,63000,0.0
0.458,0.02,0.47862,64000,0.0
0.467,0.015,0.48875,65000,0.0
0.457,0.015,0.47738,66000,0.0
0.47,0.012,0.49175,67000,0.0
0.463,0.016,0.4842,68000,0.0
0.469,0.01,0.49097,69000,0.0
0.471,0.018,0.49257,70000,0.0
0.459,0.014,0.48167,71000,0.0
0.456,0.016,0.47878,72000,0.0
0.463,0.017,0.48466,73000,0.0
0.474,0.01,0.49484,74000,0.0
0.48,0.005,0.50065,75000,0.0
0.473,0.013,0.49333,76000,0.0
0.474,0.011,0.49492,77000,0.0
0.48,0.02,0.50091,78000,0.0
0.481,0.013,0.50283,79000,0.0
0.496,0.021,0.51645,80000,0.0
0.457,0.013,0.47756,81000,0.0
0.473,0.013,0.49558,82000,0.0
0.469,0.02,0.4926,83000,0.0
0.469,0.016,0.49396,84000,0.0
0.469,0.01,0.49418,85000,0.0
0.453,0.017,0.47833,86000,0.0
0.474,0.013,0.49915,87000,0.0
0.47,0.011,0.49483,88000,0.0
0.476,0.023,0.49967,89000,0.0
0.485,0.011,0.50937,90000,0.0
0.493,0.011,0.51728,91000,0.0
