step_idx,loss_train,avg_winning,avg_score,avg_diff
1000,0.0,0.213,0.23291,0.014
2000,0.0,0.232,0.25285,0.017
3000,0.0,0.223,0.24229,0.021
4000,0.0,0.23,0.24942,0.023
5000,0.0,0.227,0.24578,0.018
6000,0.0,0.246,0.26497,0.014
7000,0.0,0.246,0.26584,0.02
8000,0.0,0.253,0.27393,0.019
9000,0.0,0.25,0.27052,0.022
10000,0.0,0.243,0.26233,0.016
11000,0.0,0.233,0.25459,0.022
12000,0.0,0.233,0.25455,0.023
13000,0.0,0.269,0.2905,0.015
14000,0.0,0.248,0.26978,0.021
15000,0.0,0.229,0.25116,0.017
16000,0.0,0.243,0.26546,0.019
17000,0.0,0.248,0.2696,0.02
18000,0.0,0.246,0.26796,0.02
19000,0.0,0.246,0.26845,0.018
20000,0.0,0.234,0.25671,0.022
21000,0.0,0.245,0.26802,0.02
22000,0.0,0.245,0.26763,0.02
23000,0.0,0.256,0.27894,0.022
24000,0.0,0.239,0.26209,0.023
25000,0.0,0.239,0.26288,0.023
26000,0.0,0.238,0.26217,0.019
27000,0.0,0.23,0.25338,0.021
28000,0.0,0.237,0.26054,0.02
29000,0.0,0.245,0.26921,0.016
30000,0.0,0.24,0.2634,0.022
31000,0.0,0.233,0.25766,0.02
32000,0.0,0.237,0.26003,0.022
33000,0.0,0.251,0.27468,0.018
34000,0.0,0.249,0.27251,0.019
35000,0.0,0.24,0.26301,0.021
36000,0.0,0.242,0.26547,0.021
37000,0.0,0.24,0.26339,0.021
38000,0.0,0.244,0.26761,0.022
39000,0.0,0.231,0.25374,0.018
40000,0.0,0.23,0.25237,0.023
41000,0.0,0.241,0.26425,0.015
42000,0.0,0.231,0.25387,0.022
43000,0.0,0.231,0.25432,0.023
44000,0.0,0.233,0.25639,0.023
45000,0.0,0.234,0.25716,0.024
46000,0.0,0.229,0.25372,0.027
47000,0.0,0.24,0.26444,0.029
48000,0.0,0.225,0.25068,0.016
49000,0.0,0.23,0.25529,0.025
