loss_train,step_idx,avg_score,avg_diff,avg_winning
0.0,1000,0.24717,0.02,0.227
0.0,2000,0.25614,0.029,0.236
0.0,3000,0.25022,0.025,0.231
0.0,4000,0.25215,0.015,0.233
0.0,5000,0.25536,0.02,0.236
0.0,6000,0.2692,0.025,0.249
0.0,7000,0.26855,0.021,0.249
0.0,8000,0.2629,0.024,0.242
0.0,9000,0.26747,0.022,0.246
0.0,10000,0.27026,0.022,0.25
0.0,11000,0.26939,0.021,0.248
0.0,12000,0.26446,0.023,0.243
0.0,13000,0.26781,0.023,0.246
0.0,14000,0.27069,0.017,0.249
0.0,15000,0.26791,0.024,0.247
0.0,16000,0.25978,0.02,0.238
0.0,17000,0.25888,0.029,0.237
0.0,18000,0.26893,0.02,0.247
0.0,19000,0.26877,0.018,0.247
0.0,20000,0.2665,0.018,0.244
0.0,21000,0.26428,0.021,0.241
0.0,22000,0.2684,0.023,0.245
0.0,23000,0.27752,0.022,0.254
0.0,24000,0.26656,0.021,0.241
0.0,25000,nan,0.02,0.258
0.0,26000,0.28751,0.012,0.261
0.0,27000,0.26333,0.017,0.236
0.0,28000,0.2686,0.014,0.241
0.0,29000,0.27497,0.01,0.246
0.0,30000,nan,0.019,0.246
0.0,31000,0.25842,0.009,0.229
0.0,32000,0.26007,0.02,0.232
0.0,33000,0.27402,0.017,0.245
0.0,34000,0.28554,0.012,0.257
0.0,35000,0.24871,0.018,0.222
0.0,36000,0.26003,0.024,0.235
0.0,37000,0.2724,0.02,0.248
0.0,38000,0.27419,0.022,0.25
0.0,39000,0.26453,0.022,0.239
0.0,40000,0.26761,0.016,0.243
0.0,41000,0.26695,0.03,0.243
0.0,42000,0.26716,0.025,0.243
0.0,43000,0.2743,0.024,0.251
0.0,44000,0.26956,0.024,0.246
0.0,45000,0.27006,0.022,0.248
0.0,46000,0.27206,0.024,0.248
0.0,47000,0.2855,0.024,0.261
0.0,48000,0.2831,0.02,0.258
0.0,49000,0.27574,0.02,0.252
0.0,50000,0.25748,0.019,0.233
0.0,51000,0.26553,0.028,0.24
0.0,52000,0.27107,0.021,0.245
0.0,53000,0.27254,0.026,0.246
0.0,54000,0.27386,0.028,0.248
0.0,55000,0.28728,0.019,0.259
0.0,56000,0.28156,0.024,0.255
0.0,57000,0.2751,0.02,0.249
0.0,58000,0.29403,0.025,0.268
0.0,59000,0.28649,0.028,0.261
0.0,60000,0.26623,0.032,0.242
0.0,61000,0.28745,0.029,0.262
0.0,62000,0.27558,0.026,0.25
0.0,63000,0.30088,0.022,0.274
0.0,64000,0.2889,0.029,0.263
0.0,65000,0.30452,0.025,0.278
0.0,66000,0.30064,0.023,0.275
0.0,67000,0.30114,0.032,0.276
0.0,68000,0.28858,0.031,0.265
0.0,69000,0.28328,0.026,0.26
0.0,70000,0.26804,0.024,0.245
0.0,71000,0.26886,0.022,0.245
0.0,72000,0.26992,0.023,0.247
0.0,73000,0.27123,0.016,0.249
0.0,74000,0.28023,0.02,0.258
0.0,75000,0.28125,0.021,0.259
0.0,76000,0.27221,0.019,0.25
0.0,77000,0.27541,0.029,0.254
0.0,78000,0.28406,0.019,0.262
0.0,79000,0.27147,0.022,0.25
0.0,80000,0.24317,0.026,0.222
0.0,81000,0.2672,0.026,0.245
0.0,82000,0.24351,0.022,0.221
0.0,83000,0.26018,0.02,0.237
0.0,84000,0.28736,0.025,0.263
0.0,85000,0.2737,0.026,0.25
0.0,86000,0.29033,0.022,0.266
0.0,87000,0.27224,0.018,0.249
0.0,88000,0.28589,0.018,0.262
0.0,89000,0.26967,0.028,0.246
0.0,90000,0.29714,0.013,0.274
0.0,91000,0.28487,0.017,0.261
0.0,92000,0.29954,0.018,0.276
0.0,93000,0.28856,0.03,0.264
0.0,94000,0.29141,0.023,0.266
0.0,95000,0.28815,0.03,0.263
0.0,96000,0.3196,0.025,0.294
0.0,97000,0.30772,0.025,0.282
0.0,98000,0.31923,0.026,0.294
0.0,99000,0.30454,0.024,0.281
0.0,100000,0.32693,0.023,0.302
0.0,101000,0.3379,0.015,0.314
0.0,102000,0.34798,0.026,0.325
0.0,103000,0.32894,0.021,0.307
0.0,104000,0.3796,0.016,0.358
0.0,105000,0.36216,0.03,0.341
0.0,106000,0.35405,0.022,0.332
0.0,107000,0.3613,0.025,0.34
0.0,108000,0.37305,0.025,0.352
0.0,109000,0.36945,0.022,0.348
0.0,110000,0.35315,0.029,0.333
0.0,111000,0.37815,0.02,0.357
0.0,112000,0.37667,0.022,0.355
0.0,113000,0.38868,0.027,0.366
0.0,114000,0.36079,0.02,0.339
0.0,115000,0.36288,0.02,0.341
0.0,116000,0.36702,0.027,0.346
0.0,117000,0.37054,0.023,0.349
0.0,118000,0.37949,0.018,0.357
0.0,119000,0.37132,0.022,0.35
0.0,120000,0.37769,0.021,0.357
0.0,121000,0.37537,0.028,0.355
0.0,122000,0.3699,0.025,0.35
0.0,123000,0.37703,0.017,0.358
0.0,124000,0.36864,0.025,0.351
0.0,125000,0.37574,0.025,0.356
0.0,126000,0.35593,0.021,0.337
0.0,127000,0.37569,0.027,0.356
0.0,128000,0.37803,0.027,0.358
0.0,129000,0.3759,0.026,0.357
0.0,130000,0.36344,0.02,0.345
0.0,131000,0.37781,0.02,0.358
0.0,132000,0.39483,0.019,0.374
0.0,133000,0.38089,0.024,0.362
0.0,134000,0.3959,0.025,0.376
0.0,135000,0.38024,0.031,0.361
0.0,136000,0.39119,0.025,0.371
0.0,137000,0.381,0.022,0.36
0.0,138000,0.37989,0.027,0.359
0.0,139000,0.41333,0.016,0.392
0.0,140000,0.38344,0.028,0.363
0.0,141000,0.38031,0.02,0.359
0.0,142000,0.38452,0.022,0.364
0.0,143000,0.40605,0.022,0.386
0.0,144000,0.39198,0.022,0.371
0.0,145000,0.40077,0.031,0.38
0.0,146000,0.38831,0.026,0.369
0.0,147000,0.39258,0.022,0.372
0.0,148000,0.37872,0.025,0.359
0.0,149000,0.38286,0.024,0.363
0.0,150000,0.38141,0.022,0.362
0.0,151000,0.38579,0.027,0.366
0.0,152000,0.35572,0.027,0.337
0.0,153000,0.34507,0.023,0.326
0.0,154000,0.36933,0.023,0.349
0.0,155000,0.37019,0.026,0.35
0.0,156000,0.39689,0.026,0.375
0.0,157000,0.35239,0.025,0.332
0.0,158000,0.33548,0.03,0.315
0.0,159000,0.30997,0.025,0.29
0.0,160000,0.33587,0.025,0.318
0.0,161000,0.34719,0.026,0.328
0.0,162000,0.3514,0.024,0.333
0.0,163000,0.38355,0.026,0.365
0.0,164000,0.3735,0.021,0.355
0.0,165000,0.36072,0.023,0.343
0.0,166000,0.38296,0.019,0.363
0.0,167000,0.37222,0.026,0.352
0.0,168000,0.3811,0.017,0.362
0.0,169000,0.37943,0.021,0.36
0.0,170000,0.35881,0.022,0.34
0.0,171000,0.37318,0.024,0.355
0.0,172000,0.3779,0.021,0.359
0.0,173000,0.35568,0.023,0.337
0.0,174000,0.36086,0.022,0.341
0.0,175000,0.35918,0.023,0.34
0.0,176000,0.37715,0.019,0.358
0.0,177000,0.36537,0.021,0.346
0.0,178000,0.3591,0.023,0.341
0.0,179000,0.39747,0.024,0.377
0.0,180000,0.39162,0.021,0.372
0.0,181000,0.38864,0.024,0.369
0.0,182000,0.37587,0.022,0.356
0.0,183000,0.37953,0.025,0.359
0.0,184000,0.37932,0.023,0.359
0.0,185000,0.40134,0.02,0.381
0.0,186000,0.40621,0.018,0.386
0.0,187000,0.36085,0.02,0.341
0.0,188000,0.3764,0.015,0.356
0.0,189000,0.39304,0.019,0.373
0.0,190000,0.37892,0.019,0.359
0.0,191000,0.41809,0.028,0.398
0.0,192000,0.39694,0.022,0.377
0.0,193000,0.39127,0.016,0.372
0.0,194000,0.40169,0.02,0.383
0.0,195000,0.39296,0.023,0.375
0.0,196000,0.39342,0.032,0.375
0.0,197000,0.39996,0.019,0.381
0.0,198000,0.38604,0.025,0.367
0.0,199000,0.38839,0.024,0.37
0.0,200000,0.38967,0.024,0.37
0.0,201000,0.38884,0.029,0.369
0.0,202000,0.38484,0.026,0.365
0.0,203000,0.39272,0.021,0.373
0.0,204000,0.39179,0.02,0.371
0.0,205000,0.36356,0.019,0.344
0.0,206000,0.38197,0.018,0.364
0.0,207000,0.3836,0.03,0.364
0.0,208000,0.37686,0.022,0.358
0.0,209000,0.3705,0.02,0.352
0.0,210000,0.40364,0.018,0.386
0.0,211000,0.37408,0.022,0.356
0.0,212000,0.40038,0.019,0.382
0.0,213000,0.40209,0.016,0.384
0.0,214000,0.41994,0.019,0.399
0.0,215000,0.43599,0.024,0.414
0.0,216000,0.43227,0.021,0.41
0.0,217000,0.41312,0.019,0.391
0.0,218000,0.41701,0.021,0.395
0.0,219000,0.45027,0.02,0.429
0.0,220000,0.42172,0.023,0.399
0.0,221000,0.41807,0.011,0.395
0.0,222000,0.43735,0.012,0.416
0.0,223000,0.4209,0.018,0.401
0.0,224000,0.40613,0.024,0.387
0.0,225000,0.4109,0.016,0.39
0.0,226000,0.43505,0.021,0.415
0.0,227000,0.41171,0.027,0.393
0.0,228000,0.40935,0.016,0.39
0.0,229000,0.42463,0.018,0.404
0.0,230000,0.43829,0.019,0.417
0.0,231000,0.43096,0.018,0.412
0.0,232000,0.43079,0.026,0.412
0.0,233000,0.44291,0.018,0.422
0.0,234000,0.40871,0.018,0.389
0.0,235000,0.42692,0.02,0.407
0.0,236000,0.42469,0.018,0.404
0.0,237000,0.42001,0.022,0.399
0.0,238000,0.41481,0.016,0.393
0.0,239000,0.43301,0.019,0.412
0.0,240000,0.43555,0.026,0.415
0.0,241000,0.41086,0.022,0.391
0.0,242000,0.42801,0.013,0.407
0.0,243000,0.44599,0.014,0.425
0.0,244000,0.43806,0.013,0.416
0.0,245000,0.45756,0.011,0.435
0.0,246000,0.43788,0.013,0.416
0.0,247000,0.42809,0.014,0.407
0.0,248000,0.43567,0.017,0.415
0.0,249000,0.43146,0.019,0.411
0.0,250000,0.42959,0.022,0.408
0.0,251000,0.44289,0.015,0.421
0.0,252000,0.44224,0.018,0.421
0.0,253000,0.4354,0.019,0.415
0.0,254000,0.45981,0.015,0.438
0.0,255000,0.43117,0.013,0.41
0.0,256000,0.43497,0.015,0.412
0.0,257000,0.43513,0.014,0.415
0.0,258000,0.44695,0.009,0.425
0.0,259000,0.44272,0.013,0.421
0.0,260000,0.39919,0.011,0.379
0.0,261000,0.4308,0.018,0.409
0.0,262000,0.40571,0.007,0.386
0.0,263000,0.43078,0.021,0.41
0.0,264000,0.41793,0.015,0.396
0.0,265000,0.43035,0.013,0.409
0.0,266000,0.43958,0.019,0.418
0.0,267000,0.43365,0.007,0.414
0.0,268000,0.41499,0.015,0.397
