avg_winning,avg_diff,loss_train,avg_score,step_idx
0.253,0.02,0.0,0.27991,1000
0.285,0.014,0.0,0.3118,2000
0.262,0.019,0.0,0.28723,3000
0.257,0.018,0.0,0.28114,4000
0.239,0.024,0.0,0.26159,5000
0.23,0.016,0.0,0.25277,6000
0.242,0.015,0.0,0.26498,7000
0.231,0.023,0.0,0.2553,8000
0.246,0.018,0.0,0.27054,9000
0.236,0.017,0.0,0.26105,10000
0.236,0.026,0.0,0.26182,11000
0.239,0.031,0.0,0.26361,12000
0.234,0.032,0.0,0.25823,13000
0.254,0.024,0.0,0.27822,14000
0.229,0.024,0.0,0.25292,15000
0.248,0.024,0.0,0.2717,16000
0.239,0.022,0.0,0.26277,17000
0.227,0.019,0.0,0.24941,18000
0.225,0.025,0.0,0.24673,19000
0.238,0.029,0.0,0.26017,20000
0.243,0.023,0.0,0.26412,21000
0.22,0.028,0.0,0.24146,22000
0.235,0.028,0.0,0.25654,23000
0.244,0.027,0.0,0.26576,24000
0.233,0.021,0.0,0.2536,25000
0.235,0.02,0.0,0.25429,26000
0.243,0.018,0.0,0.26265,27000
0.236,0.012,0.0,0.25547,28000
0.24,0.017,0.0,0.26172,29000
0.252,0.019,0.0,0.27471,30000
0.229,0.025,0.0,0.25138,31000
0.239,0.023,0.0,0.26342,32000
0.236,0.018,0.0,0.25903,33000
0.224,0.021,0.0,0.24776,34000
0.238,0.028,0.0,0.26024,35000
0.235,0.02,0.0,0.25876,36000
0.244,0.027,0.0,0.26902,37000
0.234,0.021,0.0,0.2586,38000
0.249,0.019,0.0,0.27514,39000
0.243,0.03,0.0,0.26967,40000
0.223,0.025,0.0,0.2486,41000
0.22,0.026,0.0,0.24686,42000
0.257,0.026,0.0,0.28392,43000
0.247,0.021,0.0,0.27202,44000
0.229,0.025,0.0,0.25349,45000
0.244,0.025,0.0,0.26872,46000
0.226,0.02,0.0,0.2519,47000
0.219,0.026,0.0,0.24525,48000
0.225,0.025,0.0,0.2508,49000
0.23,0.029,0.0,0.25675,50000
0.228,0.033,0.0,0.25364,51000
0.216,0.026,0.0,0.24231,52000
0.238,0.016,0.0,0.26457,53000
0.226,0.019,0.0,0.25162,54000
0.229,0.027,0.0,0.25381,55000
0.232,0.019,0.0,0.25711,56000
0.226,0.029,0.0,0.25093,57000
0.229,0.026,0.0,0.25328,58000
0.223,0.033,0.0,0.24591,59000
0.227,0.024,0.0,0.25006,60000
0.225,0.021,0.0,0.24808,61000
0.23,0.029,0.0,0.25312,62000
0.226,0.028,0.0,0.24893,63000
0.225,0.021,0.0,0.24929,64000
0.23,0.018,0.0,0.25572,65000
0.214,0.024,0.0,0.2389,66000
0.23,0.018,0.0,0.25622,67000
0.22,0.013,0.0,0.24529,68000
0.211,0.022,0.0,0.23825,69000
0.216,0.026,0.0,0.24273,70000
0.223,0.022,0.0,0.24996,71000
0.198,0.019,0.0,0.22431,72000
0.207,0.028,0.0,0.23287,73000
0.205,0.013,0.0,0.23159,74000
0.223,0.027,0.0,0.24848,75000
0.212,0.023,0.0,0.23786,76000
0.219,0.028,0.0,0.24485,77000
0.21,0.016,0.0,0.23648,78000
0.211,0.021,0.0,0.23796,79000
0.207,0.026,0.0,0.23396,80000
0.222,0.029,0.0,0.24934,81000
0.216,0.019,0.0,0.24251,82000
0.214,0.026,0.0,0.24117,83000
0.218,0.011,0.0,0.24484,84000
