avg_score,avg_winning,avg_diff,step_idx,loss_train
0.28954,0.265,0.026,1000,0.0
0.2726,0.249,0.021,2000,0.0
0.26813,0.246,0.02,3000,0.0
0.25594,0.234,0.018,4000,0.0
0.25966,0.239,0.02,5000,0.0
0.24184,0.222,0.023,6000,0.0
0.2751,0.254,0.03,7000,0.0
0.26346,0.242,0.017,8000,0.0
0.24037,0.22,0.018,9000,0.0
0.25835,0.237,0.025,10000,0.0
0.25708,0.236,0.02,11000,0.0
0.2601,0.24,0.025,12000,0.0
0.2682,0.247,0.021,13000,0.0
0.25215,0.232,0.018,14000,0.0
0.25668,0.236,0.022,15000,0.0
0.26203,0.24,0.024,16000,0.0
0.2794,0.257,0.031,17000,0.0
0.2682,0.245,0.017,18000,0.0
0.25836,0.234,0.023,19000,0.0
0.27188,0.246,0.027,20000,0.0
0.26714,0.241,0.032,21000,0.0
0.27231,0.246,0.025,22000,0.0
0.26709,0.242,0.031,23000,0.0
0.27,0.243,0.024,24000,0.0
0.27591,0.248,0.023,25000,0.0
0.27276,0.244,0.017,26000,0.0
0.26729,0.24,0.021,27000,0.0
0.27193,0.244,0.015,28000,0.0
0.26954,0.243,0.026,29000,0.0
0.25892,0.232,0.018,30000,0.0
0.25634,0.23,0.027,31000,0.0
0.26618,0.239,0.028,32000,0.0
0.26732,0.239,0.021,33000,0.0
0.26211,0.235,0.021,34000,0.0
0.24306,0.217,0.023,35000,0.0
0.253,0.227,0.021,36000,0.0
0.24779,0.223,0.025,37000,0.0
0.24882,0.223,0.029,38000,0.0
0.25483,0.229,0.018,39000,0.0
0.25162,0.226,0.022,40000,0.0
0.24948,0.224,0.025,41000,0.0
0.25258,0.227,0.016,42000,0.0
0.25206,0.227,0.025,43000,0.0
0.25581,0.23,0.03,44000,0.0
0.24617,0.22,0.022,45000,0.0
0.2512,0.225,0.021,46000,0.0
0.25012,0.223,0.02,47000,0.0
0.25352,0.228,0.021,48000,0.0
0.24773,0.223,0.024,49000,0.0
0.24144,0.216,0.031,50000,0.0
0.24514,0.22,0.028,51000,0.0
0.2412,0.216,0.028,52000,0.0
0.2433,0.217,0.028,53000,0.0
0.24558,0.219,0.017,54000,0.0
0.24201,0.216,0.022,55000,0.0
0.24977,0.225,0.022,56000,0.0
0.24255,0.218,0.033,57000,0.0
0.24985,0.225,0.019,58000,0.0
0.25129,0.227,0.023,59000,0.0
0.24178,0.218,0.029,60000,0.0
0.24856,0.225,0.027,61000,0.0
0.24374,0.219,0.022,62000,0.0
0.24792,0.223,0.023,63000,0.0
0.25153,0.227,0.027,64000,0.0
0.25632,0.232,0.022,65000,0.0
0.25352,0.229,0.028,66000,0.0
0.25509,0.23,0.024,67000,0.0
0.25197,0.227,0.026,68000,0.0
0.24014,0.215,0.021,69000,0.0
0.2519,0.226,0.024,70000,0.0
0.27199,0.246,0.017,71000,0.0
0.24402,0.218,0.028,72000,0.0
0.26464,0.239,0.018,73000,0.0
0.26702,0.242,0.017,74000,0.0
0.26214,0.237,0.02,75000,0.0
0.26,0.235,0.029,76000,0.0
0.26006,0.234,0.025,77000,0.0
0.25579,0.23,0.022,78000,0.0
0.25586,0.228,0.017,79000,0.0
0.24919,0.223,0.023,80000,0.0
0.25405,0.228,0.016,81000,0.0
0.25685,0.231,0.031,82000,0.0
0.25279,0.226,0.021,83000,0.0
0.26091,0.234,0.021,84000,0.0
0.25701,0.229,0.025,85000,0.0
0.26737,0.24,0.024,86000,0.0
0.27649,0.248,0.016,87000,0.0
0.29672,0.269,0.027,88000,0.0
0.32835,0.301,0.016,89000,0.0
0.32127,0.295,0.022,90000,0.0
0.32983,0.304,0.018,91000,0.0
0.35305,0.33,0.018,92000,0.0
0.34321,0.319,0.018,93000,0.0
0.36025,0.336,0.024,94000,0.0
0.36904,0.345,0.017,95000,0.0
0.36526,0.341,0.015,96000,0.0
0.35985,0.336,0.019,97000,0.0
0.37573,0.352,0.02,98000,0.0
0.37965,0.357,0.016,99000,0.0
0.38013,0.357,0.019,100000,0.0
0.38048,0.358,0.012,101000,0.0
0.36469,0.342,0.017,102000,0.0
0.36953,0.347,0.018,103000,0.0
0.37854,0.357,0.008,104000,0.0
0.37175,0.351,0.015,105000,0.0
0.36828,0.346,0.017,106000,0.0
0.36823,0.347,0.019,107000,0.0
0.35929,0.338,0.017,108000,0.0
0.36669,0.345,0.014,109000,0.0
0.36311,0.341,0.017,110000,0.0
0.36752,0.344,0.018,111000,0.0
0.36923,0.347,0.012,112000,0.0
0.36114,0.339,0.014,113000,0.0
0.37472,0.353,0.017,114000,0.0
0.37085,0.349,0.016,115000,0.0
0.37327,0.35,0.017,116000,0.0
0.36107,0.338,0.013,117000,0.0
0.36331,0.34,0.016,118000,0.0
0.36412,0.34,0.013,119000,0.0
0.36191,0.339,0.015,120000,0.0
0.3665,0.343,0.007,121000,0.0
0.36152,0.338,0.013,122000,0.0
0.3623,0.339,0.016,123000,0.0
0.37081,0.347,0.01,124000,0.0
0.36358,0.34,0.015,125000,0.0
0.36848,0.345,0.014,126000,0.0
0.36765,0.344,0.01,127000,0.0
0.3679,0.345,0.02,128000,0.0
0.35902,0.337,0.017,129000,0.0
0.34528,0.324,0.016,130000,0.0
0.36171,0.34,0.01,131000,0.0
0.36076,0.339,0.016,132000,0.0
0.35649,0.335,0.013,133000,0.0
0.35537,0.333,0.013,134000,0.0
0.36055,0.339,0.019,135000,0.0
0.3416,0.32,0.016,136000,0.0
0.34557,0.324,0.016,137000,0.0
0.34346,0.322,0.019,138000,0.0
0.33588,0.314,0.015,139000,0.0
0.34237,0.321,0.017,140000,0.0
0.35464,0.333,0.018,141000,0.0
0.3446,0.323,0.017,142000,0.0
0.34352,0.321,0.011,143000,0.0
0.32456,0.302,0.015,144000,0.0
0.34257,0.32,0.012,145000,0.0
0.34457,0.321,0.016,146000,0.0
0.33707,0.314,0.014,147000,0.0
0.32822,0.306,0.019,148000,0.0
0.33492,0.312,0.02,149000,0.0
0.34534,0.323,0.012,150000,0.0
0.33999,0.317,0.016,151000,0.0
0.34251,0.32,0.016,152000,0.0
0.34158,0.32,0.01,153000,0.0
0.32804,0.307,0.016,154000,0.0
0.33095,0.31,0.017,155000,0.0
0.31103,0.29,0.025,156000,0.0
0.32393,0.302,0.019,157000,0.0
0.34041,0.318,0.018,158000,0.0
0.34088,0.319,0.015,159000,0.0
0.33991,0.318,0.02,160000,0.0
0.32664,0.305,0.019,161000,0.0
0.33259,0.311,0.016,162000,0.0
0.33215,0.311,0.018,163000,0.0
0.34074,0.32,0.018,164000,0.0
0.31818,0.298,0.019,165000,0.0
0.34018,0.321,0.02,166000,0.0
0.31505,0.295,0.018,167000,0.0
0.33023,0.31,0.016,168000,0.0
0.32886,0.308,0.015,169000,0.0
0.32511,0.305,0.009,170000,0.0
0.33973,0.319,0.017,171000,0.0
0.3429,0.324,0.013,172000,0.0
0.3442,0.325,0.027,173000,0.0
0.3454,0.325,0.017,174000,0.0
0.32839,0.308,0.017,175000,0.0
0.34535,0.324,0.017,176000,0.0
0.33772,0.317,0.018,177000,0.0
0.33179,0.312,0.015,178000,0.0
0.33151,0.311,0.017,179000,0.0
0.33715,0.317,0.017,180000,0.0
0.34944,0.33,0.015,181000,0.0
0.34625,0.326,0.015,182000,0.0
0.33903,0.318,0.014,183000,0.0
0.34109,0.32,0.017,184000,0.0
0.33325,0.312,0.014,185000,0.0
0.34,0.318,0.013,186000,0.0
0.34038,0.317,0.014,187000,0.0
0.32363,0.302,0.014,188000,0.0
0.33766,0.316,0.021,189000,0.0
0.33134,0.31,0.014,190000,0.0
0.33201,0.31,0.019,191000,0.0
0.33085,0.309,0.018,192000,0.0
0.34361,0.323,0.018,193000,0.0
0.32391,0.304,0.018,194000,0.0
0.33063,0.311,0.012,195000,0.0
0.33237,0.312,0.021,196000,0.0
0.34973,0.328,0.012,197000,0.0
0.3362,0.314,0.018,198000,0.0
0.32873,0.306,0.018,199000,0.0
0.34572,0.323,0.023,200000,0.0
0.32652,0.305,0.022,201000,0.0
0.33505,0.313,0.023,202000,0.0
0.32535,0.306,0.019,203000,0.0
0.34067,0.32,0.018,204000,0.0
0.34236,0.32,0.014,205000,0.0
0.34247,0.321,0.01,206000,0.0
0.33249,0.31,0.021,207000,0.0
0.32574,0.303,0.018,208000,0.0
0.33386,0.312,0.018,209000,0.0
0.3395,0.317,0.012,210000,0.0
0.33929,0.318,0.02,211000,0.0
0.3478,0.325,0.017,212000,0.0
0.32503,0.302,0.016,213000,0.0
0.32798,0.305,0.019,214000,0.0
0.33283,0.31,0.01,215000,0.0
0.33524,0.313,0.022,216000,0.0
0.34652,0.324,0.017,217000,0.0
0.34407,0.322,0.016,218000,0.0
0.34154,0.32,0.023,219000,0.0
0.34472,0.324,0.008,220000,0.0
0.3455,0.324,0.015,221000,0.0
0.33574,0.315,0.018,222000,0.0
0.3408,0.319,0.015,223000,0.0
0.31717,0.294,0.013,224000,0.0
0.34109,0.318,0.01,225000,0.0
0.34658,0.325,0.012,226000,0.0
0.33031,0.309,0.01,227000,0.0
0.34653,0.327,0.015,228000,0.0
0.35398,0.333,0.012,229000,0.0
0.35083,0.331,0.017,230000,0.0
0.34358,0.324,0.013,231000,0.0
0.34429,0.325,0.011,232000,0.0
0.32334,0.304,0.012,233000,0.0
0.32537,0.306,0.019,234000,0.0
0.33821,0.318,0.017,235000,0.0
0.34189,0.321,0.014,236000,0.0
0.3301,0.311,0.019,237000,0.0
0.3235,0.304,0.016,238000,0.0
0.329,0.31,0.019,239000,0.0
0.32851,0.31,0.014,240000,0.0
0.33448,0.315,0.015,241000,0.0
0.32818,0.31,0.014,242000,0.0
0.34623,0.327,0.013,243000,0.0
0.33228,0.312,0.015,244000,0.0
0.33398,0.313,0.013,245000,0.0
0.32059,0.3,0.015,246000,0.0
0.32757,0.308,0.018,247000,0.0
0.32266,0.304,0.015,248000,0.0
0.34395,0.323,0.011,249000,0.0
0.32387,0.303,0.016,250000,0.0
0.32738,0.306,0.019,251000,0.0
0.34324,0.322,0.018,252000,0.0
0.33443,0.314,0.018,253000,0.0
0.3372,0.317,0.016,254000,0.0
0.33654,0.317,0.01,255000,0.0
0.33042,0.311,0.014,256000,0.0
0.33467,0.314,0.016,257000,0.0
0.33171,0.312,0.013,258000,0.0
0.33318,0.313,0.012,259000,0.0
0.32539,0.306,0.011,260000,0.0
0.32768,0.309,0.011,261000,0.0
0.33644,0.317,0.008,262000,0.0
0.33926,0.322,0.012,263000,0.0
0.33705,0.318,0.014,264000,0.0
0.33542,0.316,0.015,265000,0.0
0.32798,0.309,0.009,266000,0.0
0.34518,0.326,0.012,267000,0.0
0.337,0.318,0.011,268000,0.0
0.33336,0.314,0.011,269000,0.0
0.35286,0.333,0.016,270000,0.0
0.33972,0.319,0.01,271000,0.0
0.33591,0.314,0.017,272000,0.0
0.33557,0.313,0.01,273000,0.0
0.35451,0.331,0.02,274000,0.0
0.32803,0.305,0.014,275000,0.0
0.35113,0.328,0.013,276000,0.0
0.3381,0.315,0.016,277000,0.0
0.35615,0.332,0.013,278000,0.0
0.34722,0.324,0.015,279000,0.0
0.33889,0.316,0.016,280000,0.0
0.3262,0.303,0.015,281000,0.0
0.35293,0.33,0.01,282000,0.0
0.34813,0.327,0.016,283000,0.0
0.33474,0.313,0.017,284000,0.0
0.34,0.319,0.016,285000,0.0
0.34691,0.324,0.009,286000,0.0
0.3314,0.31,0.02,287000,0.0
0.32869,0.307,0.018,288000,0.0
0.34275,0.322,0.015,289000,0.0
0.34883,0.328,0.011,290000,0.0
0.33306,0.313,0.023,291000,0.0
0.32731,0.307,0.015,292000,0.0
