avg_score,avg_diff,loss_train,step_idx,avg_winning
0.21512,0.028,0.0,1000,0.193
0.22699,0.024,0.0,2000,0.207
0.23559,0.021,0.0,3000,0.216
0.20287,0.022,0.0,4000,0.185
0.24381,0.026,0.0,5000,0.224
0.25484,0.025,0.0,6000,0.235
0.22513,0.024,0.0,7000,0.205
0.26073,0.026,0.0,8000,0.239
0.25345,0.022,0.0,9000,0.231
0.27121,0.023,0.0,10000,0.248
0.2876,0.026,0.0,11000,0.264
0.28764,0.031,0.0,12000,0.264
0.28167,0.03,0.0,13000,0.259
0.29708,0.018,0.0,14000,0.275
0.28516,0.027,0.0,15000,0.263
0.31448,0.015,0.0,16000,0.295
0.32125,0.015,0.0,17000,0.301
0.31497,0.015,0.0,18000,0.293
0.36234,0.018,0.0,19000,0.34
0.37655,0.012,0.0,20000,0.355
0.3581,0.016,0.0,21000,0.336
0.38966,0.015,0.0,22000,0.368
0.36891,0.012,0.0,23000,0.347
0.42135,0.009,0.0,24000,0.397
0.41094,0.023,0.0,25000,0.387
0.40028,0.018,0.0,26000,0.377
0.44023,0.018,0.0,27000,0.416
0.42088,0.019,0.0,28000,0.396
0.4441,0.022,0.0,29000,0.417
0.43405,0.01,0.0,30000,0.409
0.43641,0.01,0.0,31000,0.412
0.43832,0.013,0.0,32000,0.414
0.44699,0.01,0.0,33000,0.425
0.45294,0.016,0.0,34000,0.429
0.45217,0.013,0.0,35000,0.431
0.46371,0.007,0.0,36000,0.443
0.46319,0.016,0.0,37000,0.439
0.47954,0.018,0.0,38000,0.455
0.47217,0.023,0.0,39000,0.447
0.48811,0.024,0.0,40000,0.463
0.47834,0.011,0.0,41000,0.451
0.47426,0.016,0.0,42000,0.449
0.45266,0.013,0.0,43000,0.429
0.46381,0.009,0.0,44000,0.441
0.47914,0.017,0.0,45000,0.456
0.4963,0.019,0.0,46000,0.474
0.47823,0.014,0.0,47000,0.455
0.47431,0.014,0.0,48000,0.453
0.49706,0.018,0.0,49000,0.475
0.46506,0.018,0.0,50000,0.442
0.47934,0.017,0.0,51000,0.456
0.48406,0.018,0.0,52000,0.459
0.48874,0.026,0.0,53000,0.464
0.48415,0.014,0.0,54000,0.461
0.48824,0.014,0.0,55000,0.464
0.50865,0.013,0.0,56000,0.483
0.48593,0.015,0.0,57000,0.461
0.49617,0.016,0.0,58000,0.471
0.4958,0.019,0.0,59000,0.472
0.47735,0.016,0.0,60000,0.455
0.48114,0.013,0.0,61000,0.458
0.47738,0.015,0.0,62000,0.455
0.4668,0.007,0.0,63000,0.443
0.4697,0.022,0.0,64000,0.447
0.4701,0.009,0.0,65000,0.449
0.47285,0.013,0.0,66000,0.451
0.47949,0.013,0.0,67000,0.458
0.47292,0.014,0.0,68000,0.451
0.47431,0.016,0.0,69000,0.452
0.47042,0.012,0.0,70000,0.449
0.46727,0.008,0.0,71000,0.445
0.46664,0.01,0.0,72000,0.445
0.48636,0.013,0.0,73000,0.464
0.48483,0.014,0.0,74000,0.463
0.47619,0.016,0.0,75000,0.453
0.48005,0.014,0.0,76000,0.455
0.46532,0.019,0.0,77000,0.441
0.47096,0.02,0.0,78000,0.446
0.49495,0.02,0.0,79000,0.472
0.47105,0.023,0.0,80000,0.449
0.48689,0.011,0.0,81000,0.464
0.5022,0.01,0.0,82000,0.478
0.48411,0.009,0.0,83000,0.461
0.47129,0.025,0.0,84000,0.448
0.49144,0.023,0.0,85000,0.468
0.48488,0.013,0.0,86000,0.462
0.47267,0.018,0.0,87000,0.449
0.49512,0.01,0.0,88000,0.471
0.48383,0.021,0.0,89000,0.46
0.45964,0.021,0.0,90000,0.437
0.48486,0.014,0.0,91000,0.462
0.48148,0.016,0.0,92000,0.459
0.48102,0.013,0.0,93000,0.458
0.48756,0.016,0.0,94000,0.465
0.48927,0.02,0.0,95000,0.466
0.49914,0.016,0.0,96000,0.476
0.49078,0.016,0.0,97000,0.469
