avg_diff,avg_winning,loss_train,avg_score,step_idx
0.014,0.266,0.0,0.29183,1000
0.023,0.251,0.0,0.27456,2000
0.026,0.246,0.0,0.26732,3000
0.016,0.233,0.0,0.25286,4000
0.016,0.239,0.0,0.25886,5000
0.021,0.239,0.0,0.25799,6000
0.015,0.246,0.0,0.26629,7000
0.023,0.248,0.0,0.26804,8000
0.02,0.239,0.0,0.25832,9000
0.021,0.251,0.0,0.27157,10000
0.027,0.242,0.0,0.26155,11000
0.025,0.239,0.0,0.25788,12000
0.023,0.248,0.0,0.26801,13000
0.023,0.255,0.0,0.27579,14000
0.026,0.243,0.0,0.26364,15000
0.019,0.245,0.0,0.26703,16000
0.021,0.248,0.0,0.26997,17000
0.022,0.261,0.0,0.28285,18000
0.019,0.249,0.0,0.27072,19000
0.025,0.234,0.0,0.25672,20000
0.023,0.25,0.0,0.27438,21000
0.019,0.257,0.0,0.28162,22000
0.02,0.24,0.0,0.26475,23000
0.025,0.244,0.0,0.26846,24000
0.025,0.232,0.0,0.25775,25000
0.023,0.247,0.0,0.27308,26000
0.022,0.254,0.0,0.27979,27000
0.029,0.246,0.0,0.27118,28000
0.02,0.263,0.0,0.28884,29000
0.024,0.248,0.0,0.27249,30000
0.02,0.245,0.0,0.2705,31000
0.022,0.248,0.0,0.27398,32000
0.023,0.279,0.0,0.30416,33000
0.03,0.31,0.0,0.33324,34000
0.02,0.315,0.0,0.33796,35000
0.017,0.362,0.0,0.3844,36000
0.022,0.36,0.0,0.3823,37000
0.017,0.357,0.0,0.38021,38000
0.025,0.365,0.0,0.38743,39000
0.019,0.36,0.0,0.38255,40000
0.019,0.374,0.0,0.39582,41000
0.022,0.354,0.0,0.37539,42000
0.013,0.366,0.0,0.3877,43000
0.019,0.378,0.0,0.40038,44000
0.018,0.379,0.0,0.4012,45000
0.014,0.377,0.0,0.39818,46000
0.018,0.382,0.0,0.40315,47000
0.02,0.38,0.0,0.40106,48000
0.009,0.37,0.0,0.39025,49000
0.018,0.376,0.0,0.39615,50000
0.021,0.381,0.0,0.4024,51000
0.023,0.378,0.0,0.39959,52000
0.015,0.362,0.0,0.38404,53000
0.02,0.381,0.0,0.40292,54000
0.018,0.383,0.0,0.40527,55000
0.018,0.371,0.0,0.39148,56000
0.019,0.376,0.0,0.39726,57000
0.016,0.37,0.0,0.39184,58000
0.017,0.368,0.0,0.389,59000
0.017,0.376,0.0,0.39614,60000
0.025,0.373,0.0,0.39334,61000
0.03,0.364,0.0,0.38473,62000
0.015,0.362,0.0,0.38183,63000
0.016,0.359,0.0,0.37871,64000
0.017,0.379,0.0,0.39827,65000
0.021,0.357,0.0,0.37466,66000
0.02,0.371,0.0,0.38911,67000
0.019,0.354,0.0,0.37204,68000
0.019,0.381,0.0,0.39888,69000
0.017,0.375,0.0,0.39419,70000
0.022,0.371,0.0,0.39058,71000
0.017,0.379,0.0,0.39835,72000
0.022,0.381,0.0,0.39826,73000
0.023,0.365,0.0,0.38354,74000
0.022,0.383,0.0,0.40335,75000
0.02,0.393,0.0,0.41383,76000
0.022,0.385,0.0,0.40389,77000
0.026,0.39,0.0,0.40798,78000
0.022,0.387,0.0,0.40377,79000
0.015,0.385,0.0,0.40186,80000
0.027,0.391,0.0,0.40828,81000
0.021,0.367,0.0,0.38423,82000
0.014,0.397,0.0,0.41369,83000
0.014,0.401,0.0,0.41741,84000
0.022,0.376,0.0,0.39147,85000
0.022,0.403,0.0,0.41996,86000
0.016,0.406,0.0,0.42364,87000
0.016,0.389,0.0,0.40532,88000
0.017,0.399,0.0,0.41643,89000
0.021,0.404,0.0,0.42124,90000
0.017,0.41,0.0,0.42736,91000
0.021,0.412,0.0,0.42892,92000
0.015,0.414,0.0,0.43023,93000
0.02,0.393,0.0,0.40978,94000
0.018,0.397,0.0,0.41458,95000
0.021,0.405,0.0,0.42306,96000
0.018,0.401,0.0,0.41738,97000
0.023,0.399,0.0,0.41626,98000
0.016,0.406,0.0,0.42243,99000
0.017,0.396,0.0,0.41319,100000
0.02,0.403,0.0,0.42143,101000
0.02,0.403,0.0,0.42063,102000
0.017,0.409,0.0,0.4258,103000
0.018,0.398,0.0,0.41448,104000
0.021,0.4,0.0,0.41621,105000
0.014,0.409,0.0,0.42525,106000
0.02,0.398,0.0,0.41407,107000
0.023,0.409,0.0,0.42455,108000
0.017,0.408,0.0,0.42218,109000
0.021,0.403,0.0,0.41785,110000
0.018,0.409,0.0,0.42459,111000
0.017,0.413,0.0,0.42894,112000
0.024,0.4,0.0,0.41551,113000
0.019,0.393,0.0,0.40801,114000
0.015,0.406,0.0,0.42194,115000
0.021,0.416,0.0,0.43231,116000
0.02,0.403,0.0,0.41863,117000
0.01,0.414,0.0,0.4303,118000
0.019,0.423,0.0,0.439,119000
0.015,0.413,0.0,0.42737,120000
0.016,0.415,0.0,0.42937,121000
0.018,0.421,0.0,0.43555,122000
0.019,0.424,0.0,0.43972,123000
0.015,0.439,0.0,0.45486,124000
0.025,0.432,0.0,0.44746,125000
0.017,0.431,0.0,0.44551,126000
0.016,0.417,0.0,0.43187,127000
