loss_train,avg_diff,avg_score,avg_winning,step_idx
0.0,0.021,0.24588,0.225,1000
0.0,0.021,0.24589,0.224,2000
0.0,0.018,0.24048,0.22,3000
0.0,0.016,0.24242,0.222,4000
0.0,0.016,0.26776,0.246,5000
0.0,0.024,0.26565,0.245,6000
0.0,0.017,0.25394,0.234,7000
0.0,0.022,0.26843,0.247,8000
0.0,0.018,0.28821,0.267,9000
0.0,0.019,0.26774,0.246,10000
0.0,0.021,0.26962,0.248,11000
0.0,0.023,0.27254,0.252,12000
0.0,0.018,0.26587,0.246,13000
0.0,0.024,0.26432,0.244,14000
0.0,0.023,0.26846,0.247,15000
0.0,0.023,0.28301,0.261,16000
0.0,0.026,0.2828,0.261,17000
0.0,0.023,0.26493,0.244,18000
0.0,0.021,0.26939,0.248,19000
0.0,0.019,0.2844,0.263,20000
0.0,0.022,0.27641,0.255,21000
0.0,0.021,0.27914,0.257,22000
0.0,0.019,0.27311,0.25,23000
0.0,0.023,0.28386,0.261,24000
0.0,0.029,0.26931,0.246,25000
0.0,0.022,0.26789,0.244,26000
0.0,0.019,0.26756,0.244,27000
0.0,0.022,0.2702,0.246,28000
0.0,0.019,0.2776,0.252,29000
0.0,0.025,0.2709,0.245,30000
0.0,0.03,0.27185,0.246,31000
0.0,0.024,0.28368,0.258,32000
0.0,0.025,0.29604,0.271,33000
0.0,0.028,0.2629,0.237,34000
0.0,0.021,0.27333,0.248,35000
0.0,0.03,0.27648,0.251,36000
0.0,0.027,0.2548,0.23,37000
0.0,0.027,0.26417,0.24,38000
0.0,0.033,0.26677,0.242,39000
0.0,0.022,0.28838,0.262,40000
0.0,0.011,0.3121,0.286,41000
0.0,0.016,0.33769,0.312,42000
0.0,0.018,0.36161,0.336,43000
0.0,0.023,0.37569,0.35,44000
0.0,0.016,0.35308,0.329,45000
0.0,0.018,0.37298,0.348,46000
0.0,0.027,0.38259,0.357,47000
0.0,0.015,0.35857,0.334,48000
0.0,0.02,0.35724,0.333,49000
0.0,0.017,0.36114,0.337,50000
0.0,0.018,0.37704,0.353,51000
0.0,0.019,0.39082,0.366,52000
0.0,0.014,0.37347,0.35,53000
0.0,0.015,0.3623,0.339,54000
0.0,0.009,0.37945,0.356,55000
0.0,0.018,0.35408,0.332,56000
0.0,0.019,0.35905,0.337,57000
0.0,0.017,0.3517,0.33,58000
0.0,0.024,0.35567,0.333,59000
0.0,0.023,0.35425,0.332,60000
0.0,0.016,0.37506,0.353,61000
0.0,0.013,0.35764,0.336,62000
0.0,0.012,0.36455,0.341,63000
0.0,0.02,0.38583,0.362,64000
0.0,0.021,0.37378,0.35,65000
0.0,0.014,0.37725,0.355,66000
0.0,0.023,0.36581,0.343,67000
0.0,0.024,0.36602,0.344,68000
0.0,0.019,0.37932,0.357,69000
0.0,0.021,0.37738,0.355,70000
0.0,0.019,0.38321,0.361,71000
0.0,0.013,0.36927,0.347,72000
0.0,0.016,0.37557,0.352,73000
0.0,0.012,0.37646,0.353,74000
0.0,0.024,0.33823,0.316,75000
0.0,0.014,0.34986,0.328,76000
0.0,0.022,0.36711,0.344,77000
0.0,0.02,0.38018,0.357,78000
0.0,0.025,0.36571,0.342,79000
0.0,0.025,0.37279,0.349,80000
0.0,0.016,0.3665,0.344,81000
0.0,0.022,0.37273,0.35,82000
0.0,0.019,0.35059,0.328,83000
0.0,0.021,0.38582,0.363,84000
0.0,0.016,0.35067,0.329,85000
0.0,0.023,0.36935,0.347,86000
0.0,0.017,0.35661,0.335,87000
0.0,0.034,0.37024,0.347,88000
0.0,0.019,0.37152,0.347,89000
0.0,0.014,0.37609,0.351,90000
0.0,0.018,0.36453,0.341,91000
0.0,0.016,0.37028,0.347,92000
0.0,0.022,0.37182,0.349,93000
0.0,0.02,0.35463,0.332,94000
0.0,0.013,0.35417,0.331,95000
0.0,0.019,0.38452,0.361,96000
0.0,0.014,0.37358,0.35,97000
0.0,0.012,0.39028,0.367,98000
0.0,0.021,0.36821,0.345,99000
0.0,0.023,0.39582,0.374,100000
0.0,0.017,0.38006,0.358,101000
0.0,0.016,0.37503,0.353,102000
0.0,0.015,0.38468,0.362,103000
0.0,0.021,0.37761,0.355,104000
0.0,0.015,0.37538,0.353,105000
0.0,0.019,0.37173,0.349,106000
0.0,0.016,0.38416,0.361,107000
0.0,0.022,0.40147,0.378,108000
0.0,0.019,0.3937,0.371,109000
0.0,0.031,0.39585,0.373,110000
0.0,0.02,0.39699,0.375,111000
0.0,0.019,0.39215,0.37,112000
0.0,0.019,0.4112,0.389,113000
0.0,0.018,0.40548,0.383,114000
0.0,0.018,0.40096,0.38,115000
0.0,0.013,0.399,0.378,116000
0.0,0.022,0.41335,0.392,117000
0.0,0.019,0.41526,0.394,118000
0.0,0.025,0.39676,0.376,119000
0.0,0.018,0.42031,0.399,120000
0.0,0.018,0.4267,0.405,121000
0.0,0.024,0.42101,0.4,122000
0.0,0.016,0.39508,0.375,123000
0.0,0.015,0.41512,0.394,124000
0.0,0.017,0.42063,0.4,125000
0.0,0.019,0.41224,0.391,126000
0.0,0.016,0.4256,0.405,127000
0.0,0.019,0.42051,0.4,128000
0.0,0.025,0.41933,0.398,129000
0.0,0.026,0.39543,0.374,130000
0.0,0.018,0.41402,0.392,131000
0.0,0.019,0.411,0.39,132000
0.0,0.017,0.41281,0.392,133000
0.0,0.019,0.40309,0.381,134000
0.0,0.016,0.40853,0.385,135000
0.0,0.015,0.42455,0.401,136000
0.0,0.024,0.40533,0.381,137000
0.0,0.023,0.40423,0.379,138000
0.0,0.014,0.41958,0.394,139000
0.0,0.019,0.43116,0.407,140000
0.0,0.024,0.42008,0.396,141000
0.0,0.011,0.42177,0.398,142000
0.0,0.02,0.41202,0.389,143000
0.0,0.03,0.40072,0.377,144000
0.0,0.025,0.41511,0.392,145000
0.0,0.02,0.41788,0.395,146000
0.0,0.015,0.40723,0.383,147000
0.0,0.013,0.40335,0.38,148000
0.0,0.017,0.4353,0.412,149000
0.0,0.016,0.42489,0.401,150000
0.0,0.024,0.41657,0.394,151000
0.0,0.021,0.41383,0.392,152000
0.0,0.017,0.42304,0.4,153000
0.0,0.018,0.44197,0.42,154000
0.0,0.018,0.42526,0.403,155000
0.0,0.017,0.41965,0.397,156000
0.0,0.016,0.43474,0.411,157000
0.0,0.026,0.43622,0.414,158000
0.0,0.018,0.4089,0.387,159000
0.0,0.023,0.42715,0.406,160000
0.0,0.013,0.44148,0.42,161000
0.0,0.012,0.42512,0.403,162000
0.0,0.02,0.43962,0.417,163000
0.0,0.022,0.41965,0.396,164000
0.0,0.022,0.41064,0.388,165000
0.0,0.021,0.44153,0.418,166000
0.0,0.017,0.43644,0.414,167000
0.0,0.023,0.44225,0.419,168000
0.0,0.017,0.44016,0.418,169000
0.0,0.027,0.4389,0.417,170000
0.0,0.021,0.43199,0.411,171000
0.0,0.016,0.44008,0.418,172000
0.0,0.021,0.40986,0.39,173000
0.0,0.02,0.41744,0.398,174000
0.0,0.018,0.43071,0.41,175000
0.0,0.019,0.41553,0.395,176000
