avg_winning,step_idx,loss_train,avg_diff,avg_score
0.241,1000,0.0,0.02,0.26852
0.249,2000,0.0,0.028,0.27508
0.249,3000,0.0,0.023,0.27363
0.24,4000,0.0,0.023,0.264
0.25,5000,0.0,0.019,0.27376
0.265,6000,0.0,0.022,0.28981
0.241,7000,0.0,0.027,0.26667
0.231,8000,0.0,0.011,0.25525
0.237,9000,0.0,0.027,0.26109
0.251,10000,0.0,0.025,0.27449
0.234,11000,0.0,0.014,0.2565
0.239,12000,0.0,0.018,0.26175
0.241,13000,0.0,0.022,0.26319
0.233,14000,0.0,0.029,0.25483
0.229,15000,0.0,0.024,0.2509
0.251,16000,0.0,0.013,0.27197
0.235,17000,0.0,0.029,0.25424
0.22,18000,0.0,0.023,0.23965
0.228,19000,0.0,0.02,0.24845
0.235,20000,0.0,0.023,0.25614
0.241,21000,0.0,0.024,0.26246
0.234,22000,0.0,0.017,0.25604
0.222,23000,0.0,0.027,0.2446
0.225,24000,0.0,0.023,0.24806
0.219,25000,0.0,0.026,0.24193
0.238,26000,0.0,0.019,0.26082
0.227,27000,0.0,0.019,0.2505
0.224,28000,0.0,0.024,0.24815
0.237,29000,0.0,0.022,0.26211
0.228,30000,0.0,0.027,0.25193
0.227,31000,0.0,0.022,0.25113
0.238,32000,0.0,0.028,0.26135
0.231,33000,0.0,0.022,0.25419
0.237,34000,0.0,0.027,0.25955
0.228,35000,0.0,0.03,0.25087
0.229,36000,0.0,0.03,0.25121
0.22,37000,0.0,0.023,0.24214
0.228,38000,0.0,0.026,0.2496
0.23,39000,0.0,0.021,0.25119
0.216,40000,0.0,0.029,0.23678
0.23,41000,0.0,0.023,0.25014
0.224,42000,0.0,0.021,0.24431
0.233,43000,0.0,0.021,0.25375
0.228,44000,0.0,0.022,0.24798
0.234,45000,0.0,0.021,0.25386
0.227,46000,0.0,0.019,0.24757
0.224,47000,0.0,0.026,0.24456
0.243,48000,0.0,0.015,0.26321
0.228,49000,0.0,0.019,0.24805
0.231,50000,0.0,0.021,0.25149
0.227,51000,0.0,0.024,0.24697
0.222,52000,0.0,0.02,0.24366
0.235,53000,0.0,0.02,0.25754
0.233,54000,0.0,0.022,0.25653
0.235,55000,0.0,0.023,0.26056
0.222,56000,0.0,0.025,0.24766
0.233,57000,0.0,0.023,0.25932
0.242,58000,0.0,0.024,0.26915
0.243,59000,0.0,0.024,0.26988
0.23,60000,0.0,0.02,0.25492
0.234,61000,0.0,0.022,0.25921
0.232,62000,0.0,0.023,0.25644
0.244,63000,0.0,0.03,0.26863
0.227,64000,0.0,0.023,0.252
0.248,65000,0.0,0.021,0.27325
0.246,66000,0.0,0.017,0.27176
0.232,67000,0.0,0.023,0.25674
0.224,68000,0.0,0.023,0.24927
0.218,69000,0.0,0.018,0.24267
0.223,70000,0.0,0.017,0.24918
0.213,71000,0.0,0.016,0.23845
0.22,72000,0.0,0.014,0.24631
0.221,73000,0.0,0.024,0.24614
0.218,74000,0.0,0.024,0.24324
0.219,75000,0.0,0.021,0.24346
0.214,76000,0.0,0.021,0.23752
0.22,77000,0.0,0.028,0.24366
0.212,78000,0.0,0.021,0.23559
0.226,79000,0.0,0.021,0.25079
0.248,80000,0.0,0.02,0.27457
0.245,81000,0.0,0.022,0.27152
0.238,82000,0.0,0.026,0.26398
0.278,83000,0.0,0.024,0.30416
0.256,84000,0.0,0.023,0.28201
0.292,85000,0.0,0.026,0.31764
0.283,86000,0.0,0.021,0.30895
0.305,87000,0.0,0.024,0.33153
0.249,88000,0.0,0.025,0.27455
0.295,89000,0.0,0.02,0.32075
0.307,90000,0.0,0.026,0.33223
0.323,91000,0.0,0.028,0.34826
0.319,92000,0.0,0.017,0.3448
0.319,93000,0.0,0.02,0.34423
0.337,94000,0.0,0.02,0.36246
0.318,95000,0.0,0.018,0.34291
0.311,96000,0.0,0.017,0.33666
0.323,97000,0.0,0.024,0.3484
0.308,98000,0.0,0.024,0.33228
0.323,99000,0.0,0.017,0.34841
0.338,100000,0.0,0.014,0.36364
0.334,101000,0.0,0.015,0.35905
0.325,102000,0.0,0.016,0.34959
0.351,103000,0.0,0.02,0.37648
0.317,104000,0.0,0.025,0.34131
0.334,105000,0.0,0.024,0.35747
0.322,106000,0.0,0.016,0.34547
0.318,107000,0.0,0.013,0.34039
0.316,108000,0.0,0.02,0.33863
0.322,109000,0.0,0.016,0.34522
0.316,110000,0.0,0.011,0.33869
0.326,111000,0.0,0.017,0.34887
0.307,112000,0.0,0.018,0.32952
0.329,113000,0.0,0.022,0.35222
0.302,114000,0.0,0.024,0.32463
0.331,115000,0.0,0.013,0.35413
0.328,116000,0.0,0.015,0.35031
0.341,117000,0.0,0.01,0.3639
0.331,118000,0.0,0.016,0.35306
0.329,119000,0.0,0.018,0.3509
0.34,120000,0.0,0.016,0.36218
0.34,121000,0.0,0.019,0.36127
0.323,122000,0.0,0.017,0.34406
0.349,123000,0.0,0.019,0.37079
0.344,124000,0.0,0.015,0.36478
0.347,125000,0.0,0.014,0.36942
0.346,126000,0.0,0.01,0.36875
0.337,127000,0.0,0.019,0.35883
0.356,128000,0.0,0.014,0.37812
0.347,129000,0.0,0.013,0.36948
0.352,130000,0.0,0.011,0.37527
0.354,131000,0.0,0.014,0.37774
0.353,132000,0.0,0.013,0.37587
0.344,133000,0.0,0.012,0.36576
0.343,134000,0.0,0.015,0.36448
0.351,135000,0.0,0.013,0.37311
0.36,136000,0.0,0.016,0.38164
0.349,137000,0.0,0.017,0.37169
0.343,138000,0.0,0.011,0.36546
0.341,139000,0.0,0.012,0.36215
0.336,140000,0.0,0.018,0.35886
0.344,141000,0.0,0.027,0.36589
0.339,142000,0.0,0.015,0.36146
0.33,143000,0.0,0.015,0.3527
0.328,144000,0.0,0.014,0.35017
0.317,145000,0.0,0.014,0.33837
0.343,146000,0.0,0.019,0.3655
0.359,147000,0.0,0.014,0.38174
0.339,148000,0.0,0.015,0.36178
0.346,149000,0.0,0.014,0.36877
0.332,150000,0.0,0.01,0.35333
0.329,151000,0.0,0.016,0.34974
0.344,152000,0.0,0.007,0.36545
0.324,153000,0.0,0.014,0.34604
0.328,154000,0.0,0.019,0.34826
0.344,155000,0.0,0.011,0.36732
0.346,156000,0.0,0.015,0.36814
0.346,157000,0.0,0.015,0.3683
0.34,158000,0.0,0.02,0.36303
0.338,159000,0.0,0.018,0.36056
0.341,160000,0.0,0.019,0.36376
0.351,161000,0.0,0.018,0.37419
0.338,162000,0.0,0.018,0.36032
0.342,163000,0.0,0.024,0.36496
0.334,164000,0.0,0.02,0.35703
0.339,165000,0.0,0.017,0.3622
0.355,166000,0.0,0.023,0.37824
0.34,167000,0.0,0.021,0.36185
0.327,168000,0.0,0.018,0.35031
0.341,169000,0.0,0.016,0.36295
0.353,170000,0.0,0.022,0.37531
0.332,171000,0.0,0.021,0.35533
0.338,172000,0.0,0.021,0.36311
0.327,173000,0.0,0.028,0.35132
0.337,174000,0.0,0.022,0.36256
0.323,175000,0.0,0.017,0.34752
0.338,176000,0.0,0.023,0.36326
0.348,177000,0.0,0.024,0.37349
0.315,178000,0.0,0.017,0.33763
0.312,179000,0.0,0.022,0.33511
0.305,180000,0.0,0.02,0.32784
0.338,181000,0.0,0.025,0.36123
0.326,182000,0.0,0.019,0.34756
0.335,183000,0.0,0.017,0.35569
0.326,184000,0.0,0.016,0.34727
0.343,185000,0.0,0.027,0.36486
0.337,186000,0.0,0.017,0.35936
0.333,187000,0.0,0.014,0.35458
0.349,188000,0.0,0.02,0.37094
0.34,189000,0.0,0.022,0.36187
0.368,190000,0.0,0.023,0.39122
0.36,191000,0.0,0.013,0.38229
0.347,192000,0.0,0.014,0.3689
0.358,193000,0.0,0.018,0.3795
0.345,194000,0.0,0.019,0.36532
0.351,195000,0.0,0.018,0.37345
0.361,196000,0.0,0.02,0.38261
0.349,197000,0.0,0.016,0.37121
0.348,198000,0.0,0.015,0.37047
0.333,199000,0.0,0.015,0.35523
0.35,200000,0.0,0.022,0.37197
0.356,201000,0.0,0.015,0.37876
0.354,202000,0.0,0.017,0.37597
0.345,203000,0.0,0.021,0.36738
0.326,204000,0.0,0.018,0.34834
0.343,205000,0.0,0.019,0.36545
0.357,206000,0.0,0.018,0.38054
0.351,207000,0.0,0.018,0.37419
0.343,208000,0.0,0.018,0.36544
0.352,209000,0.0,0.017,0.37422
0.339,210000,0.0,0.021,0.36173
0.349,211000,0.0,0.024,0.37274
0.341,212000,0.0,0.015,0.36311
0.363,213000,0.0,0.017,0.38537
0.35,214000,0.0,0.016,0.37169
0.356,215000,0.0,0.02,0.37752
0.338,216000,0.0,0.018,0.3583
0.352,217000,0.0,0.02,0.37339
0.347,218000,0.0,0.019,0.36941
0.344,219000,0.0,0.02,0.36527
0.324,220000,0.0,0.013,0.34557
0.352,221000,0.0,0.021,0.37512
0.341,222000,0.0,0.019,0.36466
0.362,223000,0.0,0.018,0.38716
0.343,224000,0.0,0.018,0.36658
0.337,225000,0.0,0.017,0.36105
0.345,226000,0.0,0.02,0.36809
0.345,227000,0.0,0.019,0.36728
0.36,228000,0.0,0.016,0.38405
0.351,229000,0.0,0.02,0.37383
0.349,230000,0.0,0.014,0.37071
0.35,231000,0.0,0.013,0.37095
0.356,232000,0.0,0.016,0.37584
0.362,233000,0.0,0.007,0.38217
0.35,234000,0.0,0.024,0.37
0.327,235000,0.0,0.019,0.34604
0.343,236000,0.0,0.017,0.36238
0.33,237000,0.0,0.021,0.35131
0.339,238000,0.0,0.026,0.36079
0.34,239000,0.0,0.028,0.36177
0.357,240000,0.0,0.016,0.37789
0.351,241000,0.0,0.016,0.3702
0.361,242000,0.0,0.015,0.38192
0.331,243000,0.0,0.014,0.35021
0.332,244000,0.0,0.017,0.35204
0.359,245000,0.0,0.016,0.37987
0.345,246000,0.0,0.017,0.36647
0.348,247000,0.0,0.017,0.37007
0.361,248000,0.0,0.016,0.3823
0.347,249000,0.0,0.018,0.367
0.344,250000,0.0,0.018,0.36353
0.335,251000,0.0,0.018,0.35414
0.345,252000,0.0,0.014,0.36498
0.354,253000,0.0,0.014,0.37528
0.349,254000,0.0,0.017,0.37015
0.36,255000,0.0,0.014,0.38053
0.345,256000,0.0,0.017,0.36494
0.362,257000,0.0,0.017,0.38141
0.35,258000,0.0,0.015,0.37047
0.338,259000,0.0,0.017,0.35908
0.341,260000,0.0,0.009,0.36098
0.365,261000,0.0,0.015,0.38484
0.349,262000,0.0,0.022,0.36869
0.343,263000,0.0,0.022,0.36322
0.335,264000,0.0,0.018,0.3561
0.345,265000,0.0,0.018,0.36562
0.335,266000,0.0,0.017,0.35685
0.37,267000,0.0,0.02,0.39188
0.361,268000,0.0,0.024,0.38285
0.343,269000,0.0,0.022,0.36545
0.354,270000,0.0,0.028,0.37594
0.363,271000,0.0,0.029,0.38542
0.367,272000,0.0,0.018,0.3897
0.35,273000,0.0,0.022,0.37292
0.358,274000,0.0,0.024,0.38029
0.365,275000,0.0,0.023,0.38639
0.37,276000,0.0,0.02,0.39014
0.364,277000,0.0,0.014,0.38518
0.36,278000,0.0,0.018,0.38227
0.35,279000,0.0,0.018,0.37289
0.357,280000,0.0,0.023,0.38013
0.364,281000,0.0,0.026,0.38539
0.354,282000,0.0,0.025,0.37748
0.36,283000,0.0,0.018,0.3838
0.372,284000,0.0,0.022,0.39468
0.357,285000,0.0,0.014,0.37897
0.349,286000,0.0,0.027,0.37122
0.359,287000,0.0,0.024,0.3827
0.349,288000,0.0,0.023,0.3728
0.35,289000,0.0,0.019,0.37387
0.35,290000,0.0,0.019,0.37367
0.354,291000,0.0,0.019,0.37868
0.329,292000,0.0,0.022,0.35316
0.338,293000,0.0,0.023,0.36263
0.354,294000,0.0,0.019,0.37787
0.356,295000,0.0,0.019,0.37941
0.358,296000,0.0,0.022,0.38013
0.343,297000,0.0,0.014,0.36551
0.353,298000,0.0,0.016,0.37614
0.34,299000,0.0,0.014,0.36193
0.355,300000,0.0,0.014,0.3765
0.336,301000,0.0,0.021,0.35787
0.349,302000,0.0,0.025,0.37258
0.351,303000,0.0,0.017,0.37486
0.335,304000,0.0,0.022,0.35809
0.356,305000,0.0,0.023,0.37841
0.352,306000,0.0,0.018,0.37521
0.359,307000,0.0,0.019,0.38134
0.344,308000,0.0,0.021,0.36566
0.355,309000,0.0,0.019,0.37703
0.349,310000,0.0,0.02,0.36993
0.372,311000,0.0,0.018,0.39384
0.363,312000,0.0,0.019,0.38397
0.365,313000,0.0,0.017,0.38547
0.352,314000,0.0,0.024,0.3738
0.352,315000,0.0,0.023,0.37368
0.356,316000,0.0,0.018,0.37692
0.343,317000,0.0,0.028,0.36501
0.343,318000,0.0,0.017,0.36454
0.363,319000,0.0,0.016,0.38512
0.349,320000,0.0,0.024,0.37007
0.352,321000,0.0,0.015,0.37355
0.355,322000,0.0,0.021,0.37739
0.37,323000,0.0,0.019,0.39227
0.355,324000,0.0,0.024,0.37682
0.356,325000,0.0,0.015,0.37878
0.36,326000,0.0,0.029,0.38169
0.368,327000,0.0,0.018,0.39015
0.349,328000,0.0,0.025,0.37116
0.354,329000,0.0,0.017,0.37672
0.338,330000,0.0,0.018,0.36063
0.355,331000,0.0,0.02,0.3776
0.363,332000,0.0,0.022,0.38495
0.352,333000,0.0,0.016,0.37479
0.367,334000,0.0,0.019,0.39068
0.35,335000,0.0,0.02,0.37178
0.369,336000,0.0,0.019,0.38986
0.368,337000,0.0,0.018,0.39067
0.366,338000,0.0,0.02,0.38944
0.36,339000,0.0,0.013,0.3834
0.365,340000,0.0,0.022,0.38801
0.37,341000,0.0,0.021,0.39078
0.366,342000,0.0,0.018,0.38666
0.351,343000,0.0,0.014,0.3708
0.375,344000,0.0,0.016,0.39651
0.341,345000,0.0,0.016,0.36108
0.355,346000,0.0,0.019,0.37523
0.348,347000,0.0,0.022,0.36924
0.345,348000,0.0,0.019,0.36642
0.35,349000,0.0,0.02,0.37193
0.355,350000,0.0,0.021,0.3766
0.338,351000,0.0,0.023,0.36038
0.344,352000,0.0,0.022,0.36722
0.371,353000,0.0,0.024,0.39499
0.352,354000,0.0,0.013,0.3753
0.346,355000,0.0,0.015,0.36792
0.329,356000,0.0,0.014,0.34938
0.341,357000,0.0,0.016,0.36099
0.36,358000,0.0,0.02,0.38173
0.342,359000,0.0,0.015,0.36281
0.364,360000,0.0,0.016,0.38668
0.345,361000,0.0,0.014,0.36781
0.345,362000,0.0,0.018,0.36698
0.351,363000,0.0,0.013,0.37367
0.345,364000,0.0,0.019,0.36636
0.347,365000,0.0,0.017,0.36896
0.33,366000,0.0,0.017,0.35307
0.348,367000,0.0,0.016,0.3708
0.356,368000,0.0,0.018,0.37791
0.35,369000,0.0,0.011,0.37389
0.344,370000,0.0,0.018,0.36631
0.348,371000,0.0,0.02,0.36947
0.352,372000,0.0,0.015,0.37466
0.363,373000,0.0,0.017,0.38713
0.351,374000,0.0,0.017,0.37449
0.365,375000,0.0,0.018,0.38809
0.359,376000,0.0,0.018,0.38124
0.367,377000,0.0,0.02,0.38956
0.378,378000,0.0,0.016,0.40136
0.362,379000,0.0,0.023,0.38465
0.361,380000,0.0,0.014,0.38296
0.361,381000,0.0,0.013,0.38253
0.357,382000,0.0,0.017,0.37698
