avg_winning,loss_train,step_idx,avg_score,avg_diff
0.266,0.0,1000,0.29136,0.017
0.239,0.0,2000,0.26184,0.016
0.252,0.0,3000,0.27487,0.021
0.219,0.0,4000,0.24027,0.027
0.242,0.0,5000,0.26367,0.019
0.231,0.0,6000,0.25163,0.025
0.231,0.0,7000,0.25231,0.028
0.228,0.0,8000,0.24767,0.024
0.238,0.0,9000,0.25775,0.022
0.23,0.0,10000,0.24921,0.023
0.25,0.0,11000,0.2697,0.023
0.232,0.0,12000,0.25169,0.019
0.244,0.0,13000,0.26556,0.022
0.228,0.0,14000,0.24874,0.023
0.241,0.0,15000,0.26287,0.025
0.239,0.0,16000,0.26206,0.017
0.238,0.0,17000,0.26057,0.024
0.249,0.0,18000,0.27271,0.024
0.245,0.0,19000,0.26858,0.023
0.232,0.0,20000,0.25778,0.026
0.224,0.0,21000,0.25021,0.021
0.223,0.0,22000,0.24892,0.022
0.216,0.0,23000,0.24188,0.024
0.227,0.0,24000,0.25383,0.023
0.239,0.0,25000,0.2654,0.02
0.222,0.0,26000,0.24824,0.02
0.244,0.0,27000,0.27103,0.019
0.22,0.0,28000,0.24753,0.015
0.227,0.0,29000,0.25371,0.024
0.238,0.0,30000,0.26333,0.022
0.228,0.0,31000,0.25362,0.021
0.232,0.0,32000,0.2568,0.02
0.223,0.0,33000,0.24869,0.027
0.236,0.0,34000,0.2622,0.027
0.226,0.0,35000,0.25193,0.023
0.219,0.0,36000,0.24491,0.021
0.221,0.0,37000,0.2483,0.01
0.22,0.0,38000,0.24754,0.018
0.226,0.0,39000,0.25418,0.024
0.22,0.0,40000,0.24831,0.02
0.234,0.0,41000,0.26163,0.015
0.225,0.0,42000,0.25182,0.026
0.225,0.0,43000,0.25196,0.023
0.229,0.0,44000,0.25603,0.022
0.223,0.0,45000,0.25042,0.021
0.228,0.0,46000,0.25551,0.03
0.218,0.0,47000,0.24431,0.022
0.23,0.0,48000,0.25764,0.031
0.223,0.0,49000,0.25056,0.024
0.22,0.0,50000,0.24654,0.025
0.233,0.0,51000,0.25979,0.019
0.231,0.0,52000,0.25747,0.022
0.234,0.0,53000,0.25903,0.016
0.242,0.0,54000,0.26736,0.02
0.233,0.0,55000,0.2586,0.021
0.228,0.0,56000,0.25505,0.016
0.232,0.0,57000,0.26027,0.019
0.227,0.0,58000,0.25524,0.017
0.234,0.0,59000,0.26413,0.02
0.228,0.0,60000,0.25617,0.024
0.241,0.0,61000,0.26878,0.012
0.238,0.0,62000,0.26465,0.016
0.235,0.0,63000,0.26168,0.019
0.239,0.0,64000,0.26461,0.021
0.223,0.0,65000,0.24828,0.019
0.239,0.0,66000,0.26464,0.022
0.23,0.0,67000,0.2549,0.021
0.229,0.0,68000,0.25457,0.018
0.23,0.0,69000,0.25643,0.023
0.237,0.0,70000,0.26317,0.012
0.223,0.0,71000,0.24963,0.011
0.238,0.0,72000,0.26463,0.025
0.226,0.0,73000,0.25318,0.025
0.238,0.0,74000,0.26503,0.014
0.235,0.0,75000,0.26212,0.018
0.234,0.0,76000,0.26043,0.019
0.238,0.0,77000,0.26494,0.025
0.236,0.0,78000,0.26215,0.02
0.217,0.0,79000,0.24348,0.017
0.237,0.0,80000,0.26455,0.025
0.232,0.0,81000,0.25868,0.022
0.232,0.0,82000,0.25829,0.014
0.255,0.0,83000,0.28364,0.019
0.26,0.0,84000,0.28748,0.026
0.298,0.0,85000,0.32427,0.02
0.294,0.0,86000,0.32077,0.019
0.305,0.0,87000,0.33066,0.023
0.339,0.0,88000,0.36441,0.017
0.35,0.0,89000,0.37523,0.023
0.335,0.0,90000,0.35961,0.012
0.328,0.0,91000,0.35283,0.015
0.35,0.0,92000,0.37487,0.027
0.36,0.0,93000,0.38527,0.018
0.339,0.0,94000,0.36382,0.023
0.354,0.0,95000,0.37913,0.02
0.341,0.0,96000,0.36569,0.016
0.326,0.0,97000,0.35078,0.018
0.346,0.0,98000,0.371,0.023
0.361,0.0,99000,0.38464,0.019
0.339,0.0,100000,0.36363,0.01
0.359,0.0,101000,0.38349,0.016
0.339,0.0,102000,nan,0.018
0.359,0.0,103000,0.38261,0.025
0.351,0.0,104000,0.37548,0.015
0.344,0.0,105000,0.3679,0.016
0.365,0.0,106000,0.38922,0.021
0.349,0.0,107000,0.37196,0.021
0.344,0.0,108000,0.36651,0.021
0.361,0.0,109000,0.38421,0.016
0.354,0.0,110000,0.37782,0.015
0.351,0.0,111000,0.37502,0.014
0.364,0.0,112000,0.38726,0.012
0.358,0.0,113000,0.38213,0.01
0.355,0.0,114000,0.37827,0.019
0.346,0.0,115000,0.36884,0.016
0.341,0.0,116000,0.36246,0.015
0.339,0.0,117000,0.36013,0.021
0.349,0.0,118000,0.36888,0.016
0.332,0.0,119000,0.35264,0.025
0.35,0.0,120000,0.37153,0.018
0.349,0.0,121000,0.36929,0.019
0.352,0.0,122000,0.37228,0.024
0.362,0.0,123000,0.38283,0.011
0.35,0.0,124000,0.37134,0.015
0.348,0.0,125000,0.36947,0.017
0.341,0.0,126000,0.36205,0.019
0.335,0.0,127000,0.35522,0.019
0.338,0.0,128000,0.3592,0.018
0.346,0.0,129000,0.3676,0.015
0.366,0.0,130000,0.38723,0.015
0.354,0.0,131000,0.37625,0.013
0.353,0.0,132000,0.37463,0.018
0.359,0.0,133000,0.3813,0.019
0.352,0.0,134000,0.3746,0.014
0.352,0.0,135000,0.37572,0.017
0.343,0.0,136000,0.36631,0.019
0.354,0.0,137000,0.37733,0.014
0.367,0.0,138000,0.39026,0.015
0.355,0.0,139000,0.37751,0.018
0.348,0.0,140000,0.37033,0.021
0.362,0.0,141000,0.38462,0.021
0.355,0.0,142000,0.37791,0.02
0.351,0.0,143000,0.37347,0.022
0.35,0.0,144000,0.37127,0.022
0.362,0.0,145000,0.38359,0.016
0.359,0.0,146000,0.38088,0.023
0.349,0.0,147000,0.36989,0.022
0.349,0.0,148000,0.36932,0.019
0.354,0.0,149000,0.37455,0.019
0.34,0.0,150000,0.36146,0.016
0.321,0.0,151000,0.34202,0.018
0.35,0.0,152000,0.37098,0.015
0.348,0.0,153000,0.36767,0.021
0.346,0.0,154000,0.3664,0.017
0.338,0.0,155000,0.35824,0.014
0.324,0.0,156000,0.34388,0.015
0.33,0.0,157000,0.35027,0.018
0.344,0.0,158000,0.3642,0.019
0.339,0.0,159000,0.35914,0.014
0.337,0.0,160000,0.35809,0.015
0.332,0.0,161000,0.35194,0.018
0.334,0.0,162000,0.35514,0.022
0.324,0.0,163000,0.3441,0.017
0.327,0.0,164000,0.34794,0.018
0.346,0.0,165000,0.36811,0.016
0.341,0.0,166000,0.36408,0.015
0.338,0.0,167000,0.36049,0.021
0.351,0.0,168000,0.37335,0.012
0.334,0.0,169000,0.35654,0.018
0.347,0.0,170000,0.36983,0.016
0.334,0.0,171000,0.35744,0.021
0.336,0.0,172000,0.35698,0.017
0.344,0.0,173000,0.36454,0.016
0.349,0.0,174000,0.37055,0.017
0.327,0.0,175000,0.34822,0.021
0.345,0.0,176000,0.36781,0.017
0.33,0.0,177000,0.35206,0.021
0.326,0.0,178000,0.34838,0.015
0.333,0.0,179000,0.35527,0.022
0.323,0.0,180000,0.34412,0.02
0.348,0.0,181000,0.36957,0.015
0.349,0.0,182000,0.37109,0.025
0.331,0.0,183000,0.35273,0.024
0.335,0.0,184000,0.3567,0.03
0.325,0.0,185000,0.34603,0.017
0.331,0.0,186000,0.35258,0.023
0.35,0.0,187000,0.37193,0.014
0.344,0.0,188000,0.36489,0.018
0.327,0.0,189000,0.34859,0.018
0.345,0.0,190000,0.36559,0.018
0.345,0.0,191000,0.36686,0.022
0.332,0.0,192000,0.35447,0.024
0.33,0.0,193000,0.3516,0.019
0.316,0.0,194000,0.33713,0.019
0.3,0.0,195000,0.32153,0.02
0.297,0.0,196000,0.31781,0.018
0.29,0.0,197000,0.31238,0.02
0.306,0.0,198000,0.32741,0.025
0.308,0.0,199000,0.33123,0.016
0.339,0.0,200000,0.36054,0.023
0.325,0.0,201000,0.34748,0.022
0.33,0.0,202000,0.35215,0.02
0.343,0.0,203000,0.36475,0.023
0.32,0.0,204000,0.33994,0.014
0.332,0.0,205000,0.35142,0.017
0.333,0.0,206000,0.35305,0.027
0.338,0.0,207000,0.35828,0.02
0.334,0.0,208000,0.35519,0.016
0.338,0.0,209000,0.35775,0.018
0.319,0.0,210000,0.33997,0.017
0.319,0.0,211000,0.34046,0.02
0.33,0.0,212000,0.35287,0.025
0.338,0.0,213000,0.3616,0.016
0.342,0.0,214000,0.36708,0.028
0.347,0.0,215000,0.37063,0.024
0.336,0.0,216000,0.35983,0.024
0.333,0.0,217000,0.35543,0.023
0.351,0.0,218000,0.37262,0.017
0.359,0.0,219000,0.37982,0.019
0.34,0.0,220000,0.36147,0.021
0.318,0.0,221000,0.33951,0.022
0.348,0.0,222000,0.37042,0.021
0.327,0.0,223000,0.34917,0.024
0.346,0.0,224000,0.36722,0.021
0.361,0.0,225000,0.38207,0.016
0.336,0.0,226000,0.35652,0.01
0.348,0.0,227000,0.36818,0.017
0.34,0.0,228000,0.36144,0.018
0.346,0.0,229000,0.36767,0.015
0.338,0.0,230000,0.35939,0.014
0.323,0.0,231000,0.34466,0.015
0.346,0.0,232000,0.36747,0.019
0.342,0.0,233000,0.36261,0.024
0.346,0.0,234000,0.36684,0.018
0.355,0.0,235000,0.37656,0.022
0.342,0.0,236000,0.3638,0.023
0.33,0.0,237000,0.35106,0.021
0.334,0.0,238000,0.35544,0.025
0.359,0.0,239000,0.38015,0.018
0.354,0.0,240000,0.37612,0.011
0.356,0.0,241000,0.37833,0.02
0.346,0.0,242000,0.36845,0.018
0.323,0.0,243000,0.34655,0.022
0.348,0.0,244000,0.3711,0.021
0.328,0.0,245000,0.35073,0.02
0.339,0.0,246000,0.36286,0.023
0.334,0.0,247000,0.35724,0.022
0.341,0.0,248000,0.36531,0.017
0.337,0.0,249000,0.36108,0.023
0.35,0.0,250000,0.37348,0.028
0.348,0.0,251000,0.37079,0.019
0.346,0.0,252000,0.36926,0.017
0.32,0.0,253000,0.34203,0.015
0.341,0.0,254000,0.36363,0.022
0.341,0.0,255000,0.3637,0.015
0.349,0.0,256000,0.37122,0.019
0.349,0.0,257000,0.37163,0.019
0.347,0.0,258000,0.36983,0.009
0.347,0.0,259000,0.36969,0.012
0.345,0.0,260000,0.36673,0.014
0.34,0.0,261000,0.36273,0.015
0.332,0.0,262000,0.35465,0.016
0.348,0.0,263000,0.37148,0.021
0.349,0.0,264000,0.37275,0.026
0.344,0.0,265000,0.36732,0.011
0.361,0.0,266000,0.38344,0.025
0.349,0.0,267000,0.37132,0.015
0.342,0.0,268000,0.36404,0.015
0.36,0.0,269000,0.38222,0.018
0.351,0.0,270000,0.37305,0.019
0.36,0.0,271000,0.38248,0.017
