loss_train,avg_diff,avg_score,step_idx,avg_winning
0.0,0.023,0.22983,1000,0.208
0.0,0.021,0.24367,2000,0.222
0.0,0.024,0.24104,3000,0.221
0.0,0.025,0.22722,4000,0.208
0.0,0.027,0.26272,5000,0.242
0.0,0.026,0.25069,6000,0.229
0.0,0.021,0.2198,7000,0.197
0.0,0.021,0.23399,8000,0.212
0.0,0.029,0.26672,9000,0.243
0.0,0.021,0.25676,10000,0.234
0.0,0.018,0.30499,11000,0.281
0.0,0.02,0.27873,12000,0.255
0.0,0.031,0.30829,13000,0.284
0.0,0.027,0.32513,14000,0.3
0.0,0.025,0.3318,15000,0.308
0.0,0.012,0.35135,16000,0.329
0.0,0.028,0.3346,17000,0.312
0.0,0.023,0.35503,18000,0.331
0.0,0.023,0.38041,19000,0.357
0.0,0.03,0.35108,20000,0.328
0.0,0.028,0.38192,21000,0.359
0.0,0.024,0.35438,22000,0.333
0.0,0.011,0.41269,23000,0.388
0.0,0.014,0.40446,24000,0.383
0.0,0.016,0.44887,25000,0.425
0.0,0.018,0.42823,26000,0.405
0.0,0.011,0.43914,27000,0.416
0.0,0.017,0.44423,28000,0.422
0.0,0.022,0.45823,29000,0.437
0.0,0.014,0.46336,30000,0.438
0.0,0.013,0.47345,31000,0.449
0.0,0.011,0.49622,32000,0.472
0.0,0.018,0.49747,33000,0.472
0.0,0.017,0.48951,34000,0.467
0.0,0.017,0.48002,35000,0.458
0.0,0.016,0.5014,36000,0.479
0.0,0.016,0.49519,37000,0.472
0.0,0.019,0.48126,38000,0.459
0.0,0.017,0.46201,39000,0.441
0.0,0.017,0.49389,40000,0.471
0.0,0.018,0.49637,41000,0.474
0.0,0.019,0.48214,42000,0.458
0.0,0.011,0.48907,43000,0.464
0.0,0.012,0.4881,44000,0.463
0.0,0.012,0.48199,45000,0.457
0.0,0.01,0.48906,46000,0.465
0.0,0.014,0.47822,47000,0.455
0.0,0.012,0.48356,48000,0.461
0.0,0.003,0.4651,49000,0.442
0.0,0.018,0.48133,50000,0.459
0.0,0.017,0.4929,51000,0.471
0.0,0.008,0.49386,52000,0.472
0.0,0.006,0.47958,53000,0.456
0.0,0.023,0.49931,54000,0.474
0.0,0.017,0.46868,55000,0.445
0.0,0.017,0.49338,56000,0.469
0.0,0.017,0.46924,57000,0.446
0.0,0.01,0.46112,58000,0.438
0.0,0.016,0.46396,59000,0.441
0.0,0.013,0.47168,60000,0.45
0.0,0.01,0.47296,61000,0.451
0.0,0.011,0.47673,62000,0.455
0.0,0.015,0.48453,63000,0.463
0.0,0.014,0.49369,64000,0.472
0.0,0.017,0.47526,65000,0.455
0.0,0.015,0.4646,66000,0.444
0.0,0.009,0.47023,67000,0.448
0.0,0.008,0.46489,68000,0.442
0.0,0.013,0.49392,69000,0.468
0.0,0.014,0.46863,70000,0.445
0.0,0.013,0.46933,71000,0.446
0.0,0.011,0.47421,72000,0.452
0.0,0.014,0.4813,73000,0.46
0.0,0.011,0.4613,74000,0.44
0.0,0.015,0.46892,75000,0.448
0.0,0.02,0.46956,76000,0.449
0.0,0.013,0.46719,77000,0.446
0.0,0.013,0.47489,78000,0.453
0.0,0.014,0.48165,79000,0.458
0.0,0.01,0.47647,80000,0.452
0.0,0.015,0.49096,81000,0.467
0.0,0.014,0.46533,82000,0.441
0.0,0.021,0.46889,83000,0.445
0.0,0.014,0.47105,84000,0.447
0.0,0.015,0.4833,85000,0.46
0.0,0.017,0.48382,86000,0.46
0.0,0.014,0.47182,87000,0.448
0.0,0.009,0.47968,88000,0.457
0.0,0.011,0.4706,89000,0.448
0.0,0.009,0.49758,90000,0.475
0.0,0.014,0.47527,91000,0.452
0.0,0.015,0.4987,92000,0.474
0.0,0.019,0.48228,93000,0.457
0.0,0.015,0.50301,94000,0.477
0.0,0.019,0.48306,95000,0.457
0.0,0.013,0.48992,96000,0.464
0.0,0.016,0.47967,97000,0.455
0.0,0.018,0.4831,98000,0.457
0.0,0.017,0.50594,99000,0.479
0.0,0.017,0.48566,100000,0.46
0.0,0.014,0.49699,101000,0.471
0.0,0.013,0.4935,102000,0.468
0.0,0.017,0.48739,103000,0.463
0.0,0.014,0.48018,104000,0.456
0.0,0.012,0.4954,105000,0.472
0.0,0.013,0.48935,106000,0.466
0.0,0.01,0.48249,107000,0.459
0.0,0.016,0.49215,108000,0.469
0.0,0.016,0.49749,109000,0.473
0.0,0.012,0.49189,110000,0.469
0.0,0.015,0.49796,111000,0.475
0.0,0.008,0.48436,112000,0.462
0.0,0.011,0.49823,113000,0.474
0.0,0.011,0.48314,114000,0.46
0.0,0.011,0.48281,115000,0.461
0.0,0.014,0.49302,116000,0.469
0.0,0.011,0.48723,117000,0.462
0.0,0.018,0.502,118000,0.476
0.0,0.012,0.49695,119000,0.471
0.0,0.018,0.50933,120000,0.483
0.0,0.019,0.48571,121000,0.46
0.0,0.015,0.49987,122000,0.473
0.0,0.019,0.50394,123000,0.476
0.0,0.016,0.50004,124000,0.473
0.0,0.026,0.49716,125000,0.47
0.0,0.018,0.47546,126000,0.449
0.0,0.018,0.48554,127000,0.459
0.0,0.01,0.48348,128000,0.458
0.0,0.013,0.49477,129000,0.468
0.0,0.019,0.49468,130000,0.468
0.0,0.013,0.4901,131000,0.463
0.0,0.01,0.495,132000,0.467
0.0,0.015,0.47476,133000,0.448
0.0,0.017,0.49997,134000,0.471
0.0,0.019,0.49656,135000,0.469
0.0,0.012,0.50513,136000,0.477
0.0,0.016,0.48731,137000,0.459
0.0,0.02,0.48819,138000,0.46
0.0,0.02,0.50851,139000,0.48
0.0,0.015,0.5026,140000,0.475
0.0,0.022,0.49148,141000,0.463
0.0,0.013,0.50139,142000,0.473
0.0,0.019,0.49004,143000,0.461
0.0,0.014,0.50144,144000,0.472
0.0,0.02,0.49431,145000,0.465
0.0,0.008,0.49334,146000,0.464
0.0,0.013,0.49398,147000,0.465
0.0,0.004,0.50247,148000,0.473
0.0,0.009,0.48622,149000,0.459
0.0,0.015,0.49986,150000,0.472
0.0,0.015,0.48278,151000,0.455
0.0,0.018,0.50318,152000,0.475
0.0,0.012,0.48676,153000,0.459
0.0,0.015,0.50432,154000,0.476
0.0,0.017,0.49375,155000,0.465
0.0,0.012,0.49051,156000,0.461
0.0,0.017,0.49025,157000,0.461
0.0,0.017,0.50668,158000,0.477
0.0,0.012,0.50946,159000,0.481
0.0,0.014,0.50044,160000,0.472
0.0,0.016,0.49111,161000,0.462
0.0,0.016,0.50592,162000,0.476
0.0,0.015,0.49151,163000,0.461
0.0,0.011,0.4997,164000,0.47
0.0,0.021,0.49317,165000,0.463
0.0,0.013,0.50849,166000,0.479
0.0,0.014,0.49922,167000,0.47
0.0,0.015,0.49881,168000,0.469
0.0,0.013,0.48031,169000,0.452
0.0,0.011,0.49832,170000,0.47
0.0,0.015,0.49635,171000,0.469
0.0,0.013,0.4978,172000,0.47
0.0,0.012,0.49128,173000,0.464
0.0,0.013,0.49033,174000,0.462
0.0,0.01,0.48064,175000,0.453
0.0,0.011,0.48969,176000,0.462
0.0,0.014,0.50719,177000,0.479
0.0,0.006,0.50199,178000,0.473
0.0,0.014,0.49823,179000,0.47
0.0,0.017,0.50243,180000,0.474
0.0,0.012,0.49994,181000,0.473
0.0,0.015,0.4735,182000,0.446
0.0,0.01,0.50417,183000,0.476
0.0,0.012,0.48211,184000,0.454
0.0,0.018,0.49456,185000,0.468
0.0,0.007,0.51093,186000,0.483
0.0,0.015,0.49934,187000,0.471
0.0,0.019,0.50083,188000,0.473
0.0,0.012,0.50814,189000,0.481
0.0,0.016,0.48886,190000,0.462
0.0,0.013,0.48882,191000,0.461
0.0,0.014,0.48802,192000,0.46
0.0,0.014,0.50161,193000,0.473
0.0,0.016,0.50923,194000,0.481
0.0,0.012,0.47332,195000,0.447
0.0,0.015,0.49393,196000,0.467
0.0,0.021,0.49392,197000,0.466
0.0,0.014,0.49794,198000,0.47
0.0,0.012,0.50565,199000,0.476
0.0,0.019,0.51083,200000,0.483
0.0,0.014,0.49405,201000,0.467
0.0,0.013,0.49093,202000,0.464
0.0,0.009,0.50123,203000,0.475
0.0,0.013,0.51229,204000,0.485
0.0,0.012,0.51656,205000,0.489
0.0,0.012,0.50152,206000,0.475
0.0,0.008,0.50171,207000,0.475
0.0,0.016,0.50287,208000,0.476
0.0,0.012,0.49876,209000,0.472
0.0,0.015,0.5083,210000,0.482
0.0,0.013,0.52056,211000,0.493
0.0,0.021,0.50336,212000,0.476
0.0,0.016,0.52131,213000,0.493
0.0,0.012,0.5133,214000,0.484
0.0,0.016,0.5186,215000,0.49
0.0,0.012,0.51076,216000,0.483
0.0,0.012,0.50413,217000,0.477
0.0,0.018,0.51564,218000,0.488
0.0,0.017,0.51309,219000,0.485
0.0,0.014,0.50408,220000,0.476
0.0,0.015,0.52251,221000,0.494
0.0,0.011,0.50715,222000,0.479
0.0,0.009,0.50709,223000,0.48
0.0,0.015,0.5025,224000,0.475
0.0,0.015,0.51278,225000,0.486
0.0,0.019,0.52355,226000,0.496
0.0,0.015,0.50591,227000,0.48
0.0,0.014,0.5036,228000,0.477
0.0,0.014,0.51855,229000,0.492
0.0,0.017,0.50179,230000,0.475
0.0,0.016,0.51355,231000,0.486
0.0,0.015,0.52137,232000,0.493
0.0,0.016,0.51407,233000,0.486
0.0,0.009,0.51201,234000,0.484
0.0,0.011,0.52953,235000,0.501
0.0,0.016,0.50694,236000,0.478
0.0,0.021,0.51896,237000,0.49
0.0,0.015,0.49131,238000,0.464
0.0,0.013,0.50538,239000,0.478
0.0,0.012,0.50972,240000,0.483
0.0,0.012,0.49438,241000,0.468
0.0,0.017,0.49557,242000,0.47
0.0,0.013,0.48558,243000,0.461
0.0,0.009,0.52234,244000,0.496
0.0,0.009,0.50711,245000,0.481
0.0,0.015,0.49967,246000,0.475
