avg_diff,avg_score,loss_train,avg_winning,step_idx
0.002,0.49377,0.0,0.449,1000
0.009,0.50303,0.0,0.458,2000
0.007,0.50662,0.0,0.462,3000
0.026,0.49544,0.0,0.451,4000
0.011,0.48603,0.0,0.441,5000
0.016,0.4755,0.0,0.43,6000
0.004,0.48402,0.0,0.439,7000
0.007,0.49257,0.0,0.447,8000
0.011,0.50243,0.0,0.457,9000
0.012,0.5038,0.0,0.458,10000
0.011,0.50783,0.0,0.462,11000
0.0,0.49042,0.0,0.444,12000
0.016,0.505,0.0,0.46,13000
0.012,0.49388,0.0,0.449,14000
0.016,0.51116,0.0,0.466,15000
-0.002,0.50115,0.0,0.455,16000
0.014,0.48811,0.0,0.443,17000
0.007,0.51055,0.0,0.464,18000
0.021,0.51987,0.0,0.473,19000
0.017,0.50743,0.0,0.461,20000
0.016,0.50938,0.0,0.463,21000
0.006,0.51826,0.0,0.472,22000
0.006,0.52558,0.0,0.479,23000
0.012,0.5018,0.0,0.456,24000
0.005,0.4931,0.0,0.448,25000
0.008,0.50122,0.0,0.456,26000
0.006,0.51395,0.0,0.468,27000
0.002,0.50768,0.0,0.463,28000
0.012,0.49618,0.0,0.451,29000
0.013,0.50857,0.0,0.463,30000
0.007,0.5038,0.0,0.459,31000
0.002,0.51126,0.0,0.466,32000
0.011,0.50831,0.0,0.464,33000
0.004,0.50063,0.0,0.455,34000
0.017,0.50409,0.0,0.459,35000
0.015,0.49839,0.0,0.453,36000
0.009,0.50434,0.0,0.458,37000
0.012,0.49427,0.0,0.448,38000
0.012,0.5064,0.0,0.46,39000
0.006,0.49898,0.0,0.453,40000
0.008,0.5053,0.0,0.459,41000
0.009,0.5137,0.0,0.467,42000
0.004,0.49375,0.0,0.447,43000
0.013,0.51362,0.0,0.467,44000
0.007,0.49803,0.0,0.451,45000
0.012,0.50784,0.0,0.461,46000
0.01,0.50146,0.0,0.456,47000
0.008,0.50389,0.0,0.457,48000
0.012,0.50094,0.0,0.454,49000
0.005,0.52455,0.0,0.477,50000
0.003,0.49739,0.0,0.45,51000
0.008,0.50632,0.0,0.46,52000
0.003,0.51356,0.0,0.467,53000
0.018,0.51317,0.0,0.466,54000
0.02,0.50233,0.0,0.456,55000
0.016,0.50643,0.0,0.46,56000
0.002,0.50485,0.0,0.459,57000
0.01,0.52885,0.0,0.482,58000
0.011,0.51327,0.0,0.466,59000
0.015,0.50417,0.0,0.458,60000
0.006,0.49729,0.0,0.451,61000
-0.001,0.50006,0.0,0.454,62000
0.014,0.50321,0.0,0.457,63000
0.006,0.50968,0.0,0.463,64000
0.008,0.49141,0.0,0.446,65000
0.012,0.50566,0.0,0.459,66000
0.005,0.49891,0.0,0.452,67000
0.011,0.51306,0.0,0.467,68000
0.014,0.50452,0.0,0.458,69000
0.013,0.49907,0.0,0.453,70000
0.015,0.50283,0.0,0.457,71000
0.017,0.50614,0.0,0.46,72000
0.016,0.51435,0.0,0.468,73000
0.014,0.50973,0.0,0.463,74000
0.004,0.53113,0.0,0.485,75000
0.01,0.51811,0.0,0.472,76000
0.005,0.49825,0.0,0.452,77000
0.017,0.51392,0.0,0.468,78000
0.008,0.50668,0.0,0.461,79000
0.006,0.52545,0.0,0.48,80000
0.006,0.52418,0.0,0.478,81000
0.007,0.49407,0.0,0.448,82000
0.016,0.51023,0.0,0.464,83000
0.014,0.50637,0.0,0.46,84000
0.014,0.50435,0.0,0.458,85000
0.025,0.51089,0.0,0.464,86000
0.02,0.50753,0.0,0.46,87000
0.02,0.52188,0.0,0.474,88000
0.008,0.50889,0.0,0.461,89000
0.014,0.51198,0.0,0.464,90000
0.006,0.50844,0.0,0.461,91000
0.005,0.50498,0.0,0.457,92000
0.009,0.51842,0.0,0.47,93000
0.017,0.49707,0.0,0.45,94000
0.007,0.51471,0.0,0.467,95000
0.015,0.50301,0.0,0.456,96000
0.007,0.51826,0.0,0.471,97000
0.018,0.51452,0.0,0.467,98000
0.013,0.49747,0.0,0.451,99000
0.011,0.50793,0.0,0.461,100000
0.007,0.52059,0.0,0.473,101000
0.01,0.51017,0.0,0.463,102000
0.012,0.52262,0.0,0.476,103000
0.005,0.51923,0.0,0.472,104000
0.015,0.51502,0.0,0.468,105000
0.018,0.53321,0.0,0.486,106000
0.013,0.51883,0.0,0.472,107000
0.005,0.51356,0.0,0.466,108000
0.009,0.51188,0.0,0.465,109000
0.007,0.51206,0.0,0.466,110000
