step_idx,avg_diff,avg_winning,avg_score,loss_train
1000,0.014,0.417,0.45931,0.0
2000,0.012,0.436,0.48107,0.0
3000,0.011,0.444,0.49025,0.0
4000,0.013,0.435,0.48089,0.0
5000,0.016,0.448,0.49401,0.0
6000,0.013,0.438,0.48329,0.0
7000,0.011,0.443,0.48891,0.0
8000,0.008,0.45,0.49592,0.0
9000,0.015,0.441,0.48755,0.0
10000,0.014,0.442,0.48826,0.0
11000,0.016,0.458,0.50477,0.0
12000,0.023,0.45,0.49678,0.0
13000,0.017,0.454,0.50104,0.0
14000,0.008,0.448,0.49517,0.0
15000,0.022,0.432,0.47837,0.0
16000,0.016,0.415,0.46157,0.0
17000,0.012,0.437,0.48356,0.0
18000,0.018,0.461,0.50779,0.0
19000,0.012,0.45,0.49727,0.0
20000,0.02,0.45,0.49645,0.0
21000,0.009,0.427,0.47335,0.0
22000,0.02,0.448,0.49478,0.0
23000,0.021,0.439,0.48535,0.0
24000,0.024,0.466,0.51291,0.0
25000,0.014,0.441,0.48771,0.0
26000,0.018,0.45,0.49696,0.0
27000,0.006,0.442,0.48904,0.0
28000,0.015,0.443,0.49013,0.0
29000,0.009,0.468,0.51611,0.0
30000,0.006,0.438,0.48532,0.0
31000,0.013,0.453,0.5005,0.0
32000,0.025,0.439,0.48551,0.0
33000,0.01,0.447,0.49436,0.0
34000,0.017,0.452,0.49889,0.0
35000,0.023,0.461,0.50823,0.0
36000,0.013,0.458,0.50505,0.0
37000,0.016,0.44,0.48682,0.0
38000,0.017,0.436,0.48249,0.0
39000,0.012,0.462,0.50897,0.0
40000,0.025,0.461,0.50765,0.0
41000,0.01,0.454,0.5003,0.0
42000,0.022,0.443,0.48953,0.0
43000,0.021,0.476,0.52326,0.0
44000,0.019,0.455,0.50235,0.0
45000,0.021,0.448,0.49505,0.0
46000,0.019,0.449,0.49593,0.0
47000,0.019,0.464,0.51061,0.0
48000,0.01,0.472,0.51786,0.0
49000,0.016,0.479,0.5258,0.0
50000,0.018,0.446,0.49203,0.0
51000,0.02,0.471,0.51774,0.0
52000,0.019,0.46,0.50702,0.0
53000,0.011,0.449,0.49516,0.0
54000,0.018,0.462,0.50827,0.0
55000,0.013,0.472,0.51861,0.0
56000,0.006,0.465,0.51169,0.0
57000,0.012,0.475,0.52224,0.0
58000,0.006,0.463,0.51031,0.0
59000,0.022,0.455,0.5011,0.0
60000,0.02,0.456,0.50252,0.0
61000,0.012,0.468,0.51561,0.0
62000,0.018,0.469,0.51666,0.0
63000,0.01,0.474,0.52106,0.0
64000,-0.004,0.459,0.50587,0.0
65000,0.018,0.473,0.51883,0.0
66000,0.007,0.467,0.51294,0.0
67000,0.009,0.471,0.51802,0.0
68000,0.009,0.479,0.52577,0.0
69000,0.014,0.475,0.5223,0.0
70000,0.007,0.468,0.51504,0.0
71000,0.02,0.472,0.51935,0.0
72000,0.003,0.463,0.51079,0.0
73000,0.022,0.448,0.49624,0.0
74000,0.007,0.49,0.53854,0.0
75000,0.013,0.447,0.49526,0.0
76000,0.006,0.467,0.51485,0.0
77000,0.007,0.489,0.53795,0.0
78000,0.01,0.467,0.51501,0.0
79000,0.006,0.461,0.50935,0.0
80000,0.012,0.472,0.51952,0.0
81000,0.006,0.474,0.52219,0.0
82000,0.018,0.46,0.50775,0.0
83000,0.014,0.462,0.50907,0.0
84000,0.009,0.449,0.49654,0.0
85000,0.024,0.484,0.53224,0.0
86000,0.009,0.464,0.51111,0.0
87000,0.014,0.461,0.50806,0.0
88000,0.001,0.467,0.51415,0.0
89000,0.011,0.481,0.52943,0.0
90000,0.016,0.45,0.49723,0.0
91000,0.009,0.469,0.51666,0.0
92000,0.017,0.473,0.51993,0.0
93000,0.006,0.474,0.52108,0.0
94000,0.012,0.479,0.52594,0.0
95000,0.008,0.477,0.52377,0.0
96000,0.012,0.471,0.5183,0.0
97000,0.008,0.482,0.52908,0.0
98000,0.006,0.463,0.50929,0.0
99000,0.021,0.469,0.5169,0.0
100000,0.019,0.451,0.49706,0.0
101000,0.009,0.483,0.52985,0.0
102000,0.011,0.489,0.53662,0.0
103000,0.012,0.486,0.53338,0.0
104000,0.015,0.477,0.52456,0.0
105000,0.014,0.486,0.53416,0.0
106000,0.019,0.492,0.54016,0.0
107000,0.008,0.488,0.53502,0.0
108000,0.014,0.476,0.5237,0.0
109000,0.005,0.485,0.53338,0.0
110000,0.017,0.49,0.53675,0.0
111000,0.017,0.494,0.54185,0.0
112000,0.016,0.472,0.51869,0.0
113000,0.013,0.471,0.5177,0.0
114000,0.017,0.48,0.52578,0.0
115000,0.019,0.475,0.52092,0.0
116000,0.006,0.477,0.52354,0.0
117000,0.029,0.476,0.52163,0.0
118000,0.017,0.485,0.53211,0.0
119000,0.012,0.483,0.52975,0.0
120000,0.019,0.481,0.52846,0.0
121000,0.019,0.467,0.51407,0.0
122000,0.023,0.483,0.53116,0.0
123000,0.016,0.465,0.51157,0.0
124000,0.021,0.473,0.52019,0.0
125000,0.018,0.472,0.51907,0.0
126000,0.022,0.476,0.52281,0.0
127000,0.016,0.465,0.51295,0.0
128000,0.022,0.494,0.54145,0.0
129000,0.009,0.487,0.53448,0.0
130000,0.023,0.479,0.52688,0.0
131000,0.015,0.468,0.51567,0.0
132000,0.021,0.471,0.51851,0.0
133000,0.014,0.472,0.51941,0.0
134000,0.026,0.463,0.51018,0.0
135000,0.022,0.462,0.50867,0.0
