avg_winning,loss_train,avg_diff,avg_score,step_idx
0.304,0.0,0.016,0.32871,1000
0.37,0.0,0.022,0.39579,2000
0.375,0.0,0.019,0.40103,3000
0.351,0.0,0.012,0.37477,4000
0.373,0.0,0.022,0.39789,5000
0.355,0.0,0.024,0.38056,6000
0.384,0.0,0.019,0.41053,7000
0.381,0.0,0.015,0.40848,8000
0.409,0.0,0.021,0.43711,9000
0.403,0.0,0.015,0.43082,10000
0.399,0.0,0.027,0.42672,11000
0.375,0.0,0.029,0.40349,12000
0.383,0.0,0.02,0.41272,13000
0.383,0.0,0.024,0.4128,14000
0.397,0.0,0.012,0.4262,15000
0.402,0.0,0.019,0.42907,16000
0.407,0.0,0.002,0.43641,17000
0.414,0.0,0.017,0.44435,18000
0.406,0.0,0.019,0.43608,19000
0.417,0.0,0.009,0.44819,20000
0.404,0.0,0.017,0.4356,21000
0.418,0.0,0.013,0.45089,22000
0.42,0.0,0.009,0.45174,23000
0.418,0.0,0.019,0.44958,24000
0.418,0.0,0.014,0.44986,25000
0.438,0.0,0.018,0.47065,26000
0.418,0.0,0.004,0.45072,27000
0.422,0.0,0.015,0.454,28000
0.413,0.0,0.026,0.44232,29000
0.435,0.0,0.011,0.46625,30000
0.435,0.0,0.02,0.4659,31000
0.453,0.0,0.018,0.48401,32000
0.458,0.0,0.013,0.48965,33000
0.444,0.0,0.017,0.47496,34000
0.441,0.0,0.018,0.47197,35000
0.432,0.0,0.014,0.46282,36000
0.443,0.0,0.011,0.47319,37000
0.447,0.0,0.009,0.47793,38000
0.448,0.0,0.011,0.47894,39000
0.464,0.0,0.015,0.49548,40000
0.465,0.0,0.013,0.49621,41000
0.462,0.0,0.02,0.4932,42000
0.444,0.0,0.02,0.47507,43000
0.469,0.0,0.015,0.50002,44000
0.453,0.0,0.024,0.48445,45000
0.468,0.0,0.01,0.49904,46000
0.445,0.0,0.012,0.47625,47000
0.479,0.0,0.012,0.51143,48000
0.465,0.0,0.018,0.49706,49000
0.462,0.0,0.02,0.49438,50000
0.484,0.0,0.006,0.51527,51000
0.482,0.0,0.012,0.51486,52000
0.46,0.0,0.004,0.49236,53000
0.467,0.0,0.015,0.50004,54000
0.466,0.0,0.014,0.49739,55000
0.462,0.0,0.021,0.49444,56000
0.47,0.0,0.013,0.50266,57000
0.469,0.0,0.01,0.50311,58000
0.477,0.0,0.023,0.51139,59000
0.466,0.0,0.012,0.4994,60000
0.468,0.0,0.016,0.50056,61000
0.485,0.0,0.011,0.51869,62000
0.475,0.0,0.009,0.5086,63000
0.46,0.0,0.015,0.49345,64000
0.465,0.0,0.012,0.498,65000
0.452,0.0,0.01,0.48492,66000
0.477,0.0,0.011,0.51037,67000
0.464,0.0,0.013,0.49696,68000
0.482,0.0,0.013,0.51458,69000
0.468,0.0,0.013,0.50154,70000
0.459,0.0,0.008,0.4917,71000
0.458,0.0,0.021,0.49036,72000
0.479,0.0,0.021,0.51219,73000
0.461,0.0,0.022,0.49286,74000
0.467,0.0,0.016,0.50102,75000
0.473,0.0,0.014,0.50669,76000
0.467,0.0,0.01,0.50099,77000
0.47,0.0,0.009,0.50436,78000
0.475,0.0,0.011,0.50944,79000
0.483,0.0,0.013,0.51792,80000
0.485,0.0,0.018,0.5211,81000
0.477,0.0,0.018,0.51208,82000
0.487,0.0,0.017,0.52234,83000
0.48,0.0,0.012,0.51545,84000
0.484,0.0,0.007,0.51937,85000
0.483,0.0,0.009,0.51848,86000
0.481,0.0,0.014,0.51605,87000
0.48,0.0,0.007,0.51497,88000
0.474,0.0,0.012,0.5107,89000
0.478,0.0,0.015,0.51333,90000
0.481,0.0,0.013,0.5153,91000
0.477,0.0,0.016,0.51201,92000
0.48,0.0,0.01,0.51501,93000
0.476,0.0,0.015,0.51084,94000
0.479,0.0,0.002,0.51303,95000
0.49,0.0,0.008,0.52416,96000
0.487,0.0,0.014,0.52153,97000
0.491,0.0,0.015,0.52518,98000
0.495,0.0,0.012,0.52891,99000
0.486,0.0,0.008,0.52112,100000
0.484,0.0,0.005,0.51909,101000
0.477,0.0,0.0,0.51252,102000
0.486,0.0,0.015,0.52207,103000
0.484,0.0,0.014,0.51967,104000
0.481,0.0,0.018,0.51575,105000
0.479,0.0,0.013,0.51376,106000
0.476,0.0,0.008,0.51076,107000
0.466,0.0,0.011,0.50035,108000
0.491,0.0,0.014,0.52571,109000
0.471,0.0,0.006,0.50617,110000
0.488,0.0,0.003,0.5238,111000
0.487,0.0,0.009,0.52321,112000
0.476,0.0,0.001,0.51173,113000
0.48,0.0,0.017,0.51598,114000
0.479,0.0,0.016,0.51409,115000
0.46,0.0,0.011,0.49572,116000
0.477,0.0,0.011,0.51215,117000
0.477,0.0,0.014,0.51203,118000
0.48,0.0,0.015,0.51559,119000
0.479,0.0,0.017,0.51436,120000
0.486,0.0,0.011,0.52097,121000
0.477,0.0,0.016,0.51347,122000
0.473,0.0,0.013,0.50837,123000
0.462,0.0,0.013,0.49585,124000
0.466,0.0,0.012,0.50067,125000
0.478,0.0,0.018,0.51317,126000
0.481,0.0,0.019,0.51647,127000
0.488,0.0,0.012,0.52256,128000
0.479,0.0,0.015,0.51353,129000
0.472,0.0,0.008,0.50505,130000
0.471,0.0,0.012,0.50451,131000
0.477,0.0,0.017,0.51111,132000
0.472,0.0,0.013,0.50658,133000
0.474,0.0,0.014,0.50848,134000
0.475,0.0,0.015,0.50969,135000
0.488,0.0,0.011,0.52325,136000
0.486,0.0,0.008,0.52169,137000
0.485,0.0,0.011,0.52067,138000
0.482,0.0,0.016,0.51774,139000
0.491,0.0,0.01,0.52647,140000
0.479,0.0,0.017,0.51462,141000
0.487,0.0,0.011,0.52298,142000
0.483,0.0,0.005,0.51852,143000
0.485,0.0,0.009,0.5212,144000
0.495,0.0,0.008,0.53118,145000
0.478,0.0,0.007,0.51332,146000
0.495,0.0,0.012,0.53042,147000
0.483,0.0,0.006,0.51821,148000
0.466,0.0,0.014,0.49941,149000
0.482,0.0,0.002,0.51681,150000
0.474,0.0,0.007,0.50742,151000
0.488,0.0,0.015,0.52197,152000
0.482,0.0,0.008,0.5164,153000
0.492,0.0,0.006,0.52606,154000
0.481,0.0,0.014,0.51463,155000
0.455,0.0,0.01,0.48861,156000
0.495,0.0,0.009,0.52986,157000
0.481,0.0,0.006,0.51546,158000
0.477,0.0,0.011,0.51165,159000
0.49,0.0,0.017,0.52537,160000
0.483,0.0,0.016,0.5185,161000
0.499,0.0,0.007,0.53481,162000
0.488,0.0,0.013,0.52341,163000
0.496,0.0,0.005,0.53154,164000
0.486,0.0,0.006,0.52083,165000
0.484,0.0,0.001,0.51799,166000
0.512,0.0,0.008,0.54719,167000
0.481,0.0,0.004,0.5156,168000
0.478,0.0,0.016,0.51329,169000
0.473,0.0,0.013,0.50691,170000
0.479,0.0,0.008,0.51394,171000
0.482,0.0,0.012,0.51743,172000
0.473,0.0,0.011,0.50864,173000
0.475,0.0,0.009,0.51034,174000
0.479,0.0,0.012,0.51414,175000
0.473,0.0,0.011,0.50828,176000
0.477,0.0,0.013,0.51232,177000
0.478,0.0,0.011,0.51242,178000
0.482,0.0,0.006,0.51644,179000
0.471,0.0,0.013,0.50436,180000
0.482,0.0,0.018,0.51565,181000
0.48,0.0,0.015,0.51391,182000
0.483,0.0,0.009,0.51736,183000
0.485,0.0,0.005,0.51865,184000
0.479,0.0,0.007,0.51194,185000
0.474,0.0,0.009,0.50646,186000
0.473,0.0,0.003,0.50575,187000
0.492,0.0,0.015,0.52584,188000
0.481,0.0,0.014,0.51531,189000
0.474,0.0,0.015,0.50809,190000
0.485,0.0,0.011,0.51873,191000
0.469,0.0,0.012,0.50277,192000
0.479,0.0,0.013,0.51369,193000
0.482,0.0,0.009,0.5168,194000
0.48,0.0,0.01,0.51549,195000
0.487,0.0,0.008,0.52309,196000
0.486,0.0,0.002,0.52182,197000
0.48,0.0,0.003,0.51588,198000
0.484,0.0,0.012,0.52005,199000
0.48,0.0,0.008,0.51661,200000
0.469,0.0,0.018,0.50606,201000
0.466,0.0,0.008,0.5035,202000
0.476,0.0,0.019,0.51325,203000
0.464,0.0,0.02,0.50152,204000
0.475,0.0,0.015,0.51196,205000
0.477,0.0,0.006,0.51377,206000
0.472,0.0,0.007,0.50807,207000
0.468,0.0,0.014,0.50312,208000
0.479,0.0,0.008,0.51311,209000
0.48,0.0,0.006,0.51506,210000
0.481,0.0,0.014,0.51568,211000
0.484,0.0,0.013,0.51963,212000
