avg_score,loss_train,avg_diff,avg_winning,step_idx
0.37427,0.0,0.016,0.349,1000
0.39856,0.0,0.018,0.374,2000
0.41051,0.0,0.027,0.386,3000
0.42802,0.0,0.011,0.403,4000
0.40454,0.0,0.015,0.378,5000
0.43085,0.0,0.024,0.404,6000
0.40693,0.0,0.029,0.38,7000
0.41149,0.0,0.013,0.385,8000
0.42513,0.0,0.018,0.398,9000
0.40937,0.0,0.02,0.382,10000
0.43206,0.0,0.024,0.404,11000
0.42711,0.0,0.01,0.398,12000
0.42591,0.0,0.012,0.396,13000
0.40997,0.0,0.004,0.38,14000
0.42631,0.0,0.02,0.396,15000
0.43344,0.0,0.024,0.404,16000
0.43209,0.0,0.013,0.401,17000
0.4588,0.0,0.016,0.428,18000
0.46808,0.0,0.012,0.437,19000
0.4533,0.0,0.015,0.423,20000
0.47593,0.0,0.019,0.445,21000
0.46281,0.0,0.022,0.431,22000
0.49908,0.0,0.009,0.467,23000
0.48654,0.0,0.008,0.455,24000
0.46993,0.0,0.013,0.439,25000
0.47602,0.0,0.016,0.444,26000
0.47133,0.0,0.009,0.439,27000
0.463,0.0,0.031,0.431,28000
0.48594,0.0,0.027,0.455,29000
0.50034,0.0,0.021,0.469,30000
0.47412,0.0,0.023,0.443,31000
0.48156,0.0,0.003,0.451,32000
0.49146,0.0,0.012,0.461,33000
0.48416,0.0,0.016,0.454,34000
0.48089,0.0,0.008,0.45,35000
0.48796,0.0,0.022,0.457,36000
0.46439,0.0,0.01,0.432,37000
0.50172,0.0,0.011,0.469,38000
0.50903,0.0,0.016,0.478,39000
0.47293,0.0,0.013,0.442,40000
0.48678,0.0,0.012,0.456,41000
0.5004,0.0,0.014,0.469,42000
0.48001,0.0,0.015,0.45,43000
0.50316,0.0,0.013,0.472,44000
0.50606,0.0,0.018,0.474,45000
0.48904,0.0,0.015,0.458,46000
0.49643,0.0,0.02,0.464,47000
0.49842,0.0,0.017,0.466,48000
0.48618,0.0,0.019,0.453,49000
0.48592,0.0,0.018,0.453,50000
0.50447,0.0,0.016,0.471,51000
0.50168,0.0,0.017,0.469,52000
0.50545,0.0,0.019,0.472,53000
0.50151,0.0,0.018,0.468,54000
0.50548,0.0,0.023,0.472,55000
0.50625,0.0,0.01,0.473,56000
0.5026,0.0,0.02,0.468,57000
0.49461,0.0,0.011,0.461,58000
0.51201,0.0,0.019,0.478,59000
0.52153,0.0,0.021,0.487,60000
0.52163,0.0,0.013,0.487,61000
0.50362,0.0,0.024,0.47,62000
0.50104,0.0,0.02,0.467,63000
0.48926,0.0,0.014,0.456,64000
0.50715,0.0,0.016,0.472,65000
0.52915,0.0,0.024,0.493,66000
0.49742,0.0,0.019,0.462,67000
0.50608,0.0,0.019,0.472,68000
0.50537,0.0,0.024,0.471,69000
0.49765,0.0,0.02,0.464,70000
0.50299,0.0,0.02,0.469,71000
0.52046,0.0,0.02,0.485,72000
0.51661,0.0,0.003,0.481,73000
0.52204,0.0,0.018,0.487,74000
0.51853,0.0,0.014,0.483,75000
0.526,0.0,0.01,0.491,76000
0.51885,0.0,0.013,0.482,77000
0.52964,0.0,0.014,0.495,78000
0.52242,0.0,0.023,0.487,79000
0.51127,0.0,0.012,0.476,80000
0.49701,0.0,0.013,0.462,81000
0.49263,0.0,0.017,0.459,82000
0.51156,0.0,0.017,0.477,83000
0.49813,0.0,0.017,0.463,84000
0.51703,0.0,0.017,0.482,85000
0.50707,0.0,0.012,0.473,86000
0.51171,0.0,0.022,0.478,87000
0.49627,0.0,0.018,0.462,88000
0.52518,0.0,0.01,0.491,89000
0.49865,0.0,0.01,0.464,90000
0.50302,0.0,0.018,0.469,91000
0.50134,0.0,0.016,0.468,92000
0.51577,0.0,0.016,0.481,93000
0.50891,0.0,0.014,0.474,94000
0.51957,0.0,0.012,0.485,95000
0.52575,0.0,0.012,0.491,96000
0.51493,0.0,0.022,0.48,97000
0.50726,0.0,0.01,0.473,98000
0.50651,0.0,0.017,0.471,99000
0.51102,0.0,0.006,0.476,100000
0.50758,0.0,0.022,0.473,101000
0.52307,0.0,0.008,0.489,102000
0.5104,0.0,0.02,0.476,103000
0.51532,0.0,0.017,0.48,104000
0.5263,0.0,0.013,0.491,105000
0.51093,0.0,0.018,0.476,106000
0.5146,0.0,0.019,0.479,107000
0.51303,0.0,0.02,0.478,108000
0.51997,0.0,0.023,0.484,109000
0.50249,0.0,0.021,0.467,110000
0.5169,0.0,0.024,0.482,111000
0.52625,0.0,0.021,0.491,112000
0.51573,0.0,0.017,0.481,113000
0.51236,0.0,0.02,0.477,114000
0.52186,0.0,0.021,0.487,115000
0.50699,0.0,0.013,0.472,116000
0.50958,0.0,0.018,0.475,117000
0.52159,0.0,0.018,0.487,118000
0.53353,0.0,0.022,0.498,119000
0.52846,0.0,0.026,0.493,120000
0.54698,0.0,0.018,0.511,121000
0.51926,0.0,0.01,0.483,122000
0.53944,0.0,0.008,0.503,123000
0.52257,0.0,0.011,0.486,124000
0.52989,0.0,0.019,0.493,125000
0.5029,0.0,0.023,0.468,126000
0.53901,0.0,0.02,0.503,127000
0.52458,0.0,0.015,0.489,128000
0.5152,0.0,0.016,0.48,129000
0.5441,0.0,0.021,0.508,130000
0.5276,0.0,0.016,0.492,131000
0.52443,0.0,0.022,0.488,132000
0.51496,0.0,0.015,0.479,133000
0.52771,0.0,0.017,0.491,134000
0.53568,0.0,0.02,0.499,135000
0.52952,0.0,0.019,0.493,136000
0.52779,0.0,0.019,0.492,137000
0.51774,0.0,0.015,0.483,138000
0.52448,0.0,0.021,0.489,139000
0.52733,0.0,0.015,0.492,140000
0.52327,0.0,0.013,0.488,141000
0.52449,0.0,0.014,0.489,142000
0.52666,0.0,0.012,0.491,143000
0.53181,0.0,0.018,0.497,144000
0.52856,0.0,0.014,0.494,145000
0.51881,0.0,0.013,0.484,146000
0.52682,0.0,0.017,0.493,147000
0.5253,0.0,0.019,0.491,148000
0.50552,0.0,0.014,0.472,149000
0.52083,0.0,0.015,0.487,150000
0.52412,0.0,0.014,0.49,151000
0.54002,0.0,0.017,0.504,152000
0.52631,0.0,0.022,0.491,153000
0.53845,0.0,0.019,0.503,154000
0.52913,0.0,0.014,0.495,155000
0.52045,0.0,0.02,0.486,156000
0.53335,0.0,0.016,0.498,157000
0.51229,0.0,0.019,0.477,158000
0.51627,0.0,0.019,0.481,159000
0.52559,0.0,0.016,0.491,160000
0.52308,0.0,0.022,0.487,161000
0.52354,0.0,0.015,0.488,162000
0.52329,0.0,0.019,0.487,163000
0.52606,0.0,0.02,0.491,164000
0.54095,0.0,0.009,0.504,165000
0.53098,0.0,0.023,0.495,166000
0.52373,0.0,0.02,0.488,167000
0.51614,0.0,0.016,0.481,168000
0.5321,0.0,0.019,0.497,169000
0.50773,0.0,0.023,0.473,170000
0.5364,0.0,0.015,0.5,171000
0.52579,0.0,0.016,0.49,172000
0.53309,0.0,0.019,0.497,173000
0.52435,0.0,0.015,0.488,174000
0.50701,0.0,0.018,0.472,175000
0.51088,0.0,0.017,0.476,176000
0.52642,0.0,0.016,0.492,177000
0.53509,0.0,0.015,0.501,178000
0.53059,0.0,0.022,0.495,179000
0.51025,0.0,0.016,0.474,180000
0.53169,0.0,0.02,0.496,181000
0.52133,0.0,0.015,0.485,182000
0.52076,0.0,0.019,0.484,183000
0.5185,0.0,0.01,0.482,184000
0.5144,0.0,0.018,0.478,185000
0.52471,0.0,0.014,0.489,186000
0.52019,0.0,0.011,0.484,187000
0.52653,0.0,0.017,0.49,188000
0.5371,0.0,0.017,0.501,189000
0.51732,0.0,0.012,0.482,190000
0.52623,0.0,0.024,0.49,191000
0.53161,0.0,0.013,0.496,192000
0.51027,0.0,0.014,0.476,193000
0.52165,0.0,0.014,0.488,194000
0.52379,0.0,0.021,0.49,195000
0.51933,0.0,0.024,0.486,196000
0.52402,0.0,0.017,0.49,197000
0.51514,0.0,0.023,0.481,198000
0.52365,0.0,0.017,0.49,199000
0.52182,0.0,0.02,0.489,200000
0.52742,0.0,0.019,0.493,201000
0.51377,0.0,0.021,0.478,202000
0.50964,0.0,0.026,0.474,203000
0.52673,0.0,0.008,0.491,204000
0.5283,0.0,0.014,0.492,205000
0.51581,0.0,0.017,0.48,206000
0.51808,0.0,0.013,0.481,207000
0.51749,0.0,0.004,0.481,208000
0.50064,0.0,0.015,0.464,209000
0.52352,0.0,0.009,0.487,210000
0.52563,0.0,0.011,0.488,211000
0.50769,0.0,0.02,0.471,212000
0.51807,0.0,0.021,0.481,213000
0.51977,0.0,0.013,0.482,214000
0.51373,0.0,0.019,0.477,215000
0.51751,0.0,0.022,0.481,216000
0.5223,0.0,0.026,0.485,217000
0.5223,0.0,0.02,0.485,218000
0.52026,0.0,0.022,0.484,219000
0.51176,0.0,0.021,0.476,220000
0.52167,0.0,0.024,0.486,221000
0.52105,0.0,0.023,0.485,222000
0.49621,0.0,0.021,0.461,223000
0.51558,0.0,0.026,0.48,224000
0.54294,0.0,0.014,0.507,225000
0.52207,0.0,0.014,0.486,226000
0.51372,0.0,0.019,0.478,227000
0.52676,0.0,0.016,0.491,228000
0.51114,0.0,0.022,0.476,229000
0.52382,0.0,0.023,0.489,230000
0.51883,0.0,0.014,0.484,231000
0.50409,0.0,0.023,0.469,232000
0.5243,0.0,0.024,0.49,233000
0.50924,0.0,0.015,0.475,234000
0.50939,0.0,0.016,0.475,235000
0.52007,0.0,0.011,0.485,236000
0.50018,0.0,0.016,0.465,237000
0.5226,0.0,0.017,0.487,238000
0.52245,0.0,0.012,0.487,239000
0.50357,0.0,0.026,0.469,240000
0.49516,0.0,0.015,0.461,241000
0.51163,0.0,0.008,0.477,242000
0.50577,0.0,0.02,0.471,243000
0.51672,0.0,0.01,0.481,244000
0.50831,0.0,0.011,0.473,245000
0.50904,0.0,0.001,0.474,246000
0.51715,0.0,0.018,0.482,247000
0.50982,0.0,0.01,0.474,248000
0.50134,0.0,0.013,0.466,249000
0.50594,0.0,0.02,0.47,250000
0.50756,0.0,0.013,0.472,251000
0.50635,0.0,0.017,0.471,252000
0.51541,0.0,0.018,0.48,253000
0.50773,0.0,0.013,0.473,254000
0.51541,0.0,0.017,0.48,255000
0.51427,0.0,0.022,0.478,256000
0.51966,0.0,0.012,0.483,257000
0.4996,0.0,0.012,0.464,258000
0.5117,0.0,0.018,0.475,259000
0.51063,0.0,0.018,0.475,260000
0.50616,0.0,0.013,0.471,261000
0.4874,0.0,0.021,0.452,262000
0.51161,0.0,0.015,0.476,263000
0.5124,0.0,0.013,0.477,264000
0.51973,0.0,0.017,0.484,265000
0.50617,0.0,0.01,0.471,266000
0.50409,0.0,0.019,0.468,267000
0.51455,0.0,0.015,0.478,268000
0.51455,0.0,0.012,0.479,269000
0.49972,0.0,0.024,0.464,270000
0.51612,0.0,0.019,0.48,271000
0.50896,0.0,0.021,0.473,272000
0.51621,0.0,0.024,0.481,273000
0.50676,0.0,0.015,0.471,274000
0.52103,0.0,0.02,0.485,275000
0.51477,0.0,0.017,0.48,276000
0.53175,0.0,0.028,0.497,277000
0.51263,0.0,0.027,0.478,278000
0.50119,0.0,0.024,0.465,279000
0.49896,0.0,0.018,0.463,280000
0.52016,0.0,0.016,0.484,281000
0.52681,0.0,0.022,0.491,282000
0.51033,0.0,0.015,0.475,283000
0.52259,0.0,0.022,0.486,284000
0.52253,0.0,0.025,0.487,285000
0.5131,0.0,0.024,0.477,286000
0.51125,0.0,0.021,0.475,287000
0.51035,0.0,0.025,0.474,288000
0.51345,0.0,0.02,0.477,289000
0.52691,0.0,0.021,0.49,290000
0.51454,0.0,0.02,0.478,291000
0.51243,0.0,0.015,0.477,292000
0.49941,0.0,0.017,0.465,293000
0.50884,0.0,0.017,0.474,294000
0.51903,0.0,0.023,0.485,295000
0.51372,0.0,0.017,0.478,296000
0.52517,0.0,0.016,0.49,297000
0.50654,0.0,0.021,0.472,298000
0.50697,0.0,0.022,0.471,299000
0.52711,0.0,0.021,0.491,300000
0.51807,0.0,0.018,0.483,301000
0.51555,0.0,0.028,0.481,302000
0.50949,0.0,0.022,0.475,303000
0.50336,0.0,0.02,0.469,304000
0.51624,0.0,0.019,0.482,305000
0.50186,0.0,0.018,0.467,306000
0.52204,0.0,0.026,0.486,307000
0.51733,0.0,0.014,0.482,308000
0.50151,0.0,0.02,0.466,309000
0.51913,0.0,0.025,0.484,310000
0.50089,0.0,0.023,0.466,311000
0.52171,0.0,0.016,0.487,312000
0.52154,0.0,0.024,0.487,313000
0.51398,0.0,0.014,0.479,314000
0.5102,0.0,0.017,0.476,315000
0.51035,0.0,0.014,0.476,316000
0.51652,0.0,0.021,0.483,317000
0.5091,0.0,0.024,0.475,318000
0.50336,0.0,0.017,0.469,319000
0.50576,0.0,0.024,0.472,320000
0.50663,0.0,0.013,0.473,321000
0.51024,0.0,0.02,0.476,322000
0.5139,0.0,0.015,0.479,323000
0.51801,0.0,0.018,0.483,324000
0.50773,0.0,0.017,0.473,325000
0.52687,0.0,0.019,0.493,326000
0.50027,0.0,0.027,0.467,327000
0.51874,0.0,0.018,0.484,328000
0.52681,0.0,0.014,0.492,329000
0.50936,0.0,0.018,0.475,330000
0.51806,0.0,0.014,0.483,331000
0.48535,0.0,0.023,0.45,332000
0.50644,0.0,0.016,0.47,333000
0.51751,0.0,0.017,0.481,334000
0.52817,0.0,0.011,0.491,335000
0.51758,0.0,0.023,0.482,336000
0.52986,0.0,0.012,0.493,337000
0.527,0.0,0.021,0.489,338000
0.51591,0.0,0.015,0.479,339000
0.52505,0.0,0.02,0.488,340000
0.51646,0.0,0.018,0.479,341000
0.52912,0.0,0.016,0.491,342000
0.52221,0.0,0.01,0.484,343000
0.52546,0.0,0.012,0.488,344000
0.53166,0.0,0.009,0.493,345000
0.53366,0.0,0.019,0.495,346000
0.53147,0.0,0.012,0.493,347000
0.52859,0.0,0.013,0.491,348000
0.52465,0.0,0.015,0.486,349000
0.53057,0.0,0.016,0.493,350000
0.51813,0.0,0.015,0.481,351000
0.51791,0.0,0.015,0.481,352000
0.52089,0.0,0.021,0.485,353000
0.53875,0.0,0.023,0.502,354000
0.5106,0.0,0.018,0.475,355000
0.52623,0.0,0.022,0.49,356000
0.5305,0.0,0.019,0.495,357000
0.54071,0.0,0.014,0.504,358000
0.51632,0.0,0.008,0.48,359000
0.50589,0.0,0.023,0.469,360000
0.53695,0.0,0.021,0.501,361000
0.51387,0.0,0.022,0.478,362000
0.53181,0.0,0.012,0.496,363000
0.51604,0.0,0.015,0.48,364000
0.50438,0.0,0.017,0.469,365000
0.51403,0.0,0.008,0.478,366000
0.51226,0.0,0.015,0.477,367000
0.51606,0.0,0.01,0.48,368000
0.51161,0.0,0.015,0.476,369000
0.51326,0.0,0.013,0.478,370000
0.50314,0.0,0.018,0.468,371000
0.5188,0.0,0.016,0.483,372000
