loss_train,avg_winning,step_idx,avg_diff,avg_score
0.0,0.45,1000,0.009,0.49389
0.0,0.456,2000,0.006,0.50086
0.0,0.449,3000,0.007,0.49395
0.0,0.457,4000,0.013,0.50113
0.0,0.432,5000,0.012,0.47637
0.0,0.466,6000,0.008,0.51126
0.0,0.474,7000,0.001,0.51944
0.0,0.478,8000,0.019,0.52317
0.0,0.458,9000,0.016,0.50344
0.0,0.469,10000,0.013,0.51485
0.0,0.459,11000,0.017,0.50409
0.0,0.469,12000,0.017,0.51529
0.0,0.462,13000,0.012,0.50854
0.0,0.46,14000,0.0,0.50603
0.0,0.462,15000,0.007,0.50755
0.0,0.455,16000,0.017,0.49996
0.0,0.473,17000,0.01,0.51834
0.0,0.459,18000,0.025,0.50346
0.0,0.454,19000,0.006,0.49893
0.0,0.472,20000,0.011,0.51732
0.0,0.45,21000,0.011,0.49587
0.0,0.469,22000,-0.001,0.51511
0.0,0.452,23000,0.02,0.49765
0.0,0.465,24000,0.017,0.51121
0.0,0.468,25000,0.014,0.51379
0.0,0.451,26000,0.013,0.49716
0.0,0.471,27000,0.015,0.51696
0.0,0.474,28000,0.018,0.5213
0.0,0.475,29000,0.018,0.52146
0.0,0.476,30000,0.013,0.52238
0.0,0.457,31000,0.016,0.50281
0.0,0.469,32000,0.015,0.51506
0.0,0.47,33000,0.017,0.51587
0.0,0.472,34000,0.009,0.51768
0.0,0.468,35000,0.015,0.51466
0.0,0.456,36000,0.014,0.50205
0.0,0.477,37000,0.019,0.52233
0.0,0.462,38000,0.015,0.508
0.0,0.465,39000,0.019,0.51136
0.0,0.466,40000,0.005,0.5121
0.0,0.467,41000,0.017,0.51362
0.0,0.471,42000,0.02,0.51767
0.0,0.452,43000,0.008,0.4986
0.0,0.467,44000,0.011,0.5138
0.0,0.474,45000,0.018,0.5202
0.0,0.477,46000,0.009,0.52357
0.0,0.476,47000,0.016,0.52148
0.0,0.471,48000,0.01,0.51634
0.0,0.478,49000,0.007,0.52376
0.0,0.483,50000,0.016,0.52911
0.0,0.471,51000,0.022,0.51647
0.0,0.472,52000,0.014,0.51829
0.0,0.473,53000,0.005,0.51928
0.0,0.459,54000,0.01,0.50507
0.0,0.458,55000,0.013,0.50395
0.0,0.471,56000,0.017,0.51669
0.0,0.47,57000,0.008,0.51624
0.0,0.463,58000,0.017,0.50842
0.0,0.463,59000,0.008,0.50999
0.0,0.467,60000,0.018,0.51397
0.0,0.479,61000,0.022,0.52563
0.0,0.462,62000,0.014,0.50862
0.0,0.46,63000,0.02,0.50601
0.0,0.47,64000,0.016,0.51638
0.0,0.473,65000,0.019,0.51951
0.0,0.486,66000,0.012,0.53307
0.0,0.467,67000,0.002,0.51323
0.0,0.459,68000,0.005,0.50541
0.0,0.468,69000,0.019,0.51461
0.0,0.472,70000,0.005,0.51782
0.0,0.484,71000,0.008,0.53129
0.0,0.488,72000,0.014,0.53469
0.0,0.482,73000,0.01,0.52869
0.0,0.453,74000,0.01,0.49955
0.0,0.463,75000,0.015,0.50939
0.0,0.472,76000,0.007,0.5188
0.0,0.476,77000,0.016,0.52279
0.0,0.474,78000,0.009,0.5201
0.0,0.48,79000,0.015,0.52591
0.0,0.484,80000,0.018,0.53018
0.0,0.508,81000,0.012,0.55486
0.0,0.485,82000,0.011,0.53318
0.0,0.486,83000,0.013,0.53354
0.0,0.481,84000,0.017,0.52951
0.0,0.471,85000,0.019,0.5199
0.0,0.5,86000,0.01,0.54985
0.0,0.484,87000,0.014,0.5335
0.0,0.472,88000,0.01,0.51963
0.0,0.49,89000,0.01,0.53888
0.0,0.469,90000,0.013,0.51683
0.0,0.479,91000,0.012,0.52712
0.0,0.478,92000,0.005,0.52593
0.0,0.48,93000,0.006,0.52799
0.0,0.476,94000,0.021,0.52386
0.0,0.469,95000,0.014,0.51615
0.0,0.467,96000,0.007,0.51418
0.0,0.487,97000,0.02,0.53502
0.0,0.478,98000,0.012,0.52521
0.0,0.469,99000,0.015,0.51686
0.0,0.471,100000,0.017,0.51814
0.0,0.469,101000,0.002,0.51651
0.0,0.473,102000,0.013,0.51987
0.0,0.484,103000,0.009,0.53137
0.0,0.473,104000,0.013,0.51994
0.0,0.483,105000,0.009,0.52977
0.0,0.497,106000,0.005,0.54438
0.0,0.473,107000,0.012,0.52022
0.0,0.47,108000,0.015,0.51689
0.0,0.484,109000,0.009,0.53109
0.0,0.506,110000,0.008,0.55374
0.0,0.49,111000,0.01,0.53748
0.0,0.48,112000,0.012,0.528
0.0,0.479,113000,0.009,0.52649
0.0,0.488,114000,0.022,0.53634
0.0,0.488,115000,0.002,0.53497
0.0,0.508,116000,0.018,0.55595
0.0,0.474,117000,0.014,0.52154
0.0,0.471,118000,0.005,0.51783
0.0,0.47,119000,0.013,0.51683
0.0,0.448,120000,0.012,0.49351
0.0,0.478,121000,0.008,0.52372
0.0,0.487,122000,0.006,0.53375
0.0,0.482,123000,0.006,0.5284
0.0,0.452,124000,0.012,0.49723
0.0,0.472,125000,0.008,0.519
0.0,0.456,126000,0.014,0.50226
0.0,0.49,127000,0.013,0.53573
0.0,0.469,128000,0.009,0.51506
0.0,0.477,129000,0.017,0.52396
0.0,0.478,130000,0.004,0.52481
0.0,0.477,131000,0.014,0.52394
0.0,0.493,132000,0.012,0.53995
0.0,0.475,133000,0.014,0.52209
0.0,0.483,134000,0.022,0.5307
0.0,0.481,135000,0.01,0.52929
0.0,0.48,136000,0.022,0.52732
0.0,0.474,137000,0.015,0.52207
0.0,0.477,138000,0.02,0.5247
0.0,0.476,139000,0.019,0.52416
0.0,0.503,140000,0.016,0.55208
0.0,0.481,141000,0.017,0.52803
0.0,0.465,142000,0.02,0.51249
0.0,0.466,143000,0.013,0.51311
0.0,0.467,144000,0.016,0.51446
0.0,0.483,145000,0.021,0.5305
0.0,0.479,146000,0.018,0.52554
0.0,0.462,147000,0.021,0.50916
0.0,0.465,148000,0.018,0.51407
0.0,0.478,149000,0.024,0.52734
0.0,0.469,150000,0.014,0.5176
0.0,0.47,151000,0.02,0.51897
0.0,0.483,152000,0.028,0.53223
0.0,0.465,153000,0.017,0.51483
0.0,0.478,154000,0.018,0.52729
0.0,0.49,155000,0.019,0.53961
0.0,0.466,156000,0.017,0.51515
0.0,0.471,157000,0.02,0.52065
0.0,0.467,158000,0.013,0.51623
0.0,0.483,159000,0.017,0.53212
0.0,0.459,160000,0.021,0.50716
0.0,0.474,161000,0.013,0.52238
0.0,0.49,162000,0.02,0.53793
0.0,0.475,163000,0.021,0.5236
0.0,0.481,164000,0.019,0.52923
0.0,0.476,165000,0.024,0.52456
0.0,0.474,166000,0.019,0.52141
0.0,0.483,167000,0.014,0.53154
0.0,0.466,168000,0.019,0.51414
0.0,0.471,169000,0.017,0.51869
0.0,0.488,170000,0.014,0.53624
0.0,0.474,171000,0.03,0.52236
0.0,0.487,172000,0.02,0.53562
0.0,0.468,173000,0.027,0.51671
0.0,0.476,174000,0.017,0.52456
0.0,0.477,175000,0.03,0.52609
0.0,0.476,176000,0.013,0.52444
0.0,0.468,177000,0.018,0.51593
0.0,0.466,178000,0.021,0.51465
0.0,0.465,179000,0.02,0.51274
0.0,0.461,180000,0.021,0.50877
0.0,0.471,181000,0.022,0.51948
0.0,0.475,182000,0.022,0.524
0.0,0.472,183000,0.021,0.52041
0.0,0.464,184000,0.021,0.51279
0.0,0.473,185000,0.023,0.52164
0.0,0.489,186000,0.022,0.5376
0.0,0.479,187000,0.018,0.52759
0.0,0.469,188000,0.023,0.51711
0.0,0.474,189000,0.017,0.52263
0.0,0.472,190000,0.039,0.52038
0.0,0.476,191000,0.02,0.52403
0.0,0.485,192000,0.023,0.53401
0.0,0.463,193000,0.012,0.51076
0.0,0.486,194000,0.019,0.53504
0.0,0.488,195000,0.02,0.53646
0.0,0.482,196000,0.014,0.53077
0.0,0.488,197000,0.018,0.53696
0.0,0.484,198000,0.024,0.53215
0.0,0.482,199000,0.021,0.5313
0.0,0.484,200000,0.021,0.53318
0.0,0.479,201000,0.019,0.52819
0.0,0.486,202000,0.013,0.53494
0.0,0.491,203000,0.013,0.54082
0.0,0.479,204000,0.02,0.52796
0.0,0.482,205000,0.026,0.53155
0.0,0.472,206000,0.017,0.52092
0.0,0.482,207000,0.015,0.5313
0.0,0.474,208000,0.014,0.52276
0.0,0.478,209000,0.019,0.52651
0.0,0.488,210000,0.017,0.53703
0.0,0.492,211000,0.022,0.54133
0.0,0.481,212000,0.018,0.52985
0.0,0.49,213000,0.019,0.53861
0.0,0.484,214000,0.029,0.53339
0.0,0.484,215000,0.018,0.53164
0.0,0.486,216000,0.022,0.53399
0.0,0.474,217000,0.015,0.52219
0.0,0.462,218000,0.023,0.50952
0.0,0.481,219000,0.016,0.52956
0.0,0.479,220000,0.02,0.52694
0.0,0.473,221000,0.017,0.52172
0.0,0.48,222000,0.019,0.52846
0.0,0.47,223000,0.016,0.51802
0.0,0.472,224000,0.017,0.51981
0.0,0.483,225000,0.015,0.5313
0.0,0.474,226000,0.02,0.5224
0.0,0.474,227000,0.015,0.52209
0.0,0.49,228000,0.014,0.53902
0.0,0.455,229000,0.023,0.50308
0.0,0.457,230000,0.021,0.50546
0.0,0.476,231000,0.015,0.52444
0.0,0.474,232000,0.025,0.52266
0.0,0.48,233000,0.031,0.52858
0.0,0.486,234000,0.015,0.5346
0.0,0.487,235000,0.017,0.53642
0.0,0.477,236000,0.017,0.52587
0.0,0.479,237000,0.019,0.52775
0.0,0.483,238000,0.011,0.53202
0.0,0.482,239000,0.021,0.52981
0.0,0.481,240000,0.015,0.52908
0.0,0.466,241000,0.017,0.51295
0.0,0.485,242000,0.019,0.53311
0.0,0.475,243000,0.018,0.5228
0.0,0.466,244000,0.013,0.51366
0.0,0.471,245000,0.014,0.51877
0.0,0.484,246000,0.021,0.53223
0.0,0.494,247000,0.021,0.54237
0.0,0.488,248000,0.019,0.53739
0.0,0.471,249000,0.021,0.52021
0.0,0.466,250000,0.018,0.51417
0.0,0.485,251000,0.021,0.53416
0.0,0.472,252000,0.02,0.52074
0.0,0.485,253000,0.021,0.53358
0.0,0.469,254000,0.013,0.51794
0.0,0.478,255000,0.021,0.52715
0.0,0.482,256000,0.022,0.53198
0.0,0.486,257000,0.017,0.53562
0.0,0.468,258000,0.024,0.51704
0.0,0.481,259000,0.019,0.52944
0.0,0.47,260000,0.025,0.51909
0.0,0.473,261000,0.024,0.52268
0.0,0.475,262000,0.024,0.52449
0.0,0.473,263000,0.017,0.5219
0.0,0.466,264000,0.015,0.51455
0.0,0.483,265000,0.02,0.53238
0.0,0.458,266000,0.022,0.50709
0.0,0.477,267000,0.017,0.52605
0.0,0.487,268000,0.024,0.53655
0.0,0.483,269000,0.01,0.53258
0.0,0.469,270000,0.017,0.51815
0.0,0.471,271000,0.013,0.52054
0.0,0.479,272000,0.019,0.52785
0.0,0.473,273000,0.014,0.52166
0.0,0.463,274000,0.018,0.51175
0.0,0.46,275000,0.009,0.50856
0.0,0.486,276000,0.017,0.5353
0.0,0.466,277000,0.025,0.51484
0.0,0.474,278000,0.021,0.52244
0.0,0.47,279000,0.017,0.51821
0.0,0.47,280000,0.015,0.51765
0.0,0.473,281000,0.014,0.52147
0.0,0.483,282000,0.011,0.53119
0.0,0.47,283000,0.016,0.51786
0.0,0.466,284000,0.014,0.5148
0.0,0.475,285000,0.009,0.52345
0.0,0.488,286000,0.014,0.53668
0.0,0.479,287000,0.012,0.52794
0.0,0.475,288000,0.016,0.52356
0.0,0.488,289000,0.003,0.5366
0.0,0.473,290000,0.017,0.52124
0.0,0.477,291000,0.014,0.52486
0.0,0.48,292000,0.008,0.52791
0.0,0.468,293000,0.001,0.51524
0.0,0.456,294000,0.015,0.50308
0.0,0.47,295000,0.011,0.51799
0.0,0.473,296000,0.015,0.52174
0.0,0.478,297000,0.016,0.52674
0.0,0.48,298000,0.019,0.52799
0.0,0.462,299000,0.021,0.50906
0.0,0.492,300000,0.018,0.54004
0.0,0.459,301000,0.018,0.50654
0.0,0.461,302000,0.022,0.50962
0.0,0.485,303000,0.009,0.53272
0.0,0.493,304000,0.021,0.5415
0.0,0.478,305000,0.025,0.52554
0.0,0.485,306000,0.017,0.53328
0.0,0.461,307000,0.007,0.50771
0.0,0.475,308000,0.013,0.52308
0.0,0.494,309000,0.012,0.54273
0.0,0.474,310000,0.029,0.52202
0.0,0.468,311000,0.021,0.51604
0.0,0.469,312000,0.011,0.51721
0.0,0.477,313000,0.015,0.52509
0.0,0.47,314000,0.021,0.51773
0.0,0.473,315000,0.016,0.52071
0.0,0.471,316000,0.013,0.51848
0.0,0.462,317000,0.017,0.50952
0.0,0.485,318000,0.014,0.53255
0.0,0.471,319000,0.012,0.51832
0.0,0.486,320000,0.016,0.5339
0.0,0.484,321000,0.03,0.53142
0.0,0.471,322000,0.021,0.5181
0.0,0.491,323000,0.011,0.53828
0.0,0.486,324000,0.014,0.533
0.0,0.481,325000,0.017,0.52838
0.0,0.495,326000,0.029,0.5432
0.0,0.484,327000,0.016,0.53104
0.0,0.478,328000,0.021,0.52507
0.0,0.494,329000,0.012,0.54144
