avg_score,avg_diff,loss_train,step_idx,avg_winning
0.45771,-0.001,0.0,1000,0.415
0.47244,0.015,0.0,2000,0.429
0.48642,0.013,0.0,3000,0.443
0.47957,0.021,0.0,4000,0.437
0.48659,0.015,0.0,5000,0.441
0.50888,0.015,0.0,6000,0.464
0.50129,0.02,0.0,7000,0.456
0.47749,0.015,0.0,8000,0.432
0.48586,0.015,0.0,9000,0.44
0.46948,0.012,0.0,10000,0.424
0.49637,0.017,0.0,11000,0.45
0.50181,0.015,0.0,12000,0.456
0.49063,0.019,0.0,13000,0.444
0.48949,0.013,0.0,14000,0.443
0.49963,0.014,0.0,15000,0.453
0.49407,0.014,0.0,16000,0.449
0.48632,0.009,0.0,17000,0.44
0.48473,0.006,0.0,18000,0.439
0.49361,0.012,0.0,19000,0.448
0.50153,0.016,0.0,20000,0.456
0.5065,0.02,0.0,21000,0.46
0.50697,0.024,0.0,22000,0.462
0.49786,0.022,0.0,23000,0.452
0.49764,0.017,0.0,24000,0.452
0.50756,0.011,0.0,25000,0.462
0.51831,0.022,0.0,26000,0.473
0.50886,0.011,0.0,27000,0.464
0.49645,0.018,0.0,28000,0.451
0.51732,0.02,0.0,29000,0.471
0.51183,0.017,0.0,30000,0.466
0.51112,0.02,0.0,31000,0.466
0.50988,0.008,0.0,32000,0.465
0.50751,0.016,0.0,33000,0.462
0.50681,0.01,0.0,34000,0.46
0.50352,0.012,0.0,35000,0.457
0.51272,0.017,0.0,36000,0.466
0.51538,0.018,0.0,37000,0.469
0.51369,0.012,0.0,38000,0.468
0.5171,0.009,0.0,39000,0.47
0.5101,0.005,0.0,40000,0.463
0.52106,0.002,0.0,41000,0.474
0.50687,0.015,0.0,42000,0.46
0.49894,0.011,0.0,43000,0.453
0.4931,0.021,0.0,44000,0.447
0.49452,0.011,0.0,45000,0.448
0.51438,0.012,0.0,46000,0.468
0.51045,0.017,0.0,47000,0.465
0.50948,-0.001,0.0,48000,0.463
0.51517,0.014,0.0,49000,0.469
0.5012,0.019,0.0,50000,0.454
0.50606,0.024,0.0,51000,0.459
0.50458,0.016,0.0,52000,0.458
0.52415,0.007,0.0,53000,0.477
0.51222,0.024,0.0,54000,0.466
0.50609,0.015,0.0,55000,0.46
0.51243,0.013,0.0,56000,0.466
0.52008,0.016,0.0,57000,0.474
0.50741,0.011,0.0,58000,0.461
0.51885,0.017,0.0,59000,0.473
0.52526,0.02,0.0,60000,0.479
0.51822,0.015,0.0,61000,0.473
0.51946,0.026,0.0,62000,0.474
0.52432,0.016,0.0,63000,0.478
0.52128,0.009,0.0,64000,0.474
0.52874,0.017,0.0,65000,0.482
0.5322,0.015,0.0,66000,0.485
0.53936,0.015,0.0,67000,0.492
0.54037,0.017,0.0,68000,0.493
0.51645,0.009,0.0,69000,0.469
0.53583,0.01,0.0,70000,0.488
0.52435,0.012,0.0,71000,0.476
0.52199,0.021,0.0,72000,0.474
0.50973,0.022,0.0,73000,0.461
0.52334,0.002,0.0,74000,0.475
0.51139,0.013,0.0,75000,0.463
0.50673,0.018,0.0,76000,0.459
0.53206,0.004,0.0,77000,0.485
0.53635,0.009,0.0,78000,0.489
0.53422,0.007,0.0,79000,0.487
0.52137,0.009,0.0,80000,0.475
0.53657,0.005,0.0,81000,0.49
0.53788,0.013,0.0,82000,0.491
0.53565,0.016,0.0,83000,0.488
0.52144,0.007,0.0,84000,0.474
0.50722,0.011,0.0,85000,0.459
0.49671,0.015,0.0,86000,0.45
0.53693,0.018,0.0,87000,0.489
0.51424,0.014,0.0,88000,0.466
0.53072,0.003,0.0,89000,0.482
0.52834,0.014,0.0,90000,0.48
0.52578,0.009,0.0,91000,0.477
0.51241,0.02,0.0,92000,0.464
0.51064,0.011,0.0,93000,0.463
0.51181,0.022,0.0,94000,0.464
0.51989,0.01,0.0,95000,0.472
0.50968,0.018,0.0,96000,0.462
0.51159,0.011,0.0,97000,0.464
0.50067,0.01,0.0,98000,0.453
0.50949,0.007,0.0,99000,0.462
0.50878,0.01,0.0,100000,0.461
0.5262,0.013,0.0,101000,0.479
0.51895,0.0,0.0,102000,0.471
0.51811,0.007,0.0,103000,0.471
0.52059,0.013,0.0,104000,0.474
0.53393,0.014,0.0,105000,0.487
0.5122,0.008,0.0,106000,0.465
0.51812,0.007,0.0,107000,0.472
0.53908,0.014,0.0,108000,0.492
0.51681,0.009,0.0,109000,0.47
0.52121,0.011,0.0,110000,0.474
0.51829,0.013,0.0,111000,0.47
0.51621,0.008,0.0,112000,0.469
0.51733,0.009,0.0,113000,0.469
0.54943,0.013,0.0,114000,0.501
0.50755,0.017,0.0,115000,0.46
0.52688,0.014,0.0,116000,0.479
0.51106,0.014,0.0,117000,0.464
0.52408,0.013,0.0,118000,0.476
0.51172,0.016,0.0,119000,0.464
0.52782,0.015,0.0,120000,0.48
0.52631,0.017,0.0,121000,0.479
0.51628,0.013,0.0,122000,0.469
0.5122,0.005,0.0,123000,0.466
0.52761,0.016,0.0,124000,0.48
0.50828,0.025,0.0,125000,0.461
0.53416,0.013,0.0,126000,0.487
0.51305,0.022,0.0,127000,0.466
0.54051,0.014,0.0,128000,0.492
0.51985,0.007,0.0,129000,0.472
0.52464,0.016,0.0,130000,0.477
0.51707,0.021,0.0,131000,0.47
0.5104,0.011,0.0,132000,0.464
0.52244,0.015,0.0,133000,0.475
0.50832,0.012,0.0,134000,0.461
0.51635,0.018,0.0,135000,0.468
0.51361,0.015,0.0,136000,0.466
0.50101,0.016,0.0,137000,0.454
0.5178,0.013,0.0,138000,0.471
0.522,0.017,0.0,139000,0.474
0.51514,0.011,0.0,140000,0.468
0.51218,-0.002,0.0,141000,0.465
0.53322,0.019,0.0,142000,0.485
0.52313,0.011,0.0,143000,0.475
0.50937,0.021,0.0,144000,0.462
0.53035,0.014,0.0,145000,0.482
0.52306,0.015,0.0,146000,0.475
0.50358,0.015,0.0,147000,0.456
0.50822,0.023,0.0,148000,0.461
0.52339,0.01,0.0,149000,0.476
0.50058,0.009,0.0,150000,0.453
0.51377,0.018,0.0,151000,0.467
0.50176,-0.004,0.0,152000,0.455
0.49996,0.009,0.0,153000,0.453
0.50714,0.013,0.0,154000,0.46
0.51385,0.005,0.0,155000,0.467
0.51068,0.005,0.0,156000,0.463
0.50031,0.008,0.0,157000,0.453
0.50821,0.001,0.0,158000,0.461
0.53604,0.01,0.0,159000,0.488
0.50519,0.02,0.0,160000,0.458
0.51091,0.001,0.0,161000,0.464
0.52316,0.015,0.0,162000,0.476
0.52213,0.008,0.0,163000,0.474
0.53322,0.014,0.0,164000,0.485
0.5231,0.004,0.0,165000,0.476
0.51414,0.012,0.0,166000,0.468
0.53816,0.011,0.0,167000,0.491
0.51414,0.009,0.0,168000,0.467
0.53622,0.007,0.0,169000,0.489
0.5017,0.01,0.0,170000,0.455
0.51812,0.01,0.0,171000,0.471
0.51968,0.009,0.0,172000,0.472
0.5048,0.01,0.0,173000,0.458
0.52206,0.013,0.0,174000,0.475
0.51549,0.013,0.0,175000,0.469
0.51612,0.016,0.0,176000,0.469
0.52413,0.009,0.0,177000,0.477
0.50708,0.004,0.0,178000,0.46
0.52086,0.021,0.0,179000,0.474
0.50485,0.013,0.0,180000,0.458
0.50881,0.009,0.0,181000,0.463
0.50546,0.015,0.0,182000,0.46
0.51664,0.009,0.0,183000,0.469
0.5324,0.005,0.0,184000,0.485
0.5218,0.008,0.0,185000,0.474
0.52422,0.023,0.0,186000,0.476
0.51491,0.013,0.0,187000,0.467
0.52859,0.013,0.0,188000,0.48
0.52051,0.018,0.0,189000,0.472
0.50564,0.0,0.0,190000,0.457
0.53195,0.013,0.0,191000,0.483
0.52252,0.018,0.0,192000,0.474
0.52078,0.014,0.0,193000,0.472
0.5075,0.007,0.0,194000,0.459
0.51307,0.015,0.0,195000,0.464
0.51727,0.012,0.0,196000,0.468
0.51604,0.01,0.0,197000,0.467
0.51105,0.009,0.0,198000,0.463
0.52736,0.019,0.0,199000,0.479
0.50375,0.011,0.0,200000,0.456
0.51881,0.01,0.0,201000,0.471
0.52342,0.01,0.0,202000,0.475
0.52525,0.013,0.0,203000,0.477
0.50978,0.009,0.0,204000,0.462
0.52012,0.017,0.0,205000,0.472
0.52149,0.011,0.0,206000,0.474
0.5223,0.013,0.0,207000,0.474
0.51759,0.018,0.0,208000,0.469
0.51669,0.014,0.0,209000,0.468
