loss_train,avg_diff,avg_winning,avg_score,step_idx
0.0,0.004,0.402,0.44497,1000
0.0,0.006,0.391,0.43391,2000
0.0,0.008,0.411,0.45463,3000
0.0,0.018,0.406,0.44972,4000
0.0,0.008,0.396,0.43898,5000
0.0,0.013,0.414,0.45774,6000
0.0,0.01,0.408,0.45152,7000
0.0,0.007,0.404,0.44982,8000
0.0,0.012,0.429,0.4756,9000
0.0,0.015,0.421,0.46734,10000
0.0,0.008,0.424,0.4707,11000
0.0,0.006,0.422,0.46838,12000
0.0,0.017,0.408,0.45434,13000
0.0,0.021,0.403,0.44936,14000
0.0,0.013,0.423,0.46927,15000
0.0,0.006,0.411,0.45676,16000
0.0,0.012,0.418,0.46432,17000
0.0,0.014,0.433,0.48019,18000
0.0,0.016,0.427,0.47284,19000
0.0,0.009,0.422,0.46755,20000
0.0,0.012,0.433,0.47945,21000
0.0,0.01,0.425,0.47086,22000
0.0,0.011,0.425,0.47066,23000
0.0,0.012,0.425,0.47078,24000
0.0,0.009,0.436,0.48326,25000
0.0,0.006,0.424,0.4703,26000
0.0,0.014,0.421,0.46811,27000
0.0,0.013,0.434,0.48059,28000
0.0,0.012,0.421,0.46714,29000
0.0,0.016,0.45,0.49789,30000
0.0,0.002,0.447,0.49342,31000
0.0,0.017,0.427,0.47367,32000
0.0,0.014,0.46,0.50782,33000
0.0,0.008,0.459,0.50658,34000
0.0,0.019,0.443,0.49041,35000
0.0,0.017,0.457,0.50486,36000
0.0,0.01,0.453,0.50028,37000
0.0,0.02,0.461,0.50954,38000
0.0,0.014,0.44,0.48712,39000
0.0,0.018,0.457,0.50564,40000
0.0,0.012,0.45,0.49887,41000
0.0,0.012,0.447,0.49614,42000
0.0,0.019,0.452,0.50076,43000
0.0,0.013,0.436,0.4846,44000
0.0,0.021,0.452,0.50042,45000
0.0,0.014,0.454,0.50248,46000
0.0,0.004,0.463,0.51235,47000
0.0,0.014,0.458,0.50709,48000
0.0,0.012,0.458,0.50656,49000
0.0,0.017,0.47,0.51846,50000
0.0,0.013,0.451,0.49864,51000
0.0,0.02,0.437,0.48468,52000
0.0,0.018,0.439,0.48741,53000
0.0,0.016,0.442,0.49004,54000
0.0,0.013,0.45,0.49845,55000
0.0,0.015,0.461,0.51023,56000
0.0,0.005,0.46,0.50937,57000
0.0,0.012,0.47,0.51927,58000
0.0,0.012,0.448,0.49762,59000
0.0,0.017,0.457,0.50591,60000
0.0,0.016,0.461,0.51004,61000
0.0,0.014,0.448,0.49744,62000
0.0,0.015,0.465,0.51333,63000
0.0,0.019,0.46,0.50942,64000
0.0,0.008,0.464,0.51405,65000
0.0,0.021,0.476,0.5259,66000
0.0,0.014,0.468,0.51778,67000
0.0,0.015,0.472,0.52225,68000
0.0,0.012,0.472,0.52176,69000
0.0,0.016,0.474,0.52431,70000
0.0,0.016,0.457,0.50638,71000
0.0,0.018,0.478,0.52842,72000
0.0,0.01,0.477,0.5264,73000
0.0,0.017,0.471,0.52062,74000
0.0,0.022,0.498,0.5476,75000
0.0,0.017,0.471,0.52071,76000
0.0,0.012,0.465,0.51475,77000
0.0,0.012,0.467,0.51647,78000
0.0,0.007,0.469,0.51786,79000
0.0,0.018,0.484,0.53342,80000
0.0,0.013,0.469,0.5181,81000
0.0,0.008,0.463,0.51171,82000
0.0,0.021,0.478,0.52676,83000
0.0,0.017,0.471,0.52055,84000
0.0,0.016,0.497,0.54654,85000
0.0,0.01,0.47,0.51931,86000
0.0,0.013,0.459,0.50769,87000
0.0,0.017,0.477,0.52519,88000
0.0,0.008,0.479,0.52777,89000
0.0,0.012,0.471,0.51979,90000
0.0,0.017,0.469,0.51749,91000
0.0,0.011,0.473,0.52169,92000
0.0,0.016,0.465,0.51347,93000
0.0,0.022,0.463,0.51151,94000
0.0,0.022,0.474,0.52261,95000
0.0,0.024,0.475,0.52345,96000
0.0,0.013,0.461,0.5089,97000
0.0,0.015,0.474,0.5229,98000
0.0,0.02,0.484,0.53301,99000
0.0,0.016,0.481,0.53044,100000
0.0,0.02,0.476,0.52443,101000
0.0,0.008,0.485,0.53207,102000
0.0,0.031,0.474,0.52148,103000
0.0,0.016,0.483,0.52945,104000
0.0,0.01,0.465,0.51298,105000
0.0,0.016,0.483,0.53169,106000
0.0,0.014,0.47,0.51931,107000
0.0,0.008,0.461,0.51006,108000
0.0,0.013,0.488,0.5378,109000
0.0,0.015,0.47,0.51978,110000
0.0,0.018,0.468,0.51717,111000
0.0,0.009,0.474,0.5237,112000
0.0,0.015,0.453,0.50271,113000
0.0,0.015,0.491,0.53974,114000
0.0,0.014,0.484,0.53439,115000
0.0,0.022,0.471,0.52197,116000
0.0,0.015,0.479,0.52859,117000
0.0,0.008,0.48,0.53093,118000
0.0,0.017,0.469,0.52016,119000
0.0,0.021,0.48,0.53096,120000
0.0,0.026,0.469,0.52076,121000
0.0,0.019,0.466,0.51767,122000
0.0,0.022,0.467,0.51843,123000
0.0,0.014,0.481,0.53123,124000
0.0,0.011,0.472,0.52217,125000
0.0,0.016,0.489,0.53975,126000
0.0,0.012,0.496,0.54682,127000
0.0,0.024,0.468,0.51865,128000
0.0,0.015,0.476,0.52692,129000
0.0,0.021,0.481,0.53246,130000
0.0,0.015,0.464,0.51379,131000
0.0,0.016,0.469,0.51963,132000
0.0,0.017,0.475,0.52628,133000
0.0,0.02,0.492,0.54278,134000
0.0,0.016,0.482,0.53324,135000
0.0,0.02,0.482,0.5333,136000
0.0,0.015,0.503,0.55447,137000
0.0,0.018,0.486,0.5375,138000
0.0,0.019,0.479,0.53027,139000
0.0,0.021,0.486,0.5368,140000
0.0,0.026,0.498,0.54932,141000
0.0,0.02,0.466,0.51664,142000
0.0,0.015,0.496,0.54772,143000
0.0,0.016,0.468,0.51701,144000
0.0,0.018,0.494,0.54381,145000
0.0,0.02,0.469,0.51864,146000
0.0,0.02,0.484,0.53465,147000
0.0,0.016,0.476,0.52613,148000
0.0,0.017,0.478,0.52843,149000
0.0,0.013,0.48,0.53073,150000
0.0,0.02,0.475,0.52503,151000
0.0,0.011,0.501,0.55114,152000
0.0,0.023,0.48,0.5304,153000
0.0,0.017,0.48,0.53046,154000
0.0,0.02,0.482,0.53218,155000
0.0,0.02,0.466,0.51551,156000
0.0,0.011,0.474,0.52433,157000
0.0,0.015,0.486,0.53666,158000
0.0,0.012,0.463,0.51309,159000
0.0,0.019,0.474,0.52417,160000
0.0,0.016,0.479,0.52957,161000
0.0,0.016,0.488,0.53926,162000
0.0,0.014,0.471,0.52196,163000
0.0,0.014,0.484,0.53489,164000
0.0,0.016,0.48,0.52975,165000
0.0,0.019,0.473,0.52298,166000
0.0,0.018,0.488,0.53812,167000
0.0,0.013,0.472,0.52203,168000
0.0,0.017,0.464,0.51422,169000
0.0,0.016,0.476,0.52541,170000
0.0,0.012,0.463,0.51245,171000
0.0,0.015,0.471,0.51997,172000
0.0,0.012,0.464,0.51327,173000
0.0,0.013,0.481,0.53169,174000
0.0,0.013,0.478,0.52789,175000
0.0,0.015,0.464,0.51335,176000
0.0,0.02,0.485,0.535,177000
0.0,0.016,0.472,0.52075,178000
0.0,0.023,0.48,0.52931,179000
0.0,0.014,0.479,0.528,180000
0.0,0.017,0.474,0.52409,181000
0.0,0.019,0.486,0.53619,182000
0.0,0.022,0.473,0.52227,183000
0.0,0.018,0.47,0.51917,184000
0.0,0.013,0.483,0.53325,185000
0.0,0.015,0.489,0.53882,186000
0.0,0.02,0.489,0.53964,187000
0.0,0.014,0.472,0.52142,188000
0.0,0.015,0.461,0.51087,189000
0.0,0.016,0.474,0.52369,190000
0.0,0.014,0.479,0.52888,191000
0.0,0.014,0.473,0.52246,192000
0.0,0.028,0.471,0.52055,193000
