avg_score,loss_train,step_idx,avg_winning,avg_diff
0.44385,0.0,1000,0.401,0.007
0.45187,0.0,2000,0.408,0.007
0.4618,0.0,3000,0.417,0.007
0.43688,0.0,4000,0.392,0.026
0.43003,0.0,5000,0.385,0.018
0.42961,0.0,6000,0.384,0.02
0.44335,0.0,7000,0.397,0.009
0.43878,0.0,8000,0.393,0.027
0.45263,0.0,9000,0.406,0.021
0.44812,0.0,10000,0.403,0.019
0.4439,0.0,11000,0.399,0.014
0.43845,0.0,12000,0.394,0.026
0.44751,0.0,13000,0.402,0.022
0.45284,0.0,14000,0.406,0.014
0.46639,0.0,15000,0.42,0.018
0.44702,0.0,16000,0.401,0.016
0.45488,0.0,17000,0.409,0.011
0.45928,0.0,18000,0.414,0.016
0.46049,0.0,19000,0.415,0.018
0.45149,0.0,20000,0.406,0.014
0.46058,0.0,21000,0.415,0.01
0.47203,0.0,22000,0.426,0.02
0.46593,0.0,23000,0.419,0.018
0.48351,0.0,24000,0.436,0.019
0.48413,0.0,25000,0.437,0.013
0.49506,0.0,26000,0.447,0.015
0.47763,0.0,27000,0.43,0.014
0.48349,0.0,28000,0.435,0.014
0.48207,0.0,29000,0.435,0.018
0.49258,0.0,30000,0.445,0.017
0.49779,0.0,31000,0.45,0.017
0.4962,0.0,32000,0.449,0.014
0.48006,0.0,33000,0.433,0.0
0.50246,0.0,34000,0.455,0.014
0.49845,0.0,35000,0.45,0.016
0.51515,0.0,36000,0.467,0.017
0.49684,0.0,37000,0.448,0.016
0.50384,0.0,38000,0.455,0.011
0.51872,0.0,39000,0.469,0.014
0.49117,0.0,40000,0.442,0.019
0.4954,0.0,41000,0.446,0.011
0.48842,0.0,42000,0.44,0.018
0.50789,0.0,43000,0.458,0.013
0.51189,0.0,44000,0.462,0.018
0.50485,0.0,45000,0.456,0.014
0.50441,0.0,46000,0.455,0.016
0.52128,0.0,47000,0.471,0.01
0.4945,0.0,48000,0.446,0.012
0.50216,0.0,49000,0.453,0.018
0.51179,0.0,50000,0.462,0.017
0.50772,0.0,51000,0.458,0.015
0.52384,0.0,52000,0.474,0.009
0.51885,0.0,53000,0.469,0.016
0.51094,0.0,54000,0.461,0.017
0.52473,0.0,55000,0.475,0.013
0.51135,0.0,56000,0.462,0.016
0.5278,0.0,57000,0.478,0.014
0.50585,0.0,58000,0.455,0.02
0.54043,0.0,59000,0.49,0.02
0.52365,0.0,60000,0.473,0.003
0.50584,0.0,61000,0.456,0.009
0.52628,0.0,62000,0.476,0.013
0.52931,0.0,63000,0.481,0.017
0.5175,0.0,64000,0.469,0.012
0.53579,0.0,65000,0.485,0.011
0.53469,0.0,66000,0.483,0.012
0.52308,0.0,67000,0.472,0.011
0.50841,0.0,68000,0.457,0.022
0.52577,0.0,69000,0.474,0.011
0.52671,0.0,70000,0.475,0.024
0.5269,0.0,71000,0.475,0.017
0.52043,0.0,72000,0.469,0.021
0.51564,0.0,73000,0.464,0.024
0.51795,0.0,74000,0.467,0.014
0.51568,0.0,75000,0.464,0.021
0.51409,0.0,76000,0.463,0.016
0.54528,0.0,77000,0.493,0.013
0.5223,0.0,78000,0.47,0.015
0.53543,0.0,79000,0.483,0.018
0.53307,0.0,80000,0.481,0.019
0.53436,0.0,81000,0.482,0.025
0.52808,0.0,82000,0.476,0.015
0.52706,0.0,83000,0.475,0.027
0.53031,0.0,84000,0.478,0.018
0.53262,0.0,85000,0.48,0.018
0.53435,0.0,86000,0.482,0.015
0.52387,0.0,87000,0.472,0.015
0.52924,0.0,88000,0.477,0.021
0.51437,0.0,89000,0.462,0.009
0.50711,0.0,90000,0.455,0.015
0.51434,0.0,91000,0.461,0.018
0.51702,0.0,92000,0.464,0.017
0.53895,0.0,93000,0.486,0.012
0.52147,0.0,94000,0.469,0.023
0.52917,0.0,95000,0.477,0.018
0.53786,0.0,96000,0.486,0.021
0.51686,0.0,97000,0.465,0.026
0.52632,0.0,98000,0.475,0.014
0.53848,0.0,99000,0.487,0.014
0.53615,0.0,100000,0.485,0.017
0.52696,0.0,101000,0.476,0.012
0.52655,0.0,102000,0.475,0.017
0.52436,0.0,103000,0.472,0.021
0.52398,0.0,104000,0.473,0.014
0.54546,0.0,105000,0.493,0.016
0.53478,0.0,106000,0.483,0.016
0.52661,0.0,107000,0.475,0.014
0.53267,0.0,108000,0.481,0.021
0.51966,0.0,109000,0.468,0.022
0.53776,0.0,110000,0.486,0.02
0.53366,0.0,111000,0.482,0.015
0.52764,0.0,112000,0.475,0.018
0.52504,0.0,113000,0.472,0.027
0.52416,0.0,114000,0.472,0.025
0.533,0.0,115000,0.481,0.019
0.52149,0.0,116000,0.469,0.011
0.53578,0.0,117000,0.483,0.022
0.51402,0.0,118000,0.462,0.013
0.52787,0.0,119000,0.476,0.013
0.51903,0.0,120000,0.468,0.018
0.51683,0.0,121000,0.465,0.014
0.51966,0.0,122000,0.468,0.018
0.52374,0.0,123000,0.472,0.012
0.53561,0.0,124000,0.483,0.017
0.52875,0.0,125000,0.476,0.015
0.53151,0.0,126000,0.479,0.016
0.53474,0.0,127000,0.482,0.021
0.53311,0.0,128000,0.48,0.01
0.51615,0.0,129000,0.465,0.017
0.52454,0.0,130000,0.472,0.021
0.53643,0.0,131000,0.485,0.015
0.51284,0.0,132000,0.461,0.015
0.50964,0.0,133000,0.457,0.015
0.53442,0.0,134000,0.481,0.012
0.53082,0.0,135000,0.478,0.019
0.53342,0.0,136000,0.48,0.016
0.51466,0.0,137000,0.462,0.014
0.53011,0.0,138000,0.477,0.02
0.51496,0.0,139000,0.462,0.012
0.52019,0.0,140000,0.467,0.024
0.55417,0.0,141000,0.501,0.011
0.52554,0.0,142000,0.473,0.017
0.52591,0.0,143000,0.473,0.02
0.52461,0.0,144000,0.472,0.018
0.5191,0.0,145000,0.466,0.022
0.53173,0.0,146000,0.478,0.019
0.52812,0.0,147000,0.475,0.02
0.52876,0.0,148000,0.476,0.016
0.51424,0.0,149000,0.462,0.015
0.5394,0.0,150000,0.487,0.024
0.52627,0.0,151000,0.474,0.008
0.53317,0.0,152000,0.481,0.02
0.50418,0.0,153000,0.452,0.018
0.5296,0.0,154000,0.477,0.016
0.53561,0.0,155000,0.483,0.017
0.52448,0.0,156000,0.472,0.015
0.5382,0.0,157000,0.485,0.018
