step_idx,loss_train,avg_diff,avg_score,avg_winning
1000,0.0,0.023,0.39635,0.36
2000,0.0,0.012,0.38276,0.347
3000,0.0,0.014,0.41975,0.381
4000,0.0,0.019,0.40027,0.362
5000,0.0,0.01,0.41634,0.377
6000,0.0,0.013,0.40911,0.37
7000,0.0,0.015,0.39963,0.362
8000,0.0,0.018,0.42245,0.384
9000,0.0,0.005,0.41938,0.379
10000,0.0,0.01,0.43041,0.39
11000,0.0,0.016,0.42607,0.386
12000,0.0,0.02,0.41904,0.379
13000,0.0,0.008,0.41291,0.372
14000,0.0,0.02,0.42194,0.381
15000,0.0,0.019,0.39447,0.354
16000,0.0,0.012,0.41994,0.378
17000,0.0,0.013,0.41983,0.377
18000,0.0,0.019,0.42495,0.382
19000,0.0,0.003,0.4364,0.394
20000,0.0,0.02,0.43142,0.389
21000,0.0,0.013,0.43868,0.395
22000,0.0,0.018,0.4189,0.376
23000,0.0,0.011,0.44712,0.404
24000,0.0,0.015,0.45005,0.406
25000,0.0,0.018,0.45403,0.41
26000,0.0,0.006,0.44517,0.401
27000,0.0,0.018,0.45615,0.411
28000,0.0,0.016,0.46392,0.42
29000,0.0,0.013,0.4601,0.416
30000,0.0,0.008,0.47159,0.427
31000,0.0,0.018,0.45207,0.408
32000,0.0,0.016,0.44074,0.397
33000,0.0,0.026,0.46418,0.42
34000,0.0,0.009,0.455,0.411
35000,0.0,0.004,0.47394,0.43
36000,0.0,0.017,0.46497,0.421
37000,0.0,0.017,0.47534,0.431
38000,0.0,0.023,0.47531,0.431
39000,0.0,0.013,0.47406,0.429
40000,0.0,0.023,0.46109,0.417
41000,0.0,0.015,0.45883,0.414
42000,0.0,0.017,0.47249,0.428
43000,0.0,0.015,0.48805,0.443
44000,0.0,0.007,0.45683,0.413
45000,0.0,0.023,0.46689,0.422
46000,0.0,0.025,0.47394,0.429
47000,0.0,0.01,0.45915,0.415
48000,0.0,0.015,0.47014,0.425
49000,0.0,0.013,0.47393,0.429
50000,0.0,0.015,0.4555,0.411
51000,0.0,0.028,0.4621,0.417
52000,0.0,0.023,0.46851,0.424
53000,0.0,0.018,0.48245,0.437
54000,0.0,0.008,0.46763,0.423
55000,0.0,0.018,0.47106,0.426
56000,0.0,0.02,0.47119,0.426
57000,0.0,0.018,0.48957,0.444
58000,0.0,0.019,0.50998,0.464
59000,0.0,0.021,0.48645,0.44
60000,0.0,0.018,0.49276,0.447
61000,0.0,0.022,0.51336,0.467
62000,0.0,0.008,0.48682,0.441
63000,0.0,0.012,0.51228,0.466
64000,0.0,0.017,0.49597,0.45
65000,0.0,0.01,0.51792,0.471
66000,0.0,0.02,0.50345,0.456
67000,0.0,0.014,0.50157,0.455
68000,0.0,0.017,0.51879,0.472
69000,0.0,0.014,0.52856,0.482
70000,0.0,0.009,0.50484,0.458
71000,0.0,0.015,0.50446,0.457
72000,0.0,0.015,0.52043,0.473
73000,0.0,0.026,0.49671,0.449
74000,0.0,0.018,0.50282,0.455
75000,0.0,0.025,0.50032,0.453
76000,0.0,0.012,0.51206,0.464
77000,0.0,0.016,0.50873,0.461
78000,0.0,0.015,0.50177,0.454
79000,0.0,0.019,0.51688,0.469
80000,0.0,0.022,0.51642,0.468
81000,0.0,0.022,0.50522,0.459
82000,0.0,0.015,0.50785,0.461
83000,0.0,0.003,0.50164,0.455
84000,0.0,0.018,0.50764,0.461
85000,0.0,0.024,0.51736,0.47
86000,0.0,0.024,0.52535,0.478
87000,0.0,0.013,0.52698,0.481
88000,0.0,0.023,0.50708,0.461
89000,0.0,0.021,0.5095,0.464
90000,0.0,0.018,0.53422,0.487
91000,0.0,0.027,0.50964,0.463
92000,0.0,0.02,0.52215,0.475
93000,0.0,0.02,0.50732,0.46
94000,0.0,0.019,0.5282,0.48
95000,0.0,0.022,0.5303,0.482
96000,0.0,0.017,0.51111,0.463
97000,0.0,0.01,0.51158,0.464
98000,0.0,0.016,0.52754,0.479
99000,0.0,0.02,0.49584,0.448
100000,0.0,0.021,0.51314,0.466
101000,0.0,0.018,0.51551,0.467
102000,0.0,0.019,0.51816,0.47
103000,0.0,0.016,0.51805,0.469
104000,0.0,0.025,0.50764,0.459
105000,0.0,0.014,0.52189,0.474
106000,0.0,0.019,0.52754,0.479
107000,0.0,0.014,0.53509,0.486
108000,0.0,0.019,0.53764,0.489
109000,0.0,0.01,0.51748,0.469
110000,0.0,0.018,0.52112,0.472
111000,0.0,0.015,0.53658,0.488
112000,0.0,0.018,0.51183,0.463
113000,0.0,0.011,0.53246,0.484
114000,0.0,0.021,0.52222,0.473
115000,0.0,0.023,0.53313,0.484
116000,0.0,0.018,0.52729,0.478
117000,0.0,0.023,0.54541,0.496
118000,0.0,0.021,0.53345,0.484
119000,0.0,0.019,0.55566,0.505
120000,0.0,0.02,0.54141,0.491
121000,0.0,0.019,0.56078,0.51
