loss_train,avg_diff,step_idx,avg_winning,avg_score
0.0,0.013,1000,0.35,0.38585
0.0,0.018,2000,0.347,0.38405
0.0,0.019,3000,0.347,0.38592
0.0,0.01,4000,0.371,0.41163
0.0,0.006,5000,0.38,0.42154
0.0,0.01,6000,0.353,0.39338
0.0,0.015,7000,0.374,0.41477
0.0,0.022,8000,0.375,0.41591
0.0,0.018,9000,0.373,0.41278
0.0,0.026,10000,0.351,0.39009
0.0,0.018,11000,0.349,0.38728
0.0,0.024,12000,0.328,0.36767
0.0,0.025,13000,0.336,0.3744
0.0,0.041,14000,0.339,0.37764
0.0,0.01,15000,0.353,0.39173
0.0,0.019,16000,0.354,0.39367
0.0,0.02,17000,0.364,0.40394
0.0,0.014,18000,0.368,0.40791
0.0,0.008,19000,0.394,0.43511
0.0,0.017,20000,0.392,0.43275
0.0,0.018,21000,0.372,0.41367
0.0,0.025,22000,0.367,0.40884
0.0,0.012,23000,0.403,0.44575
0.0,0.015,24000,0.4,0.4426
0.0,0.014,25000,0.398,0.44099
0.0,0.02,26000,0.393,0.43473
0.0,0.022,27000,0.376,0.41748
0.0,0.004,28000,0.395,0.4376
0.0,0.004,29000,0.385,0.42665
0.0,0.009,30000,0.399,0.44091
0.0,0.016,31000,0.401,0.44419
0.0,0.029,32000,0.396,0.43947
0.0,0.017,33000,0.418,0.4622
0.0,0.018,34000,0.411,0.45366
0.0,0.012,35000,0.413,0.45594
0.0,0.013,36000,0.392,0.43384
0.0,0.012,37000,0.406,0.4495
0.0,0.015,38000,0.425,0.46861
0.0,0.016,39000,0.42,0.46479
0.0,0.013,40000,0.408,0.45207
0.0,0.013,41000,0.435,0.4792
0.0,0.016,42000,0.424,0.4684
0.0,0.011,43000,0.433,0.47766
0.0,0.016,44000,0.446,0.49076
0.0,0.013,45000,0.446,0.49147
0.0,0.011,46000,0.445,0.49075
0.0,0.008,47000,0.465,0.51067
0.0,0.007,48000,0.462,0.50903
0.0,0.025,49000,0.468,0.51442
0.0,0.014,50000,0.455,0.5014
0.0,0.013,51000,0.463,0.50927
0.0,0.006,52000,0.453,0.49895
0.0,0.01,53000,0.469,0.51534
0.0,0.009,54000,0.458,0.50503
0.0,0.01,55000,0.465,0.51106
0.0,0.028,56000,0.471,0.51743
0.0,0.007,57000,0.468,0.51458
0.0,0.005,58000,0.475,0.52174
0.0,0.015,59000,0.458,0.50463
0.0,0.018,60000,0.458,0.50468
0.0,0.012,61000,0.473,0.52011
0.0,0.02,62000,0.483,0.5303
0.0,0.013,63000,0.464,0.51116
