step_idx,avg_score,avg_diff,loss_train,avg_winning
1000,0.34482,0.016,0.0,0.32
2000,0.37371,0.017,0.0,0.35
3000,0.39356,0.024,0.0,0.369
4000,0.39785,0.008,0.0,0.374
5000,0.36725,0.018,0.0,0.343
6000,0.37162,0.013,0.0,0.346
7000,0.3691,0.016,0.0,0.344
8000,0.35666,0.019,0.0,0.33
9000,0.39958,0.016,0.0,0.372
10000,0.39523,0.017,0.0,0.369
11000,0.39682,0.013,0.0,0.369
12000,0.39741,0.013,0.0,0.37
13000,0.39363,0.017,0.0,0.366
14000,0.42856,0.018,0.0,0.4
15000,0.40714,0.011,0.0,0.378
16000,0.37394,0.005,0.0,0.347
17000,0.40507,0.012,0.0,0.378
18000,0.38244,0.012,0.0,0.355
19000,0.41135,0.021,0.0,0.384
20000,0.42021,0.009,0.0,0.392
21000,0.41798,0.019,0.0,0.39
22000,0.42724,0.007,0.0,0.398
23000,0.43771,0.023,0.0,0.407
24000,0.40711,0.015,0.0,0.377
25000,0.41878,0.022,0.0,0.391
26000,0.42995,0.016,0.0,0.4
27000,0.41017,0.018,0.0,0.382
28000,0.44621,0.018,0.0,0.418
29000,0.42903,0.013,0.0,0.401
30000,0.46326,0.021,0.0,0.434
31000,0.44865,0.022,0.0,0.419
32000,0.44473,0.016,0.0,0.416
33000,0.42778,0.007,0.0,0.398
34000,0.452,0.015,0.0,0.421
35000,0.47003,0.022,0.0,0.44
36000,0.45701,0.013,0.0,0.427
37000,0.4606,0.015,0.0,0.43
38000,0.45154,0.021,0.0,0.422
39000,0.46958,0.018,0.0,0.442
40000,0.4759,0.019,0.0,0.446
41000,0.48683,0.015,0.0,0.456
42000,0.46023,0.015,0.0,0.43
43000,0.4566,0.014,0.0,0.428
44000,0.48148,0.019,0.0,0.452
45000,0.45375,0.023,0.0,0.425
46000,0.47616,0.012,0.0,0.448
47000,0.45678,0.014,0.0,0.428
48000,0.48743,0.014,0.0,0.458
49000,0.46518,0.008,0.0,0.435
50000,0.49059,0.021,0.0,0.46
51000,0.47486,0.02,0.0,0.446
52000,0.49773,0.01,0.0,0.467
53000,0.50014,0.02,0.0,0.469
54000,0.47749,0.014,0.0,0.448
55000,0.48158,0.008,0.0,0.451
56000,0.47235,0.021,0.0,0.442
57000,0.47425,0.018,0.0,0.445
58000,0.46416,0.02,0.0,0.436
59000,0.45741,0.015,0.0,0.429
60000,0.48441,0.012,0.0,0.457
61000,0.44115,0.019,0.0,0.415
62000,0.45762,0.021,0.0,0.43
63000,0.44216,0.023,0.0,0.415
64000,0.47089,0.019,0.0,0.443
65000,0.4689,0.021,0.0,0.441
66000,0.46712,0.022,0.0,0.439
67000,0.46837,0.014,0.0,0.439
68000,0.46918,0.013,0.0,0.439
69000,0.48199,0.015,0.0,0.452
70000,0.48991,0.02,0.0,0.459
71000,0.46796,0.014,0.0,0.44
72000,0.47131,0.016,0.0,0.443
73000,0.48865,0.02,0.0,0.46
74000,0.47849,0.018,0.0,0.45
75000,0.46177,0.017,0.0,0.433
76000,0.48851,0.019,0.0,0.459
77000,0.48237,0.023,0.0,0.453
78000,0.51091,0.009,0.0,0.481
79000,0.49553,0.02,0.0,0.465
80000,0.48898,0.014,0.0,0.459
81000,0.49642,0.012,0.0,0.466
82000,0.50316,0.016,0.0,0.472
83000,0.50396,0.017,0.0,0.471
84000,0.50339,0.012,0.0,0.471
85000,0.49416,0.013,0.0,0.462
86000,0.50883,0.012,0.0,0.477
87000,0.49438,0.02,0.0,0.464
88000,0.50895,0.011,0.0,0.479
89000,0.49788,0.014,0.0,0.467
90000,0.51283,0.016,0.0,0.483
91000,0.51197,0.018,0.0,0.481
92000,0.50488,0.018,0.0,0.473
93000,0.48811,0.013,0.0,0.458
94000,0.49667,0.009,0.0,0.466
95000,0.49877,0.023,0.0,0.468
96000,0.50637,0.006,0.0,0.475
97000,0.49656,0.016,0.0,0.466
98000,0.48391,0.021,0.0,0.455
99000,0.47734,0.017,0.0,0.449
100000,0.47387,0.01,0.0,0.446
101000,0.46633,0.012,0.0,0.439
102000,0.47039,0.012,0.0,0.442
103000,0.46863,0.017,0.0,0.441
104000,0.47176,0.013,0.0,0.444
105000,0.46522,0.02,0.0,0.438
106000,0.48636,0.008,0.0,0.458
107000,0.47987,0.016,0.0,0.451
108000,0.47992,0.01,0.0,0.45
109000,0.48548,0.025,0.0,0.456
110000,0.48769,0.019,0.0,0.458
111000,0.48802,0.007,0.0,0.458
112000,0.48788,0.016,0.0,0.457
113000,0.5018,0.016,0.0,0.471
114000,0.49126,0.014,0.0,0.461
115000,0.49076,0.011,0.0,0.46
116000,0.49916,0.016,0.0,0.468
117000,0.51777,0.007,0.0,0.487
118000,0.49884,0.015,0.0,0.468
119000,0.50102,0.011,0.0,0.47
120000,0.50061,0.013,0.0,0.47
121000,0.49065,0.015,0.0,0.46
122000,0.5095,0.013,0.0,0.479
123000,0.48425,0.018,0.0,0.453
124000,0.50738,0.015,0.0,0.476
125000,0.48525,0.022,0.0,0.455
126000,0.49989,0.018,0.0,0.47
127000,0.48232,0.014,0.0,0.452
128000,0.49519,0.014,0.0,0.464
129000,0.50259,0.016,0.0,0.471
130000,0.48789,0.017,0.0,0.457
131000,0.51083,0.008,0.0,0.479
132000,0.49948,0.016,0.0,0.468
133000,0.52504,0.014,0.0,0.493
134000,0.50927,0.019,0.0,0.478
135000,0.51547,0.014,0.0,0.483
136000,0.49313,0.016,0.0,0.462
137000,0.50682,0.021,0.0,0.475
138000,0.50571,0.013,0.0,0.474
139000,0.50707,0.015,0.0,0.475
140000,0.52204,0.008,0.0,0.49
141000,0.52312,0.01,0.0,0.492
142000,0.50545,0.009,0.0,0.473
143000,0.51405,0.011,0.0,0.482
144000,0.50087,0.007,0.0,0.469
145000,0.50441,0.011,0.0,0.472
146000,0.51927,0.006,0.0,0.486
147000,0.52664,0.007,0.0,0.492
148000,0.53227,0.006,0.0,0.498
149000,0.53036,0.005,0.0,0.497
150000,0.52586,0.005,0.0,0.494
151000,0.5198,0.013,0.0,0.488
152000,0.4976,0.015,0.0,0.467
153000,0.48645,0.016,0.0,0.457
154000,0.49076,0.022,0.0,0.463
155000,0.50434,0.008,0.0,0.475
156000,0.49801,0.011,0.0,0.469
157000,0.51804,0.009,0.0,0.488
158000,0.50548,0.015,0.0,0.476
159000,0.50557,0.007,0.0,0.475
160000,0.52973,0.01,0.0,0.498
161000,0.52365,0.01,0.0,0.491
162000,0.51569,0.012,0.0,0.483
163000,0.50979,0.011,0.0,0.478
164000,0.52914,0.009,0.0,0.497
165000,0.50405,0.013,0.0,0.472
166000,0.5124,0.018,0.0,0.48
167000,0.51317,0.008,0.0,0.482
168000,0.52503,0.008,0.0,0.493
169000,0.51336,0.016,0.0,0.482
170000,0.51765,0.01,0.0,0.486
171000,0.51698,0.016,0.0,0.487
172000,0.51069,0.012,0.0,0.481
173000,0.50288,0.013,0.0,0.473
174000,0.52796,0.013,0.0,0.498
175000,0.48391,0.012,0.0,0.454
176000,0.49901,0.012,0.0,0.469
177000,0.51413,0.012,0.0,0.485
178000,0.49935,0.012,0.0,0.471
179000,0.49023,0.014,0.0,0.462
180000,0.49498,0.02,0.0,0.466
181000,0.50709,0.012,0.0,0.477
182000,0.51344,0.01,0.0,0.483
183000,0.50427,0.008,0.0,0.476
184000,0.51101,0.014,0.0,0.482
185000,0.50744,0.013,0.0,0.478
186000,0.50714,0.013,0.0,0.478
187000,0.51477,0.008,0.0,0.484
188000,0.4968,0.015,0.0,0.466
189000,0.50931,0.003,0.0,0.478
190000,0.51814,0.014,0.0,0.487
191000,0.49776,0.016,0.0,0.467
192000,0.51618,0.015,0.0,0.485
193000,0.50359,0.019,0.0,0.473
194000,0.50686,0.014,0.0,0.477
