avg_score,avg_diff,step_idx,avg_winning,loss_train
0.4372,0.012,1000,0.396,0.0
0.41527,0.012,2000,0.374,0.0
0.42671,0.011,3000,0.387,0.0
0.41421,0.014,4000,0.374,0.0
0.44478,0.015,5000,0.404,0.0
0.4323,0.014,6000,0.391,0.0
0.44871,0.01,7000,0.408,0.0
0.43646,0.006,8000,0.395,0.0
0.45971,0.009,9000,0.418,0.0
0.44667,0.012,10000,0.404,0.0
0.47109,0.008,11000,0.427,0.0
0.43666,0.012,12000,0.393,0.0
0.43996,0.015,13000,0.396,0.0
0.44064,0.02,14000,0.397,0.0
0.43502,0.007,15000,0.391,0.0
0.44039,0.011,16000,0.397,0.0
0.4431,0.011,17000,0.399,0.0
0.43132,0.015,18000,0.388,0.0
0.44342,0.007,19000,0.4,0.0
0.43036,0.02,20000,0.387,0.0
0.43902,0.01,21000,0.395,0.0
0.44592,0.008,22000,0.402,0.0
0.44985,0.015,23000,0.405,0.0
0.46097,0.011,24000,0.416,0.0
0.45042,0.004,25000,0.405,0.0
0.45778,0.006,26000,0.413,0.0
0.46147,0.002,27000,0.415,0.0
0.46784,0.019,28000,0.422,0.0
0.4492,0.019,29000,0.403,0.0
0.44131,0.012,30000,0.396,0.0
0.45085,0.003,31000,0.405,0.0
0.48636,0.0,32000,0.44,0.0
0.47974,0.007,33000,0.433,0.0
0.45674,0.001,34000,0.41,0.0
0.46987,0.004,35000,0.423,0.0
0.45382,0.007,36000,0.407,0.0
0.47847,0.01,37000,0.432,0.0
0.47013,0.018,38000,0.424,0.0
0.46465,0.012,39000,0.418,0.0
0.49559,0.007,40000,0.448,0.0
0.44815,0.008,41000,0.402,0.0
0.46753,0.007,42000,0.421,0.0
0.47947,0.01,43000,0.432,0.0
0.48872,0.016,44000,0.442,0.0
0.48895,0.011,45000,0.442,0.0
0.50013,0.008,46000,0.452,0.0
0.4909,0.011,47000,0.444,0.0
0.49247,0.018,48000,0.445,0.0
0.47357,0.005,49000,0.426,0.0
0.47997,0.004,50000,0.434,0.0
0.47211,0.009,51000,0.425,0.0
0.49282,0.009,52000,0.445,0.0
0.49248,0.005,53000,0.445,0.0
0.47718,0.011,54000,0.43,0.0
0.48956,0.01,55000,0.442,0.0
0.49188,0.012,56000,0.445,0.0
0.49255,0.012,57000,0.445,0.0
0.51104,0.002,58000,0.464,0.0
0.49752,0.014,59000,0.45,0.0
0.50051,0.011,60000,0.454,0.0
0.50101,0.012,61000,0.453,0.0
0.51308,0.02,62000,0.465,0.0
0.50767,0.006,63000,0.46,0.0
0.51163,0.012,64000,0.464,0.0
0.49264,0.011,65000,0.446,0.0
0.49852,0.014,66000,0.452,0.0
0.50544,0.013,67000,0.459,0.0
0.50245,0.011,68000,0.455,0.0
0.48907,0.007,69000,0.442,0.0
0.51511,0.006,70000,0.468,0.0
0.50964,0.005,71000,0.463,0.0
0.515,0.014,72000,0.468,0.0
0.49767,0.009,73000,0.451,0.0
0.51151,0.012,74000,0.464,0.0
0.51044,0.008,75000,0.464,0.0
0.48198,0.009,76000,0.436,0.0
0.51968,0.018,77000,0.473,0.0
0.50239,0.019,78000,0.456,0.0
0.51733,0.011,79000,0.47,0.0
0.51702,0.012,80000,0.469,0.0
0.51182,0.022,81000,0.464,0.0
0.51821,0.012,82000,0.471,0.0
0.51332,0.016,83000,0.466,0.0
0.51457,0.012,84000,0.466,0.0
0.50801,0.016,85000,0.46,0.0
0.51046,0.014,86000,0.463,0.0
0.51252,0.009,87000,0.465,0.0
0.52059,0.017,88000,0.472,0.0
0.5278,0.014,89000,0.48,0.0
0.51199,0.017,90000,0.464,0.0
0.52051,0.011,91000,0.473,0.0
0.52563,0.019,92000,0.478,0.0
0.54023,0.01,93000,0.493,0.0
0.53872,0.017,94000,0.492,0.0
0.53657,0.011,95000,0.489,0.0
0.53499,0.011,96000,0.486,0.0
0.53988,0.015,97000,0.491,0.0
0.53511,0.019,98000,0.487,0.0
0.54078,0.011,99000,0.492,0.0
0.52364,0.016,100000,0.475,0.0
0.52405,0.016,101000,0.475,0.0
0.53391,0.021,102000,0.484,0.0
0.53712,0.019,103000,0.488,0.0
0.51738,0.016,104000,0.468,0.0
0.52749,0.015,105000,0.479,0.0
0.51378,0.011,106000,0.465,0.0
0.50341,0.018,107000,0.455,0.0
0.52758,0.02,108000,0.479,0.0
0.5282,0.019,109000,0.479,0.0
0.53032,0.024,110000,0.481,0.0
0.52449,0.017,111000,0.476,0.0
0.52516,0.01,112000,0.477,0.0
0.51751,0.023,113000,0.469,0.0
0.52575,0.019,114000,0.477,0.0
0.53041,0.021,115000,0.482,0.0
0.51763,0.019,116000,0.469,0.0
0.52761,0.015,117000,0.477,0.0
0.52663,0.023,118000,0.478,0.0
0.52459,0.017,119000,0.475,0.0
0.54363,0.017,120000,0.493,0.0
0.52869,0.018,121000,0.479,0.0
0.52922,0.012,122000,0.479,0.0
0.52037,0.017,123000,0.471,0.0
0.51657,0.018,124000,0.467,0.0
0.5271,0.018,125000,0.477,0.0
0.51357,0.015,126000,0.465,0.0
0.5245,0.02,127000,0.475,0.0
0.51687,0.014,128000,0.468,0.0
0.52127,0.017,129000,0.471,0.0
0.50388,0.021,130000,0.454,0.0
0.51866,0.018,131000,0.468,0.0
0.53528,0.019,132000,0.484,0.0
0.52689,0.021,133000,0.476,0.0
0.52972,0.017,134000,0.479,0.0
0.52298,0.017,135000,0.473,0.0
0.52356,0.014,136000,0.474,0.0
0.5334,0.012,137000,0.484,0.0
0.51318,0.019,138000,0.463,0.0
0.53065,0.017,139000,0.48,0.0
0.53339,0.014,140000,0.483,0.0
0.53477,0.022,141000,0.484,0.0
0.52737,0.015,142000,0.477,0.0
0.52572,0.016,143000,0.476,0.0
0.52929,0.017,144000,0.479,0.0
0.5224,0.019,145000,0.473,0.0
0.52716,0.02,146000,0.477,0.0
0.53897,0.017,147000,0.488,0.0
0.48833,0.02,148000,0.438,0.0
0.52322,0.02,149000,0.473,0.0
0.53083,0.016,150000,0.48,0.0
0.52568,0.014,151000,0.475,0.0
0.531,0.021,152000,0.481,0.0
0.53057,0.015,153000,0.48,0.0
0.52213,0.018,154000,0.471,0.0
0.54139,0.012,155000,0.491,0.0
0.51311,0.014,156000,0.464,0.0
0.52518,0.015,157000,0.475,0.0
0.52744,0.016,158000,0.477,0.0
0.52431,0.015,159000,0.474,0.0
0.52949,0.018,160000,0.479,0.0
0.53151,0.014,161000,0.48,0.0
0.53086,0.015,162000,0.479,0.0
0.52286,0.016,163000,0.472,0.0
0.52909,0.018,164000,0.478,0.0
0.53869,0.013,165000,0.487,0.0
0.5339,0.016,166000,0.483,0.0
0.52426,0.014,167000,0.473,0.0
0.5322,0.015,168000,0.48,0.0
0.52636,0.022,169000,0.474,0.0
0.52606,0.015,170000,0.474,0.0
0.52785,0.013,171000,0.476,0.0
0.52385,0.012,172000,0.472,0.0
0.53266,0.015,173000,0.481,0.0
0.53498,0.02,174000,0.483,0.0
0.52428,0.016,175000,0.472,0.0
0.5267,0.019,176000,0.476,0.0
0.52443,0.007,177000,0.474,0.0
0.54318,0.01,178000,0.492,0.0
0.52913,0.015,179000,0.478,0.0
0.53026,0.016,180000,0.479,0.0
0.52607,0.017,181000,0.474,0.0
0.53536,0.017,182000,0.483,0.0
0.53969,0.012,183000,0.488,0.0
0.52721,0.021,184000,0.475,0.0
0.53387,0.011,185000,0.482,0.0
0.52777,0.016,186000,0.476,0.0
