avg_winning,step_idx,avg_score,loss_train,avg_diff
0.423,1000,0.4637,0.0,0.018
0.413,2000,0.45476,0.0,0.002
0.408,3000,0.44991,0.0,0.012
0.39,4000,0.43283,0.0,0.01
0.379,5000,0.42344,0.0,0.017
0.388,6000,0.43156,0.0,0.018
0.383,7000,0.42643,0.0,0.017
0.415,8000,0.45943,0.0,0.013
0.394,9000,0.43738,0.0,0.022
0.393,10000,0.43704,0.0,0.018
0.38,11000,0.423,0.0,0.021
0.386,12000,0.42862,0.0,0.018
0.375,13000,0.4163,0.0,0.021
0.374,14000,0.41519,0.0,0.013
0.355,15000,0.39565,0.0,0.014
0.373,16000,0.41458,0.0,0.023
0.384,17000,0.42625,0.0,0.01
0.369,18000,0.4112,0.0,0.018
0.364,19000,0.4058,0.0,0.013
0.385,20000,0.42699,0.0,0.016
0.39,21000,0.43288,0.0,0.016
0.38,22000,0.42333,0.0,0.015
0.412,23000,0.45676,0.0,0.027
0.408,24000,0.45357,0.0,0.009
0.414,25000,0.4588,0.0,0.012
0.42,26000,0.46526,0.0,0.017
0.436,27000,0.48267,0.0,0.017
0.449,28000,0.49539,0.0,0.014
0.425,29000,0.47141,0.0,0.013
0.422,30000,0.46822,0.0,0.021
0.414,31000,0.46015,0.0,0.016
0.423,32000,0.46893,0.0,0.008
0.435,33000,0.48074,0.0,0.008
0.418,34000,0.46424,0.0,0.015
0.44,35000,0.48747,0.0,0.013
0.407,36000,0.45302,0.0,0.008
0.427,37000,0.4733,0.0,0.017
0.415,38000,0.46126,0.0,0.019
0.433,39000,0.48015,0.0,0.02
0.432,40000,0.47891,0.0,0.013
0.46,41000,0.50705,0.0,0.012
0.431,42000,0.4778,0.0,0.014
0.444,43000,0.49134,0.0,0.012
0.458,44000,0.50605,0.0,0.017
0.45,45000,0.49754,0.0,0.007
0.469,46000,0.51664,0.0,0.015
0.45,47000,0.49807,0.0,0.014
0.444,48000,0.49208,0.0,0.018
0.458,49000,0.50659,0.0,0.015
0.462,50000,0.5105,0.0,0.01
0.46,51000,0.50829,0.0,0.016
0.461,52000,0.50966,0.0,0.013
0.463,53000,0.51243,0.0,0.023
0.461,54000,0.51002,0.0,0.011
0.468,55000,0.51783,0.0,0.01
0.487,56000,0.53741,0.0,0.021
0.464,57000,0.51308,0.0,0.015
0.473,58000,0.52177,0.0,0.016
0.471,59000,0.52054,0.0,0.017
0.474,60000,0.52338,0.0,0.018
0.446,61000,0.49533,0.0,0.021
0.464,62000,0.51256,0.0,0.018
0.457,63000,0.50633,0.0,0.02
0.466,64000,0.51625,0.0,0.022
0.464,65000,0.51392,0.0,0.014
0.461,66000,0.51167,0.0,0.016
0.468,67000,0.51873,0.0,0.023
0.453,68000,0.50328,0.0,0.016
0.471,69000,0.52114,0.0,0.016
0.475,70000,0.52475,0.0,0.014
0.479,71000,0.52957,0.0,0.015
0.494,72000,0.54391,0.0,0.016
0.482,73000,0.53179,0.0,0.017
0.485,74000,0.5348,0.0,0.023
0.468,75000,0.51841,0.0,0.021
0.457,76000,0.50688,0.0,0.023
0.477,77000,0.52767,0.0,0.02
0.475,78000,0.52492,0.0,0.019
0.486,79000,0.53636,0.0,0.02
0.476,80000,0.52522,0.0,0.022
0.477,81000,0.52649,0.0,0.015
0.465,82000,0.51396,0.0,0.011
0.448,83000,0.49586,0.0,0.018
0.469,84000,0.51714,0.0,0.017
0.458,85000,0.50616,0.0,0.019
0.444,86000,0.49282,0.0,0.01
0.442,87000,0.49019,0.0,0.017
0.464,88000,0.51202,0.0,0.015
0.464,89000,0.51246,0.0,0.019
0.465,90000,0.51326,0.0,0.012
0.476,91000,0.52413,0.0,0.017
0.462,92000,0.50969,0.0,0.013
0.455,93000,0.50293,0.0,0.02
0.463,94000,0.51165,0.0,0.012
0.464,95000,0.5126,0.0,0.019
0.441,96000,0.4887,0.0,0.01
0.462,97000,0.5098,0.0,0.011
0.455,98000,0.50265,0.0,0.025
0.437,99000,0.4836,0.0,0.011
0.461,100000,0.50844,0.0,0.017
0.449,101000,0.4964,0.0,0.019
0.455,102000,0.50228,0.0,0.015
0.447,103000,0.4936,0.0,0.01
0.446,104000,0.49196,0.0,0.009
0.483,105000,0.52992,0.0,0.018
0.461,106000,0.50737,0.0,0.014
0.471,107000,0.51656,0.0,0.008
0.456,108000,0.50299,0.0,0.013
0.453,109000,0.49959,0.0,0.016
0.47,110000,0.51706,0.0,0.014
0.463,111000,0.50983,0.0,0.017
0.466,112000,0.5125,0.0,0.02
0.463,113000,0.51055,0.0,0.019
0.46,114000,0.50728,0.0,0.025
0.47,115000,0.51829,0.0,0.02
0.463,116000,0.51008,0.0,0.016
0.455,117000,0.50198,0.0,0.016
0.446,118000,0.493,0.0,0.006
0.436,119000,0.48252,0.0,0.019
0.447,120000,0.49442,0.0,0.012
0.46,121000,0.50747,0.0,0.015
0.444,122000,0.49155,0.0,0.024
0.443,123000,0.4894,0.0,0.022
0.454,124000,0.50151,0.0,0.017
0.443,125000,0.49029,0.0,0.02
0.456,126000,0.5029,0.0,0.019
0.438,127000,0.4857,0.0,0.014
0.448,128000,0.49641,0.0,0.012
0.456,129000,0.50422,0.0,0.015
0.475,130000,0.5228,0.0,0.017
0.464,131000,0.51215,0.0,0.013
0.459,132000,0.50581,0.0,0.009
0.463,133000,0.51044,0.0,0.012
0.46,134000,0.50669,0.0,0.016
0.472,135000,0.52036,0.0,0.012
0.464,136000,0.51148,0.0,0.013
0.467,137000,0.51433,0.0,0.018
0.471,138000,0.51823,0.0,0.011
0.467,139000,0.51351,0.0,0.015
0.476,140000,0.52427,0.0,0.017
0.469,141000,0.51706,0.0,0.021
0.465,142000,0.51331,0.0,0.012
0.476,143000,0.52521,0.0,0.023
0.475,144000,0.52371,0.0,0.013
0.463,145000,0.51134,0.0,0.017
0.453,146000,0.50008,0.0,0.014
0.468,147000,0.51577,0.0,0.01
0.467,148000,0.51436,0.0,0.012
0.458,149000,0.50571,0.0,0.015
0.482,150000,0.53006,0.0,0.017
0.48,151000,0.52739,0.0,0.014
0.473,152000,0.52079,0.0,0.011
0.461,153000,0.50845,0.0,0.02
0.467,154000,0.51476,0.0,0.013
0.48,155000,0.52687,0.0,0.018
0.489,156000,0.53605,0.0,0.014
0.464,157000,0.51093,0.0,0.01
0.471,158000,0.51755,0.0,0.016
0.469,159000,0.51562,0.0,0.021
0.46,160000,0.50573,0.0,0.018
0.465,161000,0.51081,0.0,0.014
0.489,162000,0.53615,0.0,0.012
0.468,163000,0.51449,0.0,0.012
0.461,164000,0.50779,0.0,0.015
0.47,165000,0.51711,0.0,0.019
0.457,166000,nan,0.0,0.017
0.459,167000,0.50637,0.0,0.018
0.458,168000,0.50571,0.0,0.015
0.458,169000,0.50543,0.0,0.015
0.488,170000,nan,0.0,0.011
0.475,171000,0.52237,0.0,0.014
0.462,172000,0.50916,0.0,0.012
0.467,173000,0.51452,0.0,0.017
0.467,174000,0.51477,0.0,0.011
0.462,175000,0.50872,0.0,0.014
0.465,176000,0.51233,0.0,0.013
0.468,177000,0.51633,0.0,0.018
0.475,178000,0.52325,0.0,0.012
0.49,179000,nan,0.0,0.018
0.465,180000,0.5128,0.0,0.005
0.478,181000,0.5255,0.0,0.017
0.48,182000,0.52743,0.0,0.016
0.47,183000,0.51807,0.0,0.011
0.476,184000,nan,0.0,0.012
0.459,185000,0.50608,0.0,0.007
0.487,186000,0.53564,0.0,0.016
0.476,187000,0.52379,0.0,0.018
0.475,188000,0.52322,0.0,0.016
0.484,189000,nan,0.0,0.015
0.472,190000,0.52079,0.0,0.012
0.484,191000,0.53249,0.0,0.014
0.494,192000,0.54246,0.0,0.011
0.488,193000,0.53616,0.0,0.02
0.493,194000,0.53997,0.0,0.014
0.476,195000,0.52333,0.0,0.024
0.48,196000,0.52824,0.0,0.01
0.459,197000,0.50568,0.0,0.014
0.495,198000,0.54322,0.0,0.013
0.483,199000,0.53062,0.0,0.011
0.482,200000,0.53005,0.0,0.017
0.475,201000,0.52383,0.0,0.011
0.5,202000,0.5483,0.0,0.014
0.478,203000,0.52732,0.0,0.019
0.492,204000,0.54128,0.0,0.012
0.492,205000,0.54131,0.0,0.016
0.489,206000,0.5385,0.0,0.024
0.486,207000,0.5356,0.0,0.015
0.488,208000,0.53745,0.0,0.014
0.467,209000,0.51609,0.0,0.015
0.496,210000,0.54532,0.0,0.014
0.477,211000,0.5256,0.0,0.015
0.46,212000,0.50835,0.0,0.016
0.488,213000,0.53709,0.0,0.018
0.486,214000,0.53509,0.0,0.008
0.476,215000,0.52457,0.0,0.014
0.488,216000,0.53772,0.0,0.012
0.486,217000,0.5354,0.0,0.011
0.485,218000,0.53528,0.0,0.016
0.492,219000,0.54174,0.0,0.015
0.485,220000,0.53596,0.0,0.013
0.484,221000,0.53505,0.0,0.012
0.478,222000,0.52851,0.0,0.012
0.492,223000,0.54304,0.0,0.018
0.487,224000,0.53777,0.0,0.012
0.481,225000,0.53208,0.0,0.016
0.482,226000,0.53239,0.0,0.012
0.49,227000,0.54053,0.0,0.011
0.476,228000,0.52652,0.0,0.008
0.495,229000,0.54498,0.0,0.018
0.485,230000,0.53494,0.0,0.015
0.483,231000,0.53348,0.0,0.018
0.481,232000,0.53091,0.0,0.016
0.479,233000,0.52832,0.0,0.012
0.49,234000,0.53985,0.0,0.016
0.481,235000,0.53116,0.0,0.013
0.486,236000,0.53554,0.0,0.017
0.493,237000,0.5422,0.0,0.012
0.484,238000,0.53304,0.0,0.006
0.487,239000,0.53528,0.0,0.017
0.472,240000,0.51994,0.0,0.016
0.48,241000,0.52757,0.0,0.014
0.494,242000,0.54177,0.0,0.006
0.481,243000,0.52935,0.0,0.017
0.471,244000,0.52061,0.0,0.012
0.478,245000,0.52688,0.0,0.011
0.491,246000,0.53901,0.0,0.012
0.482,247000,0.52887,0.0,0.013
0.48,248000,0.52802,0.0,0.014
0.476,249000,0.52319,0.0,0.012
0.484,250000,0.53287,0.0,0.014
0.478,251000,0.52706,0.0,0.013
0.482,252000,0.53093,0.0,0.017
