avg_score,avg_diff,loss_train,step_idx,avg_winning
0.36105,0.015,0.0,1000,0.334
0.42626,0.019,0.0,2000,0.398
0.41667,0.009,0.0,3000,0.39
0.4478,0.017,0.0,4000,0.421
0.43445,0.016,0.0,5000,0.408
0.45278,0.009,0.0,6000,0.425
0.43392,0.014,0.0,7000,0.407
0.43134,0.017,0.0,8000,0.402
0.40334,0.014,0.0,9000,0.374
0.45281,0.011,0.0,10000,0.422
0.42686,0.014,0.0,11000,0.396
0.40864,0.011,0.0,12000,0.376
0.44022,0.009,0.0,13000,0.407
0.44693,0.013,0.0,14000,0.414
0.42556,0.016,0.0,15000,0.392
0.44185,0.012,0.0,16000,0.408
0.45326,0.01,0.0,17000,0.421
0.44569,0.011,0.0,18000,0.412
0.43281,0.009,0.0,19000,0.398
0.4493,0.01,0.0,20000,0.415
0.43845,0.013,0.0,21000,0.405
0.46533,0.007,0.0,22000,0.431
0.44947,0.011,0.0,23000,0.416
0.44176,0.017,0.0,24000,0.407
0.43899,0.013,0.0,25000,0.405
0.4567,0.025,0.0,26000,0.423
0.44572,0.011,0.0,27000,0.411
0.46357,0.021,0.0,28000,0.429
0.47731,0.013,0.0,29000,0.441
0.46022,0.009,0.0,30000,0.427
0.45091,0.022,0.0,31000,0.418
0.44757,0.02,0.0,32000,0.414
0.44596,0.012,0.0,33000,0.412
0.48533,0.011,0.0,34000,0.451
0.4786,0.016,0.0,35000,0.443
0.49152,0.011,0.0,36000,0.456
0.46317,0.016,0.0,37000,0.43
0.49574,0.012,0.0,38000,0.461
0.45875,0.023,0.0,39000,0.424
0.47699,0.012,0.0,40000,0.441
0.5081,0.016,0.0,41000,0.473
0.49185,0.014,0.0,42000,0.458
0.47337,0.015,0.0,43000,0.44
0.50649,0.011,0.0,44000,0.473
0.49109,0.015,0.0,45000,0.459
0.47804,0.02,0.0,46000,0.444
0.49053,0.017,0.0,47000,0.457
0.49884,0.017,0.0,48000,0.464
0.50736,0.018,0.0,49000,0.474
0.50283,0.021,0.0,50000,0.469
0.49636,0.016,0.0,51000,0.462
0.51633,0.022,0.0,52000,0.483
0.50629,0.024,0.0,53000,0.473
0.50855,0.013,0.0,54000,0.475
0.48485,0.024,0.0,55000,0.454
0.50402,0.013,0.0,56000,0.471
0.49618,0.023,0.0,57000,0.463
0.50572,0.007,0.0,58000,0.473
0.52101,0.01,0.0,59000,0.489
0.52164,0.013,0.0,60000,0.489
0.50556,0.015,0.0,61000,0.473
0.50474,0.016,0.0,62000,0.473
0.51225,0.019,0.0,63000,0.48
0.51342,0.018,0.0,64000,0.48
0.51978,0.016,0.0,65000,0.488
0.53189,0.013,0.0,66000,0.499
0.51095,0.017,0.0,67000,0.479
0.51778,0.015,0.0,68000,0.486
0.49743,0.017,0.0,69000,0.465
0.52228,0.021,0.0,70000,0.489
0.51585,0.016,0.0,71000,0.482
0.51619,0.021,0.0,72000,0.482
0.50705,0.019,0.0,73000,0.472
0.52404,0.021,0.0,74000,0.49
0.5071,0.015,0.0,75000,0.473
0.51188,0.015,0.0,76000,0.477
0.52251,0.015,0.0,77000,0.488
0.52282,0.015,0.0,78000,0.488
0.51192,0.013,0.0,79000,0.476
0.51925,0.004,0.0,80000,0.484
0.5313,0.016,0.0,81000,0.496
0.52112,0.017,0.0,82000,0.484
0.52363,0.021,0.0,83000,0.488
0.51397,0.018,0.0,84000,0.479
0.53634,0.011,0.0,85000,0.5
0.53176,0.019,0.0,86000,0.496
0.53421,0.019,0.0,87000,0.498
0.51106,0.021,0.0,88000,0.476
0.52133,0.018,0.0,89000,0.486
0.52452,0.012,0.0,90000,0.489
0.53075,0.012,0.0,91000,0.495
0.53845,0.015,0.0,92000,0.502
0.52039,0.013,0.0,93000,0.485
0.52022,0.014,0.0,94000,0.485
0.50419,0.021,0.0,95000,0.47
0.53245,0.025,0.0,96000,0.496
0.5224,0.016,0.0,97000,0.487
0.53227,0.022,0.0,98000,0.496
0.51577,0.016,0.0,99000,0.48
0.52306,0.021,0.0,100000,0.488
0.51343,0.015,0.0,101000,0.479
0.52399,0.018,0.0,102000,0.489
0.52742,0.025,0.0,103000,0.492
0.49315,0.02,0.0,104000,0.458
0.52401,0.012,0.0,105000,0.488
0.5032,0.016,0.0,106000,0.47
0.52115,0.015,0.0,107000,0.488
0.51057,0.015,0.0,108000,0.477
0.5174,0.021,0.0,109000,0.484
0.50982,0.015,0.0,110000,0.476
0.49647,0.019,0.0,111000,0.462
0.50654,0.01,0.0,112000,0.471
0.51455,0.014,0.0,113000,0.479
0.51944,0.011,0.0,114000,0.484
0.51804,0.019,0.0,115000,0.482
0.50408,0.014,0.0,116000,0.468
0.50208,0.018,0.0,117000,0.466
0.50038,0.017,0.0,118000,0.466
0.52413,0.018,0.0,119000,0.49
0.52583,0.01,0.0,120000,0.49
0.5145,0.019,0.0,121000,0.479
0.5086,0.021,0.0,122000,0.472
0.51656,0.011,0.0,123000,0.481
0.51861,0.013,0.0,124000,0.483
0.51947,0.017,0.0,125000,0.483
0.51467,0.013,0.0,126000,0.479
0.50902,0.014,0.0,127000,0.473
0.52202,0.018,0.0,128000,0.486
0.52196,0.016,0.0,129000,0.486
0.51961,0.013,0.0,130000,0.484
0.52243,0.009,0.0,131000,0.486
0.52169,0.019,0.0,132000,0.486
0.51948,0.005,0.0,133000,0.483
0.51342,0.015,0.0,134000,0.477
0.51397,0.012,0.0,135000,0.478
0.52531,0.013,0.0,136000,0.489
0.51611,0.01,0.0,137000,0.479
0.5142,0.01,0.0,138000,0.478
0.52639,0.009,0.0,139000,0.489
0.53408,0.023,0.0,140000,0.497
0.53083,0.015,0.0,141000,0.494
0.52963,0.012,0.0,142000,0.493
0.52859,0.018,0.0,143000,0.493
0.51185,0.021,0.0,144000,0.477
0.52043,0.019,0.0,145000,0.485
0.52958,0.017,0.0,146000,0.494
0.52797,0.015,0.0,147000,0.492
0.53961,0.013,0.0,148000,0.504
0.51807,0.013,0.0,149000,0.482
0.53653,0.014,0.0,150000,0.502
0.51769,0.01,0.0,151000,0.484
0.51173,0.02,0.0,152000,0.478
0.52973,0.01,0.0,153000,0.496
0.5093,0.024,0.0,154000,0.475
0.53132,0.022,0.0,155000,0.497
0.52723,0.008,0.0,156000,0.492
0.52253,0.016,0.0,157000,0.487
0.52907,0.016,0.0,158000,0.493
0.51103,0.022,0.0,159000,0.475
0.52693,0.017,0.0,160000,0.491
0.52759,0.02,0.0,161000,0.491
0.52025,0.018,0.0,162000,0.484
0.51947,0.023,0.0,163000,0.483
0.52511,0.026,0.0,164000,0.489
0.52047,0.027,0.0,165000,0.485
0.51688,0.023,0.0,166000,0.481
0.52595,0.021,0.0,167000,0.489
0.51604,0.023,0.0,168000,0.479
0.52392,0.017,0.0,169000,0.487
0.51585,0.027,0.0,170000,0.48
0.51551,0.019,0.0,171000,0.48
0.51923,0.017,0.0,172000,0.484
0.51413,0.023,0.0,173000,0.478
0.51067,0.026,0.0,174000,0.474
0.51137,0.014,0.0,175000,0.475
0.5326,0.022,0.0,176000,0.496
0.52293,0.026,0.0,177000,0.487
0.51372,0.02,0.0,178000,0.478
0.53274,0.019,0.0,179000,0.497
0.518,0.018,0.0,180000,0.482
0.51581,0.02,0.0,181000,0.48
0.51001,0.019,0.0,182000,0.474
0.51223,0.02,0.0,183000,0.476
0.52573,0.019,0.0,184000,0.489
0.52073,0.017,0.0,185000,0.483
0.51011,0.016,0.0,186000,0.473
