avg_score,avg_diff,loss_train,step_idx,avg_winning
0.47908,0.015,0.0,1000,0.44
0.49996,0.015,0.0,2000,0.459
0.50584,0.011,0.0,3000,0.464
0.48562,0.006,0.0,4000,0.445
0.4811,0.011,0.0,5000,0.441
0.49881,0.01,0.0,6000,0.458
0.49839,0.018,0.0,7000,0.458
0.5093,0.009,0.0,8000,0.468
0.51644,0.016,0.0,9000,0.475
0.50113,0.011,0.0,10000,0.46
0.51631,0.021,0.0,11000,0.475
0.50577,0.016,0.0,12000,0.465
0.49147,0.013,0.0,13000,0.45
0.5118,0.013,0.0,14000,0.47
0.50821,0.015,0.0,15000,0.466
0.4975,0.016,0.0,16000,0.456
0.51561,0.006,0.0,17000,0.474
0.49831,0.015,0.0,18000,0.457
0.49506,0.021,0.0,19000,0.454
0.51943,0.012,0.0,20000,0.477
0.50076,0.008,0.0,21000,0.459
0.50932,0.015,0.0,22000,0.467
0.5076,0.013,0.0,23000,0.465
0.48661,0.015,0.0,24000,0.445
0.50129,0.011,0.0,25000,0.459
0.48781,0.017,0.0,26000,0.446
0.48935,0.013,0.0,27000,0.447
0.47865,0.011,0.0,28000,0.437
0.51349,0.014,0.0,29000,0.471
0.4887,0.018,0.0,30000,0.447
0.49613,0.013,0.0,31000,0.454
0.50941,0.013,0.0,32000,0.466
0.49772,0.016,0.0,33000,0.455
0.48718,0.0,0.0,34000,0.445
0.51479,0.008,0.0,35000,0.472
0.50403,0.016,0.0,36000,0.461
0.48754,0.012,0.0,37000,0.445
0.50003,0.03,0.0,38000,0.456
0.50934,0.015,0.0,39000,0.466
0.50965,0.018,0.0,40000,0.467
0.51292,0.011,0.0,41000,0.47
0.49112,0.007,0.0,42000,0.448
0.52432,0.007,0.0,43000,0.481
0.5141,0.017,0.0,44000,0.471
0.51373,0.01,0.0,45000,0.47
0.52113,0.014,0.0,46000,0.477
0.51362,0.009,0.0,47000,0.47
0.51083,0.007,0.0,48000,0.467
0.50692,0.015,0.0,49000,0.464
0.52044,0.02,0.0,50000,0.477
0.50592,0.018,0.0,51000,0.463
0.49932,0.022,0.0,52000,0.457
0.52066,0.014,0.0,53000,0.478
0.51012,0.03,0.0,54000,0.468
0.51506,0.022,0.0,55000,0.473
0.52723,0.03,0.0,56000,0.484
0.51734,0.009,0.0,57000,0.475
0.51272,0.011,0.0,58000,0.471
0.50249,0.019,0.0,59000,0.461
0.51796,0.011,0.0,60000,0.476
0.49615,0.015,0.0,61000,0.454
0.51367,0.012,0.0,62000,0.472
0.5096,0.013,0.0,63000,0.468
0.50934,0.007,0.0,64000,0.468
0.50577,0.014,0.0,65000,0.464
0.50576,0.019,0.0,66000,0.464
0.51449,0.019,0.0,67000,0.472
0.51296,0.01,0.0,68000,0.471
0.51516,0.015,0.0,69000,0.473
0.51521,0.023,0.0,70000,0.473
0.5104,0.019,0.0,71000,0.468
0.52693,0.017,0.0,72000,0.484
0.4933,0.018,0.0,73000,0.452
0.5223,0.015,0.0,74000,0.48
