loss_train,step_idx,avg_score,avg_winning,avg_diff
0.0,1000,0.46977,0.434,0.009
0.0,2000,0.50715,0.468,0.02
0.0,3000,0.49684,0.457,0.02
0.0,4000,0.50575,0.466,0.019
0.0,5000,0.50743,0.467,0.017
0.0,6000,0.51665,0.476,0.016
0.0,7000,0.49446,0.454,0.018
0.0,8000,0.49507,0.455,0.009
0.0,9000,0.48397,0.445,0.009
0.0,10000,0.50343,0.463,0.014
0.0,11000,0.4953,0.455,0.015
0.0,12000,0.51655,0.476,0.012
0.0,13000,0.50394,0.463,0.018
0.0,14000,0.51542,0.474,0.017
0.0,15000,0.51249,0.471,0.019
0.0,16000,0.50951,0.468,0.011
0.0,17000,0.52031,0.479,0.016
0.0,18000,0.50235,0.462,0.02
0.0,19000,0.50811,0.467,0.013
0.0,20000,0.5035,0.462,0.003
0.0,21000,0.5056,0.464,0.019
0.0,22000,0.49282,0.452,0.015
0.0,23000,0.509,0.467,0.017
0.0,24000,0.50041,0.459,0.013
0.0,25000,0.51083,0.469,0.016
0.0,26000,0.51996,0.478,0.012
0.0,27000,0.51895,0.477,0.005
0.0,28000,0.51202,0.47,0.014
0.0,29000,0.51196,0.47,0.016
0.0,30000,0.497,0.455,0.01
0.0,31000,0.51318,0.471,0.019
0.0,32000,0.50689,0.465,0.006
0.0,33000,0.52432,0.482,0.009
0.0,34000,0.51036,0.469,0.017
0.0,35000,0.51583,0.474,0.005
0.0,36000,0.50944,0.468,0.014
0.0,37000,0.50641,0.465,0.008
0.0,38000,0.51211,0.47,0.009
0.0,39000,0.52372,0.481,0.016
0.0,40000,0.51706,0.475,0.009
0.0,41000,0.51619,0.474,0.014
0.0,42000,0.52335,0.481,0.007
0.0,43000,0.494,0.453,0.01
0.0,44000,0.49554,0.454,0.009
0.0,45000,0.51106,0.469,0.015
0.0,46000,0.50682,0.465,0.019
0.0,47000,0.50727,0.465,0.011
0.0,48000,0.5011,0.459,0.017
0.0,49000,0.52056,0.479,0.018
0.0,50000,0.51598,0.474,0.014
0.0,51000,0.49462,0.453,0.017
0.0,52000,0.5007,0.459,0.013
0.0,53000,0.49171,0.45,0.019
0.0,54000,0.49415,0.453,0.021
0.0,55000,0.49783,0.457,0.017
0.0,56000,0.49793,0.457,0.013
0.0,57000,0.5075,0.465,0.018
0.0,58000,0.50197,0.46,0.009
0.0,59000,0.49082,0.449,0.013
0.0,60000,0.49152,0.45,0.02
0.0,61000,0.50526,0.463,0.014
0.0,62000,0.49575,0.454,0.013
0.0,63000,0.49645,0.455,0.013
0.0,64000,0.51148,0.47,0.011
0.0,65000,0.49937,0.458,0.019
0.0,66000,0.48086,0.439,0.012
0.0,67000,0.49243,0.451,0.016
0.0,68000,0.50144,0.46,0.013
0.0,69000,0.48284,0.441,0.022
0.0,70000,0.49192,0.45,0.008
0.0,71000,0.5097,0.468,0.011
0.0,72000,0.51561,0.473,0.012
0.0,73000,0.5159,0.472,0.02
0.0,74000,0.49912,0.458,0.019
0.0,75000,0.50791,0.465,0.02
0.0,76000,0.50867,0.467,0.016
0.0,77000,0.52546,0.483,0.008
0.0,78000,0.50457,0.462,0.02
0.0,79000,0.52508,0.482,0.02
0.0,80000,0.49857,0.456,0.018
0.0,81000,0.52474,0.482,0.009
0.0,82000,0.52331,0.48,0.013
0.0,83000,0.51488,0.472,0.008
0.0,84000,0.51239,0.47,0.024
0.0,85000,0.51301,0.47,0.011
0.0,86000,0.52284,0.481,0.016
0.0,87000,0.49774,0.455,0.014
0.0,88000,0.5259,0.483,0.009
0.0,89000,0.53089,0.488,0.012
0.0,90000,0.51139,0.469,0.002
0.0,91000,0.5312,0.489,0.012
0.0,92000,0.50638,0.465,0.022
0.0,93000,0.50668,0.465,0.017
0.0,94000,0.51535,0.473,0.006
0.0,95000,0.51743,0.475,0.021
0.0,96000,0.50377,0.462,0.012
0.0,97000,0.50664,0.465,0.015
0.0,98000,0.5224,0.48,0.019
0.0,99000,0.54092,0.498,0.014
0.0,100000,0.51522,0.473,0.016
0.0,101000,0.51132,0.469,0.014
0.0,102000,0.51038,0.468,0.014
0.0,103000,0.51542,0.473,0.012
0.0,104000,0.51268,0.47,0.007
0.0,105000,0.51267,0.47,0.013
0.0,106000,0.50125,0.459,0.01
0.0,107000,0.5006,0.458,0.013
0.0,108000,0.51701,0.474,0.015
0.0,109000,0.51277,0.471,0.021
0.0,110000,0.49446,0.454,0.009
0.0,111000,0.49647,0.456,0.019
