loss_train,avg_winning,avg_score,step_idx,avg_diff
0.0,0.403,0.43839,1000,0.017
0.0,0.442,0.4809,2000,0.019
0.0,0.456,0.49696,3000,0.017
0.0,0.448,0.48808,4000,0.011
0.0,0.448,0.48855,5000,0.023
0.0,0.468,0.5088,6000,0.01
0.0,0.437,0.47823,7000,0.015
0.0,0.468,0.50908,8000,0.012
0.0,0.463,0.50439,9000,0.016
0.0,0.425,0.46531,10000,0.017
0.0,0.46,0.5013,11000,0.017
0.0,0.464,0.50466,12000,0.019
0.0,0.451,0.49182,13000,0.019
0.0,0.451,0.4906,14000,0.016
0.0,0.455,0.49511,15000,-0.004
0.0,0.441,0.48181,16000,0.01
0.0,0.449,0.48968,17000,0.017
0.0,0.442,0.48283,18000,0.012
0.0,0.432,0.47206,19000,0.019
0.0,0.45,0.48998,20000,0.017
0.0,0.443,0.48354,21000,0.019
0.0,0.445,0.48614,22000,0.009
0.0,0.458,0.49936,23000,0.003
0.0,0.451,0.49195,24000,0.013
0.0,0.446,0.48611,25000,0.013
0.0,0.442,0.4822,26000,0.023
0.0,0.47,0.51111,27000,0.012
0.0,0.441,0.48198,28000,0.012
0.0,0.456,0.49709,29000,0.018
0.0,0.459,0.5005,30000,0.006
0.0,0.449,0.48993,31000,0.018
0.0,0.442,0.48171,32000,0.006
0.0,0.433,0.4733,33000,0.014
0.0,0.434,0.47437,34000,0.017
0.0,0.444,0.48401,35000,0.015
0.0,0.452,0.49261,36000,0.014
0.0,0.452,0.49317,37000,0.01
0.0,0.445,0.48541,38000,0.019
0.0,0.463,0.50255,39000,0.012
0.0,0.46,0.50085,40000,0.015
0.0,0.47,0.5116,41000,0.018
0.0,0.459,0.50011,42000,0.026
0.0,0.467,0.507,43000,0.022
0.0,0.474,0.51371,44000,0.015
0.0,0.456,0.49585,45000,0.016
0.0,0.472,0.51274,46000,0.02
0.0,0.454,0.49557,47000,0.016
0.0,0.462,0.50177,48000,0.01
0.0,0.466,0.50696,49000,0.018
0.0,0.457,0.49816,50000,0.011
0.0,0.446,0.48674,51000,0.017
0.0,0.465,0.50571,52000,0.02
0.0,0.465,0.50628,53000,0.014
0.0,0.459,0.50219,54000,0.021
0.0,0.469,0.51105,55000,0.015
0.0,0.463,0.50331,56000,0.017
0.0,0.47,0.51081,57000,0.017
0.0,0.46,0.50156,58000,0.017
0.0,0.476,0.51697,59000,0.015
0.0,0.476,0.51775,60000,0.013
0.0,0.464,0.50551,61000,0.012
0.0,0.466,0.50833,62000,0.008
0.0,0.455,0.49676,63000,0.009
0.0,0.476,0.51868,64000,0.007
0.0,0.47,0.51282,65000,0.012
0.0,0.469,0.51164,66000,0.012
0.0,0.477,0.51938,67000,0.013
0.0,0.46,0.50265,68000,0.01
0.0,0.473,0.51542,69000,0.01
0.0,0.47,0.51221,70000,0.02
0.0,0.464,0.50722,71000,0.013
0.0,0.469,0.51211,72000,0.016
0.0,0.469,0.51212,73000,0.007
0.0,0.454,0.49669,74000,0.01
0.0,0.484,0.52764,75000,0.004
0.0,0.486,0.52883,76000,0.008
0.0,0.471,0.51324,77000,0.018
0.0,0.471,0.51416,78000,0.014
0.0,0.467,0.50936,79000,0.013
0.0,0.474,0.51677,80000,0.011
0.0,0.482,0.52501,81000,0.001
0.0,0.471,0.51356,82000,0.008
0.0,0.458,0.50066,83000,0.017
0.0,0.491,0.53408,84000,0.011
0.0,0.463,0.50567,85000,0.008
0.0,0.462,0.50473,86000,0.014
0.0,0.472,0.51535,87000,0.012
0.0,0.456,0.49969,88000,0.024
0.0,0.468,0.5118,89000,0.018
0.0,0.481,0.52486,90000,0.018
0.0,0.462,0.50545,91000,0.017
0.0,0.493,0.53595,92000,0.014
0.0,0.488,0.53066,93000,0.015
0.0,0.477,0.52061,94000,0.026
0.0,0.482,0.52567,95000,0.017
0.0,0.489,0.53298,96000,0.018
0.0,0.484,0.52822,97000,0.015
0.0,0.488,0.53153,98000,0.019
0.0,0.503,0.54716,99000,0.017
0.0,0.482,0.52536,100000,0.017
