avg_score,loss_train,avg_diff,step_idx,avg_winning
0.22742,0.0,0.027,1000,0.21
0.29813,0.0,0.016,2000,0.28
0.30768,0.0,0.013,3000,0.29
0.31618,0.0,0.012,4000,0.301
0.31496,0.0,0.028,5000,0.299
0.34022,0.0,0.015,6000,0.322
0.33658,0.0,0.017,7000,0.318
0.34527,0.0,0.015,8000,0.327
0.33203,0.0,0.021,9000,0.313
0.35414,0.0,0.015,10000,0.336
0.36227,0.0,0.019,11000,0.343
0.38037,0.0,0.015,12000,0.36
0.36891,0.0,0.018,13000,0.346
0.34504,0.0,0.015,14000,0.323
0.41357,0.0,0.014,15000,0.389
0.41525,0.0,0.016,16000,0.391
0.4032,0.0,0.018,17000,0.379
0.43972,0.0,0.009,18000,0.415
0.46437,0.0,0.014,19000,0.439
0.47333,0.0,0.001,20000,0.447
0.47996,0.0,0.008,21000,0.451
0.47355,0.0,0.007,22000,0.446
0.45422,0.0,0.02,23000,0.427
0.475,0.0,0.011,24000,0.448
0.47906,0.0,0.014,25000,0.452
0.48745,0.0,0.013,26000,0.461
0.47913,0.0,0.017,27000,0.451
0.48046,0.0,0.015,28000,0.452
0.47205,0.0,0.011,29000,0.445
0.49015,0.0,0.012,30000,0.461
0.49015,0.0,0.016,31000,0.462
0.48488,0.0,0.018,32000,0.457
0.49322,0.0,0.014,33000,0.464
0.48871,0.0,0.02,34000,0.461
0.47721,0.0,0.013,35000,0.45
0.49458,0.0,0.019,36000,0.466
0.47058,0.0,0.018,37000,0.444
0.47844,0.0,0.02,38000,0.452
0.49248,0.0,0.015,39000,0.465
0.48306,0.0,0.017,40000,0.454
0.49283,0.0,0.012,41000,0.463
0.46988,0.0,0.013,42000,0.442
0.48743,0.0,0.013,43000,0.461
0.49046,0.0,0.003,44000,0.463
0.49551,0.0,0.011,45000,0.467
0.47947,0.0,0.011,46000,0.451
0.48325,0.0,0.016,47000,0.456
0.49142,0.0,0.011,48000,0.464
0.48184,0.0,0.02,49000,0.455
0.4748,0.0,0.017,50000,0.447
0.49652,0.0,0.014,51000,0.469
0.49655,0.0,0.006,52000,0.468
0.47098,0.0,0.013,53000,0.445
0.47089,0.0,0.022,54000,0.445
0.47528,0.0,0.02,55000,0.45
0.48541,0.0,0.023,56000,0.46
0.48363,0.0,0.015,57000,0.458
0.48238,0.0,0.02,58000,0.457
0.50468,0.0,0.022,59000,0.479
0.49406,0.0,0.01,60000,0.468
0.50484,0.0,0.012,61000,0.477
0.49788,0.0,0.018,62000,0.47
0.51371,0.0,0.012,63000,0.485
0.51772,0.0,0.018,64000,0.489
0.49423,0.0,0.015,65000,0.465
0.48882,0.0,0.02,66000,0.459
0.5009,0.0,0.016,67000,0.472
0.48905,0.0,0.019,68000,0.462
0.47531,0.0,0.019,69000,0.448
0.50742,0.0,0.016,70000,0.479
0.48534,0.0,0.011,71000,0.457
0.51438,0.0,0.01,72000,0.485
0.51738,0.0,0.017,73000,0.488
0.51044,0.0,0.013,74000,0.481
0.49675,0.0,0.015,75000,0.467
0.5263,0.0,0.009,76000,0.496
0.51226,0.0,0.022,77000,0.483
0.51231,0.0,0.018,78000,0.483
0.5133,0.0,0.017,79000,0.485
0.52375,0.0,0.017,80000,0.494
0.51109,0.0,0.01,81000,0.482
0.50445,0.0,0.014,82000,0.475
0.50281,0.0,0.014,83000,0.473
0.50364,0.0,0.013,84000,0.474
