step_idx,avg_score,avg_winning,avg_diff,loss_train
1000,0.42297,0.387,0.02,0.0
2000,0.4765,0.438,0.019,0.0
3000,0.4683,0.429,0.015,0.0
4000,0.47631,0.437,0.011,0.0
5000,0.4529,0.414,0.012,0.0
6000,0.49775,0.458,0.013,0.0
7000,0.47645,0.437,0.011,0.0
8000,0.49619,0.456,0.023,0.0
9000,0.47319,0.434,0.017,0.0
10000,0.48872,0.449,0.018,0.0
11000,0.50643,0.467,0.017,0.0
12000,0.49703,0.458,0.009,0.0
13000,0.48319,0.444,0.014,0.0
14000,0.48783,0.448,0.018,0.0
15000,0.49722,0.457,0.022,0.0
16000,0.48982,0.449,0.017,0.0
17000,0.50379,0.463,0.016,0.0
18000,0.52105,0.48,0.013,0.0
19000,0.49464,0.454,0.026,0.0
20000,0.50288,0.462,0.023,0.0
21000,0.50636,0.466,0.02,0.0
22000,0.5014,0.461,0.019,0.0
23000,0.49751,0.457,0.015,0.0
24000,0.5057,0.465,0.018,0.0
25000,0.49211,0.451,0.017,0.0
26000,0.49847,0.457,0.016,0.0
27000,0.50511,0.464,0.019,0.0
28000,0.49369,0.453,0.021,0.0
29000,0.50379,0.462,0.017,0.0
30000,0.49733,0.456,0.014,0.0
31000,0.49124,0.45,0.017,0.0
32000,0.47966,0.439,0.021,0.0
33000,0.48557,0.444,0.018,0.0
34000,0.51033,0.469,0.028,0.0
35000,0.5012,0.46,0.003,0.0
36000,0.49074,0.449,0.014,0.0
37000,0.51175,0.47,0.024,0.0
38000,0.49272,0.451,0.019,0.0
39000,0.48486,0.443,0.01,0.0
40000,0.48554,0.444,0.018,0.0
41000,0.48543,0.443,0.013,0.0
42000,0.48628,0.444,0.017,0.0
43000,0.49327,0.451,0.024,0.0
44000,0.4895,0.447,0.018,0.0
45000,0.49363,0.451,0.027,0.0
46000,0.48611,0.444,0.016,0.0
47000,0.49684,0.455,0.013,0.0
48000,0.49074,0.449,0.013,0.0
49000,0.49768,0.455,0.014,0.0
50000,0.49881,0.456,0.02,0.0
51000,0.49076,0.449,0.02,0.0
52000,0.468,0.426,0.014,0.0
53000,0.48601,0.443,0.016,0.0
54000,0.487,0.445,0.02,0.0
55000,0.48026,0.438,0.016,0.0
56000,0.50186,0.458,0.014,0.0
57000,0.49892,0.456,0.027,0.0
58000,0.48548,0.443,0.014,0.0
59000,0.50035,0.456,0.009,0.0
60000,0.49616,0.453,0.01,0.0
61000,0.49177,0.448,0.021,0.0
62000,0.50144,0.458,0.017,0.0
63000,0.50734,0.464,0.016,0.0
64000,0.48532,0.443,0.013,0.0
65000,0.52449,0.481,0.021,0.0
66000,0.49204,0.449,0.024,0.0
67000,0.50032,0.457,0.023,0.0
68000,0.49236,0.449,0.025,0.0
69000,0.49451,0.451,0.02,0.0
70000,0.50739,0.464,0.025,0.0
71000,0.51854,0.474,0.023,0.0
72000,0.50687,0.462,0.015,0.0
73000,0.51443,0.47,0.02,0.0
74000,0.49715,0.454,0.024,0.0
75000,0.50081,0.458,0.023,0.0
76000,0.49895,0.455,0.024,0.0
77000,0.50093,0.457,0.017,0.0
78000,0.49482,0.451,0.024,0.0
79000,0.51713,0.473,0.02,0.0
80000,0.5046,0.462,0.025,0.0
81000,0.5297,0.485,0.018,0.0
82000,0.514,0.47,0.012,0.0
83000,0.50217,0.459,0.02,0.0
84000,0.50471,0.46,0.014,0.0
85000,0.51903,0.475,0.015,0.0
86000,0.51251,0.469,0.018,0.0
87000,0.51289,0.469,0.016,0.0
88000,0.50798,0.465,0.014,0.0
89000,0.50699,0.463,0.011,0.0
90000,0.51112,0.467,0.017,0.0
91000,0.51428,0.47,0.017,0.0
92000,0.5146,0.47,0.015,0.0
93000,0.51322,0.469,0.022,0.0
94000,0.49675,0.453,0.015,0.0
95000,0.5128,0.47,0.021,0.0
96000,0.51894,0.475,0.019,0.0
97000,0.5097,0.466,0.022,0.0
98000,0.50193,0.459,0.026,0.0
99000,0.50011,0.457,0.019,0.0
100000,0.49709,0.454,0.014,0.0
101000,0.51233,0.47,0.015,0.0
102000,0.52147,0.478,0.016,0.0
103000,0.52496,0.481,0.014,0.0
104000,0.51994,0.476,0.013,0.0
105000,0.52327,0.48,0.015,0.0
106000,0.50281,0.459,0.009,0.0
107000,0.49818,0.455,0.016,0.0
108000,0.51694,0.472,0.021,0.0
109000,0.53307,0.489,0.022,0.0
110000,0.52538,0.481,0.011,0.0
111000,0.49571,0.452,0.018,0.0
112000,0.52249,0.478,0.013,0.0
113000,0.51286,0.469,0.019,0.0
114000,0.5336,0.489,0.021,0.0
115000,0.51762,0.474,0.021,0.0
116000,0.52182,0.478,0.02,0.0
117000,0.50802,0.465,0.017,0.0
118000,0.51741,0.474,0.019,0.0
119000,0.51119,0.468,0.016,0.0
120000,0.5005,0.457,0.012,0.0
121000,0.52471,0.481,0.018,0.0
122000,0.51683,0.473,0.016,0.0
123000,0.51919,0.476,0.024,0.0
124000,0.50701,0.464,0.015,0.0
125000,0.51491,0.471,0.018,0.0
126000,0.52099,0.477,0.021,0.0
127000,0.49042,0.447,0.018,0.0
128000,0.5067,0.463,0.015,0.0
129000,0.52606,0.482,0.014,0.0
130000,0.52156,0.478,0.02,0.0
131000,0.50637,0.463,0.024,0.0
132000,0.49513,0.452,0.024,0.0
