loss_train,step_idx,avg_diff,avg_score,avg_winning
0.0,1000,0.016,0.40677,0.372
0.0,2000,0.028,0.47032,0.43
0.0,3000,0.02,0.46898,0.43
0.0,4000,0.015,0.44904,0.41
0.0,5000,0.019,0.44599,0.408
0.0,6000,0.017,0.44423,0.406
0.0,7000,0.023,0.46275,0.424
0.0,8000,0.017,0.46697,0.427
0.0,9000,0.009,0.47006,0.43
0.0,10000,0.019,0.46534,0.426
0.0,11000,0.007,0.48521,0.445
0.0,12000,0.015,0.47286,0.432
0.0,13000,0.017,0.47876,0.438
0.0,14000,0.017,0.47834,0.438
0.0,15000,0.014,0.49942,0.459
0.0,16000,0.024,0.49225,0.451
0.0,17000,0.014,0.49085,0.449
0.0,18000,0.022,0.49499,0.453
0.0,19000,0.022,0.49516,0.453
0.0,20000,0.019,0.50315,0.461
0.0,21000,0.01,0.48218,0.44
0.0,22000,0.011,0.505,0.462
0.0,23000,0.007,0.50239,0.46
0.0,24000,0.022,0.48989,0.448
0.0,25000,0.016,0.50482,0.462
0.0,26000,0.007,0.49476,0.452
0.0,27000,0.019,0.49677,0.454
0.0,28000,0.018,0.48024,0.437
0.0,29000,0.025,0.48417,0.442
0.0,30000,0.018,0.49067,0.449
0.0,31000,0.021,0.48615,0.444
0.0,32000,0.021,0.4837,0.441
0.0,33000,0.024,0.49822,0.455
0.0,34000,0.018,0.51716,0.474
0.0,35000,0.018,0.51346,0.471
0.0,36000,0.009,0.49577,0.453
0.0,37000,0.021,0.51109,0.468
0.0,38000,0.024,0.49233,0.45
0.0,39000,0.024,0.51729,0.475
0.0,40000,0.028,0.51133,0.469
0.0,41000,0.021,0.48707,0.445
0.0,42000,0.022,0.49953,0.457
0.0,43000,0.026,0.49637,0.453
0.0,44000,0.025,0.51099,0.468
0.0,45000,0.018,0.49542,0.452
0.0,46000,0.018,0.51166,0.468
0.0,47000,0.023,0.49613,0.452
0.0,48000,0.02,0.48844,0.445
0.0,49000,0.023,0.50094,0.458
0.0,50000,0.023,0.49499,0.452
0.0,51000,0.017,0.50531,0.462
0.0,52000,0.025,0.50927,0.465
0.0,53000,0.004,0.5114,0.469
0.0,54000,0.018,0.51977,0.477
0.0,55000,0.016,0.5032,0.461
0.0,56000,0.012,0.51466,0.472
0.0,57000,0.012,0.49673,0.454
0.0,58000,0.026,0.50515,0.462
0.0,59000,0.025,0.50742,0.464
0.0,60000,0.018,0.5219,0.478
0.0,61000,0.018,0.50163,0.458
0.0,62000,0.017,0.51261,0.469
0.0,63000,0.02,0.50075,0.457
0.0,64000,0.018,0.49563,0.453
0.0,65000,0.014,0.49533,0.452
0.0,66000,0.019,0.50885,0.465
0.0,67000,0.012,0.5024,0.459
0.0,68000,0.018,0.5151,0.471
0.0,69000,0.011,0.50236,0.459
0.0,70000,0.017,0.49705,0.454
0.0,71000,0.017,0.50425,0.461
0.0,72000,0.013,0.48694,0.444
0.0,73000,0.016,0.50943,0.466
0.0,74000,0.013,0.50183,0.459
0.0,75000,0.019,0.49915,0.456
0.0,76000,0.014,0.49986,0.457
0.0,77000,0.014,0.49404,0.45
0.0,78000,0.025,0.49996,0.457
0.0,79000,0.021,0.50056,0.457
0.0,80000,0.012,0.50131,0.458
0.0,81000,0.017,0.49377,0.45
0.0,82000,0.021,0.50339,0.461
0.0,83000,0.014,0.50087,0.458
0.0,84000,0.023,0.49243,0.45
0.0,85000,0.022,0.49884,0.456
0.0,86000,0.018,0.50472,0.462
0.0,87000,0.026,0.50229,0.459
0.0,88000,0.018,0.49819,0.455
0.0,89000,0.021,0.4997,0.458
0.0,90000,0.02,0.49148,0.449
0.0,91000,0.019,0.5131,0.47
0.0,92000,0.018,0.513,0.469
0.0,93000,0.017,0.53227,0.49
0.0,94000,0.013,0.51991,0.476
0.0,95000,0.019,0.5016,0.458
0.0,96000,0.009,0.51396,0.471
0.0,97000,0.021,0.52466,0.481
0.0,98000,0.025,0.51215,0.469
0.0,99000,0.023,0.52473,0.481
0.0,100000,0.024,0.52164,0.479
0.0,101000,0.022,0.51348,0.47
0.0,102000,0.018,0.5127,0.47
0.0,103000,0.021,0.50959,0.466
0.0,104000,0.021,0.51038,0.467
0.0,105000,0.018,0.50551,0.462
0.0,106000,0.015,0.51912,0.475
0.0,107000,0.016,0.5213,0.477
