loss_train,avg_winning,step_idx,avg_diff,avg_score
0.0,0.303,1000,0.008,0.33411
0.0,0.303,2000,0.017,0.33322
0.0,0.31,3000,0.013,0.3403
0.0,0.31,4000,0.016,0.34141
0.0,0.296,5000,0.015,0.32693
0.0,0.318,6000,0.01,0.34819
0.0,0.311,7000,0.018,0.34062
0.0,0.325,8000,0.013,0.35747
0.0,0.312,9000,0.006,0.34307
0.0,0.309,10000,0.012,0.33954
0.0,0.325,11000,0.018,0.35618
0.0,0.311,12000,0.02,0.34057
0.0,0.31,13000,0.01,0.33995
0.0,0.317,14000,0.026,0.34738
0.0,0.3,15000,0.013,0.33015
0.0,0.321,16000,0.012,0.35093
0.0,0.324,17000,0.012,0.35239
0.0,0.312,18000,0.013,0.34188
0.0,0.307,19000,0.026,0.33609
0.0,0.325,20000,0.025,0.35417
0.0,0.33,21000,0.019,0.35988
0.0,0.323,22000,0.028,0.35262
0.0,0.329,23000,0.021,0.3585
0.0,0.33,24000,0.02,0.35961
0.0,0.318,25000,0.013,0.34664
0.0,0.331,26000,0.022,0.36122
0.0,0.324,27000,0.016,0.35474
0.0,0.34,28000,0.017,0.37219
0.0,0.328,29000,0.015,0.35954
0.0,0.315,30000,0.016,0.34425
0.0,0.313,31000,0.016,0.34369
0.0,0.342,32000,0.019,0.37341
0.0,0.336,33000,0.02,0.36858
0.0,0.322,34000,0.016,0.35254
0.0,0.339,35000,0.017,0.36969
0.0,0.367,36000,0.02,0.39842
0.0,0.427,37000,0.008,0.45779
0.0,0.455,38000,0.014,0.48399
0.0,0.46,39000,0.017,0.49087
0.0,0.456,40000,0.021,0.48695
0.0,0.474,41000,0.016,0.50408
0.0,0.456,42000,0.014,0.48555
0.0,0.469,43000,0.01,0.49938
0.0,0.455,44000,0.01,0.48543
0.0,0.461,45000,0.014,0.49075
0.0,0.459,46000,0.013,0.48975
0.0,0.466,47000,0.02,0.49475
0.0,0.461,48000,0.018,0.48939
0.0,0.468,49000,0.002,0.49723
0.0,0.465,50000,0.015,0.49369
0.0,0.474,51000,0.013,0.5015
0.0,0.473,52000,0.012,0.50128
0.0,0.467,53000,0.011,0.49527
0.0,0.475,54000,0.014,0.50372
0.0,0.477,55000,0.013,0.506
0.0,0.475,56000,0.004,0.50306
0.0,0.462,57000,0.014,0.49118
0.0,0.483,58000,0.012,0.51408
0.0,0.485,59000,0.023,0.51527
0.0,0.493,60000,0.013,0.52383
0.0,0.493,61000,0.015,0.52261
0.0,0.484,62000,0.016,0.51492
0.0,0.485,63000,0.015,0.51607
0.0,0.481,64000,0.013,0.51242
0.0,0.488,65000,0.016,0.52067
0.0,0.476,66000,0.012,0.50772
0.0,0.483,67000,0.008,0.51407
0.0,0.492,68000,0.015,0.52476
0.0,0.485,69000,0.014,0.51632
0.0,0.496,70000,0.01,0.52608
0.0,0.489,71000,0.013,0.51725
0.0,0.487,72000,0.011,0.51455
0.0,0.48,73000,0.006,0.50744
0.0,0.468,74000,0.012,0.49621
0.0,0.483,75000,0.013,0.51334
0.0,0.508,76000,0.019,0.53791
0.0,0.493,77000,0.014,0.52303
0.0,0.488,78000,0.016,0.51897
0.0,0.494,79000,0.01,0.52605
0.0,0.502,80000,0.011,0.53357
0.0,0.473,81000,0.015,0.5038
0.0,0.49,82000,0.017,0.52081
0.0,0.484,83000,0.017,0.51487
0.0,0.496,84000,0.017,0.52644
0.0,0.489,85000,0.021,0.51908
0.0,0.502,86000,0.014,0.52997
0.0,0.493,87000,0.009,0.52087
0.0,0.48,88000,0.015,0.50824
0.0,0.487,89000,0.015,0.51524
0.0,0.487,90000,0.016,0.51565
0.0,0.486,91000,0.016,0.51347
0.0,0.471,92000,0.024,0.49933
0.0,0.486,93000,0.016,0.51455
0.0,0.483,94000,0.018,0.51131
0.0,0.479,95000,0.018,0.50733
0.0,0.473,96000,0.019,0.50066
0.0,0.499,97000,0.018,0.52737
0.0,0.495,98000,0.022,0.52327
0.0,0.485,99000,0.022,0.51047
0.0,0.49,100000,0.02,0.51593
0.0,0.475,101000,0.025,0.50081
0.0,0.477,102000,0.02,0.50421
0.0,0.496,103000,0.019,0.52315
0.0,0.471,104000,0.017,0.49967
0.0,0.492,105000,0.025,0.51866
0.0,0.48,106000,0.017,0.50735
0.0,0.485,107000,0.018,0.51295
0.0,0.474,108000,0.022,0.50147
0.0,0.488,109000,0.022,0.51608
0.0,0.47,110000,0.014,0.49841
