avg_score,avg_diff,step_idx,avg_winning,loss_train
0.3502,0.014,1000,0.32,0.0
0.38424,0.018,2000,0.349,0.0
0.46475,0.021,3000,0.425,0.0
0.48259,0.029,4000,0.441,0.0
0.47958,0.022,5000,0.439,0.0
0.49043,0.03,6000,0.45,0.0
0.49549,0.021,7000,0.455,0.0
0.49401,0.024,8000,0.453,0.0
0.4941,0.02,9000,0.453,0.0
0.49006,0.025,10000,0.45,0.0
0.49304,0.019,11000,0.452,0.0
0.4937,0.024,12000,0.452,0.0
0.49262,0.023,13000,0.451,0.0
0.4964,0.026,14000,0.455,0.0
0.49142,0.019,15000,0.45,0.0
0.47752,0.029,16000,0.436,0.0
0.47905,0.024,17000,0.437,0.0
0.48486,0.026,18000,0.444,0.0
0.48603,0.016,19000,0.445,0.0
0.47588,0.014,20000,0.434,0.0
0.49955,0.013,21000,0.457,0.0
0.48448,0.018,22000,0.443,0.0
0.49766,0.023,23000,0.456,0.0
0.49417,0.023,24000,0.452,0.0
0.47582,0.02,25000,0.434,0.0
0.49169,0.022,26000,0.449,0.0
0.50066,0.026,27000,0.458,0.0
0.49291,0.022,28000,0.45,0.0
0.49917,0.017,29000,0.457,0.0
0.50114,0.023,30000,0.458,0.0
0.4911,0.018,31000,0.449,0.0
0.49146,0.029,32000,0.45,0.0
0.48976,0.022,33000,0.447,0.0
0.5051,0.02,34000,0.462,0.0
0.48262,0.015,35000,0.44,0.0
0.47815,0.006,36000,0.436,0.0
0.4962,0.02,37000,0.454,0.0
0.49392,0.024,38000,0.452,0.0
0.50941,0.025,39000,0.467,0.0
0.50398,0.017,40000,0.462,0.0
0.50117,0.016,41000,0.459,0.0
0.50608,0.022,42000,0.464,0.0
0.48384,0.019,43000,0.442,0.0
0.48581,0.028,44000,0.444,0.0
0.49163,0.02,45000,0.45,0.0
0.49641,0.017,46000,0.456,0.0
0.4924,0.017,47000,0.451,0.0
0.48641,0.02,48000,0.445,0.0
0.5025,0.016,49000,0.461,0.0
0.52462,0.014,50000,0.482,0.0
0.49521,0.022,51000,0.452,0.0
0.51397,0.017,52000,0.471,0.0
0.52094,0.016,53000,0.478,0.0
0.52456,0.021,54000,0.482,0.0
0.50831,0.022,55000,0.465,0.0
0.51552,0.025,56000,0.472,0.0
0.49165,0.007,57000,0.449,0.0
0.508,0.016,58000,0.465,0.0
0.51327,0.017,59000,0.47,0.0
0.52722,0.021,60000,0.483,0.0
0.50984,0.004,61000,0.466,0.0
0.51532,0.015,62000,0.471,0.0
0.53751,0.015,63000,0.494,0.0
0.52917,0.025,64000,0.486,0.0
0.51134,0.025,65000,0.468,0.0
0.52149,0.033,66000,0.478,0.0
0.50719,0.026,67000,0.464,0.0
0.50413,0.022,68000,0.461,0.0
0.49419,0.018,69000,0.451,0.0
0.48955,0.024,70000,0.447,0.0
0.49304,0.015,71000,0.451,0.0
0.5089,0.015,72000,0.466,0.0
0.49783,0.021,73000,0.455,0.0
0.51352,0.022,74000,0.47,0.0
0.51131,0.015,75000,0.468,0.0
0.52777,0.012,76000,0.484,0.0
0.51009,0.019,77000,0.467,0.0
0.51158,0.018,78000,0.468,0.0
0.5114,0.021,79000,0.469,0.0
0.51182,0.016,80000,0.47,0.0
0.52127,0.018,81000,0.479,0.0
0.52243,0.015,82000,0.48,0.0
0.50945,0.022,83000,0.467,0.0
0.52022,0.014,84000,0.478,0.0
0.51008,0.012,85000,0.467,0.0
0.51325,0.021,86000,0.47,0.0
0.52089,0.02,87000,0.478,0.0
0.51217,0.02,88000,0.47,0.0
0.51848,0.013,89000,0.476,0.0
0.51934,0.013,90000,0.476,0.0
0.51869,0.019,91000,0.475,0.0
0.53328,0.023,92000,0.491,0.0
0.51874,0.011,93000,0.476,0.0
0.52105,0.015,94000,0.478,0.0
0.49753,0.017,95000,0.455,0.0
0.52387,0.015,96000,0.48,0.0
0.52339,0.017,97000,0.48,0.0
0.51179,0.018,98000,0.469,0.0
0.52538,0.014,99000,0.482,0.0
0.51403,0.025,100000,0.471,0.0
0.52906,0.023,101000,0.485,0.0
0.50977,0.019,102000,0.466,0.0
0.48888,0.019,103000,0.446,0.0
0.51741,0.02,104000,0.474,0.0
0.49642,0.021,105000,0.454,0.0
0.52059,0.02,106000,0.477,0.0
0.51026,0.014,107000,0.467,0.0
0.51826,0.015,108000,0.474,0.0
0.51069,0.019,109000,0.467,0.0
0.51708,0.021,110000,0.473,0.0
0.51653,0.019,111000,0.472,0.0
0.51971,0.01,112000,0.475,0.0
0.52055,0.014,113000,0.476,0.0
0.52348,0.016,114000,0.479,0.0
0.51174,0.023,115000,0.468,0.0
0.50478,0.015,116000,0.461,0.0
0.51497,0.01,117000,0.471,0.0
0.50336,0.027,118000,0.46,0.0
0.51786,0.013,119000,0.473,0.0
0.49898,0.023,120000,0.455,0.0
0.50177,0.017,121000,0.457,0.0
0.51862,0.014,122000,0.474,0.0
0.51447,0.013,123000,0.47,0.0
0.50981,0.017,124000,0.465,0.0
0.51768,0.02,125000,0.473,0.0
0.50909,0.019,126000,0.465,0.0
0.51249,0.016,127000,0.469,0.0
0.5106,0.019,128000,0.466,0.0
0.49157,0.023,129000,0.447,0.0
0.50695,0.022,130000,0.462,0.0
0.50938,0.02,131000,0.465,0.0
0.51229,0.029,132000,0.468,0.0
0.50827,0.013,133000,0.464,0.0
0.5115,0.019,134000,0.467,0.0
0.52756,0.015,135000,0.483,0.0
0.50424,0.024,136000,0.46,0.0
0.52668,0.024,137000,0.482,0.0
0.52862,0.015,138000,0.484,0.0
0.52159,0.021,139000,0.477,0.0
0.51581,0.011,140000,0.472,0.0
0.51558,0.018,141000,0.472,0.0
0.51062,0.017,142000,0.467,0.0
0.52099,0.011,143000,0.477,0.0
0.52047,0.013,144000,0.476,0.0
0.51375,0.018,145000,0.47,0.0
0.51218,0.02,146000,0.468,0.0
0.50799,0.019,147000,0.464,0.0
0.51653,0.019,148000,0.472,0.0
0.51476,0.018,149000,0.47,0.0
0.51866,0.02,150000,0.474,0.0
0.51749,0.02,151000,0.474,0.0
0.50362,0.01,152000,0.459,0.0
0.50015,0.013,153000,0.457,0.0
0.52688,0.019,154000,0.483,0.0
0.51398,0.019,155000,0.469,0.0
0.5122,0.016,156000,0.467,0.0
0.51269,0.017,157000,0.468,0.0
0.52622,0.013,158000,0.481,0.0
0.50232,0.024,159000,0.458,0.0
0.5091,0.025,160000,0.465,0.0
0.51054,0.027,161000,0.467,0.0
0.51702,0.021,162000,0.473,0.0
0.5299,0.019,163000,0.486,0.0
0.52714,0.013,164000,0.483,0.0
0.52355,0.018,165000,0.479,0.0
0.50049,0.018,166000,0.456,0.0
0.51749,0.012,167000,0.472,0.0
0.51973,0.023,168000,0.476,0.0
0.52085,0.016,169000,0.477,0.0
0.52224,0.023,170000,0.479,0.0
0.52448,0.01,171000,0.48,0.0
0.5234,0.014,172000,0.48,0.0
0.51774,0.013,173000,0.474,0.0
0.51901,0.027,174000,0.476,0.0
0.51992,0.021,175000,0.476,0.0
0.52594,0.015,176000,0.482,0.0
0.51789,0.015,177000,0.475,0.0
0.50707,0.013,178000,0.464,0.0
0.50852,0.022,179000,0.466,0.0
0.51626,0.011,180000,0.473,0.0
0.52817,0.016,181000,0.485,0.0
0.51892,0.013,182000,0.475,0.0
0.5167,0.023,183000,0.473,0.0
0.51831,0.012,184000,0.475,0.0
0.52888,0.011,185000,0.485,0.0
0.50795,0.023,186000,0.464,0.0
0.5294,0.017,187000,0.485,0.0
0.51616,0.025,188000,0.472,0.0
0.50929,0.015,189000,0.465,0.0
0.51878,0.026,190000,0.474,0.0
0.51917,0.028,191000,0.475,0.0
0.5056,0.014,192000,0.462,0.0
0.50805,0.024,193000,0.464,0.0
0.529,0.02,194000,0.485,0.0
0.53097,0.012,195000,0.487,0.0
0.51164,0.025,196000,0.468,0.0
