step_idx,avg_winning,avg_diff,loss_train,avg_score
1000,0.26,0.029,0.0,0.28328
2000,0.315,0.015,0.0,0.33785
3000,0.331,0.017,0.0,0.35397
4000,0.299,0.018,0.0,0.322
5000,0.297,0.01,0.0,0.31897
6000,0.306,0.012,0.0,0.32817
7000,0.315,0.019,0.0,0.33704
8000,0.342,0.01,0.0,0.3648
9000,0.326,0.017,0.0,0.34881
10000,0.335,0.022,0.0,0.35842
11000,0.326,0.015,0.0,0.3499
12000,0.302,0.014,0.0,0.32717
13000,0.335,0.017,0.0,0.36114
14000,0.347,0.021,0.0,0.37202
15000,0.347,0.015,0.0,0.37291
16000,0.38,0.008,0.0,0.4055
17000,0.361,0.012,0.0,0.38598
18000,0.36,0.02,0.0,0.38563
19000,0.363,0.013,0.0,0.38781
20000,0.384,0.02,0.0,0.40878
21000,0.4,0.01,0.0,0.42633
22000,0.423,0.017,0.0,0.45028
23000,0.413,0.022,0.0,0.43976
24000,0.413,0.025,0.0,0.43913
25000,0.419,0.012,0.0,0.44589
26000,0.441,0.025,0.0,0.46832
27000,0.443,0.014,0.0,0.46931
28000,0.441,0.013,0.0,0.4684
29000,0.434,0.026,0.0,0.46235
30000,0.46,0.018,0.0,0.48845
31000,0.442,0.021,0.0,0.46958
32000,0.448,0.016,0.0,0.47482
33000,0.449,0.014,0.0,0.47613
34000,0.444,0.014,0.0,0.46895
35000,0.458,0.017,0.0,0.48408
36000,0.45,0.023,0.0,0.47496
37000,0.465,0.02,0.0,0.49002
38000,0.453,0.019,0.0,0.47804
39000,0.47,0.01,0.0,0.49669
40000,0.47,0.016,0.0,0.49643
41000,0.453,0.023,0.0,0.47842
42000,0.475,0.025,0.0,0.5009
43000,0.459,0.023,0.0,0.48443
44000,0.473,0.014,0.0,0.49916
45000,0.469,0.022,0.0,0.49411
46000,0.461,0.014,0.0,0.48658
47000,0.493,0.008,0.0,0.5195
48000,0.481,0.021,0.0,0.50735
49000,0.48,0.018,0.0,0.50551
50000,0.487,0.014,0.0,0.51389
51000,0.484,0.018,0.0,0.51097
52000,0.474,0.018,0.0,0.50011
53000,0.494,0.016,0.0,0.51992
54000,0.473,0.016,0.0,0.49801
55000,0.467,0.019,0.0,0.4925
56000,0.482,0.02,0.0,0.50871
57000,0.479,0.016,0.0,0.50496
58000,0.492,0.024,0.0,0.51883
59000,0.481,0.022,0.0,0.50753
60000,0.501,0.018,0.0,0.52893
61000,0.479,0.014,0.0,0.50697
62000,0.477,0.013,0.0,0.50499
63000,0.475,0.015,0.0,0.50161
64000,0.474,0.017,0.0,0.50232
65000,0.479,0.015,0.0,0.50774
66000,0.469,0.018,0.0,0.4979
67000,0.475,0.017,0.0,0.50389
68000,0.472,0.013,0.0,0.50147
69000,0.47,0.015,0.0,0.49947
70000,0.477,0.016,0.0,0.50532
71000,0.478,0.019,0.0,0.5066
72000,0.477,0.016,0.0,0.50583
73000,0.484,0.023,0.0,0.51284
74000,0.491,0.018,0.0,0.52058
75000,0.473,0.017,0.0,0.50137
76000,0.47,0.018,0.0,0.49887
77000,0.478,0.022,0.0,0.50768
78000,0.488,0.021,0.0,0.51769
79000,0.48,0.02,0.0,0.51012
80000,0.483,0.018,0.0,0.51295
81000,0.476,0.023,0.0,0.50552
82000,0.494,0.019,0.0,0.52352
83000,0.491,0.021,0.0,0.5212
84000,0.484,0.024,0.0,0.51413
85000,0.471,0.019,0.0,0.50137
86000,0.473,0.018,0.0,0.50317
87000,0.493,0.012,0.0,0.52223
88000,0.485,0.024,0.0,0.51389
89000,0.481,0.016,0.0,0.51006
90000,0.486,0.006,0.0,0.51581
91000,0.484,0.017,0.0,0.5138
92000,0.492,0.029,0.0,0.52198
93000,0.493,0.023,0.0,0.52418
94000,0.484,0.013,0.0,0.51529
95000,0.497,0.013,0.0,0.5278
96000,0.477,0.015,0.0,0.50737
97000,0.469,0.015,0.0,0.50045
98000,0.492,0.016,0.0,0.52473
99000,0.473,0.02,0.0,0.50545
100000,0.475,0.017,0.0,0.50776
101000,0.474,0.02,0.0,0.50663
102000,0.496,0.013,0.0,0.52908
103000,0.486,0.023,0.0,0.51873
104000,0.48,0.017,0.0,0.51326
105000,0.482,0.018,0.0,0.51449
106000,0.48,0.026,0.0,0.51214
107000,0.467,0.02,0.0,0.49749
108000,0.492,0.026,0.0,0.52324
109000,0.474,0.021,0.0,0.50387
110000,0.498,0.024,0.0,0.52864
111000,0.488,0.021,0.0,0.51823
112000,0.5,0.027,0.0,0.53059
113000,0.487,0.017,0.0,0.51739
114000,0.475,0.023,0.0,0.50502
115000,0.491,0.028,0.0,0.52207
116000,0.491,0.028,0.0,0.52227
117000,0.5,0.024,0.0,0.53145
118000,0.497,0.025,0.0,0.528
119000,0.502,0.029,0.0,0.53265
120000,0.499,0.02,0.0,0.53138
121000,0.496,0.024,0.0,0.52716
122000,0.483,0.025,0.0,0.51384
123000,0.48,0.027,0.0,0.5102
124000,0.489,0.016,0.0,0.52054
125000,0.492,0.023,0.0,0.52277
126000,0.496,0.015,0.0,0.52694
127000,0.504,0.018,0.0,0.53464
128000,0.492,0.021,0.0,0.52347
129000,0.489,0.02,0.0,0.52021
130000,0.487,0.024,0.0,0.51659
131000,0.497,0.02,0.0,0.5273
132000,0.502,0.019,0.0,0.53228
133000,0.491,0.015,0.0,0.52005
134000,0.495,0.025,0.0,0.52508
135000,0.49,0.017,0.0,0.5198
136000,0.491,0.015,0.0,0.52046
137000,0.496,0.015,0.0,0.52639
138000,0.488,0.021,0.0,0.51778
139000,0.499,0.023,0.0,0.52799
140000,0.496,0.022,0.0,0.52573
141000,0.496,0.023,0.0,0.52514
142000,0.489,0.01,0.0,0.51931
143000,0.475,0.014,0.0,0.50457
144000,0.489,0.01,0.0,0.51827
145000,0.493,0.011,0.0,0.52322
146000,0.48,0.006,0.0,0.50992
147000,0.492,0.011,0.0,0.52222
148000,0.491,0.009,0.0,0.52152
149000,0.492,0.018,0.0,0.52219
150000,0.492,0.013,0.0,0.52187
151000,0.499,0.011,0.0,0.52875
152000,0.48,0.022,0.0,0.50892
153000,0.49,0.015,0.0,0.51993
154000,0.489,0.011,0.0,0.52021
155000,0.495,0.017,0.0,0.52681
156000,0.486,0.014,0.0,0.51869
157000,0.479,0.017,0.0,0.51153
158000,0.494,0.014,0.0,0.52653
159000,0.498,0.014,0.0,0.53096
160000,0.488,0.018,0.0,0.5191
161000,0.489,0.028,0.0,0.51919
162000,0.499,0.021,0.0,0.52855
163000,0.499,0.024,0.0,0.5297
164000,0.503,0.025,0.0,0.53291
165000,0.496,0.025,0.0,0.52652
166000,0.497,0.02,0.0,0.52728
167000,0.52,0.022,0.0,0.55151
168000,0.508,0.023,0.0,0.53817
169000,0.499,0.021,0.0,0.53012
170000,0.506,0.019,0.0,0.53677
171000,0.503,0.017,0.0,0.53413
172000,0.491,0.02,0.0,0.52196
173000,0.495,0.022,0.0,0.52611
174000,0.51,0.018,0.0,0.54036
175000,0.506,0.02,0.0,0.53663
176000,0.503,0.019,0.0,0.5343
177000,0.505,0.014,0.0,0.53682
178000,0.519,0.018,0.0,0.551
179000,0.504,0.022,0.0,0.53596
180000,0.512,0.024,0.0,0.54401
181000,0.506,0.015,0.0,0.53751
182000,0.513,0.019,0.0,0.54551
183000,0.501,0.015,0.0,0.5327
184000,0.514,0.018,0.0,0.54488
185000,0.502,0.016,0.0,0.53261
186000,0.502,0.022,0.0,0.53202
187000,0.504,0.014,0.0,0.5339
188000,0.5,0.013,0.0,0.52931
189000,0.502,0.016,0.0,0.53122
190000,0.497,0.014,0.0,0.52579
191000,0.499,0.018,0.0,0.52763
192000,0.497,0.015,0.0,0.52657
193000,0.5,0.014,0.0,0.53007
194000,0.506,0.026,0.0,0.53573
195000,0.493,0.019,0.0,0.52319
196000,0.478,0.019,0.0,0.50819
197000,0.494,0.026,0.0,0.52397
198000,0.499,0.023,0.0,0.53027
199000,0.501,0.015,0.0,0.53255
200000,0.497,0.011,0.0,0.52906
201000,0.479,0.013,0.0,0.51084
202000,0.489,0.019,0.0,0.52067
203000,0.494,0.008,0.0,0.52543
204000,0.497,0.022,0.0,0.52741
205000,0.502,0.018,0.0,0.53238
206000,0.485,0.017,0.0,0.51588
207000,0.508,0.013,0.0,0.54
208000,0.504,0.013,0.0,0.53564
209000,0.495,0.015,0.0,0.52718
210000,0.484,0.016,0.0,0.51576
211000,0.501,0.017,0.0,0.53212
212000,0.498,0.016,0.0,0.52931
213000,0.494,0.018,0.0,0.52587
214000,0.494,0.013,0.0,0.52548
215000,0.488,0.016,0.0,0.51959
216000,0.492,0.013,0.0,0.52364
217000,0.497,0.015,0.0,0.52792
218000,0.496,0.02,0.0,0.5262
219000,0.489,0.009,0.0,0.51984
220000,0.514,0.01,0.0,0.54555
221000,0.493,0.02,0.0,0.52331
222000,0.503,0.017,0.0,0.53257
223000,0.504,0.013,0.0,0.53455
224000,0.492,0.025,0.0,0.52205
225000,0.499,0.016,0.0,0.52956
226000,0.49,0.017,0.0,0.51961
227000,0.489,0.016,0.0,0.51847
228000,0.5,0.022,0.0,0.53021
229000,0.513,0.017,0.0,0.5431
230000,0.509,0.02,0.0,0.53955
231000,0.488,0.022,0.0,0.51855
232000,0.485,0.009,0.0,0.51667
233000,0.494,0.015,0.0,0.52527
234000,0.482,0.015,0.0,0.5135
235000,0.493,0.018,0.0,0.52511
236000,0.503,0.014,0.0,0.53412
237000,0.515,0.012,0.0,0.54591
238000,0.484,0.02,0.0,0.51433
239000,0.498,0.012,0.0,0.52777
240000,0.489,0.018,0.0,0.51891
241000,0.489,0.013,0.0,0.51952
242000,0.508,0.019,0.0,0.53858
243000,0.504,0.021,0.0,0.53428
244000,0.499,0.02,0.0,0.52868
245000,0.508,0.008,0.0,0.53807
246000,0.487,0.015,0.0,0.5182
247000,0.496,0.011,0.0,0.52733
248000,0.5,0.014,0.0,0.53157
249000,0.489,0.013,0.0,0.51899
250000,0.496,0.023,0.0,0.52665
251000,0.487,0.01,0.0,0.51699
252000,0.49,0.02,0.0,0.51953
253000,0.499,0.013,0.0,0.52912
254000,0.488,0.016,0.0,0.5174
255000,0.49,0.03,0.0,0.519
256000,0.498,0.019,0.0,0.52872
257000,0.49,0.017,0.0,0.52139
258000,0.51,0.008,0.0,0.54217
259000,0.506,0.007,0.0,0.53866
260000,0.479,0.011,0.0,0.51035
261000,0.492,0.016,0.0,0.5218
262000,0.481,0.02,0.0,0.51084
263000,0.506,0.012,0.0,0.53694
264000,0.497,0.017,0.0,0.52695
265000,0.478,0.017,0.0,0.50775
266000,0.486,0.02,0.0,0.51554
267000,0.492,0.019,0.0,0.52165
268000,0.502,0.016,0.0,0.53304
269000,0.496,0.029,0.0,0.52643
270000,0.51,0.021,0.0,0.53977
271000,0.498,0.022,0.0,0.528
272000,0.498,0.017,0.0,0.52732
