avg_diff,avg_winning,loss_train,step_idx,avg_score
0.016,0.263,0.0,1000,0.29048
0.017,0.323,0.0,2000,0.35549
0.023,0.344,0.0,3000,0.37559
0.01,0.334,0.0,4000,0.36672
0.008,0.347,0.0,5000,0.38174
0.021,0.361,0.0,6000,0.39436
0.021,0.341,0.0,7000,0.37445
0.016,0.353,0.0,8000,0.38705
0.016,0.346,0.0,9000,0.38092
0.022,0.37,0.0,10000,0.40576
0.023,0.38,0.0,11000,0.41568
0.017,0.372,0.0,12000,0.40855
0.012,0.378,0.0,13000,0.41412
0.021,0.358,0.0,14000,0.39423
0.019,0.366,0.0,15000,0.40316
0.019,0.365,0.0,16000,0.40216
0.016,0.384,0.0,17000,0.42134
0.028,0.398,0.0,18000,0.43582
0.022,0.395,0.0,19000,0.43246
0.019,0.393,0.0,20000,0.43129
0.017,0.405,0.0,21000,0.44311
0.021,0.397,0.0,22000,0.43523
0.014,0.411,0.0,23000,0.44934
0.02,0.416,0.0,24000,0.45503
0.017,0.426,0.0,25000,0.46521
0.006,0.389,0.0,26000,0.42752
0.016,0.4,0.0,27000,0.43908
0.025,0.396,0.0,28000,0.43466
0.014,0.426,0.0,29000,0.4656
0.017,0.413,0.0,30000,0.45264
0.017,0.429,0.0,31000,0.46932
0.017,0.423,0.0,32000,0.46308
0.017,0.424,0.0,33000,0.46508
0.022,0.403,0.0,34000,0.44271
0.024,0.403,0.0,35000,0.44253
0.007,0.409,0.0,36000,0.45007
0.018,0.402,0.0,37000,0.44279
0.017,0.404,0.0,38000,0.44481
0.026,0.403,0.0,39000,0.44362
0.017,0.401,0.0,40000,0.44124
0.025,0.384,0.0,41000,0.42453
0.022,0.393,0.0,42000,0.43417
0.006,0.402,0.0,43000,0.44342
0.016,0.401,0.0,44000,0.4423
0.016,0.4,0.0,45000,0.44156
0.011,0.414,0.0,46000,0.45579
0.015,0.409,0.0,47000,0.45138
0.018,0.413,0.0,48000,0.4558
0.012,0.422,0.0,49000,0.46487
0.019,0.428,0.0,50000,0.47156
0.025,0.425,0.0,51000,0.46848
0.017,0.415,0.0,52000,0.45838
0.011,0.422,0.0,53000,0.46559
0.009,0.436,0.0,54000,0.48027
0.024,0.449,0.0,55000,0.49317
0.023,0.418,0.0,56000,0.46172
0.011,0.457,0.0,57000,0.50161
0.019,0.428,0.0,58000,nan
0.026,0.437,0.0,59000,0.48127
0.017,0.43,0.0,60000,0.47358
0.012,0.443,0.0,61000,0.48751
0.017,0.456,0.0,62000,0.50048
0.009,0.447,0.0,63000,0.49146
0.013,0.431,0.0,64000,0.47505
0.013,0.433,0.0,65000,0.47727
0.012,0.431,0.0,66000,0.47513
0.022,0.455,0.0,67000,0.49864
0.016,0.442,0.0,68000,0.48569
0.015,0.436,0.0,69000,0.47922
0.011,0.443,0.0,70000,nan
0.018,0.447,0.0,71000,0.4905
0.007,0.443,0.0,72000,0.48683
0.019,0.459,0.0,73000,0.50324
0.025,0.445,0.0,74000,0.48872
0.027,0.434,0.0,75000,0.47765
0.017,0.452,0.0,76000,0.49623
0.013,0.439,0.0,77000,0.48217
0.02,0.448,0.0,78000,0.49213
0.018,0.461,0.0,79000,0.50463
0.017,0.463,0.0,80000,0.5074
0.015,0.465,0.0,81000,0.50931
0.02,0.443,0.0,82000,0.48593
0.009,0.445,0.0,83000,0.48834
0.015,0.46,0.0,84000,nan
0.025,0.444,0.0,85000,0.48736
0.024,0.444,0.0,86000,0.48698
0.018,0.452,0.0,87000,0.49448
0.029,0.462,0.0,88000,0.50548
0.025,0.47,0.0,89000,0.51332
0.022,0.442,0.0,90000,0.48478
0.029,0.473,0.0,91000,0.5163
0.012,0.474,0.0,92000,0.51832
0.02,0.44,0.0,93000,0.48249
0.018,0.449,0.0,94000,0.49227
0.025,0.449,0.0,95000,0.49234
0.02,0.442,0.0,96000,0.48553
0.007,0.45,0.0,97000,0.4934
0.019,0.455,0.0,98000,nan
0.016,0.47,0.0,99000,nan
0.024,0.474,0.0,100000,0.51683
0.011,0.463,0.0,101000,0.50535
0.017,0.45,0.0,102000,0.49211
0.017,0.472,0.0,103000,0.51478
0.015,0.46,0.0,104000,0.50268
0.008,0.465,0.0,105000,0.50851
0.012,0.449,0.0,106000,0.49201
0.015,0.467,0.0,107000,0.51097
0.02,0.452,0.0,108000,0.49492
0.017,0.462,0.0,109000,0.50583
0.011,0.464,0.0,110000,nan
0.02,0.466,0.0,111000,0.50991
0.013,0.46,0.0,112000,0.50427
0.019,0.461,0.0,113000,0.50416
0.016,0.477,0.0,114000,0.52068
0.012,0.468,0.0,115000,0.51163
0.018,0.463,0.0,116000,0.50681
0.018,0.46,0.0,117000,nan
0.013,0.462,0.0,118000,0.50599
0.018,0.442,0.0,119000,0.48459
0.012,0.463,0.0,120000,0.50627
0.014,0.439,0.0,121000,0.48212
0.017,0.46,0.0,122000,0.50297
0.019,0.463,0.0,123000,nan
0.018,0.451,0.0,124000,0.49443
0.015,0.48,0.0,125000,nan
0.021,0.459,0.0,126000,nan
0.022,0.452,0.0,127000,0.49577
0.022,0.448,0.0,128000,0.49204
0.014,0.458,0.0,129000,0.50208
0.02,0.453,0.0,130000,0.49688
0.023,0.465,0.0,131000,0.5093
0.025,0.457,0.0,132000,0.50079
0.019,0.464,0.0,133000,0.50871
0.028,0.448,0.0,134000,0.49105
0.02,0.448,0.0,135000,0.4913
0.015,0.464,0.0,136000,nan
0.022,0.479,0.0,137000,0.5233
0.021,0.439,0.0,138000,0.48186
0.016,0.475,0.0,139000,0.51894
0.022,0.446,0.0,140000,0.4885
0.023,0.451,0.0,141000,0.4935
0.026,0.468,0.0,142000,0.51233
0.024,0.458,0.0,143000,0.50138
0.023,0.456,0.0,144000,0.49987
0.025,0.469,0.0,145000,0.51281
0.027,0.448,0.0,146000,0.49226
0.027,0.455,0.0,147000,0.49992
0.017,0.464,0.0,148000,0.50776
0.023,0.457,0.0,149000,0.50068
0.012,0.464,0.0,150000,0.50765
0.029,0.478,0.0,151000,0.52223
0.026,0.461,0.0,152000,0.50545
0.022,0.461,0.0,153000,0.50514
0.021,0.467,0.0,154000,0.51217
0.019,0.43,0.0,155000,0.47343
0.017,0.476,0.0,156000,0.5203
0.013,0.457,0.0,157000,0.50132
0.016,0.475,0.0,158000,0.51954
0.016,0.482,0.0,159000,0.52671
0.014,0.469,0.0,160000,0.51347
0.02,0.475,0.0,161000,0.51867
0.026,0.461,0.0,162000,0.5051
0.017,0.486,0.0,163000,0.53073
0.014,0.472,0.0,164000,0.51627
0.025,0.471,0.0,165000,0.51614
0.014,0.457,0.0,166000,0.50069
0.01,0.477,0.0,167000,0.52053
0.015,0.474,0.0,168000,0.51769
0.025,0.464,0.0,169000,0.5079
0.014,0.481,0.0,170000,0.52536
0.019,0.471,0.0,171000,0.51563
0.014,0.475,0.0,172000,0.5195
0.016,0.465,0.0,173000,0.5093
0.017,0.472,0.0,174000,0.51627
0.021,0.48,0.0,175000,0.52421
0.014,0.465,0.0,176000,0.50953
0.017,0.479,0.0,177000,0.52445
0.02,0.476,0.0,178000,0.52188
0.026,0.47,0.0,179000,0.51622
0.023,0.487,0.0,180000,0.53331
0.017,0.479,0.0,181000,0.52562
0.02,0.473,0.0,182000,0.51904
0.015,0.472,0.0,183000,0.51822
0.021,0.467,0.0,184000,0.51382
0.016,0.484,0.0,185000,0.53068
0.023,0.481,0.0,186000,0.52766
0.016,0.48,0.0,187000,0.52608
0.026,0.483,0.0,188000,0.52958
0.019,0.467,0.0,189000,0.5128
0.018,0.472,0.0,190000,0.51807
0.019,0.478,0.0,191000,0.52441
0.016,0.484,0.0,192000,0.52971
0.014,0.477,0.0,193000,0.5222
0.018,0.486,0.0,194000,0.53073
0.019,0.47,0.0,195000,0.51486
0.021,0.479,0.0,196000,0.52407
0.02,0.475,0.0,197000,0.51964
0.021,0.482,0.0,198000,0.52623
0.017,0.481,0.0,199000,0.52554
0.02,0.483,0.0,200000,0.5283
0.021,0.491,0.0,201000,0.53617
0.022,0.488,0.0,202000,0.53237
0.022,0.485,0.0,203000,0.52975
0.022,0.504,0.0,204000,0.54909
0.008,0.482,0.0,205000,0.52589
0.026,0.485,0.0,206000,0.52962
0.021,0.491,0.0,207000,0.53627
0.019,0.464,0.0,208000,0.50826
0.012,0.476,0.0,209000,0.52053
0.02,0.489,0.0,210000,0.53403
0.014,0.484,0.0,211000,0.53004
0.021,0.486,0.0,212000,0.53102
0.025,0.487,0.0,213000,0.53168
0.024,0.482,0.0,214000,0.52663
0.021,0.471,0.0,215000,0.51564
0.021,0.498,0.0,216000,0.54261
