avg_winning,avg_score,step_idx,avg_diff,loss_train
0.267,0.29577,1000,0.015,0.0
0.325,0.35716,2000,0.011,0.0
0.344,0.37804,3000,0.015,0.0
0.35,0.38337,4000,0.007,0.0
0.332,0.36476,5000,0.009,0.0
0.348,0.38227,6000,0.013,0.0
0.347,0.38027,7000,0.011,0.0
0.341,0.37349,8000,0.008,0.0
0.356,0.38941,9000,0.017,0.0
0.354,0.389,10000,0.016,0.0
0.361,0.39498,11000,0.009,0.0
0.367,0.40196,12000,0.019,0.0
0.362,0.39706,13000,0.013,0.0
0.372,0.40735,14000,0.014,0.0
0.363,0.39812,15000,0.016,0.0
0.365,0.40046,16000,0.018,0.0
0.365,0.4006,17000,0.01,0.0
0.377,0.41316,18000,0.018,0.0
0.384,0.42102,19000,0.006,0.0
0.367,0.40472,20000,0.02,0.0
0.378,0.41469,21000,0.017,0.0
0.379,0.41694,22000,0.013,0.0
0.363,0.4007,23000,0.015,0.0
0.366,0.4034,24000,0.02,0.0
0.342,0.37905,25000,0.006,0.0
0.373,0.41122,26000,0.017,0.0
0.39,0.42975,27000,0.014,0.0
0.389,0.42759,28000,0.013,0.0
0.389,0.42866,29000,0.008,0.0
0.409,0.44792,30000,0.015,0.0
0.399,0.43772,31000,0.015,0.0
0.391,0.43022,32000,0.022,0.0
0.402,0.44156,33000,0.021,0.0
0.412,0.45086,34000,0.022,0.0
0.429,0.4684,35000,0.017,0.0
0.43,0.47016,36000,0.019,0.0
0.415,0.45491,37000,0.02,0.0
0.423,0.4633,38000,0.015,0.0
0.434,0.47362,39000,0.017,0.0
0.404,0.44423,40000,0.007,0.0
0.417,0.45703,41000,0.015,0.0
0.412,0.45135,42000,0.015,0.0
0.411,0.45097,43000,0.012,0.0
0.413,0.4535,44000,0.008,0.0
0.391,0.43003,45000,0.015,0.0
0.407,0.44705,46000,0.02,0.0
0.399,0.43964,47000,0.009,0.0
0.426,0.467,48000,0.008,0.0
0.427,0.46829,49000,0.023,0.0
0.409,0.44919,50000,0.016,0.0
0.421,0.46182,51000,0.015,0.0
0.421,0.46268,52000,0.015,0.0
0.427,0.46781,53000,0.002,0.0
0.433,0.47436,54000,0.011,0.0
0.426,0.46734,55000,0.009,0.0
0.446,0.48816,56000,0.01,0.0
0.432,0.47335,57000,0.015,0.0
0.43,0.47111,58000,0.007,0.0
0.437,0.47675,59000,0.012,0.0
0.42,0.46041,60000,0.017,0.0
0.433,0.47385,61000,0.022,0.0
0.43,0.46962,62000,0.009,0.0
0.446,0.48703,63000,0.012,0.0
0.432,0.47249,64000,0.006,0.0
0.419,0.45924,65000,0.011,0.0
0.442,0.48288,66000,0.003,0.0
0.42,0.4601,67000,0.002,0.0
0.427,0.46693,68000,0.018,0.0
0.424,0.46485,69000,0.015,0.0
0.45,0.49102,70000,0.01,0.0
0.431,0.47179,71000,0.009,0.0
0.452,0.49197,72000,0.002,0.0
0.431,0.47068,73000,0.007,0.0
0.446,0.48451,74000,0.007,0.0
0.447,0.48638,75000,0.015,0.0
0.432,0.47109,76000,0.009,0.0
0.454,0.49328,77000,0.011,0.0
0.451,0.49058,78000,0.015,0.0
0.441,0.48048,79000,0.014,0.0
0.442,0.48279,80000,0.011,0.0
0.445,0.48425,81000,0.008,0.0
0.452,0.49252,82000,0.013,0.0
0.44,0.48086,83000,0.01,0.0
0.431,0.4713,84000,0.017,0.0
0.439,0.47936,85000,0.011,0.0
0.439,0.47972,86000,0.019,0.0
0.441,0.48145,87000,0.006,0.0
0.442,0.48367,88000,0.012,0.0
0.45,0.49131,89000,0.017,0.0
0.444,0.48511,90000,0.009,0.0
0.455,0.49577,91000,0.021,0.0
0.448,0.48925,92000,0.021,0.0
0.451,0.49287,93000,0.015,0.0
0.442,0.48379,94000,0.012,0.0
0.43,0.47204,95000,0.018,0.0
0.451,0.49147,96000,0.011,0.0
0.424,0.46397,97000,0.009,0.0
0.442,0.48333,98000,0.014,0.0
0.44,0.48144,99000,0.009,0.0
0.436,0.47681,100000,0.005,0.0
0.439,0.48026,101000,0.015,0.0
0.443,0.48467,102000,0.019,0.0
0.436,0.47737,103000,0.012,0.0
0.446,0.48743,104000,0.019,0.0
0.429,0.46955,105000,0.019,0.0
0.477,0.51938,106000,0.019,0.0
0.465,0.50682,107000,0.023,0.0
0.453,0.49523,108000,0.028,0.0
0.478,0.52103,109000,0.02,0.0
0.443,nan,110000,0.018,0.0
0.46,nan,111000,0.016,0.0
0.456,0.49758,112000,0.011,0.0
