avg_score,loss_train,avg_diff,avg_winning,step_idx
0.27649,0.0,0.015,0.25,1000
0.28951,0.0,0.018,0.259,2000
0.31505,0.0,0.015,0.282,3000
0.36676,0.0,0.016,0.331,4000
0.36165,0.0,0.012,0.326,5000
0.38549,0.0,0.022,0.349,6000
0.39965,0.0,0.016,0.363,7000
0.38298,0.0,0.022,0.347,8000
0.37298,0.0,0.026,0.337,9000
0.36612,0.0,0.027,0.33,10000
0.38342,0.0,0.018,0.347,11000
0.38742,0.0,0.009,0.352,12000
0.37568,0.0,0.031,0.34,13000
0.40853,0.0,0.022,0.372,14000
0.38843,0.0,0.025,0.352,15000
0.40691,0.0,0.021,0.37,16000
0.40887,0.0,0.024,0.371,17000
0.39862,0.0,0.025,0.361,18000
0.41387,0.0,0.019,0.376,19000
0.40829,0.0,0.014,0.371,20000
0.41442,0.0,0.022,0.377,21000
0.38071,0.0,0.028,0.344,22000
0.41073,0.0,0.017,0.374,23000
0.42505,0.0,0.012,0.388,24000
0.39634,0.0,0.02,0.359,25000
0.43125,0.0,0.017,0.393,26000
0.41937,0.0,0.024,0.382,27000
0.41859,0.0,0.011,0.381,28000
0.43057,0.0,0.022,0.392,29000
0.43106,0.0,0.015,0.393,30000
0.44261,0.0,0.015,0.404,31000
0.42063,0.0,0.012,0.383,32000
0.4471,0.0,0.017,0.408,33000
0.42573,0.0,0.017,0.386,34000
0.42418,0.0,0.012,0.385,35000
0.43081,0.0,0.013,0.393,36000
0.44174,0.0,0.017,0.402,37000
0.42824,0.0,0.01,0.388,38000
0.4304,0.0,0.03,0.391,39000
0.45142,0.0,0.02,0.411,40000
0.42767,0.0,0.028,0.387,41000
0.43458,0.0,0.009,0.395,42000
0.43464,0.0,0.008,0.395,43000
0.45143,0.0,0.004,0.412,44000
0.44867,0.0,0.012,0.409,45000
0.45058,0.0,0.009,0.411,46000
0.46325,0.0,0.021,0.424,47000
0.44971,0.0,0.013,0.41,48000
0.4604,0.0,0.01,0.42,49000
0.45899,0.0,0.015,0.419,50000
0.45152,0.0,0.019,0.411,51000
0.46522,0.0,0.023,0.423,52000
0.44724,0.0,0.012,0.406,53000
0.46929,0.0,0.02,0.428,54000
0.45254,0.0,0.013,0.412,55000
0.45309,0.0,0.011,0.412,56000
0.47642,0.0,0.004,0.435,57000
0.43397,0.0,0.013,0.393,58000
0.43756,0.0,0.014,0.397,59000
0.46344,0.0,0.025,0.422,60000
0.46019,0.0,0.018,0.418,61000
0.47037,0.0,0.021,0.428,62000
0.44855,0.0,0.02,0.408,63000
0.46204,0.0,0.023,0.421,64000
0.47488,0.0,0.024,0.435,65000
0.46894,0.0,0.029,0.428,66000
0.46195,0.0,0.015,0.42,67000
0.46944,0.0,0.017,0.429,68000
0.47398,0.0,0.017,0.433,69000
0.46216,0.0,0.02,0.421,70000
0.46408,0.0,0.014,0.423,71000
0.47229,0.0,0.019,0.43,72000
0.49872,0.0,0.026,0.457,73000
0.48467,0.0,0.017,0.443,74000
0.48412,0.0,0.015,0.442,75000
0.49114,0.0,0.024,0.449,76000
0.48501,0.0,0.013,0.444,77000
0.48587,0.0,0.01,0.443,78000
0.49898,0.0,0.015,0.456,79000
0.47959,0.0,0.024,0.436,80000
0.48842,0.0,0.019,0.445,81000
0.487,0.0,0.017,0.444,82000
0.48447,0.0,0.021,0.441,83000
0.49427,0.0,0.023,0.451,84000
0.489,0.0,0.02,0.446,85000
0.49095,0.0,0.025,0.448,86000
0.48104,0.0,0.015,0.438,87000
0.4775,0.0,0.02,0.434,88000
0.48985,0.0,0.025,0.446,89000
0.47652,0.0,0.021,0.433,90000
0.49185,0.0,0.02,0.448,91000
0.50259,0.0,0.017,0.458,92000
0.48554,0.0,0.016,0.442,93000
0.50645,0.0,0.024,0.463,94000
0.49116,0.0,0.016,0.449,95000
0.48221,0.0,0.02,0.44,96000
0.49379,0.0,0.023,0.452,97000
0.49106,0.0,0.02,0.45,98000
0.50039,0.0,0.023,0.459,99000
0.49785,0.0,0.018,0.456,100000
0.48302,0.0,0.018,0.44,101000
0.50055,0.0,0.021,0.458,102000
0.48418,0.0,0.024,0.441,103000
0.49275,0.0,0.016,0.45,104000
0.49947,0.0,0.017,0.457,105000
0.51276,0.0,0.023,0.469,106000
0.50556,0.0,0.02,0.462,107000
0.51257,0.0,0.015,0.469,108000
0.51958,0.0,0.02,0.476,109000
0.51273,0.0,0.024,0.469,110000
0.4798,0.0,0.017,0.437,111000
0.5149,0.0,0.019,0.472,112000
0.52343,0.0,0.024,0.481,113000
0.51035,0.0,0.022,0.468,114000
0.49557,0.0,0.021,0.453,115000
0.51855,0.0,0.019,0.476,116000
0.49751,0.0,0.022,0.454,117000
0.49294,0.0,0.018,0.45,118000
0.49763,0.0,0.018,0.455,119000
0.50333,0.0,0.014,0.46,120000
0.50756,0.0,0.021,0.465,121000
0.50144,0.0,0.012,0.459,122000
0.50025,0.0,0.016,0.458,123000
0.48192,0.0,0.022,0.439,124000
0.5059,0.0,0.021,0.463,125000
0.5036,0.0,0.013,0.461,126000
0.49236,0.0,0.013,0.45,127000
0.48738,0.0,0.012,0.445,128000
0.51397,0.0,0.018,0.471,129000
0.50796,0.0,0.024,0.464,130000
0.51373,0.0,0.016,0.47,131000
0.4918,0.0,0.011,0.449,132000
0.49242,0.0,0.014,0.449,133000
0.50497,0.0,0.019,0.462,134000
0.51187,0.0,0.016,0.469,135000
0.49072,0.0,0.017,0.448,136000
0.51167,0.0,0.021,0.468,137000
0.50169,0.0,0.017,0.459,138000
0.51197,0.0,0.017,0.469,139000
0.50283,0.0,0.011,0.461,140000
0.51543,0.0,0.014,0.474,141000
0.49,0.0,0.021,0.449,142000
0.48985,0.0,0.017,0.449,143000
0.51255,0.0,0.018,0.471,144000
0.50932,0.0,0.024,0.469,145000
0.51524,0.0,0.013,0.474,146000
0.51144,0.0,0.019,0.469,147000
0.50688,0.0,0.027,0.464,148000
0.51384,0.0,0.024,0.47,149000
0.50939,0.0,0.026,0.466,150000
0.50526,0.0,0.014,0.462,151000
0.48977,0.0,0.02,0.447,152000
0.51377,0.0,0.022,0.471,153000
0.52482,0.0,0.022,0.482,154000
0.51327,0.0,0.018,0.47,155000
0.5007,0.0,0.008,0.457,156000
0.52894,0.0,0.016,0.485,157000
0.50622,0.0,0.021,0.463,158000
0.51459,0.0,0.024,0.471,159000
0.51698,0.0,0.015,0.473,160000
0.52361,0.0,0.02,0.48,161000
0.49957,0.0,0.031,0.457,162000
0.52109,0.0,0.028,0.477,163000
0.51191,0.0,0.023,0.468,164000
0.50406,0.0,0.023,0.462,165000
0.52414,0.0,0.015,0.483,166000
0.50476,0.0,0.021,0.464,167000
0.49819,0.0,0.022,0.456,168000
