avg_diff,avg_winning,avg_score,step_idx,loss_train
0.029,0.241,0.26353,1000,0.0
0.022,0.263,0.28609,2000,0.0
0.022,0.25,0.27325,3000,0.0
0.019,0.272,0.29607,4000,0.0
0.016,0.277,0.3009,5000,0.0
0.019,0.292,0.31643,6000,0.0
0.017,0.288,0.31094,7000,0.0
0.022,0.293,0.31746,8000,0.0
0.021,0.305,0.33042,9000,0.0
0.019,0.285,0.31196,10000,0.0
0.013,0.271,0.29726,11000,0.0
0.009,0.288,0.3136,12000,0.0
0.025,0.292,0.31843,13000,0.0
0.025,0.29,0.31733,14000,0.0
0.028,0.298,0.32566,15000,0.0
0.018,0.277,0.30289,16000,0.0
0.013,0.296,0.32223,17000,0.0
0.017,0.282,0.30798,18000,0.0
0.027,0.311,0.33849,19000,0.0
0.027,0.331,0.35771,20000,0.0
0.017,0.359,0.38422,21000,0.0
0.018,0.335,0.36072,22000,0.0
0.025,0.382,0.40733,23000,0.0
0.017,0.377,0.40106,24000,0.0
0.024,0.4,0.42344,25000,0.0
0.026,0.412,0.43614,26000,0.0
0.023,0.421,0.44551,27000,0.0
0.025,0.433,0.45623,28000,0.0
0.016,0.435,0.45931,29000,0.0
0.023,0.432,0.45669,30000,0.0
0.028,0.421,0.44511,31000,0.0
0.03,0.427,0.45339,32000,0.0
0.016,0.443,0.4699,33000,0.0
0.018,0.442,0.46973,34000,0.0
0.022,0.446,0.47216,35000,0.0
0.025,0.437,0.46146,36000,0.0
0.03,0.452,0.47529,37000,0.0
0.026,0.465,0.489,38000,0.0
0.02,0.455,0.47813,39000,0.0
0.024,0.447,0.46963,40000,0.0
0.022,0.47,0.49343,41000,0.0
0.018,0.455,0.47803,42000,0.0
0.028,0.456,0.47888,43000,0.0
0.027,0.473,0.49753,44000,0.0
0.014,0.457,0.4821,45000,0.0
0.02,0.471,0.49435,46000,0.0
0.026,0.465,0.48886,47000,0.0
0.028,0.478,0.50152,48000,0.0
0.026,0.479,0.50213,49000,0.0
0.023,0.463,0.48624,50000,0.0
0.029,0.494,0.51906,51000,0.0
0.019,0.482,0.50653,52000,0.0
0.021,0.477,0.50155,53000,0.0
0.018,0.466,0.48898,54000,0.0
0.029,0.462,0.48472,55000,0.0
0.026,0.472,0.49356,56000,0.0
0.024,0.469,0.49162,57000,0.0
0.024,0.46,0.48291,58000,0.0
0.021,0.488,0.5112,59000,0.0
0.025,0.466,0.48864,60000,0.0
0.02,0.471,0.49376,61000,0.0
0.016,0.469,0.49117,62000,0.0
0.025,0.478,0.50128,63000,0.0
0.022,0.486,0.5103,64000,0.0
0.02,0.467,0.49059,65000,0.0
0.021,0.475,0.49864,66000,0.0
0.023,0.482,0.50623,67000,0.0
0.02,0.478,0.50154,68000,0.0
0.023,0.484,0.50757,69000,0.0
0.021,0.477,0.50081,70000,0.0
0.028,0.469,0.49367,71000,0.0
0.023,0.481,0.50679,72000,0.0
0.018,0.478,0.50313,73000,0.0
0.02,0.491,0.51589,74000,0.0
0.014,0.486,0.5105,75000,0.0
0.028,0.468,0.49203,76000,0.0
0.026,0.477,0.50187,77000,0.0
0.023,0.469,0.4929,78000,0.0
0.019,0.487,0.51192,79000,0.0
0.017,0.481,0.50623,80000,0.0
0.021,0.486,0.51085,81000,0.0
0.024,0.482,0.50454,82000,0.0
0.025,0.49,0.51403,83000,0.0
0.015,0.489,0.51306,84000,0.0
0.021,0.472,0.4957,85000,0.0
0.028,0.472,0.49575,86000,0.0
0.022,0.481,0.5056,87000,0.0
0.026,0.475,0.50128,88000,0.0
0.027,0.475,0.50156,89000,0.0
0.025,0.501,0.52846,90000,0.0
0.032,0.476,0.50235,91000,0.0
0.025,0.488,0.51583,92000,0.0
0.023,0.483,0.50958,93000,0.0
0.02,0.502,0.52879,94000,0.0
0.023,0.491,0.51818,95000,0.0
0.018,0.481,0.50841,96000,0.0
0.024,0.497,0.52391,97000,0.0
0.03,0.483,0.51069,98000,0.0
