avg_winning,loss_train,avg_score,avg_diff,step_idx
0.275,0.0,0.3035,0.029,1000
0.273,0.0,0.30107,0.024,2000
0.323,0.0,0.35426,0.026,3000
0.314,0.0,0.34526,0.023,4000
0.335,0.0,0.36901,0.019,5000
0.323,0.0,0.35797,0.021,6000
0.339,0.0,0.374,0.018,7000
0.346,0.0,0.38075,0.014,8000
0.344,0.0,0.37967,0.023,9000
0.356,0.0,0.39237,0.018,10000
0.342,0.0,0.37783,0.015,11000
0.335,0.0,0.37083,0.023,12000
0.352,0.0,0.38804,0.023,13000
0.327,0.0,0.36291,0.019,14000
0.326,0.0,0.3616,0.021,15000
0.331,0.0,0.36817,0.016,16000
0.34,0.0,0.37737,0.029,17000
0.362,0.0,0.40085,0.014,18000
0.382,0.0,0.42129,0.02,19000
0.349,0.0,0.38825,0.015,20000
0.363,0.0,0.40177,0.019,21000
0.38,0.0,0.41905,0.009,22000
0.366,0.0,0.40421,0.014,23000
0.37,0.0,0.40944,0.02,24000
0.366,0.0,0.40593,0.025,25000
0.368,0.0,0.40751,0.013,26000
0.38,0.0,0.41951,0.013,27000
0.383,0.0,0.42321,0.017,28000
0.369,0.0,0.40918,0.013,29000
0.399,0.0,0.43973,0.007,30000
0.408,0.0,0.44921,0.025,31000
0.393,0.0,0.43418,0.013,32000
0.388,0.0,0.42859,0.027,33000
0.401,0.0,0.44232,0.025,34000
0.403,0.0,0.44382,0.03,35000
0.392,0.0,0.43226,0.015,36000
0.398,0.0,0.43921,0.013,37000
0.399,0.0,0.44055,0.019,38000
0.373,0.0,0.41442,0.023,39000
0.388,0.0,0.42972,0.019,40000
0.391,0.0,0.43192,0.019,41000
0.403,0.0,0.4449,0.02,42000
0.376,0.0,0.41813,0.019,43000
0.391,0.0,0.43272,0.016,44000
0.386,0.0,0.4283,0.019,45000
0.391,0.0,0.4327,0.016,46000
0.388,0.0,0.43041,0.021,47000
0.389,0.0,0.43103,0.027,48000
0.399,0.0,0.44073,0.014,49000
0.396,0.0,0.43874,0.017,50000
0.403,0.0,0.44673,0.021,51000
