avg_diff,step_idx,avg_score,avg_winning,loss_train
0.016,1000,0.22407,0.199,0.0
0.017,2000,0.26526,0.241,0.0
0.024,3000,0.3023,0.277,0.0
0.017,4000,0.28656,0.262,0.0
0.016,5000,0.30595,0.281,0.0
0.012,6000,0.3164,0.292,0.0
0.013,7000,0.2931,0.268,0.0
0.019,8000,0.29127,0.266,0.0
0.013,9000,0.29687,0.272,0.0
0.023,10000,0.30501,0.279,0.0
0.018,11000,0.28976,0.263,0.0
0.018,12000,0.33049,0.304,0.0
0.024,13000,0.30095,0.274,0.0
0.018,14000,0.30802,0.282,0.0
0.024,15000,0.31139,0.284,0.0
0.011,16000,0.31469,0.288,0.0
0.023,17000,0.32254,0.295,0.0
0.019,18000,0.31614,0.289,0.0
0.019,19000,0.32817,0.299,0.0
0.024,20000,0.32937,0.302,0.0
0.021,21000,0.34741,0.32,0.0
0.019,22000,0.37052,0.342,0.0
0.009,23000,0.38484,0.357,0.0
0.02,24000,0.40965,0.382,0.0
0.02,25000,0.41252,0.384,0.0
0.024,26000,0.41204,0.383,0.0
0.019,27000,0.42546,0.397,0.0
0.025,28000,0.43542,0.407,0.0
0.012,29000,0.43951,0.41,0.0
0.02,30000,0.42576,0.397,0.0
0.012,31000,0.4526,0.424,0.0
0.007,32000,0.46613,0.438,0.0
0.016,33000,0.48236,0.455,0.0
0.02,34000,0.4625,0.435,0.0
0.017,35000,0.4613,0.434,0.0
0.011,36000,0.46185,0.435,0.0
0.017,37000,0.45028,0.425,0.0
0.016,38000,0.46274,0.437,0.0
0.01,39000,0.47298,0.446,0.0
0.017,40000,0.47311,0.446,0.0
0.014,41000,0.47801,0.45,0.0
0.008,42000,0.48927,0.46,0.0
0.021,43000,0.50092,0.473,0.0
0.013,44000,0.51366,0.486,0.0
0.016,45000,0.4645,0.439,0.0
0.023,46000,0.49037,0.464,0.0
0.024,47000,0.4847,0.459,0.0
0.016,48000,0.48597,0.46,0.0
0.011,49000,0.47873,0.453,0.0
0.013,50000,0.49296,0.466,0.0
0.024,51000,0.48708,0.461,0.0
0.02,52000,0.50041,0.474,0.0
0.019,53000,0.49277,0.469,0.0
0.016,54000,0.49542,0.47,0.0
0.021,55000,0.49513,0.47,0.0
0.013,56000,0.48541,0.462,0.0
0.019,57000,0.48811,0.465,0.0
0.02,58000,0.49673,0.474,0.0
0.011,59000,0.49821,0.475,0.0
0.021,60000,0.48847,0.465,0.0
0.024,61000,0.50737,0.485,0.0
0.018,62000,0.50304,0.479,0.0
0.018,63000,0.50224,0.479,0.0
0.017,64000,0.49441,0.47,0.0
0.019,65000,0.50948,0.485,0.0
0.023,66000,0.50056,0.475,0.0
0.02,67000,0.49846,0.473,0.0
0.017,68000,0.5105,0.486,0.0
0.021,69000,0.48951,0.464,0.0
0.013,70000,0.51143,0.486,0.0
0.017,71000,0.49617,0.473,0.0
0.01,72000,0.50197,0.477,0.0
0.017,73000,0.49881,0.475,0.0
0.016,74000,0.49801,0.474,0.0
0.014,75000,0.48693,0.463,0.0
0.02,76000,0.50141,0.477,0.0
0.018,77000,0.52188,0.497,0.0
0.014,78000,0.51322,0.489,0.0
0.015,79000,0.50427,0.48,0.0
0.018,80000,0.50839,0.485,0.0
0.019,81000,0.51592,0.492,0.0
0.014,82000,0.50192,0.478,0.0
0.018,83000,0.49443,0.471,0.0
0.02,84000,0.52424,0.5,0.0
0.02,85000,0.49972,0.476,0.0
0.015,86000,0.50208,0.479,0.0
0.018,87000,0.49247,0.469,0.0
0.016,88000,0.48832,0.465,0.0
0.022,89000,0.49507,0.471,0.0
0.017,90000,0.49611,0.473,0.0
0.02,91000,0.49883,0.475,0.0
0.016,92000,0.49363,0.47,0.0
0.023,93000,0.50696,0.484,0.0
0.023,94000,0.50141,0.478,0.0
0.018,95000,0.51544,0.491,0.0
0.019,96000,0.5014,0.478,0.0
0.011,97000,0.50704,0.483,0.0
0.019,98000,0.49696,0.473,0.0
0.017,99000,0.49675,0.473,0.0
0.017,100000,0.49362,0.469,0.0
0.022,101000,0.49015,0.466,0.0
0.023,102000,0.49763,0.471,0.0
0.016,103000,0.49444,0.469,0.0
0.015,104000,0.52311,0.498,0.0
0.014,105000,0.50196,0.474,0.0
0.02,106000,0.50043,0.474,0.0
0.018,107000,0.52923,0.502,0.0
0.015,108000,0.5113,0.484,0.0
0.015,109000,0.48517,0.46,0.0
0.021,110000,0.50021,0.474,0.0
0.021,111000,0.49912,0.474,0.0
0.015,112000,0.51004,0.484,0.0
0.023,113000,0.50649,0.48,0.0
0.016,114000,0.52482,0.5,0.0
0.016,115000,0.50801,0.482,0.0
0.018,116000,0.5012,0.476,0.0
0.017,117000,0.50728,0.482,0.0
0.022,118000,0.51677,0.49,0.0
0.025,119000,0.50503,0.479,0.0
0.024,120000,0.51259,0.485,0.0
0.016,121000,0.52274,0.496,0.0
0.02,122000,0.51677,0.49,0.0
0.018,123000,0.50919,0.483,0.0
0.024,124000,0.51179,0.484,0.0
0.016,125000,0.51169,0.485,0.0
0.014,126000,0.51426,0.489,0.0
0.014,127000,0.52587,0.5,0.0
0.023,128000,0.51666,0.492,0.0
