None
loss tensor(0.1674, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.1862, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.1643, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0905, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0775, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0442, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0385, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0295, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0540, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0304, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0337, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0652, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0465, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0114, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0381, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0204, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0208, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0201, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0317, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0326, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0223, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0115, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0281, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0197, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0114, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0157, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0059, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0262, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0232, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0113, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0097, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0120, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0093, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0075, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0057, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0164, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0200, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0119, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0107, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0012, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0095, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0065, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0031, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0032, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0046, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0022, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0005, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0029, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0002, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0100, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0079, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0097, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0044, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0032, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0019, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0058, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0032, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0030, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0064, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0051, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0007, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0023, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0041, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0031, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0008, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0008, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0035, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-8.2837e-06, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0034, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0036, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0027, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0023, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0055, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0014, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0023, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0002, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0025, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(-0.0013, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0037, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0020, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0043, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0012, device='cuda:0', grad_fn=<DivBackward0>)
loss tensor(0.0030, device='cuda:0', grad_fn=<DivBackward0>)
